device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
GalaxyJ7-W,e-www-accelerometertest,0,4120.0,-102.45800268587475,0.02717464038,0.027212415189757044,0.0004221269710658038
GalaxyJ7-W,e-www-accelerometertest,1,4107.983456682629,-219.87816406492942,0.05824103552400001,0.058382029591829226,0.0009039844787611172
GalaxyJ7-W,e-www-accelerometertest,2,4124.0,-107.05309018485093,0.028054679154,0.028549194715681084,0.0004414869439223253
GalaxyJ7-W,e-www-accelerometertest,3,4077.3440386356774,-137.93353456082102,0.035910277706000006,0.036207779959369996,0.0005624160045879866
GalaxyJ7-W,e-www-accelerometertest,4,4140.0,-101.04913974501795,0.02681343864,0.02689446297714073,0.00041834343854437427
GalaxyJ7-W,e-www-accelerometertest,5,4110.0,-113.45990522493692,0.02960212704,0.030114492872232133,0.00046632021047449075
GalaxyJ7-W,e-www-accelerometertest,6,4095.0,-141.84000969638203,0.0381904880175,0.037351746037017755,0.0005808348397066844
GalaxyJ7-W,e-www-accelerometertest,7,4142.800635230882,-168.4692157341803,0.045541184229000005,0.04524689557342195,0.000700329612020523
GalaxyJ7-W,e-www-accelerometertest,8,4148.407092543114,-174.975831916444,0.044921788806499996,0.04685358936463225,0.0007286490212533396
GalaxyJ7-W,e-www-accelerometertest,9,4110.0,-136.30462107208874,0.03630954429000001,0.03605356320816266,0.0005602119926062846
GalaxyJ7-W,e-www-ambientlighttest,0,4092.0,-161.86684009921956,0.042849330942000004,0.04271487662454087,0.0006623591096860064
GalaxyJ7-W,e-www-ambientlighttest,1,4084.0,-140.75369897959183,0.03748607217599999,0.03709890172585817,0.0005748381066326532
GalaxyJ7-W,e-www-ambientlighttest,2,4072.3368728747837,-139.70918093420033,0.036265571043,0.036647415162971424,0.0005689620587007099
GalaxyJ7-W,e-www-ambientlighttest,3,4089.658630898435,-152.42825206936138,0.040551442679999994,0.040161587488069604,0.000623491593257205
GalaxyJ7-W,e-www-ambientlighttest,4,4124.0,-156.26794693160477,0.04170568208,0.04147158289396741,0.0006444490131459381
GalaxyJ7-W,e-www-ambientlighttest,5,4148.0,-140.24503511746187,0.03794331564799999,0.03750396433696077,0.0005817364056672319
GalaxyJ7-W,e-www-ambientlighttest,6,4148.0,-159.84670187937598,0.042764567158000005,0.04273120436269156,0.0006630441193956516
GalaxyJ7-W,e-www-ambientlighttest,7,4104.019675444332,-141.6538072876419,0.03784855578049999,0.0375732248383689,0.0005813768774891517
GalaxyJ7-W,e-www-ambientlighttest,8,4084.0,-101.0,0.026456921833999995,0.026520246296,0.000412484
GalaxyJ7-W,e-www-ambientlighttest,9,4164.3756320732,-313.6062484950638,0.0830802882945,0.08563178867056163,0.0013037528154346255
GalaxyJ7-W,e-www-writeroomtest,0,4137.0,-126.46424351544478,0.033229757484,0.03366993782394799,0.0005231825754233948
GalaxyJ7-W,e-www-writeroomtest,1,4137.0,-130.62508176250222,0.034291156546499994,0.03474529885321662,0.0005403959632514716
GalaxyJ7-W,e-www-writeroomtest,2,4148.0,-130.23136307384053,0.035158862799999996,0.03500656077224492,0.0005401996940302906
GalaxyJ7-W,e-www-writeroomtest,3,4081.5299499817006,-139.30523362205685,0.036368808898999995,0.03685519530949005,0.0005685687556423081
GalaxyJ7-W,e-www-writeroomtest,4,4203.146772339524,-267.5145501845242,0.071556670359,0.07270377097101156,0.0011320166752979614
GalaxyJ7-W,e-www-writeroomtest,5,4126.591039196214,-119.45429055435481,0.03173896414849999,0.031692086782115415,0.000492901485016648
GalaxyJ7-W,e-www-writeroomtest,6,4092.0,-177.1854603816204,0.04663619254799999,0.04681747038944206,0.0007250429038815905
GalaxyJ7-W,e-www-writeroomtest,7,4165.0,-98.94959921573151,0.026510753955,0.026484806188259036,0.0004121250807335217
GalaxyJ7-W,e-www-writeroomtest,8,4101.2402912621355,-118.81080097087379,0.031381903387,0.03135825630446529,0.0004872547866504854
GalaxyJ7-W,e-www-writeroomtest,9,4097.5461636977525,-161.48690185120503,0.04364885294799999,0.04259763929237395,0.0006620194155314936
GalaxyJ7-W,e-www-speakertest,0,4088.0,-147.4986118822876,0.03856586496,0.03883214952846197,0.0006029743253747919
GalaxyJ7-W,e-www-speakertest,1,4148.319588643409,-143.48752644786694,0.03804360382800001,0.038404007582138563,0.0005952079535993701
GalaxyJ7-W,e-www-speakertest,2,4093.5125745103605,-170.82429747374397,0.045388471905,0.045152637323094456,0.0006992711483962531
GalaxyJ7-W,e-www-speakertest,3,4152.547911973661,-181.61046612372206,0.04877512000499999,0.04854842445869172,0.000753986309131866
GalaxyJ7-W,e-www-speakertest,4,4204.368322913239,-397.26593177580344,0.1067523488585,0.10842417554446594,0.0016798490261599212
GalaxyJ7-W,e-www-speakertest,5,4145.007712495313,-319.3295484976702,0.085307920676,0.08610544337993982,0.0013345129317122813
GalaxyJ7-W,e-www-speakertest,6,4080.658222826703,-128.4578941403151,0.0338207764675,0.033852344659871934,0.0005241923917601724
GalaxyJ7-W,e-www-speakertest,7,4085.0,-149.90162260297288,0.039899007915,0.03934581663791784,0.0006123481283331441
GalaxyJ7-W,e-www-speakertest,8,4103.200531944368,-167.4999722945642,0.045310363519999994,0.04423630012924807,0.0006870377580761345
GalaxyJ7-W,e-www-speakertest,9,4101.72295035461,-150.9496170212766,0.039426104922,0.03985027619435149,0.0006191680706382979
GalaxyJ7-W,e-www-microphonetest,0,4097.0,-109.21921281622774,0.028888811467,0.028741517181661208,0.00044747111490808507
GalaxyJ7-W,e-www-microphonetest,1,4169.0,-164.52577675489067,0.045230168885000005,0.04415875467668354,0.0006859079632911392
GalaxyJ7-W,e-www-microphonetest,2,4122.0,-138.77928571428572,0.036958082832,0.0368193113562343,0.0005720482157142859
GalaxyJ7-W,e-www-microphonetest,3,4156.594323020153,-137.9811524269089,0.03664819617399999,0.037004600940834506,0.0005735813522565993
GalaxyJ7-W,e-www-microphonetest,4,4137.0,-137.78793093558195,0.03705176630399999,0.03674233800027034,0.0005700286702805024
GalaxyJ7-W,e-www-microphonetest,5,4145.0,-170.02186367356484,0.047106279435,0.04551849222340524,0.0007047406249269262
GalaxyJ7-W,e-www-microphonetest,6,4144.0,-139.221776607207,0.036729608440000006,0.03717423251299795,0.0005769350422602656
GalaxyJ7-W,e-www-microphonetest,7,4128.3165410098245,-158.78649760109664,0.042613061494,0.04232230116041033,0.0006555092801005256
GalaxyJ7-W,e-www-microphonetest,8,4117.0,-140.86701819446054,0.038224109469,0.037504755114825525,0.000579949513906594
GalaxyJ7-W,e-www-microphonetest,9,4123.093878916267,-266.56706433270153,0.069481834312,0.07101741731066205,0.0011029604477645221
