Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689186403358,-128,4085
1689186403363,-128,4085
1689186403367,-128,4085
1689186403374,-128,4085
1689186403378,-128,4085
1689186403383,-128,4085
1689186403388,-128,4085
1689186403392,-128,4085
1689186403397,-128,4085
1689186403402,-128,4085
1689186403406,-128,4085
1689186403410,-128,4085
1689186403415,-128,4085
1689186403419,-128,4085
1689186403423,-128,4085
1689186403427,-128,4085
1689186403431,-128,4085
1689186403435,-128,4085
1689186403439,-128,4085
1689186403443,-128,4085
1689186403447,-128,4085
1689186403451,-128,4085
1689186403455,-128,4085
1689186403459,-128,4085
1689186403463,-128,4085
1689186403467,-128,4085
1689186403471,-128,4085
1689186403475,-128,4085
1689186403479,-128,4085
1689186403483,-128,4085
1689186403487,-128,4085
1689186403491,-128,4085
1689186403494,-128,4085
1689186403498,-128,4085
1689186403502,-128,4085
1689186403504,-128,4085
1689186403506,-128,4085
1689186403509,-128,4085
1689186403511,-128,4085
1689186403513,-128,4085
1689186403516,-128,4085
1689186403518,-128,4085
1689186403520,-128,4085
1689186403522,-128,4085
1689186403525,-128,4085
1689186403528,-128,4085
1689186403530,-128,4085
1689186403533,-128,4085
1689186403536,-128,4085
1689186403538,-128,4085
1689186403540,-128,4085
1689186403543,-128,4085
1689186403545,-128,4085
1689186403548,-128,4085
1689186403550,-128,4085
1689186403553,-128,4085
1689186403555,-128,4085
1689186403557,-128,4085
1689186403560,-128,4085
1689186403562,-128,4085
1689186403565,-128,4085
1689186403568,-128,4085
1689186403571,-128,4085
1689186403575,-128,4085
1689186403578,-128,4085
1689186403581,-128,4085
1689186403584,-128,4085
1689186403587,-128,4085
1689186403590,-128,4085
1689186403594,-128,4085
1689186403597,-128,4085
1689186403601,-128,4085
1689186403604,-128,4085
1689186403607,-128,4085
1689186403610,-128,4085
1689186403612,-128,4085
1689186403615,-128,4085
1689186403617,-128,4085
1689186403620,-128,4085
1689186403623,-128,4085
1689186403625,-128,4085
1689186403628,-128,4085
1689186403630,-128,4085
1689186403633,-128,4085
1689186403636,-128,4085
1689186403638,-128,4085
1689186403641,-128,4085
1689186403643,-128,4085
1689186403645,-128,4085
1689186403648,-128,4085
1689186403650,-128,4085
1689186403653,-128,4085
1689186403655,-128,4085
1689186403657,-128,4085
1689186403660,-128,4085
1689186403664,-128,4085
1689186403667,-128,4085
1689186403670,-128,4085
1689186403672,-128,4085
1689186403674,-128,4085
1689186403677,-128,4085
1689186403679,-128,4085
1689186403682,-128,4085
1689186403684,-128,4085
1689186403687,-128,4085
1689186403689,-128,4085
1689186403692,-128,4085
1689186403694,-128,4085
1689186403696,-128,4085
1689186403699,-128,4085
1689186403701,-128,4085
1689186403704,-128,4085
1689186403706,-128,4085
1689186403709,-128,4085
1689186403712,-128,4085
1689186403715,-128,4085
1689186403718,-128,4085
1689186403722,-128,4085
1689186403725,-128,4085
1689186403728,-128,4085
1689186403732,-128,4085
1689186403734,-128,4085
1689186403737,-128,4085
1689186403741,-128,4085
1689186403744,-128,4085
1689186403747,-128,4085
1689186403750,-128,4085
1689186403754,-128,4085
1689186403757,-128,4085
1689186403760,-128,4085
1689186403763,-128,4085
1689186403766,-128,4085
1689186403769,-128,4085
1689186403772,-128,4085
1689186403775,-128,4085
1689186403778,-128,4085
1689186403781,-128,4085
1689186403784,-128,4085
1689186403788,-128,4085
1689186403791,-128,4085
1689186403794,-128,4085
1689186403797,-128,4085
1689186403800,-128,4085
1689186403803,-128,4085
1689186403806,-128,4085
1689186403809,-128,4085
1689186403812,-128,4085
1689186403815,-128,4085
1689186403818,-128,4085
1689186403821,-128,4085
1689186403824,-128,4085
1689186403827,-128,4085
1689186403830,-128,4085
1689186403833,-128,4085
1689186403836,-128,4085
1689186403839,-128,4085
1689186403842,-128,4085
1689186403845,-128,4085
1689186403848,-128,4085
1689186403851,-128,4085
1689186403854,-128,4085
1689186403857,-128,4085
1689186403860,-128,4085
1689186403863,-128,4085
1689186403869,-128,4085
1689186403872,-128,4085
1689186403874,-128,4085
1689186403877,-128,4085
1689186403880,-128,4085
1689186403883,-128,4085
1689186403886,-128,4085
1689186403889,-128,4085
1689186403892,-128,4085
1689186403895,-128,4085
1689186403898,-128,4085
1689186403901,-128,4085
1689186403904,-128,4085
1689186403907,-128,4085
1689186403910,-128,4085
1689186403913,-128,4085
1689186403916,-128,4085
1689186403918,-128,4085
1689186403921,-128,4085
1689186403924,-128,4085
1689186403928,-128,4085
1689186403930,-128,4085
1689186403933,-128,4085
1689186403937,-128,4085
1689186403940,-128,4085
1689186403943,-128,4085
1689186403946,-128,4085
1689186403949,-128,4085
1689186403952,-128,4085
1689186403955,-128,4085
1689186403958,-128,4085
1689186403961,-128,4085
1689186403964,-128,4085
1689186403968,-128,4085
1689186403971,-128,4085
1689186403974,-128,4085
1689186403977,-128,4085
1689186403980,-128,4085
1689186403983,-128,4085
1689186403986,-128,4085
1689186403989,-128,4085
1689186403992,-128,4085
1689186403995,-128,4085
1689186403998,-128,4085
1689186404001,-128,4085
1689186404005,-128,4085
1689186404008,-128,4085
1689186404011,-128,4085
1689186404014,-128,4085
1689186404017,-128,4085
1689186404020,-128,4085
1689186404023,-128,4085
1689186404026,-128,4085
1689186404029,-128,4085
1689186404032,-128,4085
1689186404035,-128,4085
1689186404038,-128,4085
