Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689193835831,-148,4126
1689193835835,-148,4126
1689193835841,-148,4126
1689193835846,-148,4126
1689193835850,-148,4126
1689193835856,-148,4126
1689193835861,-148,4126
1689193835867,-148,4126
1689193835873,-148,4126
1689193835879,-148,4126
1689193835884,-148,4126
1689193835888,-148,4126
1689193835893,-148,4126
1689193835897,-148,4126
1689193835901,-148,4126
1689193835910,-148,4126
1689193835914,-148,4126
1689193835919,-148,4126
1689193835923,-148,4126
1689193835927,-148,4126
1689193835931,-148,4126
1689193835935,-148,4126
1689193835940,-148,4126
1689193835944,-148,4126
1689193835952,-148,4126
1689193835957,-148,4126
1689193835961,-148,4126
1689193835965,-148,4126
1689193835969,-148,4126
1689193835973,-148,4126
1689193835976,-148,4126
1689193835980,-148,4126
1689193835985,-148,4126
1689193835989,-148,4126
1689193835993,-148,4126
1689193835997,-148,4126
1689193836001,-148,4126
1689193836004,-148,4126
1689193836007,-148,4126
1689193836009,-148,4126
1689193836012,-148,4126
1689193836014,-148,4126
1689193836017,-148,4126
1689193836020,-148,4126
1689193836022,-148,4126
1689193836025,-148,4126
1689193836027,-148,4126
1689193836030,-148,4126
1689193836032,-148,4126
1689193836035,-148,4126
1689193836038,-148,4126
1689193836041,-148,4126
1689193836043,-148,4126
1689193836046,-148,4126
1689193836048,-148,4126
1689193836051,-148,4126
1689193836053,-148,4126
1689193836056,-148,4126
1689193836058,-148,4126
1689193836061,-148,4126
1689193836063,-148,4126
1689193836066,-148,4126
1689193836069,-148,4126
1689193836072,-148,4126
1689193836074,-148,4126
1689193836077,-148,4126
1689193836080,-148,4126
1689193836082,-148,4126
1689193836085,-148,4126
1689193836088,-148,4126
1689193836090,-148,4126
1689193836093,-148,4126
1689193836095,-148,4126
1689193836098,-148,4126
1689193836101,-148,4126
1689193836103,-148,4126
1689193836106,-148,4126
1689193836109,-148,4126
1689193836112,-148,4126
1689193836115,-148,4126
1689193836117,-148,4126
1689193836121,-148,4126
1689193836124,-148,4126
1689193836127,-148,4126
1689193836130,-148,4126
1689193836134,-148,4126
