Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689236537322,-361,4201
1689236537326,-361,4201
1689236537331,-361,4201
1689236537334,-361,4201
1689236537338,-361,4201
1689236537342,-361,4201
1689236537349,-361,4201
1689236537353,-361,4201
1689236537358,-361,4201
1689236537362,-361,4201
1689236537365,-361,4201
1689236537367,-361,4201
1689236537370,-361,4201
1689236537371,-361,4201
1689236537374,-361,4201
1689236537376,-361,4201
1689236537379,-361,4201
1689236537381,-361,4201
1689236537385,-361,4201
1689236537389,-361,4201
1689236537393,-361,4201
1689236537397,-361,4201
1689236537400,-361,4201
1689236537403,-361,4201
1689236537405,-361,4201
1689236537407,-361,4201
1689236537409,-361,4201
1689236537411,-361,4201
1689236537413,-361,4201
1689236537415,-361,4201
1689236537421,-361,4201
1689236537429,-361,4201
1689236537436,-361,4201
1689236537439,-361,4201
1689236537442,-361,4201
1689236537449,-361,4201
1689236537451,-361,4201
1689236537457,-361,4201
1689236537459,-361,4201
1689236537461,-361,4201
1689236537463,-361,4201
1689236537465,-361,4201
1689236537468,-361,4201
1689236537470,-361,4201
1689236537471,-361,4201
1689236537473,-361,4201
1689236537475,-361,4201
1689236537477,-361,4201
1689236537479,-361,4201
1689236537483,-361,4201
1689236537487,-361,4201
1689236537492,-361,4201
1689236537495,-361,4201
1689236537498,-361,4201
1689236537500,-361,4201
1689236537502,-361,4201
1689236537504,-361,4201
1689236537505,-361,4201
1689236537507,-361,4201
1689236537509,-361,4201
1689236537511,-361,4201
1689236537514,-361,4201
1689236537523,-361,4201
1689236537528,-361,4201
1689236537534,-361,4201
1689236537537,-361,4201
1689236537539,-361,4201
1689236537541,-361,4201
1689236537543,-361,4201
1689236537549,-361,4201
1689236537560,-361,4201
1689236537564,-361,4201
1689236537567,-361,4201
1689236537570,-361,4201
1689236537574,-361,4201
1689236537594,-361,4201
1689236537607,-361,4201
1689236537611,-361,4201
1689236537613,-361,4201
1689236537615,-361,4201
1689236537617,-361,4201
1689236537621,-361,4201
1689236537637,-361,4201
1689236537640,-361,4201
1689236537658,-361,4201
1689236537668,-361,4201
1689236537671,-361,4201
1689236537688,-361,4201
1689236537701,-361,4201
1689236537704,-361,4201
1689236537707,-361,4201
1689236537719,-361,4201
1689236537722,-361,4201
1689236537725,-361,4201
1689236537727,-361,4201
1689236537740,-361,4201
1689236537750,-361,4201
1689236537769,-361,4201
1689236537771,-361,4201
1689236537779,-361,4201
1689236537783,-361,4201
1689236537790,-361,4201
1689236537793,-361,4201
1689236537796,-361,4201
1689236537808,-361,4201
1689236537822,-361,4201
1689236537825,-361,4201
1689236537831,-361,4201
1689236537835,-361,4201
1689236537838,-361,4201
1689236537841,-361,4201
1689236537845,-361,4201
1689236537849,-361,4201
1689236537852,-361,4201
1689236537855,-361,4201
1689236537857,-361,4201
1689236537859,-361,4201
1689236537862,-361,4201
1689236537866,-361,4201
1689236537869,-361,4201
1689236537872,-361,4201
1689236537876,-361,4201
1689236537878,-361,4201
1689236537881,-361,4201
1689236537886,-361,4201
1689236537889,-361,4201
1689236537892,-361,4201
1689236537895,-361,4201
1689236537897,-361,4201
1689236537900,-361,4201
1689236537903,-361,4201
1689236537905,-361,4201
1689236537908,-361,4201
1689236537910,-361,4201
1689236537913,-361,4201
1689236537921,-361,4201
1689236537924,-361,4201
1689236537928,-361,4201
1689236537932,-361,4201
1689236537936,-361,4201
1689236537939,-361,4201
1689236537942,-361,4201
1689236537944,-361,4201
1689236537954,-361,4201
1689236537958,-361,4201
1689236537962,-361,4201
1689236537965,-361,4201
1689236537967,-361,4201
1689236537969,-361,4201
1689236537970,-361,4201
1689236537972,-361,4201
1689236537974,-361,4201
1689236537976,-361,4201
1689236537979,-361,4201
1689236537981,-361,4201
1689236537983,-361,4201
1689236537985,-361,4201
1689236537987,-361,4201
1689236537989,-361,4201
1689236537991,-361,4201
1689236537992,-361,4201
1689236537994,-361,4201
1689236537996,-361,4201
1689236537998,-361,4201
1689236538001,-361,4201
1689236538002,-361,4201
1689236538004,-361,4201
1689236538006,-361,4201
1689236538008,-361,4201
1689236538010,-361,4201
1689236538011,-361,4201
1689236538013,-361,4201
1689236538015,-361,4201
1689236538018,-361,4201
1689236538025,-361,4201
1689236538026,-361,4201
1689236538029,-361,4201
1689236538031,-361,4201
1689236538032,-361,4201
1689236538034,-361,4201
1689236538036,-361,4201
1689236538037,-361,4201
1689236538039,-361,4201
1689236538040,-361,4201
1689236538042,-361,4201
1689236538043,-361,4201
1689236538045,-361,4201
1689236538047,-361,4201
1689236538050,-361,4201
1689236538054,-361,4201
1689236538058,-361,4201
1689236538061,-361,4201
1689236538063,-361,4201
1689236538065,-361,4201
1689236538067,-361,4201
1689236538069,-361,4201
1689236538070,-361,4201
1689236538072,-361,4201
1689236538074,-361,4201
1689236538075,-361,4201
1689236538077,-361,4201
1689236538078,-361,4201
1689236538081,-361,4201
1689236538083,-361,4201
1689236538086,-361,4201
1689236538090,-361,4201
1689236538093,-361,4201
1689236538095,-361,4201
1689236538097,-361,4201
1689236538099,-361,4201
1689236538100,-361,4201
1689236538102,-361,4201
1689236538103,-361,4201
1689236538105,-361,4201
1689236538106,-361,4201
1689236538108,-361,4201
1689236538109,-361,4201
1689236538111,-361,4201
1689236538113,-361,4201
1689236538114,-361,4201
1689236538116,-361,4201
1689236538118,-361,4201
1689236538121,-361,4201
1689236538124,-361,4201
1689236538127,-361,4201
1689236538129,-361,4201
1689236538131,-361,4201
1689236538132,-361,4201
1689236538134,-361,4201
1689236538136,-361,4201
1689236538137,-361,4201
1689236538140,-361,4201
1689236538141,-361,4201
1689236538143,-361,4201
1689236538150,-361,4201
1689236538154,-361,4201
1689236538158,-361,4201
1689236538161,-361,4201
1689236538163,-361,4201
1689236538165,-361,4201
1689236538166,-361,4201
1689236538168,-361,4201
1689236538170,-361,4201
1689236538172,-361,4201
1689236538173,-361,4201
1689236538175,-361,4201
1689236538177,-361,4201
1689236538179,-361,4201
1689236538181,-361,4201
1689236538183,-361,4201
1689236538185,-361,4201
1689236538188,-361,4201
1689236538191,-361,4201
1689236538193,-361,4201
1689236538195,-361,4201
1689236538199,-361,4201
1689236538201,-361,4201
1689236538203,-361,4201
1689236538205,-361,4201
1689236538206,-361,4201
1689236538208,-361,4201
1689236538210,-361,4201
1689236538211,-361,4201
1689236538213,-361,4201
1689236538215,-361,4201
1689236538216,-361,4201
1689236538218,-361,4201
1689236538221,-361,4201
1689236538224,-361,4201
1689236538226,-361,4201
1689236538228,-361,4201
1689236538229,-361,4201
1689236538231,-361,4201
1689236538233,-361,4201
1689236538235,-361,4201
1689236538237,-361,4201
1689236538238,-361,4201
1689236538240,-361,4201
1689236538242,-361,4201
1689236538243,-361,4201
1689236538245,-361,4201
1689236538247,-361,4201
1689236538249,-361,4201
1689236538250,-361,4201
1689236538252,-361,4201
1689236538254,-361,4201
1689236538255,-361,4201
1689236538257,-361,4201
1689236538259,-361,4201
1689236538260,-361,4201
1689236538262,-361,4201
1689236538264,-361,4201
1689236538266,-361,4201
1689236538268,-361,4201
1689236538270,-361,4201
1689236538272,-361,4201
1689236538273,-361,4201
1689236538275,-361,4201
1689236538277,-361,4201
1689236538278,-361,4201
1689236538280,-361,4201
1689236538282,-361,4201
1689236538285,-361,4201
1689236538287,-361,4201
1689236538290,-361,4201
1689236538292,-361,4201
1689236538295,-361,4201
1689236538298,-361,4201
1689236538301,-361,4201
1689236538306,-361,4201
1689236538310,-361,4201
1689236538313,-361,4201
1689236538315,-361,4201
1689236538318,-361,4201
1689236538321,-361,4201
1689236538322,-361,4201
1689236538324,-361,4201
1689236538326,-361,4201
1689236538328,-361,4201
1689236538330,-361,4201
1689236538331,-361,4201
1689236538333,-361,4201
1689236538335,-361,4201
1689236538337,-361,4201
1689236538339,-361,4201
1689236538340,-361,4201
1689236538342,-361,4201
1689236538353,-361,4201
1689236538355,-361,4201
1689236538358,-361,4201
1689236538360,-361,4201
1689236538363,-361,4201
1689236538365,-361,4201
1689236538368,-361,4201
1689236538370,-361,4201
1689236538372,-361,4201
1689236538374,-361,4201
1689236538376,-361,4201
1689236538378,-361,4201
1689236538381,-361,4201
1689236538384,-361,4201
1689236538387,-361,4201
1689236538390,-361,4201
1689236538392,-361,4201
1689236538394,-361,4201
1689236538396,-361,4201
1689236538398,-361,4201
1689236538400,-361,4201
1689236538402,-361,4201
1689236538404,-361,4201
1689236538406,-361,4201
1689236538408,-361,4201
1689236538410,-361,4201
1689236538412,-361,4201
1689236538414,-361,4201
1689236538416,-361,4201
1689236538417,-361,4201
1689236538419,-361,4201
1689236538421,-361,4201
1689236538423,-361,4201
1689236538424,-361,4201
1689236538426,-361,4201
1689236538428,-361,4201
1689236538430,-361,4201
1689236538432,-361,4201
1689236538433,-361,4201
1689236538435,-361,4201
1689236538437,-361,4201
1689236538439,-361,4201
1689236538441,-361,4201
1689236538443,-361,4201
1689236538444,-361,4201
1689236538447,-361,4201
1689236538450,-361,4201
1689236538454,-361,4201
1689236538457,-361,4201
1689236538459,-361,4201
1689236538461,-361,4201
1689236538462,-361,4201
1689236538464,-361,4201
1689236538466,-361,4201
1689236538467,-361,4201
1689236538469,-361,4201
1689236538471,-361,4201
1689236538472,-361,4201
1689236538474,-361,4201
1689236538475,-361,4201
1689236538477,-361,4201
1689236538481,-361,4201
1689236538484,-361,4201
1689236538487,-361,4201
1689236538490,-361,4201
1689236538493,-361,4201
1689236538496,-361,4201
1689236538498,-361,4201
1689236538499,-361,4201
1689236538501,-361,4201
1689236538503,-361,4201
1689236538505,-361,4201
1689236538506,-361,4201
1689236538508,-361,4201
1689236538510,-361,4201
1689236538512,-361,4201
1689236538514,-361,4201
1689236538516,-361,4201
1689236538522,-361,4201
1689236538525,-361,4201
1689236538527,-361,4201
1689236538529,-361,4201
1689236538531,-361,4201
1689236538532,-361,4201
1689236538534,-361,4201
1689236538535,-361,4201
1689236538537,-361,4201
1689236538538,-361,4201
1689236538540,-361,4201
1689236538542,-361,4201
1689236538544,-361,4201
1689236538545,-361,4201
1689236538547,-361,4201
1689236538548,-361,4201
1689236538550,-361,4201
1689236538554,-361,4201
1689236538558,-361,4201
1689236538560,-361,4201
1689236538562,-361,4201
1689236538564,-361,4201
1689236538570,-361,4201
1689236538571,-361,4201
1689236538573,-361,4201
1689236538574,-361,4201
1689236538576,-361,4201
1689236538578,-361,4201
1689236538584,-361,4201
1689236538587,-361,4201
1689236538590,-361,4201
1689236538591,-361,4201
1689236538593,-361,4201
1689236538595,-361,4201
1689236538596,-361,4201
1689236538598,-361,4201
1689236538600,-361,4201
1689236538601,-361,4201
1689236538603,-361,4201
1689236538605,-361,4201
1689236538606,-361,4201
1689236538608,-361,4201
1689236538609,-361,4201
1689236538611,-361,4201
1689236538612,-361,4201
1689236538614,-361,4201
1689236538620,-361,4201
1689236538623,-361,4201
1689236538626,-361,4201
1689236538627,-361,4201
1689236538629,-361,4201
1689236538631,-361,4201
1689236538633,-361,4201
1689236538635,-361,4201
1689236538636,-361,4201
1689236538638,-361,4201
1689236538639,-361,4201
1689236538641,-361,4201
1689236538642,-361,4201
1689236538645,-361,4201
1689236538646,-361,4201
1689236538648,-361,4201
1689236538654,-361,4201
1689236538657,-361,4201
1689236538659,-361,4201
1689236538661,-361,4201
1689236538662,-361,4201
1689236538664,-361,4201
1689236538666,-361,4201
1689236538668,-361,4201
1689236538669,-361,4201
1689236538671,-361,4201
1689236538673,-361,4201
1689236538674,-361,4201
1689236538676,-361,4201
1689236538684,-361,4201
1689236538688,-361,4201
1689236538691,-361,4201
1689236538693,-361,4201
1689236538695,-361,4201
1689236538697,-361,4201
1689236538699,-361,4201
1689236538700,-361,4201
1689236538702,-361,4201
1689236538704,-361,4201
1689236538705,-361,4201
1689236538707,-361,4201
1689236538709,-361,4201
1689236538711,-361,4201
1689236538712,-361,4201
1689236538714,-361,4201
1689236538716,-361,4201
1689236538718,-361,4201
1689236538722,-361,4201
1689236538727,-361,4201
1689236538730,-361,4201
1689236538735,-361,4201
1689236538736,-361,4201
1689236538738,-361,4201
1689236538740,-361,4201
1689236538741,-361,4201
1689236538743,-361,4201
1689236538744,-361,4201
1689236538746,-361,4201
1689236538753,-361,4201
1689236538757,-361,4201
1689236538761,-361,4201
1689236538765,-361,4201
1689236538768,-361,4201
1689236538770,-361,4201
1689236538772,-361,4201
1689236538774,-361,4201
1689236538775,-361,4201
1689236538777,-361,4201
1689236538785,-361,4201
1689236538787,-361,4201
1689236538790,-361,4201
1689236538793,-361,4201
1689236538796,-361,4201
1689236538799,-361,4201
1689236538802,-361,4201
1689236538805,-361,4201
1689236538807,-361,4201
1689236538809,-361,4201
1689236538814,-361,4201
1689236538816,-361,4201
1689236538818,-361,4201
1689236538820,-361,4201
1689236538822,-361,4201
1689236538823,-361,4201
1689236538825,-361,4201
1689236538827,-361,4201
1689236538829,-361,4201
1689236538830,-361,4201
1689236538832,-361,4201
