Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688916885540,-148,4221
1688916885547,-148,4221
1688916885554,-148,4221
1688916885561,-148,4221
1688916885568,-148,4221
1688916885575,-148,4221
1688916885581,-148,4221
1688916885589,-148,4221
1688916885595,-148,4221
1688916885606,-148,4221
1688916885612,-148,4221
1688916885618,-148,4221
1688916885625,-148,4221
1688916885632,-148,4221
1688916885639,-148,4221
1688916885645,-148,4221
1688916885652,-148,4221
1688916885659,-148,4221
1688916885670,-148,4221
1688916885676,-148,4221
1688916885683,-148,4221
1688916885690,-148,4221
1688916885701,-148,4221
1688916885707,-148,4221
1688916885714,-148,4221
1688916885720,-148,4221
1688916885725,-148,4221
1688916885730,-148,4221
1688916885735,-148,4221
1688916885739,-148,4221
1688916885744,-148,4221
1688916885748,-148,4221
1688916885753,-148,4221
1688916885758,-148,4221
1688916885767,-148,4221
1688916885772,-148,4221
1688916885777,-148,4221
1688916885782,-148,4221
1688916885787,-148,4221
1688916885791,-148,4221
1688916885796,-148,4221
1688916885801,-148,4221
1688916885806,-148,4221
1688916885811,-148,4221
1688916885815,-148,4221
1688916885820,-148,4221
1688916885825,-148,4221
1688916885830,-148,4221
1688916885834,-148,4221
1688916885839,-148,4221
1688916885844,-148,4221
1688916885848,-148,4221
1688916885853,-148,4221
1688916885858,-148,4221
1688916885862,-148,4221
1688916885867,-148,4221
1688916885872,-148,4221
1688916885876,-148,4221
1688916885881,-148,4221
1688916885886,-148,4221
1688916885891,-148,4221
1688916885895,-148,4221
1688916885900,-148,4221
1688916885905,-148,4221
1688916885909,-148,4221
1688916885914,-148,4221
1688916885918,-148,4221
1688916885923,-148,4221
1688916885927,-148,4221
1688916885932,-148,4221
1688916885937,-148,4221
1688916885942,-148,4221
1688916885946,-148,4221
1688916885951,-148,4221
1688916885956,-148,4221
1688916885960,-148,4221
1688916885969,-148,4221
1688916885974,-148,4221
1688916885978,-148,4221
1688916885983,-148,4221
1688916885987,-148,4221
1688916885992,-148,4221
1688916886001,-148,4221
1688916886005,-148,4221
1688916886010,-148,4221
1688916886017,-148,4221
1688916886024,-148,4221
1688916886031,-148,4221
1688916886037,-148,4221
1688916886044,-148,4221
1688916886050,-148,4221
1688916886056,-148,4221
1688916886062,-148,4221
1688916886067,-148,4221
1688916886072,-148,4221
1688916886076,-148,4221
1688916886081,-148,4221
1688916886085,-148,4221
1688916886090,-148,4221
1688916886095,-148,4221
1688916886103,-148,4221
1688916886109,-148,4221
1688916886114,-148,4221
1688916886120,-148,4221
1688916886126,-148,4221
1688916886132,-148,4221
1688916886139,-148,4221
1688916886145,-148,4221
1688916886151,-148,4221
1688916886156,-148,4221
1688916886160,-148,4221
1688916886165,-148,4221
1688916886170,-148,4221
1688916886174,-148,4221
1688916886179,-148,4221
1688916886183,-148,4221
1688916886189,-148,4221
1688916886193,-148,4221
1688916886202,-148,4221
1688916886207,-148,4221
1688916886211,-148,4221
1688916886216,-148,4221
1688916886221,-148,4221
1688916886226,-148,4221
1688916886234,-148,4221
1688916886239,-148,4221
1688916886244,-148,4221
1688916886248,-148,4221
1688916886253,-148,4221
1688916886257,-148,4221
1688916886262,-148,4221
1688916886267,-148,4221
1688916886272,-148,4221
1688916886276,-148,4221
1688916886281,-148,4221
1688916886285,-148,4221
1688916886290,-148,4221
1688916886294,-148,4221
1688916886301,-148,4221
1688916886306,-148,4221
1688916886310,-148,4221
1688916886315,-148,4221
1688916886319,-148,4221
1688916886324,-148,4221
1688916886328,-148,4221
1688916886333,-148,4221
1688916886338,-148,4221
1688916886342,-148,4221
1688916886347,-148,4221
1688916886351,-148,4221
1688916886356,-148,4221
1688916886360,-148,4221
1688916886366,-148,4221
1688916886370,-148,4221
1688916886374,-148,4221
1688916886379,-148,4221
1688916886383,-148,4221
1688916886388,-148,4221
1688916886392,-148,4221
1688916886397,-148,4221
1688916886402,-148,4221
1688916886406,-148,4221
1688916886410,-148,4221
1688916886415,-148,4221
1688916886419,-148,4221
1688916886424,-148,4221
1688916886428,-148,4221
1688916886433,-148,4221
1688916886437,-148,4221
1688916886442,-148,4221
1688916886446,-148,4221
1688916886450,-148,4221
1688916886455,-148,4221
1688916886459,-148,4221
1688916886464,-148,4221
1688916886470,-148,4221
1688916886475,-148,4221
1688916886480,-148,4221
1688916886486,-148,4221
1688916886491,-148,4221
1688916886497,-148,4221
1688916886503,-148,4221
1688916886508,-148,4221
1688916886514,-148,4221
1688916886520,-148,4221
1688916886525,-148,4221
1688916886531,-148,4221
1688916886536,-148,4221
1688916886541,-148,4221
1688916886547,-148,4221
1688916886553,-148,4221
1688916886558,-148,4221
1688916886564,-148,4221
1688916886569,-148,4221
1688916886574,-148,4221
1688916886579,-148,4221
1688916886584,-148,4221
1688916886590,-148,4221
1688916886596,-148,4221
1688916886601,-148,4221
1688916886606,-148,4221
1688916886611,-148,4221
1688916886617,-148,4221
