Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688983005152,-226,4180
1688983005160,-226,4180
1688983005167,-226,4180
1688983005174,-226,4180
1688983005180,-226,4180
1688983005187,-226,4180
1688983005195,-226,4180
1688983005202,-226,4180
1688983005209,-226,4180
1688983005216,-226,4180
1688983005223,-226,4180
1688983005231,-226,4180
1688983005238,-226,4180
1688983005245,-226,4180
1688983005252,-226,4180
1688983005259,-226,4180
1688983005266,-226,4180
1688983005273,-226,4180
1688983005279,-226,4180
1688983005284,-226,4180
1688983005290,-226,4180
1688983005297,-226,4180
1688983005304,-226,4180
1688983005312,-226,4180
1688983005319,-226,4180
1688983005325,-226,4180
1688983005333,-226,4180
1688983005342,-226,4180
1688983005347,-226,4180
1688983005352,-226,4180
1688983005357,-226,4180
1688983005362,-226,4180
1688983005366,-226,4180
1688983005371,-226,4180
1688983005377,-226,4180
1688983005383,-226,4180
1688983005388,-226,4180
1688983005393,-226,4180
1688983005398,-226,4180
1688983005402,-226,4180
1688983005407,-226,4180
1688983005412,-226,4180
1688983005417,-226,4180
1688983005422,-226,4180
1688983005426,-226,4180
1688983005432,-226,4180
1688983005437,-226,4180
1688983005443,-226,4180
1688983005449,-226,4180
1688983005456,-226,4180
1688983005462,-226,4180
1688983005468,-226,4180
1688983005475,-226,4180
1688983005481,-226,4180
1688983005486,-226,4180
1688983005491,-226,4180
1688983005496,-226,4180
1688983005502,-226,4180
1688983005507,-226,4180
1688983005512,-226,4180
1688983005517,-226,4180
1688983005522,-226,4180
1688983005528,-226,4180
1688983005535,-226,4180
1688983005544,-226,4180
1688983005552,-226,4180
1688983005561,-226,4180
1688983005569,-226,4180
1688983005577,-226,4180
1688983005587,-226,4180
1688983005596,-226,4180
1688983005605,-226,4180
1688983005611,-226,4180
1688983005617,-226,4180
1688983005623,-226,4180
1688983005629,-226,4180
1688983005635,-226,4180
1688983005641,-226,4180
1688983005648,-226,4180
1688983005654,-226,4180
1688983005660,-226,4180
1688983005666,-226,4180
1688983005673,-226,4180
1688983005679,-226,4180
1688983005685,-226,4180
1688983005691,-226,4180
1688983005698,-226,4180
1688983005704,-226,4180
1688983005710,-226,4180
1688983005715,-226,4180
1688983005721,-226,4180
1688983005727,-226,4180
1688983005733,-226,4180
1688983005739,-226,4180
1688983005745,-226,4180
1688983005751,-226,4180
1688983005758,-226,4180
1688983005764,-226,4180
1688983005770,-226,4180
1688983005777,-226,4180
1688983005783,-226,4180
1688983005789,-226,4180
1688983005796,-226,4180
1688983005802,-226,4180
1688983005808,-226,4180
1688983005815,-226,4180
1688983005821,-226,4180
1688983005827,-226,4180
1688983005833,-226,4180
1688983005839,-226,4180
1688983005846,-226,4180
1688983005852,-226,4180
1688983005859,-226,4180
1688983005865,-226,4180
1688983005872,-226,4180
1688983005879,-226,4180
1688983005886,-226,4180
1688983005893,-226,4180
1688983005899,-226,4180
1688983005906,-226,4180
1688983005912,-226,4180
1688983005919,-226,4180
1688983005925,-226,4180
1688983005932,-226,4180
1688983005938,-226,4180
1688983005944,-226,4180
1688983005951,-226,4180
1688983005957,-226,4180
1688983005963,-226,4180
1688983005970,-226,4180
1688983005976,-226,4180
1688983005983,-226,4180
1688983005990,-226,4180
1688983005996,-226,4180
1688983006003,-226,4180
1688983006010,-226,4180
1688983006016,-226,4180
1688983006024,-226,4180
1688983006031,-226,4180
1688983006038,-226,4180
1688983006045,-226,4180
1688983006052,-226,4180
1688983006059,-226,4180
1688983006066,-226,4180
1688983006072,-226,4180
1688983006079,-226,4180
1688983006086,-226,4180
1688983006093,-226,4180
1688983006100,-226,4180
1688983006106,-226,4180
1688983006113,-226,4180
1688983006121,-226,4180
1688983006128,-226,4180
1688983006134,-226,4180
1688983006141,-226,4180
1688983006148,-226,4180
1688983006155,-226,4180
1688983006161,-226,4180
1688983006168,-226,4180
1688983006175,-226,4180
1688983006181,-226,4180
1688983006188,-226,4180
1688983006194,-226,4180
1688983006200,-226,4180
1688983006207,-226,4180
1688983006213,-226,4180
1688983006219,-226,4180
1688983006225,-226,4180
1688983006231,-226,4180
1688983006237,-226,4180
1688983006244,-226,4180
1688983006250,-226,4180
1688983006256,-226,4180
1688983006262,-226,4180
1688983006269,-226,4180
1688983006275,-226,4180
1688983006281,-226,4180
1688983006287,-226,4180
1688983006294,-226,4180
1688983006300,-226,4180
1688983006306,-226,4180
1688983006312,-226,4180
1688983006319,-226,4180
1688983006325,-226,4180
1688983006331,-226,4180
1688983006337,-226,4180
1688983006344,-226,4180
1688983006350,-226,4180
1688983006356,-226,4180
1688983006362,-226,4180
1688983006369,-226,4180
1688983006375,-226,4180
1688983006381,-226,4180
1688983006386,-226,4180
1688983006392,-226,4180
1688983006398,-226,4180
1688983006404,-226,4180
1688983006410,-226,4180
1688983006416,-226,4180
1688983006422,-226,4180
1688983006428,-226,4180
1688983006434,-226,4180
1688983006440,-226,4180
1688983006448,-226,4180
1688983006455,-226,4180
1688983006461,-226,4180
1688983006467,-226,4180
1688983006474,-226,4180
1688983006481,-226,4180
1688983006487,-226,4180
1688983006493,-226,4180
1688983006499,-226,4180
1688983006505,-226,4180
1688983006512,-226,4180
1688983006518,-226,4180
1688983006524,-226,4180
1688983006532,-226,4180
1688983006538,-226,4180
1688983006547,-226,4180
1688983006556,-226,4180
1688983006564,-226,4180
1688983006574,-226,4180
1688983006583,-226,4180
1688983006591,-226,4180
1688983006597,-226,4180
1688983006604,-226,4180
1688983006610,-226,4180
1688983006616,-226,4180
1688983006623,-226,4180
1688983006630,-226,4180
1688983006636,-226,4180
1688983006642,-226,4180
1688983006649,-226,4180
1688983006655,-226,4180
1688983006662,-226,4180
1688983006668,-226,4180
1688983006675,-226,4180
1688983006681,-226,4180
1688983006688,-226,4180
1688983006694,-226,4180
1688983006700,-226,4180
1688983006707,-226,4180
1688983006713,-226,4180
1688983006720,-226,4180
1688983006726,-226,4180
1688983006733,-226,4180
1688983006739,-226,4180
1688983006745,-226,4180
1688983006751,-226,4180
1688983006757,-226,4180
1688983006763,-226,4180
1688983006769,-226,4180
1688983006775,-226,4180
1688983006781,-226,4180
1688983006787,-226,4180
1688983006793,-226,4180
1688983006800,-226,4180
1688983006806,-226,4180
1688983006812,-226,4180
