Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688992000706,-94,4065
1688992000714,-94,4065
1688992000721,-94,4065
1688992000731,-94,4065
1688992000737,-94,4065
1688992000745,-94,4065
1688992000753,-94,4065
1688992000760,-94,4065
1688992000767,-94,4065
1688992000774,-94,4065
1688992000783,-94,4065
1688992000790,-94,4065
1688992000800,-94,4065
1688992000807,-94,4065
1688992000814,-94,4065
1688992000821,-94,4065
1688992000828,-94,4065
1688992000836,-94,4065
1688992000842,-94,4065
1688992000849,-94,4065
1688992000857,-94,4065
1688992000866,-94,4065
1688992000875,-94,4065
1688992000884,-94,4065
1688992000891,-94,4065
1688992000897,-94,4065
1688992000904,-94,4065
1688992000911,-94,4065
1688992000918,-94,4065
1688992000925,-94,4065
1688992000932,-94,4065
1688992000938,-94,4065
1688992000945,-94,4065
1688992000952,-94,4065
1688992000959,-94,4065
1688992000965,-94,4065
1688992000972,-94,4065
1688992000979,-94,4065
1688992000985,-94,4065
1688992000992,-94,4065
1688992000999,-94,4065
1688992001006,-94,4065
1688992001012,-94,4065
1688992001019,-94,4065
1688992001026,-94,4065
1688992001033,-94,4065
1688992001040,-94,4065
1688992001047,-94,4065
1688992001054,-94,4065
1688992001059,-94,4065
1688992001064,-94,4065
1688992001069,-94,4065
1688992001074,-94,4065
1688992001079,-94,4065
1688992001084,-94,4065
1688992001091,-94,4065
1688992001096,-94,4065
1688992001101,-94,4065
1688992001106,-94,4065
1688992001111,-94,4065
1688992001116,-94,4065
1688992001121,-94,4065
1688992001126,-94,4065
1688992001131,-94,4065
1688992001136,-94,4065
1688992001140,-94,4065
1688992001145,-94,4065
1688992001150,-94,4065
1688992001155,-94,4065
1688992001160,-94,4065
1688992001165,-94,4065
1688992001171,-94,4065
1688992001176,-94,4065
1688992001181,-94,4065
1688992001186,-94,4065
1688992001190,-94,4065
1688992001195,-94,4065
1688992001200,-94,4065
1688992001205,-94,4065
1688992001210,-94,4065
1688992001215,-94,4065
1688992001220,-94,4065
1688992001225,-94,4065
1688992001230,-94,4065
1688992001235,-94,4065
1688992001241,-94,4065
1688992001246,-94,4065
1688992001251,-94,4065
1688992001256,-94,4065
1688992001261,-94,4065
1688992001266,-94,4065
1688992001270,-94,4065
1688992001276,-94,4065
1688992001282,-94,4065
1688992001287,-94,4065
1688992001293,-94,4065
1688992001299,-94,4065
1688992001305,-94,4065
1688992001311,-94,4065
1688992001317,-94,4065
1688992001324,-94,4065
1688992001330,-94,4065
1688992001337,-94,4065
1688992001343,-94,4065
1688992001350,-94,4065
1688992001356,-94,4065
1688992001363,-94,4065
1688992001369,-94,4065
1688992001376,-94,4065
