Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688546192871,-97,4172
1688546192889,-97,4172
1688546192906,-97,4172
1688546192922,-97,4172
1688546192938,-97,4172
1688546192954,-97,4172
1688546192970,-97,4172
1688546192985,-97,4172
1688546193001,-97,4172
1688546193016,-97,4172
1688546193039,-97,4172
1688546193062,-97,4172
1688546193086,-97,4172
1688546193109,-97,4172
1688546193133,-97,4172
1688546193156,-97,4172
1688546193179,-97,4172
1688546193205,-97,4172
1688546193228,-97,4172
1688546193252,-97,4172
1688546193274,-97,4172
1688546193298,-97,4172
1688546193321,-97,4172
1688546193345,-97,4172
1688546193368,-97,4172
1688546193391,-97,4172
1688546193414,-97,4172
1688546193437,-97,4172
1688546193460,-97,4172
1688546193482,-97,4172
1688546193505,-97,4172
1688546193523,-97,4172
1688546193540,-97,4172
1688546193556,-97,4172
1688546193572,-97,4172
1688546193588,-97,4172
1688546193603,-97,4172
1688546193618,-97,4172
1688546193632,-97,4172
1688546193647,-97,4172
1688546193662,-97,4172
1688546193677,-97,4172
1688546193695,-97,4172
1688546193713,-97,4172
1688546193734,-97,4172
1688546193757,-97,4172
1688546193779,-97,4172
1688546193801,-97,4172
1688546193824,-97,4172
1688546193846,-97,4172
1688546193869,-97,4172
1688546193891,-97,4172
1688546193914,-97,4172
1688546193936,-97,4172
1688546193958,-97,4172
1688546193981,-97,4172
1688546194004,-97,4172
1688546194026,-97,4172
1688546194049,-97,4172
1688546194071,-97,4172
1688546194094,-97,4172
1688546194117,-97,4172
1688546194139,-97,4172
1688546194161,-97,4172
1688546194184,-97,4172
1688546194206,-97,4172
1688546194228,-97,4172
1688546194250,-97,4172
1688546194272,-97,4172
1688546194294,-97,4172
1688546194310,-97,4172
1688546194326,-97,4172
1688546194342,-97,4172
1688546194364,-97,4172
1688546194386,-97,4172
1688546194407,-97,4172
1688546194428,-97,4172
1688546194450,-97,4172
1688546194473,-97,4172
1688546194495,-97,4172
1688546194516,-97,4172
1688546194537,-97,4172
1688546194558,-97,4172
1688546194580,-97,4172
1688546194602,-97,4172
1688546194625,-97,4172
1688546194647,-97,4172
1688546194669,-97,4172
1688546194691,-97,4172
1688546194713,-97,4172
1688546194735,-97,4172
1688546194757,-97,4172
1688546194781,-97,4172
1688546194802,-97,4172
1688546194825,-97,4172
1688546194846,-97,4172
1688546194869,-97,4172
1688546194891,-97,4172
1688546194910,-97,4172
1688546194926,-97,4172
1688546194942,-97,4172
1688546194958,-97,4172
1688546194980,-97,4172
1688546195002,-97,4172
1688546195023,-97,4172
1688546195046,-97,4172
1688546195068,-97,4172
1688546195090,-97,4172
1688546195111,-97,4172
1688546195133,-97,4172
1688546195155,-97,4172
1688546195178,-97,4172
1688546195200,-97,4172
1688546195222,-97,4172
1688546195245,-97,4172
1688546195266,-97,4172
1688546195288,-97,4172
1688546195310,-97,4172
1688546195333,-97,4172
1688546195355,-97,4172
1688546195375,-97,4172
1688546195391,-97,4172
1688546195408,-97,4172
1688546195423,-97,4172
1688546195442,-97,4172
1688546195460,-97,4172
1688546195476,-97,4172
1688546195493,-97,4172
1688546195507,-97,4172
1688546195522,-97,4172
1688546195540,-97,4172
1688546195558,-97,4172
1688546195578,-97,4172
1688546195599,-97,4172
1688546195621,-97,4172
1688546195641,-97,4172
1688546195661,-97,4172
1688546195680,-97,4172
1688546195699,-97,4172
1688546195719,-97,4172
1688546195734,-97,4172
1688546195749,-97,4172
1688546195764,-97,4172
1688546195779,-97,4172
1688546195793,-97,4172
1688546195808,-97,4172
1688546195823,-97,4172
1688546195837,-97,4172
1688546195852,-97,4172
1688546195867,-97,4172
1688546195882,-97,4172
1688546195897,-97,4172
1688546195916,-97,4172
1688546195935,-97,4172
1688546195954,-97,4172
1688546195973,-97,4172
1688546195994,-97,4172
1688546196016,-97,4172
1688546196037,-97,4172
1688546196058,-97,4172
1688546196080,-97,4172
1688546196101,-97,4172
1688546196122,-97,4172
1688546196144,-97,4172
1688546196165,-97,4172
1688546196186,-97,4172
1688546196208,-97,4172
1688546196229,-97,4172
1688546196250,-97,4172
1688546196271,-97,4172
1688546196292,-97,4172
1688546196314,-97,4172
1688546196335,-97,4172
1688546196357,-97,4172
1688546196378,-97,4172
1688546196400,-97,4172
1688546196421,-97,4172
1688546196442,-97,4172
