Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688572207167,-160,4049
1688572207185,-160,4049
1688572207203,-160,4049
1688572207220,-160,4049
1688572207236,-160,4049
1688572207252,-160,4049
1688572207268,-160,4049
1688572207284,-160,4049
1688572207300,-160,4049
1688572207316,-160,4049
1688572207334,-160,4049
1688572207353,-160,4049
1688572207373,-160,4049
1688572207397,-160,4049
1688572207421,-160,4049
1688572207444,-160,4049
1688572207467,-160,4049
1688572207490,-160,4049
1688572207514,-160,4049
1688572207541,-160,4049
1688572207564,-160,4049
1688572207587,-160,4049
1688572207610,-160,4049
1688572207634,-160,4049
1688572207657,-160,4049
1688572207680,-160,4049
1688572207703,-160,4049
1688572207726,-160,4049
1688572207748,-160,4049
1688572207771,-160,4049
1688572207794,-160,4049
1688572207817,-160,4049
1688572207839,-160,4049
1688572207862,-160,4049
1688572207885,-160,4049
1688572207908,-160,4049
1688572207930,-160,4049
1688572207953,-160,4049
1688572207975,-160,4049
1688572207998,-160,4049
1688572208021,-160,4049
1688572208043,-160,4049
1688572208067,-160,4049
1688572208089,-160,4049
1688572208111,-160,4049
1688572208134,-160,4049
1688572208156,-160,4049
1688572208179,-160,4049
1688572208203,-160,4049
1688572208219,-160,4049
1688572208235,-160,4049
1688572208251,-160,4049
1688572208271,-160,4049
1688572208290,-160,4049
1688572208310,-160,4049
1688572208330,-160,4049
1688572208352,-160,4049
1688572208375,-160,4049
1688572208397,-160,4049
1688572208419,-160,4049
1688572208442,-160,4049
1688572208465,-160,4049
1688572208488,-160,4049
1688572208510,-160,4049
1688572208533,-160,4049
1688572208555,-160,4049
1688572208578,-160,4049
1688572208600,-160,4049
1688572208622,-160,4049
1688572208645,-160,4049
1688572208666,-160,4049
1688572208687,-160,4049
1688572208709,-160,4049
1688572208731,-160,4049
1688572208753,-160,4049
1688572208776,-160,4049
1688572208798,-160,4049
1688572208820,-160,4049
1688572208843,-160,4049
1688572208865,-160,4049
1688572208887,-160,4049
1688572208909,-160,4049
1688572208932,-160,4049
1688572208954,-160,4049
1688572208978,-160,4049
1688572208996,-160,4049
1688572209012,-160,4049
1688572209028,-160,4049
1688572209045,-160,4049
1688572209066,-160,4049
1688572209088,-160,4049
1688572209111,-160,4049
1688572209133,-160,4049
1688572209155,-160,4049
1688572209178,-160,4049
1688572209199,-160,4049
1688572209222,-160,4049
1688572209244,-160,4049
1688572209266,-160,4049
1688572209288,-160,4049
1688572209310,-160,4049
1688572209332,-160,4049
1688572209354,-160,4049
1688572209376,-160,4049
1688572209399,-160,4049
