Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688639352609,-149,4150
1688639352623,-149,4150
1688639352638,-149,4150
1688639352654,-149,4150
1688639352667,-149,4150
1688639352682,-149,4150
1688639352696,-149,4150
1688639352710,-149,4150
1688639352724,-149,4150
1688639352738,-149,4150
1688639352752,-149,4150
1688639352766,-149,4150
1688639352781,-149,4150
1688639352795,-149,4150
1688639352810,-149,4150
1688639352823,-149,4150
1688639352837,-149,4150
1688639352850,-149,4150
1688639352865,-149,4150
1688639352878,-149,4150
1688639352893,-149,4150
1688639352909,-149,4150
1688639352925,-149,4150
1688639352946,-149,4150
1688639352969,-149,4150
1688639352990,-149,4150
1688639353013,-149,4150
1688639353035,-149,4150
1688639353058,-149,4150
1688639353081,-149,4150
1688639353104,-149,4150
1688639353127,-149,4150
1688639353149,-149,4150
1688639353171,-149,4150
1688639353194,-149,4150
1688639353216,-149,4150
1688639353239,-149,4150
1688639353262,-149,4150
1688639353286,-149,4150
1688639353309,-149,4150
1688639353332,-149,4150
1688639353354,-149,4150
1688639353376,-149,4150
1688639353399,-149,4150
1688639353421,-149,4150
1688639353444,-149,4150
1688639353467,-149,4150
1688639353489,-149,4150
1688639353512,-149,4150
1688639353534,-149,4150
1688639353556,-149,4150
1688639353579,-149,4150
1688639353601,-149,4150
1688639353623,-149,4150
1688639353646,-149,4150
1688639353669,-149,4150
1688639353692,-149,4150
1688639353714,-149,4150
1688639353737,-149,4150
1688639353759,-149,4150
1688639353782,-149,4150
1688639353805,-149,4150
1688639353827,-149,4150
1688639353849,-149,4150
1688639353871,-149,4150
1688639353893,-149,4150
1688639353915,-149,4150
1688639353937,-149,4150
1688639353960,-149,4150
1688639353981,-149,4150
1688639353998,-149,4150
1688639354014,-149,4150
1688639354034,-149,4150
1688639354055,-149,4150
1688639354076,-149,4150
1688639354098,-149,4150
1688639354120,-149,4150
1688639354143,-149,4150
1688639354164,-149,4150
1688639354187,-149,4150
1688639354209,-149,4150
1688639354230,-149,4150
1688639354252,-149,4150
1688639354275,-149,4150
1688639354297,-149,4150
1688639354319,-149,4150
1688639354341,-149,4150
1688639354363,-149,4150
1688639354385,-149,4150
1688639354407,-149,4150
1688639354429,-149,4150
1688639354451,-149,4150
1688639354473,-149,4150
1688639354495,-149,4150
1688639354517,-149,4150
1688639354539,-149,4150
1688639354561,-149,4150
1688639354583,-149,4150
1688639354605,-149,4150
1688639354627,-149,4150
1688639354652,-149,4150
1688639354674,-149,4150
1688639354696,-149,4150
1688639354719,-149,4150
1688639354740,-149,4150
1688639354763,-149,4150
1688639354785,-149,4150
1688639354807,-149,4150
1688639354829,-149,4150
1688639354852,-149,4150
1688639354874,-149,4150
1688639354896,-149,4150
1688639354918,-149,4150
1688639354940,-149,4150
1688639354962,-149,4150
1688639354984,-149,4150
1688639355006,-149,4150
1688639355028,-149,4150
1688639355051,-149,4150
1688639355073,-149,4150
1688639355095,-149,4150
1688639355117,-149,4150
1688639355139,-149,4150
1688639355161,-149,4150
1688639355183,-149,4150
1688639355205,-149,4150
1688639355227,-149,4150
1688639355249,-149,4150
1688639355270,-149,4150
1688639355293,-149,4150
1688639355315,-149,4150
1688639355337,-149,4150
1688639355359,-149,4150
1688639355380,-149,4150
1688639355396,-149,4150
1688639355412,-149,4150
1688639355427,-149,4150
1688639355442,-149,4150
1688639355460,-149,4150
1688639355480,-149,4150
1688639355501,-149,4150
1688639355522,-149,4150
1688639355543,-149,4150
1688639355564,-149,4150
1688639355586,-149,4150
1688639355608,-149,4150
1688639355630,-149,4150
1688639355651,-149,4150
1688639355673,-149,4150
1688639355695,-149,4150
1688639355717,-149,4150
1688639355738,-149,4150
1688639355760,-149,4150
1688639355781,-149,4150
1688639355803,-149,4150
1688639355824,-149,4150
1688639355845,-149,4150
1688639355867,-149,4150
1688639355889,-149,4150
1688639355911,-149,4150
