Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688643756958,-97,4077
1688643756972,-97,4077
1688643756986,-97,4077
1688643757000,-97,4077
1688643757015,-97,4077
1688643757029,-97,4077
1688643757043,-97,4077
1688643757057,-97,4077
1688643757071,-97,4077
1688643757085,-97,4077
1688643757100,-97,4077
1688643757113,-97,4077
1688643757126,-97,4077
1688643757140,-97,4077
1688643757154,-97,4077
1688643757167,-97,4077
1688643757181,-97,4077
1688643757195,-97,4077
1688643757210,-97,4077
1688643757223,-97,4077
1688643757237,-97,4077
1688643757250,-97,4077
1688643757263,-97,4077
1688643757278,-97,4077
1688643757291,-97,4077
1688643757305,-97,4077
1688643757319,-97,4077
1688643757333,-97,4077
1688643757346,-97,4077
1688643757361,-97,4077
1688643757376,-97,4077
1688643757392,-97,4077
1688643757410,-97,4077
1688643757428,-97,4077
1688643757451,-97,4077
1688643757474,-97,4077
1688643757498,-97,4077
1688643757521,-97,4077
1688643757543,-97,4077
1688643757567,-97,4077
1688643757590,-97,4077
1688643757613,-97,4077
1688643757637,-97,4077
1688643757659,-97,4077
1688643757680,-97,4077
1688643757702,-97,4077
1688643757723,-97,4077
1688643757746,-97,4077
1688643757764,-97,4077
1688643757781,-97,4077
1688643757797,-97,4077
1688643757814,-97,4077
1688643757832,-97,4077
1688643757850,-97,4077
1688643757867,-97,4077
1688643757889,-97,4077
1688643757910,-97,4077
1688643757929,-97,4077
1688643757946,-97,4077
1688643757960,-97,4077
1688643757975,-97,4077
1688643757991,-97,4077
1688643758007,-97,4077
1688643758024,-97,4077
1688643758041,-97,4077
1688643758058,-97,4077
1688643758077,-97,4077
1688643758098,-97,4077
1688643758119,-97,4077
1688643758138,-97,4077
1688643758161,-97,4077
1688643758181,-97,4077
1688643758201,-97,4077
1688643758221,-97,4077
1688643758240,-97,4077
1688643758261,-97,4077
1688643758281,-97,4077
1688643758301,-97,4077
1688643758322,-97,4077
1688643758342,-214,4077
1688643758362,-214,4077
1688643758381,-214,4077
1688643758401,-214,4077
1688643758418,-214,4077
1688643758435,-214,4077
1688643758451,-214,4077
1688643758466,-214,4077
1688643758483,-214,4077
1688643758504,-214,4077
1688643758525,-214,4077
1688643758545,-214,4077
1688643758567,-214,4077
1688643758587,-214,4077
1688643758609,-214,4077
1688643758631,-214,4077
1688643758653,-214,4077
1688643758675,-214,4077
1688643758703,-214,4077
1688643758725,-214,4077
1688643758745,-214,4077
1688643758767,-214,4077
1688643758790,-214,4077
1688643758811,-214,4077
1688643758833,-214,4077
1688643758855,-214,4077
1688643758877,-214,4077
1688643758901,-214,4077
1688643758924,-214,4077
1688643758947,-214,4077
1688643758973,-214,4077
1688643758995,-214,4077
1688643759018,-214,4077
1688643759039,-214,4077
1688643759061,-214,4077
1688643759082,-214,4077
1688643759102,-214,4077
1688643759122,-214,4077
1688643759142,-214,4077
1688643759164,-214,4077
1688643759185,-214,4077
1688643759204,-214,4077
1688643759229,-214,4077
1688643759248,-214,4077
1688643759267,-214,4077
1688643759291,-214,4077
1688643759312,-214,4077
1688643759333,-214,4077
1688643759355,-214,4077
1688643759377,-214,4077
1688643759400,-214,4077
1688643759422,-214,4077
1688643759442,-214,4077
1688643759463,-214,4077
1688643759485,-214,4077
1688643759506,-214,4077
1688643759526,-214,4077
1688643759545,-214,4077
1688643759562,-214,4077
1688643759578,-214,4077
1688643759594,-214,4077
1688643759611,-214,4077
1688643759628,-214,4077
1688643759644,-214,4077
1688643759664,-214,4077
1688643759680,-214,4077
1688643759695,-214,4077
1688643759710,-214,4077
1688643759725,-214,4077
1688643759745,-214,4077
1688643759767,-214,4077
1688643759787,-214,4077
1688643759806,-214,4077
1688643759827,-214,4077
1688643759848,-214,4077
1688643759869,-214,4077
1688643759889,-214,4077
1688643759910,-214,4077
1688643759934,-214,4077
1688643759956,-214,4077
1688643759977,-214,4077
1688643760000,-214,4077
1688643760023,-214,4077
1688643760044,-214,4077
1688643760064,-214,4077
1688643760083,-214,4077
1688643760103,-214,4077
1688643760124,-214,4077
1688643760143,-214,4077
1688643760164,-214,4077
1688643760186,-214,4077
1688643760207,-214,4077
1688643760227,-214,4077
1688643760247,-214,4077
1688643760268,-214,4077
1688643760293,-214,4077
1688643760313,-214,4077
1688643760332,-214,4077
1688643760352,-214,4077
1688643760372,-214,4077
1688643760393,-214,4077
1688643760413,-214,4077
1688643760433,-214,4077
1688643760457,-214,4077
1688643760473,-214,4077
1688643760489,-214,4077
1688643760505,-214,4077
1688643760522,-214,4077
1688643760540,-214,4077
1688643760562,-214,4077
1688643760579,-214,4077
1688643760598,-214,4077
1688643760613,-214,4077
1688643760629,-214,4077
1688643760644,-214,4077
1688643760660,-214,4077
1688643760675,-214,4077
1688643760695,-214,4077
1688643760716,-214,4077
1688643760737,-214,4077
1688643760760,-214,4077
1688643760781,-214,4077
1688643760803,-214,4077
1688643760824,-214,4077
1688643760845,-214,4077
1688643760866,-214,4077
1688643760887,-214,4077
1688643760909,-214,4077
1688643760929,-214,4077
1688643760945,-214,4077
1688643760960,-214,4077
1688643760979,-214,4077
1688643760994,-214,4077
1688643761013,-214,4077
1688643761031,-214,4077
1688643761050,-214,4077
1688643761070,-214,4077
1688643761090,-214,4077
1688643761111,-214,4077
1688643761131,-214,4077
1688643761152,-214,4077
1688643761173,-214,4077
1688643761194,-214,4077
