Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688427851637,-150,4107
1688427851744,-150,4107
1688427851849,-150,4107
1688427851966,-150,4107
1688427852080,-150,4107
1688427852193,-150,4107
1688427852307,-150,4107
1688427852420,-150,4107
1688427852534,-150,4107
1688427852647,-150,4107
1688427852761,-150,4107
1688427852875,-150,4107
1688427852988,-150,4107
1688427853102,-150,4107
1688427853216,-150,4107
1688427853329,-150,4107
1688427853442,-150,4107
1688427853556,-150,4107
1688427853670,-150,4107
1688427853781,-150,4107
1688427853894,-150,4107
1688427854007,-150,4107
1688427854121,-150,4107
1688427854235,-150,4107
1688427854350,-150,4107
1688427854463,-150,4107
1688427854576,-150,4107
1688427854689,-150,4107
1688427854801,-150,4107
1688427854914,-150,4107
1688427855026,-150,4107
1688427855139,-150,4107
1688427855252,-150,4107
1688427855364,-150,4107
1688427855477,-150,4107
1688427855589,-150,4107
1688427855702,-150,4107
1688427855809,-150,4107
1688427855915,-150,4107
1688427856027,-150,4107
1688427856140,-150,4107
1688427856253,-150,4107
1688427856366,-150,4107
1688427856478,-150,4107
1688427856590,-150,4107
1688427856703,-150,4107
1688427856816,-150,4107
1688427856928,-150,4107
1688427857040,-150,4107
1688427857153,-150,4107
1688427857266,-150,4107
1688427857378,-150,4107
1688427857490,-150,4107
1688427857603,-150,4107
1688427857715,-150,4107
1688427857822,-150,4107
1688427857934,-150,4107
1688427858047,-150,4107
1688427858160,-150,4107
1688427858272,-150,4107
1688427858385,-150,4107
1688427858498,-150,4107
1688427858611,-150,4107
1688427858722,-150,4107
1688427858835,-150,4107
1688427858948,-150,4107
1688427859061,-150,4107
1688427859173,-150,4107
1688427859285,-150,4107
1688427859398,-150,4107
1688427859510,-150,4107
1688427859623,-150,4107
1688427859735,-150,4107
1688427859842,-150,4107
1688427859953,-150,4107
1688427860066,-150,4107
1688427860180,-150,4107
1688427860293,-150,4107
1688427860404,-150,4107
1688427860516,-150,4107
1688427860622,-150,4107
1688427860734,-150,4107
1688427860847,-150,4107
1688427860960,-150,4107
1688427861073,-150,4107
1688427861185,-150,4107
1688427861299,-150,4107
1688427861411,-150,4107
1688427861523,-150,4107
1688427861636,-150,4107
1688427861748,-150,4107
1688427861855,-150,4107
1688427861966,-150,4107
1688427862079,-150,4107
1688427862192,-150,4107
1688427862304,-150,4107
1688427862416,-150,4107
1688427862530,-150,4107
1688427862642,-150,4107
1688427862754,-150,4107
1688427862866,-150,4107
1688427862978,-150,4107
1688427863090,-150,4107
1688427863202,-150,4107
1688427863314,-150,4107
1688427863426,-150,4107
1688427863538,-150,4107
1688427863650,-150,4107
1688427863762,-150,4107
1688427863868,-150,4107
1688427863980,-150,4107
1688427864093,-150,4107
1688427864205,-150,4107
1688427864317,-150,4107
1688427864429,-150,4107
1688427864541,-150,4107
1688427864654,-150,4107
1688427864766,-150,4107
1688427864878,-150,4107
1688427864990,-150,4107
1688427865102,-150,4107
1688427865214,-150,4107
1688427865326,-150,4107
1688427865438,-150,4107
1688427865550,-150,4107
1688427865661,-90,4107
1688427865773,-90,4107
1688427865886,-90,4122
1688427865998,-90,4122
1688427866110,-90,4122
1688427866222,-90,4122
1688427866335,-90,4122
1688427866447,-90,4122
1688427866559,-90,4122
1688427866671,-90,4122
1688427866782,-90,4122
1688427866894,-90,4122
1688427867006,-90,4122
1688427867118,-90,4122
1688427867229,-90,4122
1688427867341,-90,4122
1688427867453,-90,4122
1688427867564,-90,4122
1688427867676,-90,4122
1688427867788,-90,4122
1688427867900,-90,4122
1688427868011,-90,4122
1688427868123,-90,4122
1688427868235,-90,4122
1688427868346,-90,4122
1688427868458,-90,4122
1688427868570,-90,4122
1688427868681,-90,4122
1688427868793,-90,4122
1688427868905,-90,4122
1688427869016,-90,4122
1688427869127,-90,4122
1688427869239,-90,4122
1688427869345,-90,4122
1688427869453,-90,4122
1688427869563,-90,4122
1688427869674,-90,4122
1688427869785,-90,4122
1688427869895,-90,4122
1688427870006,-90,4122
1688427870117,-90,4122
1688427870228,-90,4122
1688427870340,-90,4122
1688427870452,-90,4122
1688427870563,-90,4122
1688427870675,-90,4122
1688427870782,-90,4122
1688427870890,-90,4122
1688427870999,-90,4122
1688427871110,-90,4122
1688427871221,-90,4122
1688427871333,-90,4122
1688427871444,-90,4122
1688427871556,-90,4122
1688427871667,-90,4122
1688427871779,-90,4122
1688427871886,-90,4122
1688427871997,-90,4122
1688427872109,-90,4122
1688427872221,-90,4122
1688427872332,-90,4122
1688427872443,-90,4122
1688427872554,-90,4122
1688427872666,-90,4122
1688427872777,-90,4122
1688427872888,-90,4122
1688427873000,-90,4122
1688427873111,-90,4122
1688427873222,-90,4122
1688427873333,-90,4122
1688427873444,-90,4122
1688427873556,-90,4122
1688427873667,-90,4122
1688427873778,-90,4122
1688427873885,-90,4122
1688427873991,-90,4122
1688427874101,-90,4122
1688427874212,-90,4122
1688427874323,-90,4122
1688427874434,-90,4122
1688427874545,-90,4122
1688427874657,-90,4122
1688427874768,-90,4122
1688427874879,-90,4122
1688427874990,-90,4122
1688427875101,-90,4122
1688427875212,-90,4122
1688427875323,-90,4122
1688427875434,-90,4122
1688427875545,-90,4122
1688427875656,-90,4122
1688427875768,-90,4122
1688427875874,-90,4122
1688427875985,-90,4122
1688427876095,-90,4122
1688427876206,-90,4122
1688427876317,-90,4122
1688427876430,-90,4122
1688427876541,-90,4122
1688427876652,-90,4122
1688427876764,-90,4122
1688427876874,-90,4122
1688427876985,-90,4122
1688427877097,-90,4122
1688427877207,-90,4122
1688427877318,-90,4122
1688427877429,-90,4122
1688427877539,-90,4122
1688427877650,-90,4122
1688427877756,-90,4122
1688427877862,-90,4122
1688427877972,-90,4122
1688427878083,-90,4122
1688427878194,-90,4122
1688427878304,-90,4122
1688427878415,-90,4122
1688427878525,-90,4122
1688427878636,-90,4122
1688427878747,-90,4122
1688427878858,-90,4122
1688427878969,-90,4122
1688427879080,-90,4122
1688427879190,-90,4122
1688427879302,-90,4122
1688427879413,-90,4122
1688427879523,-90,4122
1688427879634,-90,4122
1688427879745,-90,4122
1688427879864,-90,4122
1688427879969,-90,4122
1688427880080,-90,4122
1688427880190,-90,4122
1688427880300,-90,4122
1688427880411,-90,4122
1688427880522,-90,4122
1688427880633,-90,4122
1688427880743,-90,4122
1688427880854,-90,4122
1688427880965,-90,4122
1688427881075,-90,4122
1688427881186,-90,4122
1688427881297,-90,4122
1688427881408,-90,4122
1688427881518,-90,4122
1688427881629,-90,4122
1688427881740,-90,4122
1688427881851,-90,4122
1688427881957,-90,4122
1688427882067,-90,4122
1688427882178,-90,4122
1688427882288,-90,4122
1688427882399,-90,4122
1688427882509,-90,4122
1688427882620,-90,4122
1688427882730,-90,4122
1688427882841,-90,4122
1688427882952,-90,4122
1688427883063,-90,4122
1688427883173,-90,4122
1688427883284,-90,4122
1688427883396,-90,4122
1688427883506,-90,4122
1688427883617,-90,4122
1688427883728,-90,4122
1688427883838,-90,4122
1688427883948,-90,4122
1688427884059,-90,4122
1688427884169,-90,4122
1688427884279,-90,4122
1688427884390,-90,4122
1688427884500,-90,4122
1688427884611,-90,4122
1688427884722,-90,4122
1688427884833,-90,4122
1688427884943,-90,4122
1688427885056,-90,4122
1688427885166,-90,4122
1688427885276,-90,4122
1688427885387,-90,4122
1688427885498,-90,4122
1688427885608,-90,4122
1688427885719,-90,4122
1688427885829,-90,4122
1688427885935,-90,4122
1688427886045,-90,4122
1688427886156,-90,4122
1688427886266,-90,4122
1688427886376,-90,4122
1688427886487,-90,4122
1688427886597,-90,4122
1688427886707,-90,4122
1688427886817,-90,4122
1688427886927,-90,4122
1688427887037,-90,4122
1688427887148,-90,4122
1688427887258,-90,4122
1688427887368,-90,4122
1688427887479,-90,4122
1688427887589,-90,4122
1688427887699,-90,4122
1688427887809,-90,4122
1688427887915,-90,4122
1688427888025,-90,4122
1688427888135,-90,4122
1688427888245,-90,4122
1688427888355,-90,4122
1688427888466,-90,4122
1688427888576,-90,4122
1688427888686,-90,4122
1688427888796,-90,4122
1688427888906,-90,4122
1688427889016,-90,4122
1688427889126,-90,4122
1688427889237,-90,4122
1688427889347,-90,4122
1688427889458,-90,4122
1688427889568,-90,4122
1688427889678,-90,4122
1688427889783,-90,4122
1688427889887,-90,4122
1688427889996,-90,4122
1688427890106,-90,4122
1688427890216,-90,4122
1688427890326,-90,4122
1688427890436,-90,4122
1688427890546,-90,4122
1688427890657,-90,4122
1688427890767,-90,4122
1688427890878,-90,4122
1688427890988,-90,4122
1688427891098,-90,4122
1688427891208,-90,4122
1688427891318,-90,4122
1688427891428,-90,4122
1688427891538,-90,4122
1688427891648,-90,4122
1688427891758,-90,4122
1688427891868,-90,4122
1688427891977,-90,4122
1688427892088,-90,4122
1688427892199,-90,4122
1688427892308,-90,4122
1688427892419,-90,4122
1688427892529,-90,4122
1688427892639,-90,4122
1688427892750,-90,4122
1688427892860,-90,4122
1688427892970,-90,4122
1688427893080,-90,4122
1688427893190,-90,4122
1688427893300,-90,4122
1688427893410,-90,4122
1688427893520,-90,4122
1688427893630,-90,4122
1688427893740,-90,4122
1688427893846,-90,4122
1688427893952,-90,4122
1688427894062,-90,4122
1688427894172,-90,4122
1688427894281,-90,4122
