Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688470320013,-102,4029
1688470320120,-102,4029
1688470320233,-102,4029
1688470320351,-102,4029
1688470320465,-102,4029
1688470320579,-102,4029
1688470320692,-102,4029
1688470320806,-102,4029
1688470320920,-102,4029
1688470321034,-102,4029
1688470321148,-102,4029
1688470321262,-102,4029
1688470321375,-102,4029
1688470321489,-102,4029
1688470321603,-102,4029
1688470321716,-102,4029
1688470321830,-102,4029
1688470321943,-102,4029
1688470322058,-102,4029
1688470322171,-102,4029
1688470322284,-102,4029
1688470322392,-102,4029
1688470322497,-102,4029
1688470322610,-102,4029
1688470322723,-102,4029
1688470322836,-102,4029
1688470322949,-102,4029
1688470323062,-102,4029
1688470323175,-102,4029
1688470323288,-102,4029
1688470323401,-102,4029
1688470323514,-102,4029
1688470323626,-102,4029
1688470323739,-102,4029
1688470323852,-102,4029
1688470323964,-102,4029
1688470324077,-102,4029
1688470324190,-102,4029
1688470324303,-102,4029
1688470324415,-102,4029
1688470324528,-102,4029
1688470324641,-102,4029
1688470324753,-102,4029
1688470324866,-102,4029
1688470324979,-102,4029
1688470325092,-102,4029
1688470325204,-102,4029
1688470325317,-102,4029
1688470325430,-102,4029
1688470325543,-102,4029
1688470325655,-102,4029
1688470325768,-102,4029
1688470325881,-102,4029
1688470325993,-102,4029
1688470326106,-102,4029
1688470326219,-102,4029
1688470326331,-102,4029
1688470326444,-102,4029
1688470326556,-102,4029
1688470326669,-102,4029
1688470326782,-102,4029
1688470326895,-102,4029
1688470327007,-102,4029
1688470327120,-102,4029
1688470327232,-102,4029
1688470327344,-102,4029
1688470327457,-102,4029
1688470327570,-102,4029
1688470327682,-102,4029
1688470327795,-102,4029
1688470327908,-102,4029
1688470328020,-102,4029
1688470328133,-102,4029
1688470328245,-102,4029
1688470328358,-102,4029
1688470328470,-102,4029
1688470328582,-102,4029
1688470328695,-102,4029
1688470328807,-102,4029
1688470328920,-102,4029
1688470329032,-102,4029
1688470329144,-102,4029
1688470329257,-102,4029
1688470329370,-102,4029
1688470329483,-102,4029
1688470329595,-102,4029
1688470329708,-157,4029
1688470329820,-157,4029
1688470329933,-157,4029
1688470330046,-157,4029
1688470330158,-157,4029
1688470330270,-157,4029
1688470330383,-157,4029
1688470330495,-157,4029
1688470330607,-157,4029
1688470330719,-157,4029
1688470330833,-157,4029
1688470330946,-157,4029
1688470331058,-157,4029
1688470331171,-157,4029
1688470331284,-157,4029
1688470331396,-157,4029
1688470331508,-157,4029
1688470331621,-157,4029
1688470331734,-157,4029
1688470331846,-157,4029
1688470331958,-157,4029
1688470332070,-157,4029
1688470332182,-157,4029
1688470332295,-157,4029
1688470332407,-157,4029
1688470332519,-157,4029
1688470332631,-157,4029
1688470332743,-157,4029
1688470332856,-157,4029
1688470332968,-157,4029
1688470333080,-157,4029
1688470333192,-157,4029
1688470333304,-157,4029
1688470333417,-157,4029
1688470333529,-157,4029
1688470333642,-157,4029
1688470333754,-157,4029
1688470333866,-157,4029
1688470333979,-157,4029
1688470334091,-157,4029
1688470334203,-157,4029
1688470334315,-157,4029
1688470334427,-157,4029
1688470334539,-157,4029
1688470334651,-157,4029
1688470334763,-157,4029
1688470334875,-157,4029
1688470334987,-157,4029
1688470335099,-157,4029
1688470335211,-157,4029
1688470335323,-157,4029
1688470335434,-157,4029
1688470335546,-157,4029
1688470335658,-157,4029
1688470335770,-157,4029
1688470335882,-157,4029
1688470335994,-157,4029
1688470336106,-157,4029
1688470336218,-157,4029
1688470336330,-157,4029
1688470336442,-157,4029
1688470336555,-157,4029
1688470336666,-157,4029
1688470336778,-157,4029
1688470336890,-157,4029
1688470337002,-157,4029
1688470337114,-157,4029
1688470337225,-157,4029
1688470337337,-157,4029
1688470337448,-157,4029
1688470337560,-157,4029
1688470337671,-157,4029
1688470337783,-157,4029
1688470337895,-157,4029
1688470338007,-157,4029
1688470338118,-157,4029
1688470338230,-157,4029
1688470338341,-157,4029
1688470338452,-157,4029
1688470338563,-157,4029
1688470338674,-157,4029
1688470338786,-157,4029
1688470338897,-157,4029
1688470339008,-157,4029
1688470339120,-157,4029
1688470339231,-157,4029
1688470339343,-157,4029
1688470339454,-157,4029
1688470339566,-157,4029
1688470339677,-157,4029
1688470339789,-157,4029
1688470339900,-157,4029
1688470340012,-157,4029
1688470340123,-157,4029
1688470340234,-157,4029
1688470340346,-157,4029
1688470340458,-157,4029
1688470340570,-157,4029
1688470340681,-157,4029
1688470340793,-157,4029
1688470340905,-157,4029
1688470341016,-157,4029
1688470341127,-157,4029
1688470341238,-157,4029
1688470341350,-157,4029
1688470341461,-157,4029
1688470341572,-157,4029
1688470341684,-157,4029
1688470341795,-157,4029
1688470341906,-157,4029
1688470342018,-157,4029
1688470342129,-157,4029
1688470342240,-157,4029
1688470342352,-157,4029
1688470342463,-157,4029
1688470342574,-157,4029
1688470342685,-157,4029
1688470342796,-157,4029
1688470342908,-157,4029
1688470343022,-157,4029
1688470343133,-157,4029
1688470343244,-157,4029
1688470343355,-157,4029
1688470343466,-157,4029
1688470343577,-157,4029
1688470343688,-157,4029
1688470343799,-157,4029
1688470343910,-157,4029
1688470344021,-157,4029
1688470344132,-157,4029
1688470344244,-157,4029
1688470344355,-157,4029
