Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688489460018,-92,4176
1688489460123,-92,4176
1688489460233,-92,4176
1688489460351,-92,4176
1688489460467,-92,4176
1688489460587,-92,4176
1688489460704,-92,4176
1688489460820,-92,4176
1688489460936,-92,4176
1688489461052,-92,4176
1688489461172,-92,4176
1688489461287,-92,4176
1688489461405,-92,4176
1688489461521,-92,4176
1688489461638,-92,4176
1688489461753,-92,4176
1688489461873,-92,4176
1688489461988,-92,4176
1688489462109,-92,4176
1688489462230,-92,4176
1688489462347,-92,4176
1688489462461,-92,4176
1688489462580,-92,4176
1688489462694,-92,4176
1688489462805,-92,4176
1688489462916,-92,4176
1688489463029,-92,4176
1688489463142,-92,4176
1688489463257,-92,4176
1688489463370,-92,4176
1688489463483,-92,4176
1688489463596,-92,4176
1688489463709,-92,4176
1688489463822,-92,4176
1688489463936,-92,4176
1688489464049,-92,4176
1688489464162,-92,4176
1688489464275,-92,4176
1688489464389,-92,4176
1688489464502,-92,4176
1688489464609,-92,4176
1688489464721,-92,4176
1688489464835,-92,4176
1688489464948,-92,4176
1688489465069,-92,4176
1688489465183,-92,4176
1688489465302,-92,4176
1688489465415,-92,4176
1688489465528,-92,4176
1688489465641,-92,4176
1688489465753,-92,4176
1688489465866,-92,4176
1688489465978,-92,4176
1688489466090,-92,4176
1688489466203,-92,4176
1688489466316,-92,4176
1688489466425,-92,4176
1688489466538,-92,4176
1688489466650,-92,4176
1688489466762,-92,4176
1688489466874,-92,4176
1688489466987,-92,4176
1688489467100,-92,4176
1688489467212,-92,4176
1688489467325,-92,4176
1688489467437,-92,4176
1688489467549,-92,4176
1688489467656,-92,4176
1688489467768,-92,4176
1688489467880,-92,4176
1688489467993,-92,4176
1688489468105,-92,4176
1688489468218,-92,4176
1688489468330,-92,4176
1688489468442,-92,4176
1688489468555,-92,4176
1688489468667,-92,4176
1688489468780,-92,4176
1688489468893,-92,4176
1688489469005,-92,4176
1688489469117,-92,4176
1688489469230,-92,4176
1688489469342,-92,4176
1688489469454,-92,4176
1688489469568,-92,4176
1688489469680,-92,4176
1688489469792,-92,4176
1688489469904,-92,4176
1688489470016,-92,4176
1688489470128,-92,4176
1688489470241,-92,4176
1688489470353,-92,4176
1688489470465,-92,4176
1688489470577,-92,4176
1688489470690,-92,4176
1688489470802,-92,4176
1688489470914,-92,4176
1688489471026,-92,4176
1688489471138,-92,4176
1688489471250,-92,4176
1688489471362,-92,4176
1688489471474,-92,4176
1688489471586,-92,4176
1688489471698,-92,4176
1688489471810,-92,4176
1688489471923,-92,4176
1688489472035,-92,4176
1688489472147,-92,4176
1688489472260,-92,4176
1688489472372,-92,4176
1688489472484,-92,4176
1688489472596,-92,4176
1688489472709,-92,4176
1688489472822,-92,4176
1688489472934,-92,4176
1688489473046,-92,4176
1688489473158,-92,4176
1688489473270,-92,4176
1688489473381,-92,4176
1688489473494,-92,4176
1688489473606,-92,4176
1688489473719,-92,4176
1688489473828,-92,4176
1688489473940,-145,4176
1688489474049,-145,4176
1688489474163,-145,4176
1688489474275,-145,4176
1688489474387,-145,4176
1688489474500,-145,4176
1688489474612,-145,4176
1688489474724,-145,4176
1688489474836,-145,4176
1688489474948,-145,4176
1688489475060,-145,4176
1688489475172,-145,4176
1688489475284,-145,4176
1688489475396,-145,4176
1688489475507,-145,4176
1688489475619,-145,4176
1688489475732,-145,4176
1688489475844,-145,4176
1688489475956,-145,4176
1688489476067,-145,4176
1688489476179,-145,4176
1688489476291,-145,4176
1688489476403,-145,4176
1688489476515,-145,4176
1688489476627,-145,4176
1688489476739,-145,4176
1688489476852,-145,4176
1688489476964,-145,4176
1688489477076,-145,4176
1688489477189,-145,4176
1688489477300,-145,4176
1688489477412,-145,4176
1688489477523,-145,4176
1688489477635,-145,4176
1688489477747,-145,4176
1688489477859,-145,4176
1688489477970,-145,4176
1688489478082,-145,4176
1688489478193,-145,4176
1688489478305,-145,4176
1688489478416,-145,4176
1688489478528,-145,4176
1688489478639,-145,4176
1688489478751,-145,4176
1688489478862,-145,4176
1688489478973,-145,4176
1688489479084,-145,4176
1688489479196,-145,4176
1688489479307,-145,4176
1688489479419,-145,4176
1688489479530,-145,4176
1688489479642,-145,4176
1688489479753,-145,4176
1688489479864,-145,4176
1688489479976,-145,4176
1688489480087,-145,4176
1688489480199,-145,4176
1688489480310,-145,4176
1688489480421,-145,4176
1688489480533,-145,4176
1688489480645,-145,4176
1688489480756,-145,4176
1688489480868,-145,4176
1688489480979,-145,4176
1688489481091,-145,4176
1688489481202,-145,4176
1688489481314,-145,4176
1688489481425,-145,4176
1688489481537,-145,4176
1688489481648,-145,4176
1688489481759,-145,4176
1688489481871,-145,4176
1688489481982,-145,4176
1688489482094,-145,4176
1688489482205,-145,4176
1688489482317,-145,4176
1688489482428,-145,4176
1688489482540,-145,4176
1688489482651,-145,4176
1688489482762,-145,4176
1688489482873,-145,4176
1688489482985,-145,4176
1688489483096,-145,4176
1688489483207,-145,4176
1688489483318,-145,4176
1688489483429,-145,4176
1688489483540,-145,4176
1688489483651,-145,4176
1688489483762,-145,4176
1688489483873,-145,4176
1688489483985,-145,4176
1688489484096,-145,4176
1688489484207,-145,4176
1688489484318,-145,4176
1688489484429,-145,4176
1688489484540,-145,4176
1688489484651,-145,4176
1688489484762,-145,4176
1688489484873,-145,4176
1688489484985,-145,4176
1688489485096,-145,4176
1688489485206,-145,4176
1688489485317,-145,4176
1688489485428,-145,4176
1688489485539,-145,4176
1688489485650,-145,4176
1688489485761,-145,4176
1688489485872,-145,4176
1688489485983,-145,4176
1688489486094,-145,4176
1688489486205,-145,4176
1688489486316,-145,4176
1688489486426,-145,4176
1688489486537,-145,4176
