Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688492280753,-109,4140
1688492280864,-109,4140
1688492280972,-109,4140
1688492281085,-109,4140
1688492281199,-109,4140
1688492281307,-109,4140
1688492281412,-109,4140
1688492281519,-109,4140
1688492281634,-109,4140
1688492281747,-109,4140
1688492281861,-109,4140
1688492281975,-109,4140
1688492282089,-109,4140
1688492282202,-109,4140
1688492282316,-109,4140
1688492282430,-109,4140
1688492282545,-109,4140
1688492282660,-109,4140
1688492282773,-109,4140
1688492282887,-109,4140
1688492283000,-109,4140
1688492283114,-109,4140
1688492283228,-109,4140
1688492283340,-109,4140
1688492283454,-109,4140
1688492283567,-109,4140
1688492283680,-109,4140
1688492283794,-109,4140
1688492283907,-109,4140
1688492284020,-109,4140
1688492284134,-109,4140
1688492284247,-109,4140
1688492284360,-109,4140
1688492284474,-109,4140
1688492284587,-109,4140
1688492284699,-109,4140
1688492284813,-109,4140
1688492284926,-109,4140
1688492285039,-109,4140
1688492285153,-109,4140
1688492285267,-109,4140
1688492285379,-109,4140
1688492285492,-109,4140
1688492285605,-109,4140
1688492285717,-109,4140
1688492285830,-109,4140
1688492285942,-109,4140
1688492286056,-109,4140
1688492286169,-109,4140
1688492286281,-109,4140
1688492286396,-109,4140
1688492286508,-109,4140
1688492286621,-109,4140
1688492286734,-109,4140
1688492286847,-109,4140
1688492286959,-109,4140
1688492287073,-109,4140
1688492287185,-109,4140
1688492287298,-109,4140
1688492287410,-109,4140
1688492287522,-109,4140
1688492287636,-109,4140
1688492287749,-109,4140
1688492287862,-109,4140
1688492287974,-109,4140
1688492288087,-109,4140
1688492288199,-109,4140
1688492288307,-148,4140
1688492288418,-148,4140
1688492288534,-148,4140
1688492288646,-148,4140
1688492288759,-148,4140
1688492288872,-148,4140
1688492288984,-148,4140
1688492289096,-148,4140
1688492289209,-148,4140
1688492289321,-148,4140
1688492289435,-148,4140
1688492289548,-148,4140
1688492289660,-148,4140
1688492289773,-148,4140
1688492289885,-148,4140
1688492289998,-148,4140
1688492290110,-148,4140
1688492290222,-148,4140
1688492290335,-148,4140
1688492290448,-148,4140
1688492290560,-148,4140
1688492290674,-148,4140
1688492290780,-148,4140
1688492290888,-148,4140
1688492290993,-148,4140
1688492291104,-148,4140
1688492291217,-148,4140
1688492291329,-148,4140
1688492291441,-148,4140
1688492291554,-148,4140
1688492291667,-148,4140
1688492291779,-148,4140
1688492291892,-148,4140
1688492292004,-148,4140
1688492292116,-148,4140
1688492292228,-148,4140
1688492292340,-148,4140
1688492292453,-148,4140
1688492292565,-148,4140
1688492292677,-148,4140
1688492292790,-148,4140
1688492292903,-148,4140
1688492293016,-148,4140
1688492293128,-148,4140
1688492293240,-148,4140
1688492293353,-148,4140
1688492293465,-148,4140
1688492293577,-148,4140
1688492293690,-148,4140
1688492293802,-148,4140
1688492293914,-148,4140
1688492294026,-148,4140
1688492294138,-148,4140
1688492294249,-148,4140
1688492294359,-148,4140
1688492294471,-148,4140
1688492294583,-148,4140
1688492294695,-148,4140
1688492294808,-148,4140
1688492294920,-148,4140
1688492295032,-148,4140
1688492295144,-148,4140
1688492295257,-148,4140
1688492295369,-148,4140
1688492295482,-148,4140
1688492295595,-148,4140
1688492295707,-148,4140
1688492295819,-148,4140
1688492295931,-148,4140
1688492296042,-148,4140
1688492296154,-148,4140
1688492296265,-148,4140
1688492296378,-148,4140
1688492296490,-148,4140
1688492296602,-148,4140
1688492296714,-148,4140
1688492296826,-148,4140
1688492296937,-148,4140
1688492297049,-148,4140
1688492297161,-148,4140
1688492297273,-148,4140
1688492297386,-148,4140
1688492297497,-148,4140
1688492297609,-148,4140
1688492297721,-148,4140
1688492297833,-148,4140
1688492297945,-148,4140
1688492298057,-148,4140
1688492298169,-148,4140
1688492298280,-148,4140
1688492298392,-148,4140
1688492298503,-148,4140
1688492298615,-148,4140
1688492298727,-148,4140
1688492298837,-148,4140
1688492298950,-148,4140
1688492299061,-148,4140
1688492299173,-148,4140
1688492299284,-148,4140
1688492299398,-148,4140
1688492299510,-148,4140
1688492299621,-148,4140
1688492299732,-148,4140
1688492299844,-148,4140
1688492299955,-148,4140
1688492300067,-148,4140
1688492300178,-148,4140
1688492300293,-148,4140
1688492300402,-148,4140
1688492300514,-148,4140
1688492300625,-148,4140
1688492300737,-148,4140
1688492300849,-148,4140
1688492300960,-148,4140
1688492301076,-148,4140
1688492301191,-148,4140
1688492301302,-148,4140
1688492301414,-148,4140
1688492301527,-148,4140
1688492301640,-148,4140
1688492301751,-148,4140
1688492301862,-148,4140
1688492301973,-148,4140
1688492302085,-148,4140
1688492302195,-148,4140
1688492302307,-148,4140
1688492302418,-148,4140
1688492302530,-148,4140
1688492302641,-148,4140
1688492302755,-148,4140
1688492302866,-148,4140
1688492302977,-148,4140
1688492303088,-148,4140
1688492303199,-148,4140
1688492303311,-148,4140
1688492303422,-148,4140
1688492303533,-148,4140
1688492303644,-148,4140
1688492303756,-148,4140
1688492303869,-148,4140
1688492303980,-148,4140
1688492304091,-148,4140
1688492304202,-148,4140
1688492304317,-148,4140
1688492304430,-148,4140
1688492304542,-148,4140
1688492304653,-148,4140
1688492304764,-148,4140
1688492304876,-148,4140
1688492304989,-148,4140
1688492305100,-148,4140
1688492305212,-148,4140
1688492305323,-148,4140
1688492305434,-148,4140
1688492305545,-148,4140
1688492305657,-148,4140
1688492305763,-148,4140
1688492305867,-148,4140
1688492305977,-148,4140
1688492306088,-148,4140
1688492306199,-148,4140
1688492306310,-148,4140
1688492306421,-148,4140
1688492306531,-148,4140
1688492306642,-148,4140
1688492306754,-148,4140
1688492306864,-148,4140
1688492306975,-148,4140
1688492307081,-148,4140
1688492307192,-148,4140
1688492307302,-148,4140
1688492307413,-148,4140
1688492307524,-148,4140
1688492307634,-148,4140
1688492307746,-148,4140
1688492307857,-148,4140
1688492307970,-148,4140
1688492308081,-148,4140
1688492308188,-148,4140
1688492308295,-148,4140
1688492308406,-148,4140
1688492308516,-148,4140
1688492308628,-148,4140
1688492308738,-148,4140
1688492308849,-148,4140
1688492308958,-148,4140
1688492309069,-148,4140
1688492309179,-148,4140
