Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688981819895,-98266,4283
1688981819898,-98266,4283
1688981819902,-98266,4283
1688981819905,-98266,4283
1688981819908,-98266,4283
1688981819911,-98266,4283
1688981819914,-98266,4283
1688981819917,-98266,4283
1688981819920,-98266,4283
1688981819923,-98266,4283
1688981819926,-98266,4283
1688981819929,-98266,4283
1688981819933,-98266,4283
1688981819936,-98266,4283
1688981819939,-98266,4283
1688981819942,-98266,4283
1688981819945,-98266,4283
1688981819948,-98266,4283
1688981819952,-98266,4283
1688981819955,-98266,4283
1688981819959,-98266,4283
1688981819962,-98266,4283
1688981819965,-98266,4283
1688981819968,-98266,4283
1688981819970,-98266,4283
1688981819974,-98266,4283
1688981819976,-98266,4283
1688981819979,-98266,4283
1688981819982,-98266,4283
1688981819985,-98266,4283
1688981819990,-98266,4283
1688981819993,-98266,4283
1688981819997,-98266,4283
1688981820000,-98266,4283
1688981820005,-98266,4283
1688981820008,-98266,4283
1688981820012,-98266,4283
1688981820018,-98266,4283
1688981820022,-98266,4283
1688981820026,-98266,4283
1688981820030,-98266,4283
1688981820034,-98266,4283
1688981820038,-98266,4283
1688981820042,-98266,4283
1688981820046,-98266,4283
1688981820051,-98266,4283
1688981820054,-98266,4283
1688981820058,-98266,4283
1688981820062,-98266,4283
1688981820065,-98266,4283
1688981820068,-98266,4283
1688981820072,-98266,4283
1688981820075,-98266,4283
1688981820079,-98266,4283
1688981820082,-98266,4283
1688981820086,-98266,4283
1688981820089,-98266,4283
1688981820093,-98266,4283
1688981820096,-98266,4283
1688981820099,-98266,4283
1688981820103,-98266,4283
1688981820106,-98266,4283
1688981820110,-98266,4283
1688981820113,-98266,4283
1688981820117,-98266,4283
1688981820120,-98266,4283
1688981820123,-98266,4283
1688981820127,-98266,4283
1688981820131,-98266,4283
1688981820134,-98266,4283
1688981820138,-98266,4283
1688981820142,-98266,4283
1688981820145,-98266,4283
1688981820148,-98266,4283
1688981820152,-98266,4283
1688981820155,-98266,4283
1688981820159,-98266,4283
1688981820163,-98266,4283
1688981820166,-98266,4283
1688981820169,-98266,4283
1688981820173,-98266,4283
1688981820176,-98266,4283
1688981820179,-98266,4283
1688981820183,-98266,4283
1688981820187,-98266,4283
1688981820191,-98266,4283
1688981820194,-98266,4283
1688981820198,-98266,4283
1688981820201,-98266,4283
1688981820204,-98266,4283
1688981820207,-98266,4283
1688981820211,-98266,4283
1688981820214,-98266,4283
1688981820218,-98266,4283
1688981820221,-98266,4283
1688981820224,-98266,4283
1688981820227,-98266,4283
1688981820231,-98266,4283
1688981820235,-98266,4283
1688981820238,-98266,4283
1688981820242,-98266,4283
1688981820246,-98266,4283
1688981820249,-98266,4283
1688981820253,-98266,4283
1688981820256,-98266,4283
1688981820260,-98266,4283
1688981820263,-98266,4283
1688981820267,-98266,4283
1688981820270,-98266,4283
1688981820274,-98266,4283
1688981820277,-98266,4283
1688981820282,-98266,4283
1688981820285,-98266,4283
1688981820290,-98266,4283
1688981820294,-98266,4283
1688981820298,-98266,4283
1688981820303,-98266,4283
1688981820307,-98266,4283
1688981820312,-98266,4283
1688981820316,-98266,4283
1688981820321,-98266,4283
1688981820325,-98266,4283
1688981820330,-98266,4283
1688981820335,-98266,4283
1688981820339,-98266,4283
1688981820344,-98266,4283
1688981820348,-98266,4283
1688981820353,-98266,4283
1688981820358,-98266,4283
1688981820363,-98266,4283
1688981820368,-98266,4283
1688981820373,-98266,4283
1688981820378,-98266,4283
1688981820383,-98266,4283
1688981820388,-98266,4283
1688981820394,-98266,4283
1688981820399,-98266,4283
1688981820404,-98266,4283
1688981820409,-98266,4283
1688981820414,-98266,4283
1688981820419,-98266,4283
1688981820424,-98266,4283
1688981820430,-98266,4283
1688981820435,-98266,4283
1688981820441,-98266,4283
1688981820446,-98266,4283
1688981820451,-98266,4283
1688981820456,-98266,4283
1688981820462,-98266,4283
1688981820467,-98266,4283
1688981820472,-98266,4283
1688981820477,-98266,4283
1688981820484,-98266,4283
1688981820490,-98266,4283
1688981820496,-98266,4283
1688981820503,-98266,4283
1688981820509,-98266,4283
1688981820515,-98266,4283
1688981820522,-98266,4283
1688981820528,-98266,4283
1688981820534,-98266,4283
1688981820540,-98266,4283
1688981820549,-98266,4283
1688981820557,-98266,4283
1688981820563,-98266,4283
1688981820569,-98266,4283
1688981820575,-98266,4283
1688981820580,-98266,4283
1688981820587,-98266,4283
1688981820592,-98266,4283
1688981820598,-98266,4283
1688981820608,-98266,4283
1688981820615,-98266,4283
1688981820621,-98266,4283
1688981820626,-98266,4283
1688981820632,-98266,4283
1688981820637,-98266,4283
1688981820641,-98266,4283
1688981820645,-98266,4283
1688981820650,-98266,4283
1688981820655,-98266,4283
1688981820659,-98266,4283
1688981820665,-98266,4283
1688981820669,-98266,4283
1688981820674,-98266,4283
1688981820679,-98266,4283
1688981820683,-98266,4283
1688981820688,-98266,4283
1688981820694,-98266,4283
1688981820699,-98266,4283
1688981820705,-98266,4283
1688981820709,-98266,4283
1688981820714,-98266,4283
1688981820719,-98266,4283
1688981820724,-98266,4283
1688981820729,-98266,4283
1688981820734,-98266,4283
1688981820740,-98266,4283
1688981820745,-98266,4283
1688981820752,-98266,4283
1688981820757,-98266,4283
1688981820762,-98266,4283
1688981820767,-98266,4283
1688981820773,-98266,4283
1688981820778,-98266,4283
1688981820784,-98266,4283
1688981820788,-98266,4283
1688981820792,-98266,4283
1688981820796,-98266,4283
1688981820801,-98266,4283
1688981820805,-98266,4283
1688981820811,-98266,4283
1688981820816,-98266,4283
1688981820820,-98266,4283
1688981820825,-98266,4283
1688981820829,-98266,4283
1688981820834,-98266,4283
1688981820839,-98266,4283
1688981820845,-98266,4283
1688981820850,-98266,4283
1688981820855,-98266,4283
1688981820860,-98266,4283
1688981820865,-98266,4283
1688981820871,-98266,4283
1688981820875,-98266,4283
1688981820881,-98266,4283
1688981820887,-98266,4283
1688981820892,-98266,4283
1688981820897,-98266,4283
1688981820902,-98266,4283
1688981820906,-98266,4283
1688981820911,-98266,4283
1688981820915,-98266,4283
1688981820922,-98266,4283
1688981820927,-98266,4283
1688981820931,-98266,4283
1688981820936,-98266,4283
1688981820941,-98266,4283
1688981820947,-98266,4283
1688981820952,-98266,4283
1688981820957,-98266,4283
1688981820962,-98266,4283
1688981820967,-98266,4283
1688981820971,-98266,4283
1688981820976,-98266,4283
1688981820981,-98266,4283
1688981820986,-98266,4283
1688981820993,-98266,4283
1688981820998,-98266,4283
1688981821003,-98266,4283
1688981821008,-98266,4283
1688981821013,-98266,4283
1688981821018,-98266,4283
1688981821025,-98266,4283
1688981821031,-98266,4283
1688981821034,-98266,4283
1688981821038,-98266,4283
1688981821042,-98266,4283
1688981821045,-98266,4283
1688981821049,-98266,4283
1688981821053,-98266,4283
1688981821056,-98266,4283
1688981821060,-98266,4283
1688981821063,-98266,4283
1688981821067,-98266,4283
1688981821071,-98266,4283
1688981821075,-98266,4283
1688981821078,-98266,4283
1688981821082,-98266,4283
1688981821087,-98266,4283
1688981821092,-98266,4283
1688981821096,-98266,4283
1688981821100,-98266,4283
1688981821104,-98266,4283
1688981821108,-98266,4283
1688981821112,-98266,4283
1688981821116,-98266,4283
1688981821120,-98266,4283
1688981821123,-98266,4283
1688981821131,-98266,4283
1688981821137,-98266,4283
1688981821141,-98266,4283
1688981821150,-98266,4283
1688981821155,-98266,4283
1688981821160,-98266,4283
1688981821168,-98266,4283
1688981821175,-98266,4283
1688981821179,-98266,4283
1688981821184,-98266,4283
1688981821188,-98266,4283
1688981821193,-98266,4283
1688981821197,-98266,4283
1688981821201,-98266,4283
1688981821206,-98266,4283
1688981821211,-98266,4283
1688981821216,-98266,4283
1688981821222,-98266,4283
1688981821227,-98266,4283
1688981821232,-98266,4283
1688981821237,-98266,4283
1688981821243,-98266,4283
1688981821248,-98266,4283
1688981821253,-98266,4283
1688981821258,-98266,4283
1688981821263,-98266,4283
1688981821269,-98266,4283
1688981821274,-98266,4283
1688981821279,-98266,4283
1688981821285,-98266,4283
1688981821290,-98266,4283
1688981821295,-98266,4283
1688981821301,-98266,4283
1688981821306,-98266,4283
1688981821311,-98266,4283
1688981821316,-98266,4283
1688981821321,-98266,4283
1688981821326,-98266,4283
1688981821331,-98266,4283
1688981821337,-98266,4283
1688981821342,-98266,4283
1688981821347,-98266,4283
1688981821352,-98266,4283
1688981821357,-98266,4283
1688981821362,-98266,4283
1688981821367,-98266,4283
1688981821372,-98266,4283
1688981821378,-98266,4283
1688981821385,-98266,4283
1688981821392,-98266,4283
1688981821397,-98266,4283
1688981821403,-98266,4283
1688981821408,-98266,4283
1688981821413,-98266,4283
1688981821418,-98266,4283
1688981821422,-98266,4283
1688981821428,-98266,4283
1688981821432,-98266,4283
1688981821438,-98266,4283
1688981821445,-98266,4283
1688981821450,-98266,4283
1688981821455,-98266,4283
1688981821460,-98266,4283
1688981821464,-98266,4283
1688981821469,-98266,4283
1688981821474,-98266,4283
1688981821479,-98266,4283
1688981821484,-98266,4283
1688981821489,-98266,4283
1688981821493,-98266,4283
1688981821498,-98266,4283
1688981821503,-98266,4283
1688981821508,-98266,4283
1688981821513,-98266,4283
1688981821518,-98266,4283
1688981821523,-98266,4283
1688981821528,-98266,4283
1688981821533,-98266,4283
1688981821538,-98266,4283
1688981821542,-98266,4283
1688981821548,-98266,4283
1688981821554,-98266,4283
1688981821559,-98266,4283
1688981821564,-98266,4283
1688981821570,-98266,4283
1688981821578,-98266,4283
1688981821583,-98266,4283
1688981821589,-98266,4283
1688981821594,-98266,4283
1688981821600,-98266,4283
1688981821605,-98266,4283
1688981821609,-98266,4283
1688981821615,-98266,4283
1688981821620,-98266,4283
1688981821625,-98266,4283
1688981821630,-98266,4283
1688981821635,-98266,4283
1688981821640,-98266,4283
1688981821645,-98266,4283
1688981821650,-98266,4283
1688981821655,-98266,4283
