Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689014848027,-104369,4107
1689014848030,-104369,4107
1689014848033,-104369,4107
1689014848037,-104369,4107
1689014848042,-104369,4107
1689014848047,-104369,4107
1689014848050,-104369,4107
1689014848054,-104369,4107
1689014848057,-104369,4107
1689014848060,-104369,4107
1689014848063,-104369,4107
1689014848066,-104369,4107
1689014848069,-104369,4107
1689014848071,-104369,4107
1689014848074,-104369,4107
1689014848078,-104369,4107
1689014848082,-104369,4107
1689014848085,-104369,4107
1689014848089,-104369,4107
1689014848092,-104369,4107
1689014848095,-104369,4107
1689014848098,-104369,4107
1689014848102,-104369,4107
1689014848105,-104369,4107
1689014848108,-104369,4107
1689014848112,-104369,4107
1689014848117,-104369,4107
1689014848120,-104369,4107
1689014848123,-104369,4107
1689014848126,-104369,4107
1689014848129,-104369,4107
1689014848132,-104369,4107
1689014848135,-104369,4107
1689014848137,-104369,4107
1689014848140,-104369,4107
1689014848143,-104369,4107
1689014848147,-104369,4107
1689014848152,-104369,4107
1689014848156,-104369,4107
1689014848159,-104369,4107
1689014848163,-104369,4107
1689014848166,-104369,4107
1689014848169,-104369,4107
1689014848172,-104369,4107
1689014848176,-104369,4107
1689014848179,-104369,4107
1689014848183,-104369,4107
1689014848186,-104369,4107
1689014848189,-104369,4107
1689014848193,-104369,4107
1689014848198,-104369,4107
1689014848202,-104369,4107
1689014848206,-104369,4107
1689014848210,-104369,4107
1689014848214,-104369,4107
1689014848217,-104369,4107
1689014848221,-104369,4107
1689014848225,-104369,4107
1689014848228,-104369,4107
1689014848232,-104369,4107
1689014848235,-104369,4107
1689014848239,-104369,4107
1689014848243,-104369,4107
1689014848247,-104369,4107
1689014848251,-104369,4107
1689014848255,-104369,4107
1689014848259,-104369,4107
1689014848263,-104369,4107
1689014848267,-104369,4107
1689014848271,-104369,4107
1689014848276,-104369,4107
1689014848280,-104369,4107
1689014848284,-104369,4107
1689014848288,-104369,4107
1689014848292,-104369,4107
1689014848296,-104369,4107
1689014848300,-104369,4107
1689014848304,-104369,4107
1689014848308,-104369,4107
1689014848312,-104369,4107
1689014848316,-104369,4107
1689014848320,-104369,4107
1689014848325,-104369,4107
1689014848331,-104369,4107
1689014848336,-104369,4107
1689014848341,-104369,4107
1689014848346,-104369,4107
1689014848351,-104369,4107
1689014848355,-104369,4107
1689014848360,-104369,4107
1689014848364,-104369,4107
1689014848369,-104369,4107
1689014848374,-104369,4107
1689014848378,-104369,4107
1689014848382,-104369,4107
1689014848387,-104369,4107
1689014848391,-104369,4107
1689014848396,-104369,4107
1689014848400,-104369,4107
1689014848408,-104369,4107
1689014848414,-104369,4107
1689014848419,-104369,4107
1689014848425,-104369,4107
1689014848430,-104369,4107
1689014848436,-104369,4107
1689014848442,-104369,4107
1689014848450,-104369,4107
1689014848455,-104369,4107
1689014848461,-104369,4107
1689014848466,-104369,4107
1689014848471,-104369,4107
1689014848477,-104369,4107
1689014848483,-104369,4107
1689014848488,-104369,4107
1689014848494,-104369,4107
1689014848500,-104369,4107
1689014848507,-104369,4107
1689014848513,-104369,4107
1689014848519,-104369,4107
1689014848525,-104369,4107
1689014848531,-104369,4107
1689014848537,-104369,4107
1689014848543,-104369,4107
1689014848549,-104369,4107
1689014848555,-104369,4107
1689014848561,-104369,4107
1689014848567,-104369,4107
1689014848573,-104369,4107
1689014848578,-104369,4107
1689014848585,-104369,4107
1689014848590,-104369,4107
1689014848596,-104369,4107
1689014848602,-104369,4107
1689014848608,-104369,4107
1689014848613,-104369,4107
1689014848619,-104369,4107
1689014848625,-104369,4107
1689014848631,-104369,4107
1689014848637,-104369,4107
1689014848643,-104369,4107
1689014848649,-104369,4107
1689014848656,-104369,4107
1689014848662,-104369,4107
1689014848671,-104369,4107
1689014848678,-104369,4107
1689014848684,-104369,4107
1689014848690,-104369,4107
1689014848696,-104369,4107
1689014848701,-104369,4107
1689014848707,-104369,4107
1689014848713,-104369,4107
1689014848719,-104369,4107
1689014848724,-104369,4107
1689014848730,-104369,4107
1689014848736,-104369,4107
1689014848743,-104369,4107
1689014848748,-104369,4107
1689014848754,-104369,4107
1689014848760,-104369,4107
1689014848767,-104369,4107
1689014848773,-104369,4107
1689014848782,-104369,4107
1689014848789,-104369,4107
1689014848794,-104369,4107
1689014848800,-104369,4107
1689014848805,-104369,4107
1689014848811,-104369,4107
1689014848816,-104369,4107
1689014848823,-104369,4107
1689014848833,-104369,4107
1689014848838,-104369,4107
1689014848844,-104369,4107
1689014848850,-104369,4107
1689014848856,-104369,4107
1689014848861,-104369,4107
1689014848869,-104369,4107
1689014848874,-104369,4107
1689014848878,-104369,4107
1689014848884,-104369,4107
1689014848888,-104369,4107
1689014848893,-104369,4107
1689014848899,-104369,4107
1689014848905,-104369,4107
1689014848910,-104369,4107
1689014848914,-104369,4107
1689014848919,-104369,4107
1689014848922,-104369,4107
1689014848926,-104369,4107
1689014848930,-104369,4107
1689014848933,-104369,4107
1689014848937,-104369,4107
1689014848940,-104369,4107
1689014848944,-104369,4107
1689014848948,-104369,4107
1689014848952,-104369,4107
1689014848955,-104369,4107
1689014848959,-104369,4107
1689014848963,-104369,4107
1689014848967,-104369,4107
1689014848970,-104369,4107
1689014848974,-104369,4107
1689014848977,-104369,4107
1689014848981,-104369,4107
1689014848984,-104369,4107
1689014848987,-104369,4107
1689014848991,-104369,4107
1689014848994,-104369,4107
1689014848998,-104369,4107
1689014849002,-104369,4107
1689014849005,-104369,4107
1689014849009,-104369,4107
1689014849013,-104369,4107
1689014849016,-104369,4107
1689014849019,-104369,4107
1689014849023,-104369,4107
1689014849026,-104369,4107
1689014849030,-104369,4107
1689014849035,-104369,4107
1689014849039,-104369,4107
1689014849042,-104369,4107
1689014849046,-104369,4107
1689014849049,-104369,4107
1689014849053,-104369,4107
1689014849056,-104369,4107
1689014849060,-104369,4107
1689014849064,-104369,4107
1689014849067,-104369,4107
1689014849071,-104369,4107
1689014849075,-104369,4107
1689014849078,-104369,4107
1689014849081,-104369,4107
1689014849085,-104369,4107
1689014849088,-104369,4107
1689014849092,-104369,4107
1689014849095,-104369,4107
1689014849099,-104369,4107
1689014849102,-104369,4107
1689014849106,-104369,4107
1689014849109,-104369,4107
1689014849112,-104369,4107
1689014849116,-104369,4107
1689014849119,-104369,4107
1689014849123,-104369,4107
1689014849126,-104369,4107
1689014849130,-104369,4107
1689014849133,-104369,4107
1689014849137,-104369,4107
1689014849140,-104369,4107
1689014849143,-104369,4107
1689014849147,-104369,4107
1689014849151,-104369,4107
1689014849154,-104369,4107
1689014849158,-104369,4107
1689014849162,-104369,4107
1689014849166,-104369,4107
1689014849169,-104369,4107
1689014849173,-104369,4107
1689014849177,-104369,4107
1689014849180,-104369,4107
1689014849184,-104369,4107
1689014849187,-104369,4107
1689014849191,-104369,4107
1689014849194,-104369,4107
1689014849197,-104369,4107
1689014849201,-104369,4107
1689014849204,-104369,4107
1689014849208,-104369,4107
1689014849212,-104369,4107
1689014849217,-104369,4107
1689014849221,-104369,4107
1689014849226,-104369,4107
1689014849230,-104369,4107
1689014849234,-104369,4107
1689014849239,-104369,4107
1689014849243,-104369,4107
1689014849247,-104369,4107
1689014849252,-104369,4107
1689014849256,-104369,4107
1689014849260,-104369,4107
1689014849265,-104369,4107
1689014849272,-104369,4107
1689014849277,-104369,4107
1689014849281,-104369,4107
1689014849286,-104369,4107
1689014849290,-104369,4107
1689014849295,-104369,4107
1689014849299,-104369,4107
1689014849304,-104369,4107
1689014849308,-104369,4107
1689014849313,-104369,4107
1689014849318,-104369,4107
1689014849322,-104369,4107
1689014849327,-104369,4107
1689014849331,-104369,4107
1689014849335,-104369,4107
1689014849341,-104369,4107
1689014849345,-104369,4107
1689014849351,-104369,4107
1689014849356,-104369,4107
1689014849361,-104369,4107
1689014849366,-104369,4107
1689014849371,-104369,4107
1689014849375,-104369,4107
1689014849385,-104369,4107
1689014849391,-104369,4107
1689014849396,-104369,4107
1689014849401,-104369,4107
1689014849405,-104369,4107
1689014849411,-104369,4107
1689014849416,-104369,4107
1689014849420,-104369,4107
1689014849425,-104369,4107
1689014849429,-104369,4107
1689014849434,-104369,4107
1689014849438,-104369,4107
1689014849442,-104369,4107
1689014849447,-104369,4107
1689014849451,-104369,4107
1689014849456,-104369,4107
1689014849461,-104369,4107
1689014849465,-104369,4107
1689014849469,-104369,4107
1689014849475,-104369,4107
1689014849479,-104369,4107
1689014849484,-104369,4107
1689014849488,-104369,4107
1689014849493,-104369,4107
1689014849497,-104369,4107
1689014849502,-104369,4107
1689014849507,-104369,4107
1689014849512,-104369,4107
1689014849518,-104369,4107
1689014849523,-104369,4107
1689014849528,-104369,4107
1689014849533,-104369,4107
1689014849538,-104369,4107
1689014849543,-104369,4107
1689014849548,-104369,4107
1689014849554,-104369,4107
1689014849560,-104369,4107
1689014849565,-104369,4107
1689014849570,-104369,4107
1689014849576,-104369,4107
1689014849581,-104369,4107
1689014849586,-104369,4107
1689014849592,-104369,4107
1689014849598,-104369,4107
1689014849603,-104369,4107
1689014849608,-104369,4107
1689014849613,-104369,4107
1689014849618,-104369,4107
1689014849623,-104369,4107
1689014849628,-104369,4107
1689014849633,-104369,4107
1689014849638,-104369,4107
1689014849643,-104369,4107
1689014849648,-104369,4107
1689014849653,-104369,4107
1689014849658,-104369,4107
1689014849663,-104369,4107
1689014849668,-104369,4107
1689014849673,-104369,4107
1689014849678,-104369,4107
1689014849684,-104369,4107
1689014849690,-104369,4107
1689014849696,-104369,4107
1689014849701,-104369,4107
1689014849707,-104369,4107
1689014849712,-104369,4107
1689014849717,-104369,4107
1689014849722,-104369,4107
1689014849727,-104369,4107
1689014849731,-104369,4107
1689014849737,-104369,4107
1689014849742,-104369,4107
1689014849747,-104369,4107
1689014849752,-104369,4107
1689014849757,-104369,4107
1689014849762,-104369,4107
1689014849768,-104369,4107
1689014849773,-104369,4107
1689014849778,-104369,4107
1689014849782,-104369,4107
1689014849787,-104369,4107
1689014849792,-104369,4107
1689014849797,-104369,4107
1689014849802,-104369,4107
1689014849807,-104369,4107
1689014849811,-104369,4107
1689014849817,-104369,4107
1689014849822,-104369,4107
1689014849827,-104369,4107
1689014849834,-104369,4107
1689014849839,-104369,4107
1689014849844,-104369,4107
1689014849849,-104369,4107
1689014849853,-104369,4107
1689014849858,-104369,4107
1689014849863,-104369,4107
1689014849868,-104369,4107
1689014849874,-104369,4107
1689014849879,-104369,4107
1689014849885,-104369,4107
1689014849890,-104369,4107
1689014849895,-104369,4107
1689014849900,-104369,4107
1689014849905,-104369,4107
1689014849910,-104369,4107
1689014849919,-104369,4107
1689014849930,-104369,4107
1689014849935,-104369,4107
1689014849939,-104369,4107
1689014849943,-104369,4107
1689014849947,-104369,4107
1689014849951,-104369,4107
1689014849956,-104369,4107
1689014849960,-104369,4107
1689014849966,-104369,4107
1689014849970,-104369,4107
1689014849974,-104369,4107
1689014849978,-104369,4107
1689014849982,-104369,4107
1689014849987,-104369,4107
1689014849990,-104369,4107
1689014849993,-104369,4107
1689014849996,-104369,4107
1689014849999,-104369,4107
1689014850003,-104369,4107
1689014850006,-104369,4107
1689014850009,-104369,4107
1689014850013,-104369,4107
1689014850016,-104369,4107
1689014850019,-104369,4107
1689014850022,-104369,4107
1689014850026,-104369,4107
1689014850029,-104369,4107
1689014850034,-104369,4107
1689014850038,-104369,4107
1689014850041,-104369,4107
1689014850045,-104369,4107
1689014850049,-104369,4107
1689014850052,-104369,4107
1689014850056,-104369,4107
1689014850059,-104369,4107
1689014850063,-104369,4107
1689014850066,-104369,4107
1689014850069,-104369,4107
1689014850073,-104369,4107
1689014850077,-104369,4107
1689014850080,-104369,4107
1689014850083,-104369,4107
1689014850087,-104369,4107
1689014850090,-104369,4107
1689014850094,-104369,4107
1689014850097,-104369,4107
1689014850101,-104369,4107
1689014850104,-104369,4107
1689014850107,-104369,4107
1689014850111,-104369,4107
1689014850115,-104369,4107
1689014850118,-104369,4107
1689014850122,-104369,4107
1689014850125,-104369,4107
1689014850129,-104369,4107
1689014850132,-104369,4107
1689014850135,-104369,4107
1689014850139,-104369,4107
1689014850144,-104369,4107
1689014850147,-104369,4107
1689014850151,-104369,4107
1689014850154,-104369,4107
