Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689019736715,-185698,4183
1689019736719,-185698,4183
1689019736723,-185698,4183
1689019736727,-185698,4183
1689019736731,-185698,4183
1689019736735,-185698,4183
1689019736739,-185698,4183
1689019736743,-185698,4183
1689019736746,-185698,4183
1689019736749,-185698,4183
1689019736752,-185698,4183
1689019736755,-185698,4183
1689019736758,-185698,4183
1689019736762,-185698,4183
1689019736765,-185698,4183
1689019736768,-185698,4183
1689019736772,-185698,4183
1689019736776,-185698,4183
1689019736779,-185698,4183
1689019736784,-185698,4183
1689019736787,-185698,4183
1689019736790,-185698,4183
1689019736793,-185698,4183
1689019736796,-185698,4183
1689019736799,-185698,4183
1689019736803,-185698,4183
1689019736808,-185698,4183
1689019736815,-185698,4183
1689019736818,-185698,4183
1689019736822,-185698,4183
1689019736825,-185698,4183
1689019736828,-185698,4183
1689019736831,-185698,4183
1689019736834,-185698,4183
1689019736836,-185698,4183
1689019736839,-185698,4183
1689019736844,-185698,4183
1689019736848,-185698,4183
1689019736851,-185698,4183
1689019736854,-185698,4183
1689019736857,-185698,4183
1689019736860,-185698,4183
1689019736863,-185698,4183
1689019736866,-185698,4183
1689019736869,-185698,4183
1689019736872,-185698,4183
1689019736876,-185698,4183
1689019736879,-185698,4183
1689019736882,-185698,4183
1689019736885,-185698,4183
1689019736888,-185698,4183
1689019736891,-185698,4183
1689019736894,-185698,4183
1689019736896,-185698,4183
1689019736899,-185698,4183
1689019736903,-185698,4183
1689019736905,-185698,4183
1689019736908,-185698,4183
1689019736911,-185698,4183
1689019736914,-185698,4183
1689019736916,-185698,4183
1689019736919,-185698,4183
1689019736922,-185698,4183
1689019736925,-185698,4183
1689019736928,-185698,4183
1689019736931,-185698,4183
1689019736934,-185698,4183
1689019736937,-185698,4183
1689019736940,-185698,4183
1689019736944,-185698,4183
1689019736948,-185698,4183
1689019736951,-185698,4183
1689019736955,-185698,4183
1689019736958,-185698,4183
1689019736961,-185698,4183
1689019736965,-185698,4183
1689019736968,-185698,4183
1689019736972,-185698,4183
1689019736975,-185698,4183
1689019736979,-185698,4183
1689019736982,-185698,4183
1689019736986,-185698,4183
1689019736989,-185698,4183
1689019736993,-185698,4183
1689019736997,-185698,4183
1689019737001,-185698,4183
1689019737005,-185698,4183
1689019737008,-185698,4183
1689019737012,-185698,4183
1689019737015,-185698,4183
1689019737018,-185698,4183
1689019737022,-185698,4183
1689019737026,-185698,4183
1689019737029,-185698,4183
1689019737032,-185698,4183
1689019737035,-185698,4183
1689019737038,-185698,4183
1689019737043,-185698,4183
1689019737046,-185698,4183
1689019737049,-185698,4183
1689019737053,-185698,4183
1689019737056,-185698,4183
1689019737059,-185698,4183
1689019737065,-185698,4183
1689019737069,-185698,4183
1689019737072,-185698,4183
1689019737076,-185698,4183
1689019737080,-185698,4183
1689019737085,-185698,4183
1689019737089,-185698,4183
1689019737093,-185698,4183
1689019737096,-185698,4183
1689019737100,-185698,4183
1689019737105,-185698,4183
1689019737109,-185698,4183
1689019737112,-185698,4183
1689019737116,-185698,4183
1689019737120,-185698,4183
1689019737124,-185698,4183
1689019737129,-185698,4183
1689019737132,-185698,4183
1689019737136,-185698,4183
1689019737140,-185698,4183
1689019737146,-185698,4183
1689019737150,-185698,4183
1689019737155,-185698,4183
1689019737159,-185698,4183
1689019737165,-185698,4183
1689019737169,-185698,4183
1689019737174,-185698,4183
1689019737178,-185698,4183
1689019737183,-185698,4183
1689019737187,-185698,4183
1689019737191,-185698,4183
1689019737196,-185698,4183
1689019737201,-185698,4183
1689019737207,-185698,4183
1689019737211,-185698,4183
1689019737216,-185698,4183
1689019737221,-185698,4183
1689019737226,-185698,4183
1689019737231,-185698,4183
1689019737236,-185698,4183
1689019737241,-185698,4183
1689019737246,-185698,4183
1689019737250,-185698,4183
1689019737255,-185698,4183
1689019737259,-185698,4183
1689019737264,-185698,4183
1689019737269,-185698,4183
1689019737273,-185698,4183
1689019737280,-185698,4183
1689019737285,-185698,4183
1689019737289,-185698,4183
1689019737294,-185698,4183
1689019737298,-185698,4183
1689019737302,-185698,4183
1689019737307,-185698,4183
1689019737311,-185698,4183
1689019737315,-185698,4183
1689019737319,-185698,4183
1689019737324,-185698,4183
1689019737328,-185698,4183
1689019737333,-185698,4183
1689019737337,-185698,4183
1689019737342,-185698,4183
1689019737347,-185698,4183
1689019737351,-185698,4183
1689019737354,-185698,4183
1689019737358,-185698,4183
1689019737363,-185698,4183
1689019737367,-185698,4183
1689019737371,-185698,4183
1689019737376,-185698,4183
1689019737380,-185698,4183
1689019737385,-185698,4183
1689019737389,-185698,4183
1689019737392,-185698,4183
1689019737399,-185698,4183
1689019737406,-185698,4183
1689019737411,-185698,4183
1689019737415,-185698,4183
1689019737419,-185698,4183
1689019737425,-185698,4183
1689019737429,-185698,4183
1689019737432,-185698,4183
1689019737436,-185698,4183
1689019737439,-185698,4183
1689019737444,-185698,4183
1689019737447,-185698,4183
1689019737451,-185698,4183
1689019737454,-185698,4183
1689019737458,-185698,4183
1689019737464,-185698,4183
1689019737468,-185698,4183
1689019737472,-185698,4183
1689019737476,-185698,4183
1689019737480,-185698,4183
1689019737485,-185698,4183
1689019737489,-185698,4183
1689019737494,-185698,4183
1689019737498,-185698,4183
1689019737502,-185698,4183
1689019737507,-185698,4183
1689019737511,-185698,4183
1689019737516,-185698,4183
1689019737520,-185698,4183
1689019737524,-185698,4183
1689019737529,-185698,4183
1689019737533,-185698,4183
1689019737536,-185698,4183
1689019737541,-185698,4183
1689019737545,-185698,4183
1689019737549,-185698,4183
1689019737553,-185698,4183
1689019737557,-185698,4183
1689019737562,-185698,4183
1689019737568,-185698,4183
1689019737578,-185698,4183
1689019737585,-185698,4183
1689019737590,-185698,4183
1689019737594,-185698,4183
1689019737599,-185698,4183
1689019737607,-185698,4183
1689019737611,-185698,4183
1689019737615,-185698,4183
1689019737618,-185698,4183
1689019737622,-185698,4183
1689019737626,-185698,4183
1689019737629,-185698,4183
1689019737633,-185698,4183
1689019737636,-185698,4183
1689019737639,-185698,4183
1689019737643,-185698,4183
1689019737646,-185698,4183
1689019737649,-185698,4183
1689019737652,-185698,4183
1689019737656,-185698,4183
1689019737659,-185698,4183
1689019737663,-185698,4183
1689019737666,-185698,4183
1689019737669,-185698,4183
1689019737672,-185698,4183
1689019737675,-185698,4183
1689019737679,-185698,4183
1689019737683,-185698,4183
1689019737686,-185698,4183
1689019737689,-185698,4183
1689019737692,-185698,4183
1689019737696,-185698,4183
1689019737699,-185698,4183
1689019737704,-185698,4183
1689019737708,-185698,4183
1689019737713,-185698,4183
1689019737716,-185698,4183
1689019737720,-185698,4183
1689019737724,-185698,4183
1689019737728,-185698,4183
1689019737731,-185698,4183
1689019737734,-185698,4183
1689019737738,-185698,4183
1689019737742,-185698,4183
1689019737746,-185698,4183
1689019737749,-185698,4183
1689019737753,-185698,4183
1689019737757,-185698,4183
1689019737760,-185698,4183
1689019737765,-185698,4183
1689019737768,-185698,4183
1689019737772,-185698,4183
1689019737776,-185698,4183
1689019737779,-185698,4183
1689019737786,-185698,4183
1689019737790,-185698,4183
1689019737794,-185698,4183
1689019737798,-185698,4183
1689019737802,-185698,4183
1689019737808,-185698,4183
1689019737812,-185698,4183
1689019737817,-185698,4183
1689019737822,-185698,4183
1689019737826,-185698,4183
1689019737830,-185698,4183
1689019737834,-185698,4183
1689019737837,-185698,4183
1689019737841,-185698,4183
1689019737845,-185698,4183
1689019737849,-185698,4183
1689019737853,-185698,4183
1689019737856,-185698,4183
1689019737862,-185698,4183
1689019737866,-185698,4183
1689019737870,-185698,4183
1689019737873,-185698,4183
1689019737877,-185698,4183
1689019737881,-185698,4183
1689019737885,-185698,4183
1689019737888,-185698,4183
1689019737892,-185698,4183
1689019737895,-185698,4183
1689019737899,-185698,4183
1689019737904,-185698,4183
1689019737908,-185698,4183
1689019737911,-185698,4183
1689019737914,-185698,4183
1689019737918,-185698,4183
1689019737922,-185698,4183
1689019737926,-185698,4183
1689019737930,-185698,4183
1689019737934,-185698,4183
1689019737938,-185698,4183
1689019737942,-185698,4183
1689019737946,-185698,4183
1689019737952,-185698,4183
1689019737956,-185698,4183
1689019737964,-185698,4183
1689019737968,-185698,4183
1689019737972,-185698,4183
1689019737978,-185698,4183
1689019737982,-185698,4183
1689019737986,-185698,4183
1689019737989,-185698,4183
1689019737997,-185698,4183
1689019738001,-185698,4183
1689019738005,-185698,4183
1689019738008,-185698,4183
1689019738011,-185698,4183
1689019738015,-185698,4183
1689019738018,-185698,4183
1689019738021,-185698,4183
1689019738025,-185698,4183
1689019738028,-185698,4183
1689019738032,-185698,4183
1689019738035,-185698,4183
1689019738038,-185698,4183
1689019738042,-185698,4183
1689019738046,-185698,4183
1689019738049,-185698,4183
1689019738053,-185698,4183
1689019738056,-185698,4183
1689019738060,-185698,4183
1689019738064,-185698,4183
1689019738067,-185698,4183
1689019738070,-185698,4183
1689019738073,-185698,4183
1689019738076,-185698,4183
1689019738080,-185698,4183
1689019738084,-185698,4183
1689019738087,-185698,4183
1689019738091,-185698,4183
1689019738094,-185698,4183
1689019738097,-185698,4183
1689019738101,-185698,4183
1689019738104,-185698,4183
1689019738108,-185698,4183
1689019738111,-185698,4183
1689019738114,-185698,4183
1689019738117,-185698,4183
1689019738121,-185698,4183
1689019738125,-185698,4183
1689019738128,-185698,4183
1689019738131,-185698,4183
1689019738134,-185698,4183
1689019738138,-185698,4183
1689019738142,-185698,4183
1689019738146,-185698,4183
1689019738150,-185698,4183
1689019738153,-185698,4183
1689019738156,-185698,4183
1689019738161,-185698,4183
1689019738165,-185698,4183
1689019738169,-185698,4183
1689019738172,-185698,4183
1689019738175,-185698,4183
1689019738178,-185698,4183
1689019738184,-185698,4183
1689019738188,-185698,4183
1689019738192,-185698,4183
1689019738195,-185698,4183
1689019738199,-185698,4183
1689019738204,-185698,4183
1689019738208,-185698,4183
1689019738212,-185698,4183
1689019738215,-185698,4183
1689019738219,-185698,4183
1689019738223,-185698,4183
1689019738227,-185698,4183
1689019738231,-185698,4183
1689019738234,-185698,4183
1689019738238,-185698,4183
1689019738242,-185698,4183
1689019738247,-185698,4183
1689019738251,-185698,4183
1689019738254,-185698,4183
1689019738258,-185698,4183
1689019738262,-185698,4183
1689019738267,-185698,4183
1689019738271,-185698,4183
1689019738274,-185698,4183
1689019738278,-185698,4183
1689019738283,-185698,4183
1689019738287,-185698,4183
1689019738291,-185698,4183
1689019738295,-185698,4183
1689019738298,-185698,4183
1689019738304,-185698,4183
1689019738309,-185698,4183
1689019738313,-185698,4183
1689019738316,-185698,4183
1689019738321,-185698,4183
1689019738326,-185698,4183
1689019738331,-185698,4183
1689019738335,-185698,4183
1689019738338,-185698,4183
1689019738343,-185698,4183
1689019738348,-185698,4183
1689019738353,-185698,4183
1689019738358,-185698,4183
1689019738363,-185698,4183
1689019738368,-185698,4183
1689019738372,-185698,4183
1689019738377,-185698,4183
1689019738384,-185698,4183
1689019738389,-185698,4183
1689019738393,-185698,4183
1689019738397,-185698,4183
1689019738404,-185698,4183
1689019738408,-185698,4183
1689019738412,-185698,4183
1689019738416,-185698,4183
1689019738419,-185698,4183
1689019738424,-185698,4183
1689019738428,-185698,4183
1689019738432,-185698,4183
1689019738436,-185698,4183
1689019738440,-185698,4183
1689019738444,-185698,4183
1689019738448,-185698,4183
1689019738452,-185698,4183
1689019738456,-185698,4183
1689019738460,-185698,4183
1689019738465,-185698,4183
1689019738469,-185698,4183
1689019738473,-185698,4183
1689019738476,-185698,4183
1689019738480,-185698,4183
1689019738484,-185698,4183
1689019738488,-185698,4183
1689019738492,-185698,4183
1689019738495,-185698,4183
1689019738499,-185698,4183
1689019738504,-185698,4183
1689019738508,-185698,4183
1689019738513,-185698,4183
1689019738516,-185698,4183
1689019738520,-185698,4183
1689019738524,-185698,4183
1689019738529,-185698,4183
1689019738533,-185698,4183
1689019738539,-185698,4183
1689019738544,-185698,4183
1689019738547,-185698,4183
1689019738551,-185698,4183
1689019738554,-185698,4183
1689019738557,-185698,4183
1689019738561,-185698,4183
1689019738565,-185698,4183
1689019738569,-185698,4183
1689019738572,-185698,4183
1689019738576,-185698,4183
1689019738579,-185698,4183
1689019738583,-185698,4183
1689019738587,-185698,4183
1689019738590,-185698,4183
1689019738594,-185698,4183
1689019738597,-185698,4183
1689019738600,-185698,4183
1689019738604,-185698,4183
1689019738609,-185698,4183
1689019738612,-185698,4183
1689019738616,-185698,4183
1689019738620,-185698,4183
1689019738624,-185698,4183
1689019738628,-185698,4183
1689019738632,-185698,4183
1689019738636,-185698,4183
1689019738640,-185698,4183
1689019738644,-185698,4183
1689019738648,-185698,4183
1689019738652,-185698,4183
1689019738656,-185698,4183
1689019738659,-185698,4183
1689019738663,-185698,4183
1689019738668,-185698,4183
1689019738672,-185698,4183
1689019738676,-185698,4183
1689019738679,-185698,4183
1689019738683,-185698,4183
1689019738688,-185698,4183
1689019738693,-185698,4183
1689019738697,-185698,4183
1689019738701,-185698,4183
1689019738707,-185698,4183
1689019738711,-185698,4183
1689019738715,-185698,4183
1689019738720,-185698,4183
1689019738725,-185698,4183
1689019738729,-185698,4183
1689019738735,-185698,4183
1689019738738,-185698,4183
1689019738743,-185698,4183
1689019738747,-185698,4183
1689019738751,-185698,4183
1689019738755,-185698,4183
1689019738758,-185698,4183
1689019738764,-185698,4183
1689019738769,-185698,4183
1689019738773,-185698,4183
1689019738777,-185698,4183
1689019738781,-185698,4183
1689019738785,-185698,4183
1689019738789,-185698,4183
1689019738793,-185698,4183
1689019738797,-185698,4183
1689019738802,-185698,4183
1689019738806,-185698,4183
1689019738810,-185698,4183
1689019738814,-185698,4183
1689019738818,-185698,4183
1689019738822,-185698,4183
1689019738826,-185698,4183
1689019738830,-185698,4183
1689019738834,-185698,4183
1689019738838,-185698,4183
1689019738843,-185698,4183
1689019738847,-185698,4183
1689019738851,-185698,4183
1689019738854,-185698,4183
1689019738858,-185698,4183
1689019738862,-185698,4183
1689019738866,-185698,4183
1689019738869,-185698,4183
1689019738873,-185698,4183
1689019738876,-185698,4183
1689019738879,-185698,4183
1689019738885,-185698,4183
1689019738889,-185698,4183
1689019738893,-185698,4183
1689019738896,-185698,4183
1689019738899,-185698,4183
1689019738903,-185698,4183
1689019738908,-185698,4183
1689019738911,-185698,4183
1689019738915,-185698,4183
1689019738918,-185698,4183
1689019738922,-185698,4183
1689019738926,-185698,4183
1689019738930,-185698,4183
1689019738934,-185698,4183
1689019738937,-185698,4183
1689019738941,-185698,4183
1689019738945,-185698,4183
1689019738948,-185698,4183
1689019738951,-185698,4183
1689019738955,-185698,4183
1689019738958,-185698,4183
1689019738964,-185698,4183
1689019738969,-185698,4183
1689019738973,-185698,4183
1689019738977,-185698,4183
1689019738982,-185698,4183
1689019738987,-185698,4183
1689019738991,-185698,4183
1689019738995,-185698,4183
1689019738999,-185698,4183
1689019739005,-185698,4183
1689019739009,-185698,4183
1689019739013,-185698,4183
1689019739017,-185698,4183
1689019739021,-185698,4183
1689019739026,-185698,4183
1689019739031,-185698,4183
1689019739037,-185698,4183
1689019739043,-185698,4183
1689019739047,-185698,4183
1689019739054,-185698,4183
1689019739059,-185698,4183
1689019739064,-185698,4183
1689019739067,-185698,4183
1689019739071,-185698,4183
1689019739074,-185698,4183
1689019739077,-185698,4183
1689019739080,-185698,4183
1689019739084,-185698,4183
1689019739087,-185698,4183
1689019739091,-185698,4183
