Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689066438318,-158843,4158
1689066438321,-158843,4158
1689066438324,-158843,4158
1689066438327,-158843,4158
1689066438331,-158843,4158
1689066438335,-158843,4158
1689066438339,-158843,4158
1689066438342,-158843,4158
1689066438346,-158843,4158
1689066438349,-158843,4158
1689066438353,-158843,4158
1689066438356,-158843,4158
1689066438359,-158843,4158
1689066438362,-158843,4158
1689066438366,-158843,4158
1689066438369,-158843,4158
1689066438373,-158843,4158
1689066438376,-158843,4158
1689066438379,-158843,4158
1689066438382,-158843,4158
1689066438386,-158843,4158
1689066438389,-158843,4158
1689066438392,-158843,4158
1689066438395,-158843,4158
1689066438398,-158843,4158
1689066438402,-158843,4158
1689066438406,-158843,4158
1689066438409,-158843,4158
1689066438413,-158843,4158
1689066438416,-158843,4158
1689066438419,-158843,4158
1689066438422,-158843,4158
1689066438425,-158843,4158
1689066438428,-158843,4158
1689066438431,-158843,4158
1689066438434,-158843,4158
1689066438437,-158843,4158
1689066438441,-158843,4158
1689066438444,-158843,4158
1689066438447,-158843,4158
1689066438454,-158843,4158
1689066438458,-158843,4158
1689066438462,-158843,4158
1689066438465,-158843,4158
1689066438469,-158843,4158
1689066438473,-158843,4158
1689066438477,-158843,4158
1689066438481,-158843,4158
1689066438485,-158843,4158
1689066438488,-158843,4158
1689066438492,-158843,4158
1689066438495,-158843,4158
1689066438499,-158843,4158
1689066438503,-158843,4158
1689066438507,-158843,4158
1689066438511,-158843,4158
1689066438515,-158843,4158
1689066438519,-158843,4158
1689066438523,-158843,4158
1689066438527,-158843,4158
1689066438531,-158843,4158
1689066438535,-158843,4158
1689066438538,-158843,4158
1689066438542,-158843,4158
1689066438546,-158843,4158
1689066438550,-158843,4158
1689066438555,-158843,4158
1689066438559,-158843,4158
1689066438562,-158843,4158
1689066438567,-158843,4158
1689066438573,-158843,4158
1689066438579,-158843,4158
1689066438585,-158843,4158
1689066438590,-158843,4158
1689066438595,-158843,4158
1689066438599,-158843,4158
1689066438604,-158843,4158
1689066438609,-158843,4158
1689066438614,-158843,4158
1689066438618,-158843,4158
1689066438622,-158843,4158
1689066438627,-158843,4158
1689066438631,-158843,4158
1689066438636,-158843,4158
1689066438641,-158843,4158
1689066438646,-158843,4158
1689066438651,-158843,4158
1689066438655,-158843,4158
1689066438660,-158843,4158
1689066438665,-158843,4158
1689066438670,-158843,4158
1689066438675,-158843,4158
1689066438679,-158843,4158
1689066438683,-158843,4158
1689066438688,-158843,4158
1689066438692,-158843,4158
1689066438697,-158843,4158
1689066438702,-158843,4158
1689066438707,-158843,4158
1689066438712,-158843,4158
1689066438718,-158843,4158
1689066438724,-158843,4158
1689066438729,-158843,4158
1689066438734,-158843,4158
1689066438739,-158843,4158
1689066438744,-158843,4158
1689066438749,-158843,4158
1689066438754,-158843,4158
1689066438759,-158843,4158
1689066438764,-158843,4158
1689066438769,-158843,4158
1689066438774,-158843,4158
1689066438779,-158843,4158
1689066438784,-158843,4158
1689066438789,-158843,4158
1689066438794,-158843,4158
1689066438799,-158843,4158
1689066438804,-158843,4158
1689066438809,-158843,4158
1689066438815,-158843,4158
1689066438820,-158843,4158
1689066438825,-158843,4158
1689066438829,-158843,4158
1689066438835,-158843,4158
1689066438842,-158843,4158
1689066438847,-158843,4158
1689066438853,-158843,4158
1689066438859,-158843,4158
1689066438864,-158843,4158
1689066438870,-158843,4158
1689066438876,-158843,4158
1689066438882,-158843,4158
1689066438887,-158843,4158
1689066438892,-158843,4158
1689066438898,-158843,4158
1689066438903,-158843,4158
1689066438908,-158843,4158
1689066438914,-158843,4158
1689066438922,-158843,4158
1689066438928,-158843,4158
1689066438935,-158843,4158
1689066438941,-158843,4158
1689066438946,-158843,4158
1689066438951,-158843,4158
1689066438956,-158843,4158
1689066438960,-158843,4158
1689066438964,-158843,4158
1689066438969,-158843,4158
1689066438973,-158843,4158
1689066438977,-158843,4158
1689066438982,-158843,4158
1689066438986,-158843,4158
1689066438990,-158843,4158
1689066438995,-158843,4158
1689066438999,-158843,4158
1689066439004,-158843,4158
1689066439008,-158843,4158
1689066439013,-158843,4158
1689066439017,-158843,4158
1689066439021,-158843,4158
1689066439025,-158843,4158
1689066439030,-158843,4158
1689066439034,-158843,4158
1689066439040,-158843,4158
1689066439045,-158843,4158
1689066439049,-158843,4158
1689066439054,-158843,4158
1689066439058,-158843,4158
1689066439062,-158843,4158
1689066439066,-158843,4158
1689066439070,-158843,4158
1689066439076,-158843,4158
1689066439080,-158843,4158
1689066439085,-158843,4158
1689066439091,-158843,4158
1689066439097,-158843,4158
1689066439103,-158843,4158
1689066439108,-158843,4158
1689066439114,-158843,4158
1689066439119,-158843,4158
1689066439125,-158843,4158
1689066439132,-158843,4158
1689066439142,-158843,4158
1689066439148,-158843,4158
1689066439157,-158843,4158
1689066439162,-158843,4158
1689066439166,-158843,4158
1689066439170,-158843,4158
1689066439174,-158843,4158
1689066439179,-158843,4158
1689066439182,-158843,4158
1689066439186,-158843,4158
1689066439190,-158843,4158
1689066439194,-158843,4158
1689066439198,-158843,4158
1689066439203,-158843,4158
1689066439207,-158843,4158
1689066439213,-158843,4158
1689066439219,-158843,4158
1689066439223,-158843,4158
1689066439227,-158843,4158
1689066439231,-158843,4158
1689066439235,-158843,4158
1689066439240,-158843,4158
1689066439244,-158843,4158
1689066439248,-158843,4158
1689066439252,-158843,4158
1689066439257,-158843,4158
1689066439260,-158843,4158
1689066439265,-158843,4158
1689066439269,-158843,4158
1689066439272,-158843,4158
1689066439277,-158843,4158
1689066439280,-158843,4158
1689066439284,-158843,4158
1689066439288,-158843,4158
1689066439293,-158843,4158
1689066439297,-158843,4158
1689066439301,-158843,4158
1689066439305,-158843,4158
1689066439309,-158843,4158
1689066439314,-158843,4158
1689066439319,-158843,4158
1689066439325,-158843,4158
1689066439330,-158843,4158
1689066439335,-158843,4158
1689066439340,-158843,4158
1689066439346,-158843,4158
1689066439351,-158843,4158
1689066439356,-158843,4158
1689066439361,-158843,4158
1689066439367,-158843,4158
1689066439372,-158843,4158
1689066439377,-158843,4158
1689066439382,-158843,4158
