Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689061591934,-146483,4267
1689061591938,-146483,4267
1689061591941,-146483,4267
1689061591949,-146483,4267
1689061591955,-146483,4267
1689061591960,-146483,4267
1689061591964,-146483,4267
1689061591968,-146483,4267
1689061591972,-146483,4267
1689061591976,-146483,4267
1689061591980,-146483,4267
1689061591984,-146483,4267
1689061591989,-146483,4267
1689061591993,-146483,4267
1689061591997,-146483,4267
1689061592000,-146483,4267
1689061592004,-146483,4267
1689061592008,-146483,4267
1689061592012,-146483,4267
1689061592015,-146483,4267
1689061592020,-146483,4267
1689061592025,-146483,4267
1689061592029,-146483,4267
1689061592033,-146483,4267
1689061592036,-146483,4267
1689061592040,-146483,4267
1689061592044,-146483,4267
1689061592048,-146483,4267
1689061592051,-146483,4267
1689061592054,-146483,4267
1689061592057,-146483,4267
1689061592060,-146483,4267
1689061592065,-146483,4267
1689061592068,-146483,4267
1689061592071,-146483,4267
1689061592074,-146483,4267
1689061592077,-146483,4267
1689061592080,-146483,4267
1689061592083,-146483,4267
1689061592087,-146483,4267
1689061592090,-146483,4267
1689061592093,-146483,4267
1689061592096,-146483,4267
1689061592099,-146483,4267
1689061592102,-146483,4267
1689061592106,-146483,4267
1689061592109,-146483,4267
1689061592112,-146483,4267
1689061592115,-146483,4267
1689061592119,-146483,4267
1689061592122,-146483,4267
1689061592125,-146483,4267
1689061592128,-146483,4267
1689061592131,-146483,4267
1689061592134,-146483,4267
1689061592137,-146483,4267
1689061592140,-146483,4267
1689061592144,-146483,4267
1689061592147,-146483,4267
1689061592150,-146483,4267
1689061592154,-146483,4267
1689061592157,-146483,4267
1689061592160,-146483,4267
1689061592163,-146483,4267
1689061592167,-146483,4267
1689061592170,-146483,4267
1689061592173,-146483,4267
1689061592177,-146483,4267
1689061592180,-146483,4267
1689061592185,-146483,4267
1689061592189,-146483,4267
1689061592193,-146483,4267
1689061592196,-146483,4267
1689061592200,-146483,4267
1689061592204,-146483,4267
1689061592208,-146483,4267
1689061592211,-146483,4267
1689061592214,-146483,4267
1689061592217,-146483,4267
1689061592221,-146483,4267
1689061592225,-146483,4267
1689061592228,-146483,4267
1689061592231,-146483,4267
1689061592235,-146483,4267
1689061592239,-146483,4267
1689061592242,-146483,4267
1689061592246,-146483,4267
1689061592249,-146483,4267
1689061592252,-146483,4267
1689061592255,-146483,4267
1689061592258,-146483,4267
1689061592261,-146483,4267
1689061592265,-146483,4267
1689061592269,-146483,4267
1689061592272,-146483,4267
1689061592275,-146483,4267
1689061592278,-146483,4267
1689061592281,-146483,4267
1689061592286,-146483,4267
1689061592290,-146483,4267
1689061592293,-146483,4267
1689061592297,-146483,4267
1689061592300,-146483,4267
1689061592304,-146483,4267
1689061592307,-146483,4267
1689061592311,-146483,4267
1689061592314,-146483,4267
1689061592318,-146483,4267
1689061592321,-146483,4267
1689061592325,-146483,4267
1689061592328,-146483,4267
1689061592331,-146483,4267
1689061592335,-146483,4267
1689061592338,-146483,4267
1689061592341,-146483,4267
1689061592346,-146483,4267
1689061592349,-146483,4267
1689061592353,-146483,4267
1689061592357,-146483,4267
1689061592361,-146483,4267
1689061592365,-146483,4267
1689061592369,-146483,4267
1689061592372,-146483,4267
1689061592376,-146483,4267
1689061592380,-146483,4267
1689061592385,-146483,4267
1689061592389,-146483,4267
1689061592392,-146483,4267
1689061592396,-146483,4267
1689061592400,-146483,4267
1689061592405,-146483,4267
