Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689109824242,-76293,4266
1689109824246,-76293,4266
1689109824250,-76293,4266
1689109824254,-76293,4266
1689109824258,-76293,4266
1689109824261,-76293,4266
1689109824264,-76293,4266
1689109824268,-76293,4266
1689109824272,-76293,4266
1689109824276,-76293,4266
1689109824279,-76293,4266
1689109824282,-76293,4266
1689109824286,-76293,4266
1689109824290,-76293,4266
1689109824295,-76293,4266
1689109824299,-76293,4266
1689109824305,-76293,4266
1689109824309,-76293,4266
1689109824313,-76293,4266
1689109824317,-76293,4266
1689109824321,-76293,4266
1689109824324,-76293,4266
1689109824327,-76293,4266
1689109824332,-76293,4266
1689109824336,-76293,4266
1689109824339,-76293,4266
1689109824343,-76293,4266
1689109824347,-76293,4266
1689109824350,-76293,4266
1689109824354,-76293,4266
1689109824357,-76293,4266
1689109824360,-76293,4266
1689109824363,-76293,4266
1689109824366,-76293,4266
1689109824369,-76293,4266
1689109824373,-76293,4266
1689109824377,-76293,4266
1689109824380,-76293,4266
1689109824384,-76293,4266
1689109824387,-76293,4266
1689109824391,-76293,4266
1689109824394,-76293,4266
1689109824396,-76293,4266
1689109824399,-76293,4266
1689109824402,-76293,4266
1689109824406,-76293,4266
1689109824411,-76293,4266
1689109824414,-76293,4266
1689109824417,-76293,4266
1689109824421,-76293,4266
1689109824424,-76293,4266
1689109824427,-76293,4266
1689109824431,-76293,4266
1689109824433,-76293,4266
1689109824436,-76293,4266
1689109824439,-76293,4266
1689109824442,-76293,4266
1689109824445,-76293,4266
1689109824448,-76293,4266
1689109824452,-76293,4266
1689109824455,-76293,4266
1689109824458,-76293,4266
1689109824461,-76293,4266
1689109824464,-76293,4266
1689109824467,-76293,4266
1689109824471,-76293,4266
1689109824475,-76293,4266
1689109824478,-76293,4266
1689109824481,-76293,4266
1689109824485,-76293,4266
1689109824489,-76293,4266
1689109824493,-76293,4266
1689109824497,-76293,4266
1689109824500,-76293,4266
1689109824504,-76293,4266
1689109824508,-76293,4266
1689109824512,-76293,4266
1689109824516,-76293,4266
1689109824520,-76293,4266
1689109824524,-76293,4266
1689109824527,-76293,4266
1689109824531,-76293,4266
1689109824535,-76293,4266
1689109824539,-76293,4266
1689109824543,-76293,4266
1689109824548,-76293,4266
1689109824552,-76293,4266
1689109824556,-76293,4266
1689109824560,-76293,4266
1689109824563,-76293,4266
1689109824567,-76293,4266
1689109824571,-76293,4266
1689109824575,-76293,4266
1689109824578,-76293,4266
1689109824582,-76293,4266
1689109824585,-76293,4266
1689109824590,-76293,4266
1689109824593,-76293,4266
1689109824597,-76293,4266
1689109824601,-76293,4266
1689109824605,-76293,4266
1689109824610,-76293,4266
1689109824615,-76293,4266
1689109824618,-76293,4266
1689109824623,-76293,4266
1689109824627,-76293,4266
1689109824632,-76293,4266
1689109824636,-76293,4266
1689109824640,-76293,4266
1689109824644,-76293,4266
1689109824648,-76293,4266
1689109824653,-76293,4266
1689109824658,-76293,4266
1689109824662,-76293,4266
1689109824667,-76293,4266
1689109824672,-76293,4266
1689109824676,-76293,4266
1689109824680,-76293,4266
1689109824685,-76293,4266
1689109824690,-76293,4266
1689109824694,-76293,4266
1689109824699,-76293,4266
1689109824703,-76293,4266
1689109824708,-76293,4266
1689109824713,-76293,4266
1689109824717,-76293,4266
1689109824721,-76293,4266
1689109824726,-76293,4266
1689109824730,-76293,4266
1689109824735,-76293,4266
1689109824739,-76293,4266
1689109824744,-76293,4266
1689109824748,-76293,4266
1689109824753,-76293,4266
1689109824758,-76293,4266
1689109824763,-76293,4266
1689109824769,-76293,4266
1689109824774,-76293,4266
1689109824783,-76293,4266
1689109824790,-76293,4266
1689109824795,-76293,4266
1689109824804,-76293,4266
1689109824810,-76293,4266
1689109824815,-76293,4266
1689109824822,-76293,4266
1689109824829,-76293,4266
1689109824834,-76293,4266
1689109824843,-76293,4266
1689109824849,-76293,4266
1689109824854,-76293,4266
1689109824863,-76293,4266
1689109824868,-76293,4266
1689109824874,-76293,4266
1689109824880,-76293,4266
1689109824890,-76293,4266
1689109824895,-76293,4266
1689109824901,-76293,4266
1689109824908,-76293,4266
1689109824914,-76293,4266
1689109824920,-76293,4266
1689109824926,-76293,4266
1689109824932,-76293,4266
1689109824937,-76293,4266
1689109824945,-76293,4266
1689109824951,-76293,4266
1689109824956,-76293,4266
1689109824965,-76293,4266
1689109824974,-76293,4266
1689109824979,-76293,4266
1689109824984,-76293,4266
1689109824989,-76293,4266
1689109824993,-76293,4266
1689109824998,-76293,4266
1689109825003,-76293,4266
1689109825008,-76293,4266
1689109825013,-76293,4266
1689109825019,-76293,4266
1689109825023,-76293,4266
1689109825027,-76293,4266
1689109825031,-76293,4266
1689109825034,-76293,4266
1689109825039,-76293,4266
1689109825044,-76293,4266
1689109825048,-76293,4266
1689109825052,-76293,4266
1689109825055,-76293,4266
1689109825059,-76293,4266
1689109825064,-76293,4266
1689109825068,-76293,4266
1689109825072,-76293,4266
1689109825075,-76293,4266
1689109825079,-76293,4266
1689109825083,-76293,4266
1689109825087,-76293,4266
1689109825091,-76293,4266
1689109825095,-76293,4266
1689109825098,-76293,4266
1689109825103,-76293,4266
1689109825107,-76293,4266
1689109825111,-76293,4266
1689109825115,-76293,4266
1689109825119,-76293,4266
1689109825123,-76293,4266
1689109825128,-76293,4266
1689109825131,-76293,4266
1689109825135,-76293,4266
1689109825141,-76293,4266
1689109825144,-76293,4266
1689109825148,-76293,4266
1689109825152,-76293,4266
1689109825156,-76293,4266
1689109825160,-76293,4266
1689109825164,-76293,4266
1689109825167,-76293,4266
1689109825172,-76293,4266
1689109825177,-76293,4266
1689109825181,-76293,4266
1689109825184,-76293,4266
1689109825189,-76293,4266
1689109825192,-76293,4266
1689109825196,-76293,4266
1689109825201,-76293,4266
1689109825204,-76293,4266
1689109825208,-76293,4266
1689109825212,-76293,4266
1689109825218,-76293,4266
1689109825222,-76293,4266
1689109825226,-76293,4266
1689109825230,-76293,4266
1689109825234,-76293,4266
1689109825239,-76293,4266
1689109825243,-76293,4266
1689109825247,-76293,4266
1689109825251,-76293,4266
1689109825255,-76293,4266
1689109825260,-76293,4266
1689109825264,-76293,4266
1689109825267,-76293,4266
1689109825271,-76293,4266
1689109825275,-76293,4266
1689109825279,-76293,4266
1689109825283,-76293,4266
1689109825287,-76293,4266
1689109825290,-76293,4266
1689109825294,-76293,4266
1689109825299,-76293,4266
1689109825303,-76293,4266
1689109825308,-76293,4266
1689109825318,-76293,4266
1689109825323,-76293,4266
1689109825327,-76293,4266
1689109825331,-76293,4266
1689109825335,-76293,4266
1689109825341,-76293,4266
1689109825344,-76293,4266
1689109825347,-76293,4266
1689109825349,-76293,4266
1689109825352,-76293,4266
1689109825355,-76293,4266
1689109825358,-76293,4266
1689109825361,-76293,4266
1689109825364,-76293,4266
1689109825366,-76293,4266
1689109825369,-76293,4266
1689109825372,-76293,4266
1689109825375,-76293,4266
1689109825378,-76293,4266
1689109825383,-76293,4266
1689109825386,-76293,4266
1689109825389,-76293,4266
1689109825393,-76293,4266
1689109825396,-76293,4266
1689109825399,-76293,4266
1689109825403,-76293,4266
1689109825406,-76293,4266
1689109825409,-76293,4266
1689109825412,-76293,4266
1689109825416,-76293,4266
1689109825419,-76293,4266
1689109825422,-76293,4266
1689109825425,-76293,4266
1689109825429,-76293,4266
1689109825433,-76293,4266
1689109825437,-76293,4266
1689109825440,-76293,4266
1689109825443,-76293,4266
1689109825446,-76293,4266
1689109825450,-76293,4266
1689109825453,-76293,4266
1689109825457,-76293,4266
1689109825460,-76293,4266
1689109825463,-76293,4266
1689109825466,-76293,4266
1689109825470,-76293,4266
1689109825474,-76293,4266
1689109825480,-76293,4266
1689109825483,-76293,4266
1689109825487,-76293,4266
1689109825491,-76293,4266
1689109825496,-76293,4266
1689109825500,-76293,4266
1689109825504,-76293,4266
1689109825508,-76293,4266
1689109825512,-76293,4266
1689109825563,-76293,4266
1689109825567,-76293,4266
1689109825572,-76293,4266
1689109825578,-76293,4266
1689109825581,-76293,4266
1689109825585,-76293,4266
1689109825588,-76293,4266
1689109825591,-76293,4266
1689109825594,-76293,4266
1689109825597,-76293,4266
