Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688649480430,-113219,4178
1688649480439,-113219,4178
1688649480446,-113219,4178
1688649480455,-113219,4178
1688649480462,-113219,4178
1688649480470,-113219,4178
1688649480475,-113219,4178
1688649480481,-113219,4178
1688649480488,-113219,4178
1688649480494,-113219,4178
1688649480499,-113219,4178
1688649480505,-113219,4178
1688649480511,-113219,4178
1688649480516,-113219,4178
1688649480523,-113219,4178
1688649480529,-113219,4178
1688649480535,-113219,4178
1688649480541,-113219,4178
1688649480546,-113219,4178
1688649480552,-113219,4178
1688649480558,-113219,4178
1688649480564,-113219,4178
1688649480569,-113219,4178
1688649480574,-113219,4178
1688649480579,-113219,4178
1688649480584,-113219,4178
1688649480589,-113219,4178
1688649480595,-113219,4178
1688649480600,-113219,4178
1688649480605,-113219,4178
1688649480610,-113219,4178
1688649480615,-113219,4178
1688649480620,-113219,4178
1688649480625,-113219,4178
1688649480631,-113219,4178
1688649480636,-113219,4178
1688649480641,-113219,4178
1688649480646,-113219,4178
1688649480654,-113219,4178
1688649480660,-113219,4178
1688649480667,-113219,4178
1688649480673,-113219,4178
1688649480679,-113219,4178
1688649480685,-113219,4178
1688649480692,-113219,4178
1688649480699,-113219,4178
1688649480705,-113219,4178
1688649480711,-113219,4178
1688649480718,-113219,4178
1688649480724,-113219,4178
1688649480731,-113219,4178
1688649480737,-113219,4178
1688649480743,-113219,4178
1688649480749,-113219,4178
1688649480756,-113219,4178
1688649480762,-113219,4178
1688649480769,-113219,4178
1688649480777,-113219,4178
1688649480784,-113219,4178
1688649480791,-113219,4178
1688649480798,-113219,4178
1688649480807,-113219,4178
1688649480814,-113219,4178
1688649480822,-113219,4178
1688649480830,-113219,4178
1688649480838,-113219,4178
1688649480845,-113219,4178
1688649480853,-113219,4178
1688649480861,-113219,4178
1688649480871,-113219,4178
1688649480879,-113219,4178
1688649480888,-113219,4178
1688649480895,-113219,4178
1688649480903,-113219,4178
1688649480911,-113219,4178
1688649480919,-113219,4178
1688649480927,-113219,4178
1688649480934,-113219,4178
1688649480943,-113219,4178
1688649480952,-113219,4178
1688649480961,-113219,4178
1688649480969,-113219,4178
1688649480979,-113219,4178
1688649480992,-113219,4178
1688649481005,-113219,4178
1688649481016,-113219,4178
1688649481025,-113219,4178
1688649481033,-113219,4178
1688649481042,-113219,4178
1688649481051,-113219,4178
1688649481061,-113219,4178
1688649481071,-113219,4178
1688649481080,-113219,4178
1688649481089,-113219,4178
1688649481098,-113219,4178
1688649481108,-113219,4178
1688649481118,-113219,4178
1688649481134,-113219,4178
1688649481145,-113219,4178
1688649481154,-113219,4178
1688649481164,-113219,4178
1688649481172,-113219,4178
1688649481178,-113219,4178
1688649481184,-113219,4178
1688649481189,-113219,4178
1688649481196,-113219,4178
1688649481201,-113219,4178
1688649481207,-113219,4178
1688649481213,-113219,4178
1688649481219,-113219,4178
1688649481225,-113219,4178
1688649481233,-113219,4178
1688649481240,-113219,4178
1688649481247,-113219,4178
1688649481254,-113219,4178
1688649481261,-113219,4178
1688649481269,-113219,4178
1688649481275,-113219,4178
1688649481284,-113219,4178
1688649481295,-113219,4178
1688649481302,-113219,4178
1688649481310,-113219,4178
1688649481318,-113219,4178
1688649481326,-113219,4178
1688649481335,-113219,4178
1688649481344,-113219,4178
1688649481355,-113219,4178
1688649481366,-113219,4178
1688649481376,-113219,4178
1688649481388,-113219,4178
1688649481397,-113219,4178
1688649481406,-113219,4178
1688649481414,-113219,4178
1688649481423,-113219,4178
1688649481431,-113219,4178
1688649481439,-113219,4178
1688649481448,-113219,4178
1688649481457,-113219,4178
1688649481465,-113219,4178
1688649481474,-113219,4178
1688649481483,-113219,4178
1688649481492,-113219,4178
1688649481501,-113219,4178
1688649481511,-113219,4178
1688649481520,-113219,4178
1688649481530,-113219,4178
1688649481540,-113219,4178
1688649481549,-113219,4178
1688649481560,-113219,4178
1688649481569,-113219,4178
