Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688923270982,-154570,4186
1688923270993,-154570,4186
1688923271003,-154570,4186
1688923271011,-154570,4186
1688923271019,-154570,4186
1688923271025,-154570,4186
1688923271033,-154570,4186
1688923271039,-154570,4186
1688923271046,-154570,4186
1688923271052,-154570,4186
1688923271062,-154570,4186
1688923271071,-154570,4186
1688923271079,-154570,4186
1688923271087,-154570,4186
1688923271094,-154570,4186
1688923271100,-154570,4186
1688923271108,-154570,4186
1688923271114,-154570,4186
1688923271120,-154570,4186
1688923271127,-154570,4186
1688923271133,-154570,4186
1688923271141,-154570,4186
1688923271148,-154570,4186
1688923271155,-154570,4186
1688923271163,-154570,4186
1688923271171,-154570,4186
1688923271179,-154570,4186
1688923271186,-154570,4186
1688923271194,-154570,4186
1688923271202,-154570,4186
1688923271209,-154570,4186
1688923271217,-154570,4186
1688923271224,-154570,4186
1688923271232,-154570,4186
1688923271239,-154570,4186
1688923271247,-154570,4186
1688923271254,-154570,4186
1688923271266,-154570,4186
1688923271275,-154570,4186
1688923271284,-154570,4186
1688923271294,-154570,4186
1688923271304,-154570,4186
1688923271313,-154570,4186
1688923271323,-154570,4186
1688923271333,-154570,4186
1688923271343,-154570,4186
1688923271352,-154570,4186
1688923271361,-154570,4186
1688923271370,-154570,4186
1688923271379,-154570,4186
1688923271389,-154570,4186
1688923271397,-154570,4186
1688923271406,-154570,4186
1688923271414,-154570,4186
1688923271423,-154570,4186
1688923271432,-154570,4186
1688923271446,-154570,4186
1688923271455,-154570,4186
1688923271465,-154570,4186
1688923271472,-154570,4186
1688923271481,-154570,4186
1688923271489,-154570,4186
1688923271497,-154570,4186
1688923271505,-154570,4186
1688923271513,-154570,4186
1688923271522,-154570,4186
1688923271531,-154570,4186
1688923271540,-154570,4186
1688923271550,-154570,4186
1688923271561,-154570,4186
1688923271571,-154570,4186
1688923271582,-154570,4186
1688923271590,-154570,4186
1688923271598,-154570,4186
1688923271605,-154570,4186
1688923271612,-154570,4186
1688923271618,-154570,4186
1688923271627,-154570,4186
1688923271636,-154570,4186
1688923271644,-154570,4186
1688923271655,-154570,4186
1688923271665,-154570,4186
1688923271675,-154570,4186
1688923271686,-154570,4186
1688923271698,-154570,4186
1688923271708,-154570,4186
1688923271717,-154570,4186
1688923271727,-154570,4186
1688923271736,-154570,4186
1688923271745,-154570,4186
1688923271755,-154570,4186
1688923271764,-154570,4186
1688923271773,-154570,4186
1688923271782,-154570,4186
1688923271791,-154570,4186
1688923271801,-154570,4186
1688923271811,-154570,4186
1688923271820,-154570,4186
1688923271828,-154570,4186
1688923271837,-154570,4186
1688923271851,-154570,4186
1688923271861,-154570,4186
1688923271871,-154570,4186
1688923271880,-154570,4186
1688923271889,-154570,4186
1688923271897,-154570,4186
1688923271905,-154570,4186
1688923271914,-154570,4186
1688923271922,-154570,4186
1688923271931,-154570,4186
1688923271940,-154570,4186
1688923271948,-154570,4186
1688923271957,-154570,4186
1688923271965,-154570,4186
1688923271973,-154570,4186
1688923271984,-154570,4186
1688923271993,-154570,4186
1688923272005,-154570,4186
1688923272019,-154570,4186
1688923272029,-154570,4186
1688923272040,-154570,4186
1688923272051,-154570,4186
1688923272060,-154570,4186
1688923272070,-154570,4186
1688923272080,-154570,4186
1688923272090,-154570,4186
1688923272100,-154570,4186
1688923272109,-154570,4186
1688923272118,-154570,4186
1688923272129,-154570,4186
1688923272139,-154570,4186
1688923272147,-154570,4186
1688923272155,-154570,4186
1688923272163,-154570,4186
1688923272171,-154570,4186
1688923272180,-154570,4186
1688923272188,-154570,4186
1688923272197,-154570,4186
1688923272206,-154570,4186
1688923272215,-154570,4186
1688923272223,-154570,4186
1688923272231,-154570,4186
1688923272239,-154570,4186
1688923272248,-154570,4186
1688923272261,-154570,4186
1688923272271,-154570,4186
1688923272282,-154570,4186
1688923272291,-154570,4186
1688923272303,-154570,4186
1688923272314,-154570,4186
1688923272325,-154570,4186
1688923272334,-154570,4186
1688923272347,-154570,4186
1688923272356,-154570,4186
1688923272368,-154570,4186
1688923272377,-154570,4186
1688923272388,-154570,4186
1688923272396,-154570,4186
1688923272404,-154570,4186
1688923272413,-154570,4186
1688923272421,-154570,4186
1688923272430,-154570,4186
1688923272439,-154570,4186
1688923272448,-154570,4186
1688923272457,-154570,4186
1688923272466,-154570,4186
1688923272477,-154570,4186
1688923272485,-154570,4186
1688923272493,-154570,4186
