Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688930172395,-160063,4260
1688930172405,-160063,4260
1688930172414,-160063,4260
1688930172421,-160063,4260
1688930172429,-160063,4260
1688930172435,-160063,4260
1688930172442,-160063,4260
1688930172448,-160063,4260
1688930172454,-160063,4260
1688930172460,-160063,4260
1688930172468,-160063,4260
1688930172474,-160063,4260
1688930172480,-160063,4260
1688930172488,-160063,4260
1688930172493,-160063,4260
1688930172499,-160063,4260
1688930172505,-160063,4260
1688930172511,-160063,4260
1688930172517,-160063,4260
1688930172523,-160063,4260
1688930172529,-160063,4260
1688930172535,-160063,4260
1688930172540,-160063,4260
1688930172546,-160063,4260
1688930172551,-160063,4260
1688930172557,-160063,4260
1688930172563,-160063,4260
1688930172570,-160063,4260
1688930172577,-160063,4260
1688930172584,-160063,4260
1688930172591,-160063,4260
1688930172597,-160063,4260
1688930172605,-160063,4260
1688930172612,-160063,4260
1688930172619,-160063,4260
1688930172628,-160063,4260
1688930172637,-160063,4260
1688930172646,-160063,4260
1688930172653,-160063,4260
1688930172661,-160063,4260
1688930172672,-160063,4260
1688930172681,-160063,4260
1688930172691,-160063,4260
1688930172700,-160063,4260
1688930172710,-160063,4260
1688930172721,-160063,4260
1688930172732,-160063,4260
1688930172743,-160063,4260
1688930172755,-160063,4260
1688930172766,-160063,4260
1688930172776,-160063,4260
1688930172787,-160063,4260
1688930172797,-160063,4260
1688930172807,-160063,4260
1688930172817,-160063,4260
1688930172828,-160063,4260
1688930172837,-160063,4260
1688930172849,-160063,4260
1688930172860,-160063,4260
1688930172871,-160063,4260
1688930172883,-160063,4260
1688930172894,-160063,4260
1688930172905,-160063,4260
1688930172915,-160063,4260
1688930172927,-160063,4260
1688930172938,-160063,4260
1688930172948,-160063,4260
1688930172958,-160063,4260
1688930172968,-160063,4260
1688930172981,-160063,4260
1688930172992,-160063,4260
1688930173004,-160063,4260
1688930173013,-160063,4260
1688930173023,-160063,4260
1688930173033,-160063,4260
1688930173042,-160063,4260
1688930173050,-160063,4260
1688930173061,-160063,4260
1688930173070,-160063,4260
1688930173082,-160063,4260
1688930173090,-160063,4260
1688930173099,-160063,4260
1688930173106,-160063,4260
1688930173114,-160063,4260
1688930173121,-160063,4260
1688930173130,-160063,4260
1688930173137,-160063,4260
1688930173143,-160063,4260
1688930173154,-160063,4260
1688930173162,-160063,4260
1688930173170,-160063,4260
1688930173179,-160063,4260
1688930173186,-160063,4260
1688930173194,-160063,4260
1688930173202,-160063,4260
1688930173210,-160063,4260
1688930173219,-160063,4260
1688930173226,-160063,4260
1688930173234,-160063,4260
1688930173242,-160063,4260
1688930173252,-160063,4260
1688930173262,-160063,4260
1688930173271,-160063,4260
1688930173278,-160063,4260
1688930173286,-160063,4260
1688930173295,-160063,4260
1688930173303,-160063,4260
1688930173309,-160063,4260
1688930173319,-160063,4260
1688930173327,-160063,4260
1688930173335,-160063,4260
1688930173343,-160063,4260
1688930173350,-160063,4260
1688930173359,-160063,4260
1688930173367,-160063,4260
1688930173377,-160063,4260
1688930173386,-160063,4260
1688930173396,-160063,4260
1688930173405,-160063,4260
1688930173414,-160063,4260
1688930173424,-160063,4260
1688930173434,-160063,4260
1688930173443,-160063,4260
1688930173453,-160063,4260
1688930173462,-160063,4260
1688930173470,-160063,4260
1688930173480,-160063,4260
1688930173488,-160063,4260
1688930173498,-160063,4260
1688930173507,-160063,4260
1688930173517,-160063,4260
1688930173525,-160063,4260
1688930173535,-160063,4260
1688930173543,-160063,4260
1688930173552,-160063,4260
1688930173559,-160063,4260
1688930173567,-160063,4260
1688930173574,-160063,4260
1688930173582,-160063,4260
1688930173591,-160063,4260
1688930173598,-160063,4260
1688930173607,-160063,4260
1688930173617,-160063,4260
1688930173624,-160063,4260
1688930173634,-160063,4260
1688930173642,-160063,4260
1688930173649,-160063,4260
1688930173656,-160063,4260
1688930173663,-160063,4260
1688930173671,-160063,4260
1688930173678,-160063,4260
1688930173685,-160063,4260
1688930173693,-160063,4260
1688930173699,-160063,4260
1688930173707,-160063,4260
1688930173715,-160063,4260
1688930173722,-160063,4260
1688930173729,-160063,4260
1688930173736,-160063,4260
1688930173742,-160063,4260
1688930173750,-160063,4260
1688930173756,-160063,4260
1688930173764,-160063,4260
1688930173770,-160063,4260
1688930173777,-160063,4260
1688930173783,-160063,4260
1688930173790,-160063,4260
1688930173797,-160063,4260
1688930173804,-160063,4260
1688930173812,-160063,4260
1688930173820,-160063,4260
1688930173827,-160063,4260
1688930173835,-160063,4260
1688930173842,-160063,4260
1688930173852,-160063,4260
1688930173860,-160063,4260
1688930173867,-160063,4260
1688930173874,-160063,4260
1688930173882,-160063,4260
1688930173889,-160063,4260
1688930173897,-160063,4260
1688930173905,-160063,4260
1688930173913,-160063,4260
1688930173920,-160063,4260
1688930173928,-160063,4260
1688930173935,-160063,4260
1688930173947,-160063,4260
1688930173954,-160063,4260
1688930173962,-160063,4260
1688930173970,-160063,4260
1688930173978,-160063,4260
1688930173988,-160063,4260
1688930173996,-160063,4260
1688930174005,-160063,4260
1688930174013,-160063,4260
1688930174024,-160063,4260
1688930174032,-160063,4260
1688930174041,-160063,4260
1688930174050,-160063,4260
1688930174058,-160063,4260
1688930174067,-160063,4260
1688930174075,-160063,4260
1688930174083,-160063,4260
1688930174091,-160063,4260
1688930174100,-160063,4260
1688930174112,-160063,4260
1688930174120,-160063,4260
1688930174128,-160063,4260
1688930174136,-160063,4260
1688930174144,-160063,4260
1688930174151,-160063,4260
1688930174160,-160063,4260
1688930174167,-160063,4260
1688930174175,-160063,4260
1688930174183,-160063,4260
1688930174192,-160063,4260
1688930174200,-160063,4260
1688930174210,-160063,4260
1688930174220,-160063,4260
1688930174228,-160063,4260
1688930174243,-160063,4260
1688930174259,-160063,4260
1688930174271,-160063,4260
1688930174281,-160063,4260
1688930174288,-160063,4260
1688930174295,-160063,4260
1688930174302,-160063,4260
1688930174309,-160063,4260
1688930174316,-160063,4260
1688930174325,-160063,4260
1688930174332,-160063,4260
1688930174340,-160063,4260
1688930174347,-160063,4260
1688930174353,-160063,4260
1688930174361,-160063,4260
1688930174368,-160063,4260
1688930174376,-160063,4260
1688930174383,-160063,4260
1688930174390,-160063,4260
1688930174396,-160063,4260
