Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688935477905,-102385,4142
1688935477913,-102385,4142
1688935477919,-102385,4142
1688935477926,-102385,4142
1688935477932,-102385,4142
1688935477938,-102385,4142
1688935477944,-102385,4142
1688935477949,-102385,4142
1688935477955,-102385,4142
1688935477964,-102385,4142
1688935477970,-102385,4142
1688935477975,-102385,4142
1688935477981,-102385,4142
1688935477986,-102385,4142
1688935477992,-102385,4142
1688935477998,-102385,4142
1688935478005,-102385,4142
1688935478011,-102385,4142
1688935478017,-102385,4142
1688935478023,-102385,4142
1688935478030,-102385,4142
1688935478036,-102385,4142
1688935478042,-102385,4142
1688935478050,-102385,4142
1688935478056,-102385,4142
1688935478062,-102385,4142
1688935478068,-102385,4142
1688935478075,-102385,4142
1688935478081,-102385,4142
1688935478087,-102385,4142
1688935478093,-102385,4142
1688935478100,-102385,4142
1688935478106,-102385,4142
1688935478111,-102385,4142
1688935478118,-102385,4142
1688935478125,-102385,4142
1688935478131,-102385,4142
1688935478138,-102385,4142
1688935478144,-102385,4142
1688935478152,-102385,4142
1688935478159,-102385,4142
1688935478166,-102385,4142
1688935478173,-102385,4142
1688935478180,-102385,4142
1688935478188,-102385,4142
1688935478196,-102385,4142
1688935478204,-102385,4142
1688935478212,-102385,4142
1688935478222,-102385,4142
1688935478233,-102385,4142
1688935478241,-102385,4142
1688935478250,-102385,4142
1688935478258,-102385,4142
1688935478269,-102385,4142
1688935478278,-102385,4142
1688935478287,-102385,4142
1688935478297,-102385,4142
1688935478306,-102385,4142
1688935478316,-102385,4142
1688935478325,-102385,4142
1688935478336,-102385,4142
1688935478346,-102385,4142
1688935478356,-102385,4142
1688935478366,-102385,4142
1688935478374,-102385,4142
1688935478383,-102385,4142
1688935478393,-102385,4142
1688935478403,-102385,4142
1688935478414,-102385,4142
1688935478427,-102385,4142
1688935478438,-102385,4142
1688935478448,-102385,4142
1688935478457,-102385,4142
1688935478465,-102385,4142
1688935478473,-102385,4142
1688935478483,-102385,4142
1688935478493,-102385,4142
1688935478503,-102385,4142
1688935478511,-102385,4142
1688935478519,-102385,4142
1688935478527,-102385,4142
1688935478536,-102385,4142
1688935478543,-102385,4142
1688935478551,-102385,4142
1688935478558,-102385,4142
1688935478565,-102385,4142
1688935478571,-102385,4142
1688935478578,-102385,4142
1688935478585,-102385,4142
1688935478592,-102385,4142
1688935478598,-102385,4142
1688935478605,-102385,4142
1688935478614,-102385,4142
1688935478622,-102385,4142
1688935478630,-102385,4142
1688935478637,-102385,4142
1688935478646,-102385,4142
1688935478656,-102385,4142
1688935478666,-102385,4142
1688935478676,-102385,4142
1688935478683,-102385,4142
1688935478690,-102385,4142
1688935478696,-102385,4142
1688935478703,-102385,4142
1688935478709,-102385,4142
1688935478716,-102385,4142
1688935478723,-102385,4142
1688935478729,-102385,4142
1688935478736,-102385,4142
1688935478743,-102385,4142
1688935478750,-102385,4142
1688935478756,-102385,4142
1688935478763,-102385,4142
1688935478770,-102385,4142
1688935478777,-102385,4142
1688935478787,-102385,4142
1688935478796,-102385,4142
1688935478805,-102385,4142
1688935478814,-102385,4142
1688935478823,-102385,4142
1688935478833,-102385,4142
1688935478843,-102385,4142
1688935478854,-102385,4142
1688935478863,-102385,4142
1688935478874,-102385,4142
1688935478883,-102385,4142
1688935478893,-102385,4142
1688935478901,-102385,4142
1688935478911,-102385,4142
1688935478923,-102385,4142
1688935478934,-102385,4142
1688935478943,-102385,4142
1688935478952,-102385,4142
1688935478961,-102385,4142
1688935478970,-102385,4142
1688935478979,-102385,4142
1688935478988,-102385,4142
1688935478998,-102385,4142
1688935479008,-102385,4142
1688935479018,-102385,4142
1688935479027,-102385,4142
1688935479036,-102385,4142
1688935479051,-102385,4142
1688935479063,-102385,4142
1688935479073,-102385,4142
1688935479082,-102385,4142
1688935479090,-102385,4142
1688935479099,-102385,4142
1688935479108,-102385,4142
1688935479116,-102385,4142
1688935479125,-102385,4142
1688935479133,-102385,4142
1688935479141,-102385,4142
1688935479151,-102385,4142
1688935479161,-102385,4142
1688935479171,-102385,4142
1688935479181,-102385,4142
1688935479190,-102385,4142
1688935479200,-102385,4142
1688935479210,-102385,4142
1688935479220,-102385,4142
1688935479230,-102385,4142
1688935479242,-102385,4142
1688935479252,-102385,4142
1688935479265,-102385,4142
1688935479273,-102385,4142
1688935479282,-102385,4142
1688935479293,-102385,4142
1688935479301,-102385,4142
1688935479310,-102385,4142
1688935479318,-102385,4142
1688935479326,-102385,4142
1688935479335,-102385,4142
1688935479344,-102385,4142
1688935479354,-102385,4142
1688935479361,-102385,4142
1688935479369,-102385,4142
1688935479376,-102385,4142
1688935479383,-102385,4142
1688935479390,-102385,4142
1688935479397,-102385,4142
1688935479405,-102385,4142
1688935479417,-102385,4142
1688935479425,-102385,4142
1688935479434,-102385,4142
1688935479442,-102385,4142
1688935479452,-102385,4142
1688935479460,-102385,4142
1688935479468,-102385,4142
1688935479476,-102385,4142
1688935479484,-102385,4142
1688935479491,-102385,4142
1688935479499,-102385,4142
1688935479508,-102385,4142
1688935479516,-102385,4142
1688935479525,-102385,4142
1688935479533,-102385,4142
1688935479542,-102385,4142
1688935479551,-102385,4142
1688935479562,-102385,4142
1688935479572,-102385,4142
1688935479581,-102385,4142
1688935479591,-102385,4142
1688935479599,-102385,4142
1688935479608,-102385,4142
1688935479620,-102385,4142
1688935479633,-102385,4142
1688935479644,-102385,4142
1688935479653,-102385,4142
1688935479661,-102385,4142
1688935479670,-102385,4142
1688935479678,-102385,4142
1688935479686,-102385,4142
1688935479693,-102385,4142
1688935479702,-102385,4142
1688935479711,-102385,4142
1688935479720,-102385,4142
1688935479729,-102385,4142
1688935479739,-102385,4142
1688935479748,-102385,4142
1688935479759,-102385,4142
1688935479768,-102385,4142
1688935479778,-102385,4142
1688935479787,-102385,4142
1688935479796,-102385,4142
1688935479805,-102385,4142
1688935479813,-102385,4142
1688935479821,-102385,4142
1688935479830,-102385,4142
1688935479837,-102385,4142
1688935479845,-102385,4142
1688935479854,-102385,4142
1688935479862,-102385,4142
1688935479871,-102385,4142
1688935479879,-102385,4142
1688935479891,-102385,4142
1688935479902,-102385,4142
1688935479910,-102385,4142
1688935479918,-102385,4142
1688935479925,-102385,4142
1688935479933,-102385,4142
1688935479941,-102385,4142
1688935479948,-102385,4142
1688935479957,-102385,4142
1688935479964,-102385,4142
1688935479973,-102385,4142
1688935479981,-102385,4142
1688935479989,-102385,4142
1688935479997,-102385,4142
1688935480004,-102385,4142
1688935480010,-102385,4142
1688935480018,-102385,4142
1688935480024,-102385,4142
1688935480031,-102385,4142
1688935480037,-102385,4142
1688935480044,-102385,4142
1688935480050,-102385,4142
1688935480056,-102385,4142
1688935480063,-102385,4142
1688935480069,-102385,4142
1688935480076,-102385,4142
1688935480084,-102385,4142
1688935480091,-102385,4142
1688935480098,-102385,4142
1688935480106,-102385,4142
1688935480114,-102385,4142
1688935480122,-102385,4142
1688935480130,-102385,4142
1688935480139,-102385,4142
1688935480149,-102385,4142
1688935480159,-102385,4142
1688935480170,-102385,4142
1688935480177,-102385,4142
1688935480183,-102385,4142
1688935480190,-102385,4142
1688935480196,-102385,4142
1688935480202,-102385,4142
1688935480208,-102385,4142
1688935480215,-102385,4142
1688935480224,-102385,4142
1688935480232,-102385,4142
1688935480239,-102385,4142
1688935480246,-102385,4142
1688935480254,-102385,4142
1688935480262,-102385,4142
1688935480269,-102385,4142
1688935480278,-102385,4142
1688935480287,-102385,4142
1688935480294,-102385,4142
1688935480302,-102385,4142
1688935480309,-102385,4142
1688935480317,-102385,4142
1688935480324,-102385,4142
1688935480331,-102385,4142
1688935480339,-102385,4142
1688935480348,-102385,4142
1688935480360,-102385,4142
1688935480370,-102385,4142
1688935480378,-102385,4142
1688935480387,-102385,4142
1688935480395,-102385,4142
1688935480404,-102385,4142
1688935480413,-102385,4142
1688935480421,-102385,4142
1688935480430,-102385,4142
1688935480438,-102385,4142
1688935480447,-102385,4142
1688935480456,-102385,4142
1688935480466,-102385,4142
1688935480475,-102385,4142
1688935480484,-102385,4142
1688935480492,-102385,4142
1688935480501,-102385,4142
1688935480510,-102385,4142
1688935480518,-102385,4142
1688935480527,-102385,4142
1688935480535,-102385,4142
1688935480543,-102385,4142
1688935480552,-102385,4142
1688935480560,-102385,4142
1688935480568,-102385,4142
1688935480577,-102385,4142
1688935480585,-102385,4142
1688935480593,-102385,4142
1688935480603,-102385,4142
1688935480613,-102385,4142
1688935480621,-102385,4142
1688935480630,-102385,4142
1688935480636,-102385,4142
1688935480642,-102385,4142
1688935480648,-102385,4142
1688935480655,-102385,4142
1688935480661,-102385,4142
1688935480671,-102385,4142
1688935480678,-102385,4142
1688935480685,-102385,4142
1688935480693,-102385,4142
1688935480700,-102385,4142
1688935480706,-102385,4142
1688935480713,-102385,4142
1688935480720,-102385,4142
1688935480727,-102385,4142
1688935480733,-102385,4142
1688935480740,-102385,4142
1688935480746,-102385,4142
1688935480752,-102385,4142
1688935480759,-102385,4142
1688935480766,-102385,4142
1688935480772,-102385,4142
1688935480780,-102385,4142
1688935480786,-102385,4142
1688935480793,-102385,4142
1688935480799,-102385,4142
1688935480806,-102385,4142
1688935480813,-102385,4142
1688935480819,-102385,4142
1688935480826,-102385,4142
1688935480834,-102385,4142
1688935480843,-102385,4142
1688935480851,-102385,4142
1688935480859,-102385,4142
1688935480867,-102385,4142
1688935480876,-102385,4142
1688935480885,-102385,4142
1688935480894,-102385,4142
1688935480902,-102385,4142
1688935480911,-102385,4142
1688935480919,-102385,4142
1688935480927,-102385,4142
1688935480934,-102385,4142
1688935480943,-102385,4142
1688935480951,-102385,4142
1688935480959,-102385,4142
1688935480968,-102385,4142
1688935480976,-102385,4142
1688935480987,-102385,4142
1688935480995,-102385,4142
1688935481004,-102385,4142
1688935481014,-102385,4142
1688935481026,-102385,4142
1688935481036,-102385,4142
1688935481046,-102385,4142
1688935481056,-102385,4142
1688935481066,-102385,4142
1688935481077,-102385,4142
1688935481087,-102385,4142
1688935481094,-102385,4142
1688935481102,-102385,4142
1688935481109,-102385,4142
1688935481117,-102385,4142
1688935481124,-102385,4142
1688935481132,-102385,4142
1688935481139,-102385,4142
1688935481148,-102385,4142
1688935481156,-102385,4142
1688935481163,-102385,4142
1688935481171,-102385,4142
1688935481179,-102385,4142
1688935481187,-102385,4142
1688935481194,-102385,4142
1688935481202,-102385,4142
1688935481209,-102385,4142
1688935481216,-102385,4142
1688935481223,-102385,4142
1688935481231,-102385,4142
1688935481238,-102385,4142
1688935481245,-102385,4142
1688935481251,-102385,4142
1688935481258,-102385,4142
1688935481266,-102385,4142
1688935481273,-102385,4142
1688935481280,-102385,4142
1688935481288,-102385,4142
1688935481296,-102385,4142
1688935481304,-102385,4142
1688935481313,-102385,4142
1688935481320,-102385,4142
1688935481328,-102385,4142
1688935481334,-102385,4142
1688935481339,-102385,4142
1688935481346,-102385,4142
1688935481351,-102385,4142
1688935481358,-102385,4142
1688935481365,-102385,4142
1688935481373,-102385,4142
1688935481379,-102385,4142
1688935481385,-102385,4142
1688935481391,-102385,4142
1688935481397,-102385,4142
1688935481403,-102385,4142
1688935481408,-102385,4142
1688935481414,-102385,4142
1688935481420,-102385,4142
1688935481426,-102385,4142
1688935481431,-102385,4142
1688935481437,-102385,4142
1688935481443,-102385,4142
1688935481449,-102385,4142
1688935481455,-102385,4142
1688935481462,-102385,4142
1688935481469,-102385,4142
1688935481476,-102385,4142
1688935481484,-102385,4142
1688935481491,-102385,4142
1688935481499,-102385,4142
1688935481506,-102385,4142
1688935481514,-102385,4142
1688935481521,-102385,4142
1688935481529,-102385,4142
1688935481536,-102385,4142
1688935481544,-102385,4142
1688935481553,-102385,4142
1688935481561,-102385,4142
1688935481571,-102385,4142
1688935481580,-102385,4142
1688935481589,-102385,4142
1688935481597,-102385,4142
1688935481605,-102385,4142
1688935481617,-102385,4142
1688935481625,-102385,4142
1688935481633,-102385,4142
1688935481641,-102385,4142
1688935481650,-102385,4142
1688935481658,-102385,4142
1688935481668,-102385,4142
1688935481678,-102385,4142
1688935481687,-102385,4142
1688935481696,-102385,4142
1688935481707,-102385,4142
1688935481717,-102385,4142
1688935481725,-102385,4142
1688935481733,-102385,4142
1688935481741,-102385,4142
1688935481749,-102385,4142
1688935481757,-102385,4142
1688935481766,-102385,4142
1688935481774,-102385,4142
1688935481782,-102385,4142
1688935481790,-102385,4142
1688935481799,-102385,4142
1688935481807,-102385,4142
1688935481815,-102385,4142
1688935481823,-102385,4142
1688935481832,-102385,4142
1688935481840,-102385,4142
1688935481849,-102385,4142
1688935481857,-102385,4142
1688935481865,-102385,4142
1688935481874,-102385,4142
1688935481883,-102385,4142
1688935481890,-102385,4142
1688935481898,-102385,4142
1688935481907,-102385,4142
1688935481915,-102385,4142
1688935481923,-102385,4142
1688935481931,-102385,4142
1688935481939,-102385,4142
1688935481947,-102385,4142
1688935481954,-102385,4142
1688935481970,-102385,4142
1688935481979,-102385,4142
1688935481987,-102385,4142
1688935481995,-102385,4142
1688935482003,-102385,4142
1688935482012,-102385,4142
1688935482020,-102385,4142
1688935482028,-102385,4142
1688935482036,-102385,4142
1688935482050,-102385,4142
1688935482059,-102385,4142
1688935482069,-102385,4142
1688935482080,-102385,4142
1688935482089,-102385,4142
1688935482098,-102385,4142
1688935482109,-102385,4142
1688935482127,-102385,4142
1688935482136,-102385,4142
1688935482143,-102385,4142
1688935482150,-102385,4142
1688935482156,-102385,4142
1688935482162,-102385,4142
1688935482168,-102385,4142
1688935482174,-102385,4142
1688935482180,-102385,4142
1688935482185,-102385,4142
1688935482191,-102385,4142
1688935482196,-102385,4142
1688935482202,-102385,4142
1688935482207,-102385,4142
1688935482211,-102385,4142
1688935482215,-102385,4142
1688935482220,-102385,4142
1688935482224,-102385,4142
1688935482228,-102385,4142
1688935482232,-102385,4142
1688935482236,-102385,4142
1688935482240,-102385,4142
1688935482244,-102385,4142
1688935482248,-102385,4142
1688935482252,-102385,4142
1688935482256,-102385,4142
1688935482260,-102385,4142
1688935482264,-102385,4142
1688935482268,-102385,4142
