Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688937697588,-114898,4204
1688937697595,-114898,4204
1688937697601,-114898,4204
1688937697607,-114898,4204
1688937697614,-114898,4204
1688937697619,-114898,4204
1688937697625,-114898,4204
1688937697630,-114898,4204
1688937697635,-114898,4204
1688937697640,-114898,4204
1688937697645,-114898,4204
1688937697650,-114898,4204
1688937697657,-114898,4204
1688937697662,-114898,4204
1688937697669,-114898,4204
1688937697675,-114898,4204
1688937697680,-114898,4204
1688937697687,-114898,4204
1688937697692,-114898,4204
1688937697697,-114898,4204
1688937697703,-114898,4204
1688937697708,-114898,4204
1688937697713,-114898,4204
1688937697719,-114898,4204
1688937697724,-114898,4204
1688937697730,-114898,4204
1688937697736,-114898,4204
1688937697741,-114898,4204
1688937697746,-114898,4204
1688937697752,-114898,4204
1688937697757,-114898,4204
1688937697764,-114898,4204
1688937697770,-114898,4204
1688937697776,-114898,4204
1688937697782,-114898,4204
1688937697788,-114898,4204
1688937697793,-114898,4204
1688937697799,-114898,4204
1688937697806,-114898,4204
1688937697812,-114898,4204
1688937697818,-114898,4204
1688937697824,-114898,4204
1688937697830,-114898,4204
1688937697837,-114898,4204
1688937697843,-114898,4204
1688937697849,-114898,4204
1688937697855,-114898,4204
1688937697861,-114898,4204
1688937697867,-114898,4204
1688937697873,-114898,4204
1688937697879,-114898,4204
1688937697885,-114898,4204
1688937697892,-114898,4204
1688937697898,-114898,4204
1688937697905,-114898,4204
1688937697911,-114898,4204
1688937697918,-114898,4204
1688937697925,-114898,4204
1688937697931,-114898,4204
1688937697938,-114898,4204
1688937697945,-114898,4204
1688937697952,-114898,4204
1688937697959,-114898,4204
1688937697967,-114898,4204
1688937697974,-114898,4204
1688937697981,-114898,4204
1688937697988,-114898,4204
1688937697995,-114898,4204
1688937698003,-114898,4204
1688937698015,-114898,4204
1688937698025,-114898,4204
1688937698033,-114898,4204
1688937698039,-114898,4204
1688937698046,-114898,4204
1688937698053,-114898,4204
1688937698059,-114898,4204
1688937698066,-114898,4204
1688937698073,-114898,4204
1688937698080,-114898,4204
1688937698087,-114898,4204
1688937698094,-114898,4204
1688937698101,-114898,4204
1688937698108,-114898,4204
1688937698116,-114898,4204
1688937698125,-114898,4204
1688937698132,-114898,4204
1688937698140,-114898,4204
1688937698148,-114898,4204
1688937698156,-114898,4204
1688937698164,-114898,4204
1688937698171,-114898,4204
1688937698179,-114898,4204
1688937698188,-114898,4204
1688937698196,-114898,4204
1688937698204,-114898,4204
1688937698212,-114898,4204
1688937698222,-114898,4204
1688937698231,-114898,4204
1688937698241,-114898,4204
1688937698249,-114898,4204
1688937698259,-114898,4204
1688937698268,-114898,4204
1688937698277,-114898,4204
1688937698286,-114898,4204
1688937698295,-114898,4204
1688937698304,-114898,4204
1688937698312,-114898,4204
1688937698321,-114898,4204
1688937698331,-114898,4204
1688937698340,-114898,4204
1688937698349,-114898,4204
1688937698358,-114898,4204
1688937698369,-114898,4204
1688937698377,-114898,4204
1688937698386,-114898,4204
1688937698393,-114898,4204
1688937698401,-114898,4204
1688937698410,-114898,4204
1688937698419,-114898,4204
1688937698429,-114898,4204
1688937698437,-114898,4204
1688937698446,-114898,4204
1688937698455,-114898,4204
1688937698465,-114898,4204
1688937698474,-114898,4204
1688937698483,-114898,4204
1688937698491,-114898,4204
1688937698499,-114898,4204
1688937698509,-114898,4204
1688937698519,-114898,4204
1688937698529,-114898,4204
1688937698537,-114898,4204
1688937698546,-114898,4204
1688937698554,-114898,4204
1688937698562,-114898,4204
1688937698569,-114898,4204
1688937698579,-114898,4204
1688937698587,-114898,4204
1688937698594,-114898,4204
1688937698601,-114898,4204
1688937698608,-114898,4204
1688937698615,-114898,4204
1688937698622,-114898,4204
1688937698629,-114898,4204
1688937698636,-114898,4204
1688937698644,-114898,4204
1688937698651,-114898,4204
1688937698658,-114898,4204
1688937698665,-114898,4204
1688937698672,-114898,4204
1688937698679,-114898,4204
1688937698686,-114898,4204
1688937698694,-114898,4204
1688937698701,-114898,4204
1688937698712,-114898,4204
1688937698721,-114898,4204
1688937698730,-114898,4204
1688937698739,-114898,4204
1688937698747,-114898,4204
1688937698755,-114898,4204
1688937698764,-114898,4204
1688937698777,-114898,4204
1688937698790,-114898,4204
1688937698799,-114898,4204
1688937698807,-114898,4204
1688937698819,-114898,4204
1688937698828,-114898,4204
1688937698843,-114898,4204
1688937698851,-114898,4204
1688937698859,-114898,4204
1688937698867,-114898,4204
1688937698876,-114898,4204
1688937698885,-114898,4204
1688937698896,-114898,4204
1688937698905,-114898,4204
1688937698914,-114898,4204
1688937698923,-114898,4204
1688937698932,-114898,4204
1688937698941,-114898,4204
1688937698949,-114898,4204
1688937698959,-114898,4204
1688937698968,-114898,4204
1688937698977,-114898,4204
1688937698986,-114898,4204
1688937698994,-114898,4204
1688937699002,-114898,4204
1688937699010,-114898,4204
1688937699017,-114898,4204
1688937699025,-114898,4204
1688937699033,-114898,4204
1688937699040,-114898,4204
1688937699048,-114898,4204
1688937699055,-114898,4204
1688937699062,-114898,4204
1688937699070,-114898,4204
1688937699078,-114898,4204
1688937699086,-114898,4204
1688937699094,-114898,4204
1688937699102,-114898,4204
1688937699112,-114898,4204
1688937699120,-114898,4204
1688937699128,-114898,4204
1688937699135,-114898,4204
1688937699142,-114898,4204
1688937699149,-114898,4204
1688937699157,-114898,4204
1688937699164,-114898,4204
1688937699171,-114898,4204
1688937699177,-114898,4204
1688937699183,-114898,4204
1688937699189,-114898,4204
1688937699195,-114898,4204
1688937699201,-114898,4204
1688937699207,-114898,4204
1688937699214,-114898,4204
1688937699222,-114898,4204
1688937699230,-114898,4204
1688937699236,-114898,4204
1688937699244,-114898,4204
1688937699251,-114898,4204
1688937699258,-114898,4204
1688937699266,-114898,4204
1688937699275,-114898,4204
1688937699283,-114898,4204
1688937699290,-114898,4204
1688937699297,-114898,4204
1688937699305,-114898,4204
1688937699317,-114898,4204
1688937699325,-114898,4204
1688937699333,-114898,4204
1688937699340,-114898,4204
1688937699346,-114898,4204
1688937699352,-114898,4204
1688937699358,-114898,4204
1688937699364,-114898,4204
1688937699371,-114898,4204
1688937699377,-114898,4204
1688937699382,-114898,4204
1688937699388,-114898,4204
1688937699393,-114898,4204
1688937699399,-114898,4204
1688937699404,-114898,4204
1688937699410,-114898,4204
1688937699415,-114898,4204
1688937699420,-114898,4204
1688937699426,-114898,4204
1688937699432,-114898,4204
1688937699438,-114898,4204
1688937699444,-114898,4204
1688937699450,-114898,4204
1688937699456,-114898,4204
1688937699461,-114898,4204
1688937699467,-114898,4204
1688937699474,-114898,4204
1688937699481,-114898,4204
1688937699488,-114898,4204
1688937699494,-114898,4204
1688937699500,-114898,4204
1688937699506,-114898,4204
1688937699512,-114898,4204
1688937699519,-114898,4204
1688937699525,-114898,4204
1688937699533,-114898,4204
1688937699541,-114898,4204
1688937699549,-114898,4204
1688937699559,-114898,4204
1688937699567,-114898,4204
1688937699576,-114898,4204
1688937699584,-114898,4204
1688937699592,-114898,4204
1688937699600,-114898,4204
1688937699612,-114898,4204
1688937699620,-114898,4204
1688937699627,-114898,4204
1688937699637,-114898,4204
1688937699644,-114898,4204
1688937699651,-114898,4204
1688937699657,-114898,4204
1688937699663,-114898,4204
1688937699670,-114898,4204
1688937699676,-114898,4204
1688937699683,-114898,4204
1688937699689,-114898,4204
1688937699697,-114898,4204
1688937699703,-114898,4204
1688937699709,-114898,4204
1688937699716,-114898,4204
1688937699722,-114898,4204
1688937699728,-114898,4204
1688937699733,-114898,4204
1688937699740,-114898,4204
1688937699746,-114898,4204
1688937699752,-114898,4204
1688937699758,-114898,4204
1688937699764,-114898,4204
1688937699771,-114898,4204
1688937699777,-114898,4204
1688937699783,-114898,4204
1688937699790,-114898,4204
1688937699796,-114898,4204
1688937699802,-114898,4204
1688937699807,-114898,4204
1688937699813,-114898,4204
1688937699819,-114898,4204
1688937699825,-114898,4204
1688937699831,-114898,4204
