Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688578425492,-88958,4182
1688578425507,-88958,4182
1688578425522,-88958,4182
1688578425538,-88958,4182
1688578425553,-88958,4182
1688578425568,-88958,4182
1688578425584,-88958,4182
1688578425600,-88958,4182
1688578425616,-88958,4182
1688578425634,-88958,4182
1688578425653,-88958,4182
1688578425672,-88958,4182
1688578425692,-88958,4182
1688578425713,-88958,4182
1688578425736,-88958,4182
1688578425758,-88958,4182
1688578425782,-88958,4182
1688578425808,-88958,4182
1688578425832,-88958,4182
1688578425855,-88958,4182
1688578425878,-88958,4182
1688578425901,-88958,4182
1688578425928,-88958,4182
1688578425957,-88958,4182
1688578425982,-88958,4182
1688578426005,-88958,4182
1688578426028,-88958,4182
1688578426053,-88958,4182
1688578426074,-88958,4182
1688578426097,-88958,4182
1688578426120,-88958,4182
1688578426143,-88958,4182
1688578426164,-88958,4182
1688578426189,-88958,4182
1688578426214,-88958,4182
1688578426239,-88958,4182
1688578426270,-88958,4182
1688578426300,-88958,4182
1688578426322,-88958,4182
1688578426346,-88958,4182
1688578426371,-88958,4182
1688578426393,-88958,4182
1688578426412,-88958,4182
1688578426432,-88958,4182
1688578426452,-88958,4182
1688578426472,-88958,4182
1688578426492,-88958,4182
1688578426512,-88958,4182
1688578426532,-88958,4182
1688578426551,-88958,4182
1688578426570,-88958,4182
1688578426589,-88958,4182
1688578426609,-88958,4182
1688578426631,-88958,4182
1688578426657,-88958,4182
1688578426685,-88958,4182
1688578426709,-88958,4182
1688578426735,-88958,4182
1688578426763,-88958,4182
1688578426790,-88958,4182
1688578426812,-88958,4182
1688578426837,-88958,4182
1688578426861,-88958,4182
1688578426886,-88958,4182
1688578426906,-88958,4182
1688578426926,-88958,4182
1688578426950,-88958,4182
1688578426974,-88958,4182
1688578426999,-88958,4182
1688578427027,-88958,4182
1688578427049,-88958,4182
1688578427070,-88958,4182
1688578427089,-88958,4182
1688578427108,-88958,4182
1688578427133,-88958,4182
1688578427161,-88958,4182
1688578427189,-88958,4182
1688578427217,-88958,4182
1688578427242,-88958,4182
1688578427265,-88958,4182
1688578427291,-88958,4182
1688578427317,-88958,4182
1688578427344,-88958,4182
1688578427370,-88958,4182
1688578427394,-88958,4182
1688578427420,-88958,4182
1688578427443,-88958,4182
1688578427465,-88958,4182
1688578427490,-88958,4182
1688578427519,-88958,4182
1688578427543,-88958,4182
1688578427566,-88958,4182
1688578427592,-88958,4182
1688578427617,-88958,4182
1688578427645,-88958,4182
1688578427668,-88958,4182
1688578427696,-88958,4182
1688578427724,-88958,4182
1688578427753,-88958,4182
1688578427779,-88958,4182
1688578427804,-88958,4182
1688578427833,-88958,4182
1688578427855,-88958,4182
1688578427877,-88958,4182
1688578427901,-88958,4182
1688578427923,-88958,4182
1688578427947,-88958,4182
1688578427971,-88958,4182
1688578427991,-88958,4182
1688578428016,-88958,4182
1688578428039,-88958,4182
1688578428064,-88958,4182
1688578428087,-88958,4182
1688578428114,-88958,4182
1688578428138,-88958,4182
1688578428167,-88958,4182
1688578428195,-88958,4182
1688578428222,-88958,4182
1688578428244,-88958,4182
1688578428267,-88958,4182
1688578428293,-88958,4182
1688578428317,-88958,4182
1688578428342,-88958,4182
1688578428383,-88958,4182
1688578428407,-88958,4182
1688578428429,-88958,4182
1688578428449,-88958,4182
1688578428471,-88958,4182
1688578428496,-88958,4182
1688578428519,-88958,4182
1688578428541,-88958,4182
1688578428562,-88958,4182
1688578428590,-88958,4182
1688578428617,-88958,4182
1688578428642,-88958,4182
1688578428668,-88958,4182
1688578428696,-88958,4182
1688578428722,-88958,4182
1688578428751,-88958,4182
1688578428776,-88958,4182
1688578428800,-88958,4182
1688578428822,-88958,4182
1688578428848,-88958,4182
1688578428874,-88958,4182
1688578428900,-88958,4182
1688578428924,-115660,4182
1688578428950,-115660,4182
1688578428972,-115660,4182
1688578428994,-115660,4182
1688578429014,-115660,4182
1688578429033,-115660,4182
1688578429053,-115660,4182
1688578429073,-115660,4182
1688578429099,-115660,4182
1688578429127,-115660,4182
1688578429150,-115660,4182
1688578429171,-115660,4182
1688578429193,-115660,4182
1688578429215,-115660,4182
1688578429237,-115660,4182
1688578429258,-115660,4182
1688578429280,-115660,4182
1688578429304,-115660,4182
1688578429332,-115660,4182
1688578429354,-115660,4182
1688578429376,-115660,4182
1688578429396,-115660,4182
1688578429415,-115660,4182
1688578429435,-115660,4182
1688578429455,-115660,4182
1688578429477,-115660,4182
1688578429499,-115660,4182
1688578429521,-115660,4182
1688578429543,-115660,4182
1688578429566,-115660,4182
1688578429591,-115660,4182
1688578429613,-115660,4182
1688578429636,-115660,4182
1688578429660,-115660,4182
1688578429685,-115660,4182
1688578429711,-115660,4182
1688578429734,-115660,4182
1688578429755,-115660,4182
1688578429776,-115660,4182
1688578429798,-115660,4182
1688578429821,-115660,4182
1688578429844,-115660,4182
1688578429869,-115660,4182
1688578429890,-115660,4182
1688578429912,-115660,4182
1688578429929,-115660,4182
1688578429944,-115660,4182
1688578429960,-115660,4182
1688578429975,-115660,4182
1688578429990,-115660,4182
1688578430004,-115660,4182
1688578430019,-115660,4182
1688578430034,-115660,4182
1688578430048,-115660,4182
1688578430063,-115660,4182
1688578430077,-115660,4182
1688578430092,-115660,4182
1688578430107,-115660,4182
1688578430120,-115660,4182
1688578430135,-115660,4182
1688578430150,-115660,4182
1688578430169,-115660,4182
1688578430184,-115660,4182
1688578430199,-115660,4182
1688578430213,-115660,4182
1688578430228,-115660,4182
1688578430242,-115660,4182
1688578430262,-115660,4182
1688578430278,-115660,4182
1688578430292,-115660,4182
1688578430307,-115660,4182
1688578430322,-115660,4182
1688578430338,-115660,4182
1688578430352,-115660,4182
1688578430366,-115660,4182
1688578430381,-115660,4182
1688578430397,-115660,4182
1688578430413,-115660,4182
1688578430429,-115660,4182
1688578430444,-115660,4182
1688578430459,-115660,4182
1688578430477,-115660,4182
1688578430496,-115660,4182
1688578430516,-115660,4182
1688578430538,-115660,4182
1688578430560,-115660,4182
1688578430582,-115660,4182
1688578430604,-115660,4182
1688578430627,-115660,4182
1688578430645,-115660,4182
1688578430664,-115660,4182
1688578430686,-115660,4182
1688578430706,-115660,4182
1688578430725,-115660,4182
1688578430748,-115660,4182
1688578430768,-115660,4182
1688578430787,-115660,4182
1688578430806,-115660,4182
1688578430833,-115660,4182
1688578430861,-115660,4182
1688578430884,-115660,4182
1688578430905,-115660,4182
1688578430925,-115660,4182
1688578430946,-115660,4182
1688578430969,-115660,4182
1688578430990,-115660,4182
1688578431013,-115660,4182
1688578431036,-115660,4182
1688578431059,-115660,4182
1688578431084,-115660,4182
1688578431106,-115660,4182
1688578431126,-115660,4182
1688578431146,-115660,4182
1688578431169,-115660,4182
1688578431195,-115660,4182
1688578431220,-115660,4182
1688578431244,-115660,4182
1688578431266,-115660,4182
1688578431289,-115660,4182
1688578431315,-115660,4182
1688578431342,-115660,4182
1688578431362,-115660,4182
1688578431380,-115660,4182
1688578431400,-115660,4182
1688578431420,-115660,4182
1688578431442,-115660,4182
1688578431465,-115660,4182
1688578431484,-115660,4182
1688578431503,-115660,4182
1688578431522,-115660,4182
1688578431541,-115660,4182
1688578431560,-115660,4182
1688578431580,-115660,4182
1688578431600,-115660,4182
1688578431621,-115660,4182
1688578431642,-115660,4182
1688578431663,-115660,4182
1688578431684,-115660,4182
1688578431704,-115660,4182
1688578431730,-115660,4182
1688578431754,-115660,4182
1688578431779,-115660,4182
1688578431801,-115660,4182
1688578431823,-115660,4182
1688578431841,-115660,4182
1688578431859,-115660,4182
1688578431879,-115660,4182
1688578431898,-115660,4182
1688578431917,-115660,4182
1688578431939,-115660,4182
1688578431960,-115660,4182
1688578431979,-115660,4182
1688578431998,-115660,4182
1688578432016,-115660,4182
1688578432034,-115660,4182
1688578432054,-115660,4182
1688578432077,-115660,4182
1688578432097,-115660,4182
1688578432119,-115660,4182
1688578432139,-115660,4182
1688578432159,-115660,4182
1688578432181,-115660,4182
1688578432205,-115660,4182
1688578432234,-115660,4182
1688578432256,-115660,4182
1688578432277,-115660,4182
1688578432304,-115660,4182
1688578432325,-115660,4182
1688578432345,-115660,4182
1688578432366,-115660,4182
1688578432387,-115660,4182
1688578432409,-115660,4182
1688578432430,-115660,4182
1688578432452,-115660,4182
1688578432475,-115660,4182
1688578432496,-115660,4182
1688578432517,-115660,4182
1688578432538,-115660,4182
1688578432559,-115660,4182
1688578432585,-115660,4182
1688578432610,-115660,4182
1688578432634,-115660,4182
1688578432657,-115660,4182
1688578432677,-115660,4182
1688578432697,-115660,4182
1688578432718,-115660,4182
1688578432738,-115660,4182
1688578432758,-115660,4182
1688578432780,-115660,4182
1688578432807,-115660,4182
1688578432830,-115660,4182
1688578432853,-115660,4182
1688578432874,-115660,4182
1688578432893,-115660,4182
1688578432916,-115660,4182
1688578432936,-115660,4182
1688578432956,-115660,4182
1688578432977,-115660,4182
1688578432999,-115660,4182
1688578433024,-115660,4182
1688578433047,-115660,4182
1688578433069,-115660,4182
1688578433090,-115660,4182
1688578433110,-115660,4182
1688578433131,-115660,4182
1688578433149,-115660,4182
1688578433169,-115660,4182
1688578433190,-115660,4182
1688578433212,-115660,4182
1688578433232,-115660,4182
1688578433253,-115660,4182
1688578433274,-115660,4182
1688578433299,-115660,4182
1688578433326,-115660,4182
1688578433345,-115660,4182
1688578433364,-115660,4182
1688578433384,-115660,4182
1688578433406,-115660,4182
1688578433430,-115660,4182
1688578433450,-115660,4182
1688578433470,-115660,4182
1688578433490,-115660,4182
1688578433509,-115660,4182
1688578433528,-115660,4182
1688578433554,-115660,4182
1688578433577,-115660,4182
1688578433602,-115660,4182
1688578433628,-115660,4182
1688578433650,-115660,4182
1688578433673,-115660,4182
1688578433702,-115660,4182
1688578433724,-115660,4182
1688578433744,-115660,4182
1688578433766,-115660,4182
1688578433787,-115660,4182
1688578433808,-115660,4182
1688578433829,-115660,4182
1688578433850,-115660,4182
1688578433871,-115660,4182
1688578433896,-115660,4182
1688578433920,-115660,4182
1688578433943,-115660,4182
1688578433965,-115660,4182
1688578433986,-115660,4182
1688578434007,-115660,4182
1688578434029,-115660,4182
1688578434048,-115660,4182
1688578434067,-115660,4182
1688578434085,-115660,4182
1688578434107,-115660,4182
1688578434128,-115660,4182
1688578434150,-115660,4182
1688578434172,-115660,4182
1688578434200,-115660,4182
1688578434224,-115660,4182
1688578434246,-115660,4182
1688578434267,-115660,4182
1688578434286,-115660,4182
1688578434304,-115660,4182
1688578434322,-115660,4182
1688578434342,-115660,4182
1688578434361,-115660,4182
1688578434379,-115660,4182
1688578434402,-115660,4182
1688578434426,-115660,4182
1688578434447,-115660,4182
1688578434477,-115660,4182
1688578434500,-115660,4182
1688578434520,-115660,4182
1688578434542,-115660,4182
1688578434563,-115660,4182
1688578434586,-115660,4182
1688578434607,-115660,4182
1688578434629,-115660,4182
1688578434651,-115660,4182
1688578434673,-115660,4182
1688578434697,-115660,4182
1688578434719,-115660,4182
1688578434740,-115660,4182
1688578434762,-115660,4182
1688578434783,-115660,4182
1688578434805,-115660,4182
1688578434828,-115660,4182
1688578434853,-115660,4182
1688578434876,-115660,4182
1688578434899,-115660,4182
1688578434921,-115660,4182
1688578434941,-115660,4182
1688578434964,-115660,4182
1688578434987,-115660,4182
1688578435013,-115660,4182
1688578435035,-115660,4182
1688578435059,-115660,4182
1688578435081,-115660,4182
1688578435103,-115660,4182
1688578435121,-115660,4182
1688578435141,-115660,4182
1688578435162,-115660,4182
1688578435182,-115660,4182
1688578435205,-115660,4182
1688578435226,-115660,4182
1688578435248,-115660,4182
1688578435275,-115660,4182
1688578435297,-115660,4182
1688578435317,-115660,4182
1688578435338,-115660,4182
1688578435358,-115660,4182
1688578435384,-115660,4182
1688578435407,-115660,4182
1688578435428,-115660,4182
1688578435449,-115660,4182
1688578435475,-115660,4182
1688578435497,-115660,4182
1688578435516,-115660,4182
1688578435534,-115660,4182
1688578435555,-115660,4182
1688578435576,-115660,4182
1688578435600,-115660,4182
1688578435623,-115660,4182
1688578435647,-115660,4182
1688578435671,-115660,4182
1688578435695,-115660,4182
1688578435718,-115660,4182
1688578435743,-115660,4182
1688578435768,-115660,4182
1688578435790,-115660,4182
1688578435809,-115660,4182
1688578435829,-115660,4182
1688578435855,-115660,4182
1688578435876,-115660,4182
1688578435896,-115660,4182
1688578435915,-115660,4182
1688578435934,-115660,4182
1688578435957,-115660,4182
1688578435977,-115660,4182
1688578435999,-115660,4182
1688578436021,-115660,4182
1688578436046,-115660,4182
1688578436070,-115660,4182
1688578436097,-115660,4182
1688578436120,-115660,4182
1688578436144,-115660,4182
1688578436166,-115660,4182
1688578436190,-115660,4182
1688578436216,-115660,4182
1688578436238,-115660,4182
1688578436262,-115660,4182
1688578436285,-115660,4182
1688578436312,-115660,4182
1688578436333,-115660,4182
1688578436353,-115660,4182
1688578436371,-115660,4182
1688578436392,-115660,4182
1688578436411,-115660,4182
1688578436432,-115660,4182
1688578436450,-115660,4182
1688578436469,-115660,4182
1688578436491,-115660,4182
1688578436512,-115660,4182
1688578436543,-115660,4182
1688578436566,-115660,4182
1688578436589,-115660,4182
1688578436611,-115660,4182
1688578436631,-115660,4182
1688578436654,-115660,4182
1688578436681,-115660,4182
1688578436703,-115660,4182
1688578436725,-115660,4182
1688578436748,-115660,4182
1688578436769,-115660,4182
1688578436789,-115660,4182
1688578436809,-115660,4182
1688578436830,-115660,4182
1688578436851,-115660,4182
1688578436871,-115660,4182
1688578436891,-115660,4182
1688578436910,-115660,4182
1688578436930,-115660,4182
1688578436950,-115660,4182
1688578436969,-115660,4182
1688578436990,-115660,4182
1688578437012,-115660,4182
1688578437032,-115660,4182
1688578437054,-115660,4182
1688578437072,-115660,4182
1688578437093,-115660,4182
1688578437112,-115660,4182
1688578437132,-115660,4182
1688578437156,-115660,4182
1688578437180,-115660,4182
1688578437203,-115660,4182
1688578437225,-115660,4182
1688578437247,-115660,4182
1688578437268,-115660,4182
1688578437289,-115660,4182
1688578437309,-115660,4182
1688578437329,-115660,4182
1688578437350,-115660,4182
1688578437370,-115660,4182
1688578437392,-115660,4182
1688578437414,-115660,4182
1688578437439,-115660,4182
1688578437462,-115660,4182
1688578437484,-115660,4182
1688578437506,-115660,4182
1688578437528,-115660,4182
1688578437550,-115660,4182
1688578437574,-115660,4182
1688578437600,-115660,4182
1688578437620,-115660,4182
1688578437641,-115660,4182
1688578437662,-115660,4182
1688578437684,-115660,4182
1688578437706,-115660,4182
1688578437728,-115660,4182
1688578437752,-115660,4182
