device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Nexus5X-W,e-www-httpsrequesttest,0,4264.0,-116824.20643939394,30.296581963336,30.251946019322578,0.4981384162575758
Nexus5X-W,e-www-httpsrequesttest,1,4169.0,-103323.44632768362,26.286046703713502,26.279097600281073,0.430755447740113
Nexus5X-W,e-www-httpsrequesttest,2,4183.0,-173944.72211720227,44.048529745568,43.99571297701459,0.727610772616257
Nexus5X-W,e-www-httpsrequesttest,3,4264.0,-226544.27495291902,59.084985619348004,59.083493597651525,0.9659847883992467
Nexus5X-W,e-www-httpsrequesttest,4,4176.0,-99332.34600760456,25.055505910296,25.07662239591367,0.41481187692775656
Nexus5X-W,e-www-httpsrequesttest,5,4258.0,-134734.20683111955,34.833076266184996,34.69727032250414,0.5736982526869071
Nexus5X-W,e-www-httpsrequesttest,6,4212.0,-119085.34328358209,30.487766395319998,30.415260757877732,0.5015874659104478
Nexus5X-W,e-www-httpsrequesttest,7,4163.0,-85601.37642585552,21.546827555774506,21.54757487865854,0.3563585300608365
Nexus5X-W,e-www-httpsrequesttest,8,4225.415559772296,-115200.65844402277,29.5017254603355,29.476321879335305,0.48673726249335864
Nexus5X-W,e-www-httpsrequesttest,9,4238.0,-134679.60828625236,34.738012164661,34.82452301328431,0.5707721799171376
Nexus5X-W,e-www-cameratest,0,4269.0,-330706.4726277372,85.28448176748451,85.2379874091682,1.4117859316478105
Nexus5X-W,e-www-cameratest,1,4236.0,-200180.0583941606,50.99509332404399,51.235603912404784,0.8479627273576642
Nexus5X-W,e-www-cameratest,2,4172.0,-225181.27954971857,56.61314982035999,56.7037032516703,0.9394562982814259
Nexus5X-W,e-www-cameratest,3,4179.0,-215456.48689138578,54.270957019019995,54.469253889212034,0.9003926587191013
Nexus5X-W,e-www-cameratest,4,4247.0,-233140.55474452555,59.77921531736099,59.855432879136,0.9901479360000001
Nexus5X-W,e-www-cameratest,5,4291.0,-341567.8087431694,88.670371876828,88.62744608118805,1.46566746731694
Nexus5X-W,e-www-cameratest,6,4222.0,-310166.3679417122,79.233553834461,79.1422960957707,1.309522405449909
Nexus5X-W,e-www-cameratest,7,4171.18574108818,-237912.10881801127,59.859465681519,60.03798591451069,0.9918060249530957
Nexus5X-W,e-www-cameratest,8,4159.0,-189056.18587360595,47.823252731105995,47.93899047495945,0.786284677048327
Nexus5X-W,e-www-cameratest,9,4199.0,-290069.0,73.765619321784,73.67558572845898,1.2179997309999997
Nexus5X-W,e-www-gpstest,0,4281.0,-115620.14828897339,29.966101114149,30.031800971657816,0.49496985482509503
Nexus5X-W,e-www-gpstest,1,4271.0,-211212.7196969697,54.763880955019,54.683764966031596,0.9020895258257575
Nexus5X-W,e-www-gpstest,2,4168.0,-165608.87096774194,41.771920657284,41.79648874296774,0.6902577741935484
Nexus5X-W,e-www-gpstest,3,4187.0,-86676.04536862003,22.024882334443003,22.02044794903057,0.3629126019584121
Nexus5X-W,e-www-gpstest,4,4241.0,-116894.9580952381,29.9022636877265,29.967187716656575,0.4957515172819047
Nexus5X-W,e-www-gpstest,5,4285.0,-123683.33460076046,32.16703129872499,32.124394942356766,0.5299830887642586
Nexus5X-W,e-www-gpstest,6,4238.0,-202081.34155597724,52.236821159328,51.823730942317184,0.8564207255142317
Nexus5X-W,e-www-gpstest,7,4213.0,-120897.00952380952,30.8975227205975,30.804319496866864,0.5093391011238093
Nexus5X-W,e-www-gpstest,8,4154.0,-93963.68441064638,23.678931574524,23.629113305396963,0.3903251450418251
Nexus5X-W,e-www-gpstest,9,4229.0,-121763.06857142856,31.179139630550004,31.13457639517999,0.5149360169885714
Nexus5X-W,e-www-writelocaltest,0,4248.0,-189305.0475285171,49.03339426217999,48.6352669103391,0.8041678419011409
Nexus5X-W,e-www-writelocaltest,1,4269.0,-115326.15209125476,29.8481957971215,29.810912962799925,0.49232734327756644
Nexus5X-W,e-www-writelocaltest,2,4248.0,-135493.84629981025,34.838814564432,34.85757072384041,0.575577859081594
Nexus5X-W,e-www-writelocaltest,3,4264.0,-118375.77039848197,30.600962802071994,30.57195753261577,0.5047542849791271
Nexus5X-W,e-www-writelocaltest,4,4170.0,-167233.36882129277,42.238832796660006,42.274851393986,0.6973631479847907
Nexus5X-W,e-www-writelocaltest,5,4278.0,-107531.16952380953,27.86062113434099,27.84859046202532,0.46001834322285706
Nexus5X-W,e-www-writelocaltest,6,4218.597722960152,-84222.40986717268,21.506706286333504,21.527908032516024,0.3553046382656548
Nexus5X-W,e-www-writelocaltest,7,4233.794676806084,-88900.06653992395,22.789088819396504,22.794075744928215,0.3763883049030418
Nexus5X-W,e-www-writelocaltest,8,4191.0,-114312.44905660377,29.277163605194996,29.190556070590077,0.4790834739962264
Nexus5X-W,e-www-writelocaltest,9,4161.0,-124323.36501901141,31.451905734698997,31.34223199996888,0.5173095218441065
Nexus5X-W,e-www-cpufactorialtest,0,4150.0,-173504.6963946869,43.698789082175,43.48564688686195,0.7200444900379506
Nexus5X-W,e-www-cpufactorialtest,1,4209.0,-293680.1058601134,75.37447504242299,74.87055068628521,1.2360995655652174
Nexus5X-W,e-www-cpufactorialtest,2,4210.0,-255097.07561436674,65.410446985645,65.01745899189072,1.0739586883364838
Nexus5X-W,e-www-cpufactorialtest,3,4269.0,-319998.70809792844,82.784145592578,82.60242587663772,1.3660744848700568
Nexus5X-W,e-www-cpufactorialtest,4,4191.0,-294515.31758034026,74.846278833051,74.66610409717413,1.234313695979206
Nexus5X-W,e-www-cpufactorialtest,5,4213.0,-203538.71644612477,51.9803996381725,51.83468060160103,0.8575086123875236
Nexus5X-W,e-www-cpufactorialtest,6,4212.0,-117062.42155009451,29.863675745280005,29.837451570798354,0.4930669195689981
Nexus5X-W,e-www-cpufactorialtest,7,4167.141242937853,-124497.6836158192,31.617606069396004,31.556665766239753,0.5187937226271188
Nexus5X-W,e-www-cpufactorialtest,8,4247.0,-151758.83522727274,38.9300401374235,38.8896785957319,0.6445197732102272
Nexus5X-W,e-www-cpufactorialtest,9,4202.0,-228513.5197740113,58.18739006944601,58.37811901206577,0.9602138100903954
