Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688494377701,-72936,4245
1688494377806,-395352,4245
1688494377922,-395352,4245
1688494378034,-395352,4245
1688494378148,-395352,4245
1688494378263,-395352,4245
1688494378372,-395352,4245
1688494378487,-395352,4245
1688494378604,-395352,4245
1688494378721,-395352,4245
1688494378836,-395352,4245
1688494378948,-395352,4245
1688494379063,-395352,4245
1688494379178,-395352,4245
1688494379293,-395352,4245
1688494379412,-395352,4245
1688494379523,-395352,4245
1688494379640,-395352,4245
1688494379751,-395352,4245
1688494379866,-395352,4245
1688494379986,-395352,4245
1688494380093,-395352,4245
1688494380211,-395352,4245
1688494380321,-395352,4245
1688494380439,-395352,4245
1688494380553,-395352,4245
1688494380667,-395352,4245
1688494380780,-395352,4245
1688494380893,-395352,4245
1688494381017,-395352,4245
1688494381126,-395352,4245
1688494381238,-395352,4245
1688494381350,-395352,4245
1688494381462,-395352,4245
1688494381581,-395352,4245
1688494381688,-395352,4245
1688494381802,-395352,4245
1688494381918,-395352,4245
1688494382024,-395352,4245
1688494382129,-395352,4245
1688494382235,-395352,4245
1688494382341,-395352,4245
1688494382447,-395352,4245
1688494382558,-395352,4245
1688494382677,-395352,4245
1688494382789,-395352,4245
1688494382903,-395352,4245
1688494383023,-395352,4245
1688494383135,-395352,4245
1688494383256,-395352,4245
1688494383367,-395352,4245
1688494383477,-395352,4245
1688494383593,-395352,4245
1688494383705,-395352,4245
1688494383823,-395352,4245
1688494383932,-395352,4245
1688494384055,-395352,4245
1688494384176,-395352,4245
1688494384292,-395352,4245
1688494384409,-395352,4245
1688494384520,-395352,4245
1688494384632,-395352,4245
1688494384749,-395352,4245
1688494384861,-395352,4245
1688494384974,-395352,4245
1688494385088,-395352,4245
1688494385198,-395352,4245
1688494385309,-395352,4245
1688494385418,-395352,4245
1688494385533,-395352,4245
1688494385641,-395352,4245
1688494385753,-395352,4245
1688494385867,-395352,4245
1688494385983,-395352,4245
1688494386102,-395352,4245
1688494386214,-395352,4245
1688494386332,-395352,4245
1688494386441,-395352,4245
1688494386554,-395352,4245
1688494386674,-395352,4245
1688494386793,-395352,4245
1688494386911,-395352,4245
1688494387022,-395352,4245
1688494387140,-395352,4245
1688494387257,-395352,4245
1688494387370,-395352,4245
1688494387488,-395352,4245
1688494387597,-395352,4245
1688494387712,-395352,4245
1688494387831,-395352,4245
1688494387941,-395352,4245
1688494388060,-395352,4245
1688494388174,-395352,4245
1688494388290,-395352,4245
1688494388404,-395352,4245
1688494388521,-395352,4245
1688494388636,-395352,4245
1688494388750,-395352,4245
1688494388861,-395352,4245
1688494388971,-395352,4245
1688494389090,-395352,4245
1688494389201,-395352,4245
1688494389313,-395352,4245
1688494389423,-395352,4245
1688494389535,-395352,4245
1688494389646,-395352,4245
1688494389763,-395352,4245
1688494389877,-395352,4245
1688494389997,-395352,4245
1688494390105,-395352,4245
1688494390216,-395352,4245
1688494390339,-395352,4245
1688494390460,-395352,4245
1688494390576,-395352,4245
1688494390684,-395352,4245
1688494390799,-395352,4245
1688494390921,-395352,4245
1688494391034,-395352,4245
