Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688324237733,-576778,4177
1688324238745,-576778,4177
1688324239761,-576778,4177
1688324240780,-576778,4177
1688324241796,-576778,4177
1688324242815,-576778,4177
1688324243834,-576778,4177
1688324244853,-576778,4177
1688324245869,-576778,4177
1688324246891,-576778,4177
1688324247909,-576778,4177
1688324248931,-576778,4177
1688324249949,-576778,4177
1688324250967,-576778,4177
1688324251985,-576778,4177
1688324253004,-576778,4177
1688324254019,-576778,4177
1688324255036,-576778,4177
1688324256049,-576778,4177
1688324257060,-576778,4177
1688324258079,-576778,4177
1688324259099,-576778,4177
1688324260106,-576778,4177
1688324261110,-576778,4177
1688324262117,-576778,4177
1688324263123,-576778,4177
1688324264128,-576778,4177
1688324265133,-576778,4177
1688324266137,-413510,4177
1688324267153,-413510,4177
1688324268169,-413510,4177
1688324269187,-413510,4177
1688324270203,-413510,4177
1688324271217,-413510,4177
1688324272234,-413510,4177
1688324273249,-413510,4177
1688324274268,-413510,4177
1688324275287,-413510,4177
1688324276305,-413510,4177
1688324277324,-413510,4177
1688324278331,-413510,4177
1688324279337,-413510,4177
1688324280342,-413510,4177
1688324281359,-413510,4177
1688324282375,-413510,4177
1688324283390,-413510,4177
1688324284400,-413510,4177
1688324285416,-413510,4177
1688324286430,-413510,4177
1688324287447,-413510,4177
1688324288453,-413510,4177
1688324289468,-413510,4177
1688324290483,-413510,4177
1688324291502,-413510,4177
1688324292518,-413510,4177
1688324293536,-413510,4177
1688324294553,-413510,4177
1688324295570,-413510,4177
1688324296588,-413510,4177
1688324297607,-106353,4177
