Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688388980333,-91399,4171
1688388981340,-91399,4171
1688388982356,-91399,4182
1688388983369,-91399,4182
1688388984376,-91399,4182
1688388985385,-91399,4182
1688388986397,-91399,4182
1688388987406,-91399,4182
1688388988415,-91399,4182
1688388989425,-91399,4182
1688388990432,-91399,4182
1688388991440,-91399,4182
1688388992448,-91399,4182
1688388993457,-91399,4182
1688388994464,-91399,4182
1688388995472,-91399,4182
1688388996481,-91399,4182
1688388997490,-91399,4182
1688388998495,-91399,4182
1688388999503,-91399,4182
1688389000509,-91399,4182
1688389001515,-91399,4182
1688389002527,-91399,4182
1688389003533,-91399,4182
1688389004540,-91399,4182
1688389005549,-352018,4182
1688389006560,-352018,4182
1688389007571,-352018,4182
1688389008579,-352018,4182
1688389009589,-352018,4182
1688389010597,-352018,4182
1688389011605,-352018,4182
1688389012612,-352018,4182
1688389013618,-352018,4182
1688389014630,-352018,4182
1688389015637,-352018,4182
1688389016646,-352018,4182
1688389017659,-352018,4182
1688389018670,-352018,4182
1688389019678,-352018,4182
1688389020691,-352018,4182
1688389021699,-352018,4182
1688389022706,-352018,4182
1688389023715,-352018,4182
1688389024726,-352018,4182
1688389025733,-352018,4182
1688389026739,-352018,4182
1688389027746,-352018,4182
1688389028762,-352018,4182
1688389029770,-352018,4182
1688389030777,-352018,4182
1688389031790,-352018,4182
1688389032797,-352018,4182
1688389033804,-352018,4182
1688389034810,-352018,4182
1688389035819,-326536,4182
1688389036830,-326536,4182
1688389037837,-326536,4182
1688389038842,-326536,4182
1688389039854,-326536,4182
1688389040859,-326536,4182
