Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688400458720,-187834,4146
1688400459736,-187834,4146
1688400460755,-187834,4146
1688400461769,-187834,4146
1688400462787,-187834,4146
1688400463806,-187834,4146
1688400464824,-187834,4146
1688400465845,-187834,4146
1688400466863,-187834,4146
1688400467882,-187834,4146
1688400468904,-187834,4146
1688400469924,-187834,4146
1688400470941,-187834,4146
1688400471957,-187834,4146
1688400472978,-82244,4146
1688400473997,-82244,4146
1688400475018,-82244,4146
1688400476038,-82244,4146
1688400477061,-82244,4146
1688400478079,-82244,4146
1688400479099,-82244,4146
1688400480106,-82244,4146
1688400481125,-82244,4146
1688400482143,-82244,4146
1688400483164,-82244,4146
1688400484184,-82244,4146
1688400485206,-82244,4146
1688400486231,-82244,4146
1688400487251,-82244,4146
1688400488271,-82244,4146
1688400489291,-82244,4146
1688400490309,-82244,4146
1688400491330,-82244,4146
1688400492348,-82244,4146
1688400493367,-82244,4146
1688400494385,-82244,4146
1688400495401,-82244,4146
1688400496419,-82244,4146
1688400497437,-82244,4146
1688400498457,-82244,4146
1688400499474,-82244,4146
1688400500490,-82244,4146
1688400501511,-82244,4146
1688400502528,-82244,4146
1688400503546,-82244,4146
1688400504563,-58745,4146
1688400505582,-58745,4146
1688400506602,-58745,4146
1688400507621,-58745,4146
1688400508642,-58745,4146
1688400509659,-58745,4146
1688400510676,-58745,4146
1688400511692,-58745,4146
1688400512709,-58745,4146
1688400513726,-58745,4146
1688400514744,-58745,4146
1688400515762,-58745,4146
1688400516779,-58745,4146
1688400517797,-58745,4146
1688400518818,-58745,4146
