Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688419881648,-87279,4071
1688419882659,-87279,4071
1688419883673,-87279,4071
1688419884691,-87279,4071
1688419885698,-87279,4071
1688419886716,-87279,4071
1688419887735,-87279,4071
1688419888753,-87279,4071
1688419889770,-87279,4071
1688419890776,-87279,4071
1688419891806,-87279,4071
1688419892817,-87279,4071
1688419893829,-87279,4071
1688419894843,-87279,4071
1688419895855,-87279,4071
1688419896865,-87279,4071
1688419897883,-87279,4071
1688419898901,-87279,4071
1688419899920,-87279,4071
1688419900927,-87279,4071
1688419901943,-87279,4071
1688419902966,-87279,4071
1688419903976,-87279,4071
1688419904987,-87279,4071
1688419905997,-87279,4071
1688419907008,-87279,4071
1688419908025,-87279,4071
1688419909043,-87279,4071
1688419910061,-87279,4071
1688419911067,-476224,4071
1688419912077,-476224,4071
1688419913090,-476224,4071
1688419914104,-476224,4071
1688419915116,-476224,4071
1688419916126,-476224,4071
1688419917138,-476224,4071
1688419918153,-476224,4071
1688419919170,-476224,4071
1688419920180,-476224,4071
1688419921186,-476224,4071
1688419922194,-476224,4071
1688419923206,-476224,4071
1688419924219,-476224,4071
1688419925239,-476224,4071
1688419926249,-476224,4071
1688419927257,-476224,4071
1688419928273,-476224,4071
1688419929288,-476224,4071
1688419930304,-476224,4071
1688419931311,-476224,4071
1688419932321,-476224,4071
1688419933337,-476224,4071
1688419934355,-476224,4071
1688419935365,-476224,4071
1688419936376,-476224,4071
1688419937388,-476224,4071
1688419938401,-476224,4071
1688419939416,-476224,4071
1688419940433,-476224,4071
1688419941440,-476224,4071
