Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689011217974,-327636,4226
1689011217976,-327636,4226
1689011217978,-327636,4226
1689011217980,-327636,4226
1689011217982,-327636,4226
1689011217985,-327636,4226
1689011217987,-327636,4226
1689011217990,-327636,4226
1689011217992,-327636,4226
1689011217995,-327636,4226
1689011217998,-327636,4226
1689011218001,-327636,4226
1689011218004,-327636,4226
1689011218007,-327636,4226
1689011218009,-327636,4226
1689011218011,-327636,4226
1689011218014,-327636,4226
1689011218016,-327636,4226
1689011218020,-327636,4226
1689011218023,-327636,4226
1689011218025,-327636,4226
1689011218027,-327636,4226
1689011218030,-327636,4226
1689011218032,-327636,4226
1689011218034,-327636,4226
1689011218037,-327636,4226
1689011218040,-327636,4226
1689011218042,-327636,4226
1689011218046,-327636,4226
1689011218048,-327636,4226
1689011218052,-327636,4226
1689011218054,-327636,4226
1689011218057,-327636,4226
1689011218060,-327636,4226
1689011218063,-327636,4226
1689011218066,-327636,4226
1689011218069,-327636,4226
1689011218073,-327636,4226
1689011218076,-327636,4226
1689011218078,-327636,4226
1689011218081,-327636,4226
1689011218082,-327636,4226
1689011218084,-327636,4226
1689011218086,-327636,4226
1689011218088,-327636,4226
1689011218091,-327636,4226
1689011218093,-327636,4226
1689011218095,-327636,4226
1689011218097,-327636,4226
1689011218098,-327636,4226
1689011218100,-327636,4226
1689011218102,-327636,4226
1689011218104,-327636,4226
1689011218108,-327636,4226
1689011218110,-327636,4226
1689011218112,-327636,4226
1689011218113,-327636,4226
1689011218115,-327636,4226
1689011218116,-327636,4226
1689011218118,-327636,4226
1689011218120,-327636,4226
1689011218122,-327636,4226
1689011218124,-327636,4226
1689011218127,-327636,4226
1689011218129,-327636,4226
1689011218131,-327636,4226
1689011218133,-327636,4226
1689011218134,-327636,4226
1689011218136,-327636,4226
1689011218138,-327636,4226
1689011218140,-327636,4226
1689011218143,-327636,4226
1689011218145,-327636,4226
1689011218147,-327636,4226
1689011218149,-327636,4226
1689011218151,-327636,4226
1689011218152,-327636,4226
1689011218153,-327636,4226
1689011218154,-327636,4226
1689011218156,-327636,4226
1689011218158,-327636,4226
1689011218162,-327636,4226
1689011218164,-327636,4226
1689011218166,-327636,4226
1689011218168,-327636,4226
1689011218170,-327636,4226
1689011218171,-327636,4226
1689011218173,-327636,4226
1689011218175,-327636,4226
1689011218178,-327636,4226
1689011218181,-327636,4226
1689011218183,-327636,4226
1689011218185,-327636,4226
1689011218187,-327636,4226
1689011218188,-327636,4226
1689011218190,-327636,4226
1689011218192,-327636,4226
1689011218195,-327636,4226
1689011218197,-327636,4226
1689011218200,-327636,4226
1689011218201,-327636,4226
1689011218203,-327636,4226
1689011218205,-327636,4226
1689011218206,-327636,4226
1689011218209,-327636,4226
1689011218211,-327636,4226
1689011218214,-327636,4226
1689011218216,-327636,4226
1689011218218,-327636,4226
1689011218220,-327636,4226
1689011218221,-327636,4226
1689011218223,-327636,4226
1689011218224,-327636,4226
1689011218226,-327636,4226
1689011218228,-327636,4226
1689011218232,-327636,4226
1689011218234,-327636,4226
1689011218236,-327636,4226
1689011218238,-327636,4226
1689011218240,-327636,4226
1689011218242,-327636,4226
1689011218244,-327636,4226
1689011218247,-327636,4226
1689011218250,-327636,4226
1689011218252,-327636,4226
1689011218253,-327636,4226
1689011218255,-327636,4226
1689011218257,-327636,4226
1689011218259,-327636,4226
1689011218260,-327636,4226
1689011218262,-327636,4226
1689011218265,-327636,4226
1689011218267,-327636,4226
1689011218270,-327636,4226
1689011218271,-327636,4226
1689011218273,-327636,4226
1689011218275,-327636,4226
1689011218277,-327636,4226
1689011218279,-327636,4226
1689011218280,-327636,4226
1689011218284,-327636,4226
1689011218286,-327636,4226
1689011218288,-327636,4226
1689011218289,-327636,4226
1689011218291,-327636,4226
1689011218292,-327636,4226
1689011218294,-327636,4226
1689011218296,-327636,4226
1689011218298,-327636,4226
1689011218301,-327636,4226
1689011218303,-327636,4226
1689011218305,-327636,4226
1689011218306,-327636,4226
1689011218308,-327636,4226
1689011218309,-327636,4226
1689011218311,-327636,4226
1689011218312,-327636,4226
1689011218314,-327636,4226
1689011218316,-327636,4226
1689011218318,-327636,4226
1689011218321,-327636,4226
1689011218323,-327636,4226
1689011218324,-327636,4226
