Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689019846405,-229980,4224
1689019846407,-229980,4224
1689019846408,-229980,4224
1689019846410,-229980,4224
1689019846412,-229980,4224
1689019846414,-229980,4224
1689019846416,-229980,4224
1689019846418,-229980,4224
1689019846419,-229980,4224
1689019846421,-229980,4224
1689019846423,-229980,4224
1689019846424,-229980,4224
1689019846427,-229980,4224
1689019846431,-229980,4224
1689019846434,-229980,4224
1689019846436,-229980,4224
1689019846438,-229980,4224
1689019846440,-229980,4224
1689019846443,-229980,4224
1689019846445,-229980,4224
1689019846448,-229980,4224
1689019846451,-229980,4224
1689019846454,-229980,4224
1689019846457,-229980,4224
1689019846459,-229980,4224
1689019846461,-229980,4224
1689019846464,-229980,4224
1689019846467,-229980,4224
1689019846471,-229980,4224
1689019846475,-229980,4224
1689019846478,-229980,4224
1689019846481,-229980,4224
1689019846487,-229980,4224
1689019846491,-229980,4224
1689019846494,-229980,4224
1689019846497,-229980,4224
1689019846501,-229980,4224
1689019846506,-229980,4224
1689019846510,-229980,4224
1689019846513,-229980,4224
1689019846519,-229980,4224
1689019846525,-229980,4224
1689019846529,-229980,4224
1689019846532,-229980,4224
1689019846537,-229980,4224
1689019846549,-229980,4224
1689019846555,-229980,4224
1689019846559,-229980,4224
1689019846563,-229980,4224
1689019846566,-229980,4224
1689019846568,-229980,4224
1689019846573,-229980,4224
1689019846577,-229980,4224
1689019846580,-229980,4224
1689019846584,-229980,4224
1689019846586,-229980,4224
1689019846590,-229980,4224
1689019846595,-229980,4224
1689019846597,-229980,4224
1689019846599,-229980,4224
1689019846602,-229980,4224
1689019846606,-229980,4224
1689019846611,-229980,4224
1689019846614,-229980,4224
1689019846617,-229980,4224
1689019846619,-229980,4224
1689019846622,-229980,4224
1689019846626,-229980,4224
1689019846629,-229980,4224
1689019846633,-229980,4224
1689019846635,-229980,4224
1689019846638,-229980,4224
1689019846643,-229980,4224
1689019846647,-229980,4224
1689019846649,-229980,4224
1689019846652,-229980,4224
1689019846655,-229980,4224
1689019846659,-229980,4224
1689019846664,-229980,4224
1689019846668,-229980,4224
1689019846671,-229980,4224
1689019846675,-229980,4224
1689019846679,-229980,4224
1689019846683,-229980,4224
1689019846685,-229980,4224
1689019846687,-229980,4224
1689019846693,-229980,4224
1689019846697,-229980,4224
1689019846702,-229980,4224
1689019846705,-229980,4224
1689019846709,-229980,4224
1689019846713,-229980,4224
1689019846718,-229980,4224
1689019846721,-229980,4224
1689019846725,-229980,4224
1689019846728,-229980,4224
1689019846733,-229980,4224
1689019846735,-229980,4224
1689019846736,-229980,4224
1689019846738,-229980,4224
1689019846740,-229980,4224
1689019846741,-229980,4224
1689019846743,-229980,4224
1689019846745,-229980,4224
1689019846747,-229980,4224
1689019846748,-229980,4224
1689019846749,-229980,4224
1689019846751,-229980,4224
1689019846753,-229980,4224
1689019846754,-229980,4224
1689019846756,-229980,4224
1689019846757,-229980,4224
1689019846759,-229980,4224
1689019846760,-229980,4224
1689019846762,-229980,4224
1689019846763,-229980,4224
1689019846765,-229980,4224
1689019846768,-229980,4224
1689019846771,-229980,4224
1689019846774,-229980,4224
1689019846776,-229980,4224
1689019846779,-229980,4224
1689019846782,-229980,4224
1689019846785,-229980,4224
1689019846787,-229980,4224
1689019846790,-229980,4224
1689019846793,-229980,4224
1689019846796,-229980,4224
1689019846799,-229980,4224
1689019846802,-229980,4224
1689019846804,-229980,4224
1689019846807,-229980,4224
1689019846811,-229980,4224
1689019846814,-229980,4224
1689019846817,-229980,4224
1689019846819,-229980,4224
1689019846823,-229980,4224
1689019846826,-229980,4224
1689019846829,-229980,4224
1689019846832,-229980,4224
1689019846835,-229980,4224
1689019846839,-229980,4224
1689019846843,-229980,4224
1689019846846,-229980,4224
1689019846848,-229980,4224
1689019846851,-229980,4224
1689019846854,-229980,4224
1689019846858,-229980,4224
1689019846862,-274413,4224
1689019846867,-274413,4224
1689019846871,-274413,4224
1689019846875,-274413,4224
1689019846878,-274413,4224
1689019846881,-274413,4224
1689019846884,-274413,4224
1689019846887,-274413,4224
1689019846891,-274413,4224
1689019846894,-274413,4224
1689019846897,-274413,4224
1689019846901,-274413,4224
1689019846905,-274413,4224
1689019846908,-274413,4224
1689019846911,-274413,4224
1689019846914,-274413,4224
1689019846918,-274413,4224
1689019846921,-274413,4224
1689019846924,-274413,4224
1689019846927,-274413,4224
1689019846931,-274413,4224
1689019846934,-274413,4224
1689019846938,-274413,4224
1689019846943,-274413,4224
1689019846948,-274413,4224
1689019846953,-274413,4224
1689019846956,-274413,4224
1689019846959,-274413,4224
1689019846972,-274413,4224
1689019846977,-274413,4224
1689019846981,-274413,4224
1689019846985,-274413,4224
1689019846988,-274413,4224
1689019846992,-274413,4224
1689019846995,-274413,4224
1689019846998,-274413,4224
1689019847002,-274413,4224
1689019847005,-274413,4224
1689019847008,-274413,4224
1689019847012,-274413,4224
1689019847015,-274413,4224
1689019847018,-274413,4224
1689019847023,-274413,4224
1689019847027,-274413,4224
1689019847032,-274413,4224
1689019847036,-274413,4224
1689019847043,-274413,4224
1689019847048,-274413,4224
1689019847054,-274413,4224
1689019847061,-274413,4224
1689019847065,-274413,4224
1689019847069,-274413,4224
1689019847074,-274413,4224
1689019847078,-274413,4224
1689019847083,-274413,4224
1689019847087,-274413,4224
1689019847091,-274413,4224
1689019847095,-274413,4224
1689019847099,-274413,4224
1689019847102,-274413,4224
1689019847105,-274413,4224
1689019847107,-274413,4224
1689019847110,-274413,4224
1689019847112,-274413,4224
1689019847115,-274413,4224
1689019847117,-274413,4224
1689019847124,-274413,4224
1689019847127,-274413,4224
1689019847130,-274413,4224
1689019847133,-274413,4224
1689019847135,-274413,4224
1689019847138,-274413,4224
1689019847142,-274413,4224
1689019847144,-274413,4224
1689019847147,-274413,4224
1689019847149,-274413,4224
1689019847152,-274413,4224
1689019847155,-274413,4224
1689019847158,-274413,4224
1689019847161,-274413,4224
1689019847164,-274413,4224
1689019847166,-274413,4224
1689019847169,-274413,4224
1689019847173,-274413,4224
1689019847176,-274413,4224
1689019847180,-274413,4224
1689019847184,-274413,4224
1689019847191,-274413,4224
1689019847195,-274413,4224
1689019847198,-274413,4224
1689019847202,-274413,4224
1689019847205,-274413,4224
1689019847208,-274413,4224
1689019847212,-274413,4224
1689019847217,-274413,4224
1689019847222,-274413,4224
1689019847226,-274413,4224
1689019847231,-274413,4224
1689019847234,-274413,4224
1689019847237,-274413,4224
1689019847239,-274413,4224
1689019847242,-274413,4224
1689019847244,-274413,4224
1689019847247,-274413,4224
1689019847249,-274413,4224
1689019847251,-274413,4224
1689019847253,-274413,4224
1689019847256,-274413,4224
1689019847259,-274413,4224
1689019847262,-274413,4224
1689019847264,-274413,4224
1689019847266,-274413,4224
1689019847268,-274413,4224
1689019847271,-274413,4224
1689019847274,-274413,4224
1689019847277,-274413,4224
1689019847281,-274413,4224
1689019847284,-274413,4224
1689019847288,-274413,4224
1689019847293,-274413,4224
1689019847296,-274413,4224
1689019847300,-274413,4224
1689019847303,-274413,4224
1689019847306,-274413,4224
1689019847309,-274413,4224
1689019847313,-274413,4224
1689019847316,-274413,4224
1689019847320,-274413,4224
1689019847324,-274413,4224
1689019847327,-274413,4224
1689019847331,-274413,4224
1689019847335,-274413,4224
1689019847338,-274413,4224
1689019847342,-274413,4224
1689019847345,-274413,4224
1689019847348,-274413,4224
1689019847352,-274413,4224
1689019847355,-274413,4224
1689019847358,-274413,4224
1689019847362,-274413,4224
1689019847365,-274413,4224
1689019847368,-274413,4224
1689019847371,-274413,4224
1689019847375,-274413,4224
1689019847379,-274413,4224
1689019847382,-274413,4224
1689019847385,-274413,4224
1689019847388,-274413,4224
1689019847392,-274413,4224
1689019847395,-274413,4224
1689019847398,-274413,4224
1689019847401,-274413,4224
1689019847404,-274413,4224
1689019847408,-274413,4224
1689019847413,-274413,4224
1689019847417,-274413,4224
1689019847421,-274413,4224
1689019847424,-274413,4224
1689019847427,-274413,4224
1689019847431,-274413,4224
1689019847435,-274413,4224
1689019847438,-274413,4224
1689019847442,-274413,4224
1689019847446,-274413,4224
1689019847449,-274413,4224
1689019847453,-274413,4224
1689019847457,-274413,4224
1689019847460,-274413,4224
1689019847464,-274413,4224
1689019847467,-274413,4224
1689019847471,-274413,4224
1689019847475,-274413,4224
1689019847479,-274413,4224
1689019847483,-274413,4224
1689019847488,-274413,4224
1689019847492,-274413,4224
1689019847497,-274413,4224
1689019847501,-274413,4224
1689019847506,-274413,4224
1689019847511,-274413,4224
1689019847516,-274413,4224
1689019847521,-274413,4224
1689019847525,-274413,4224
1689019847528,-274413,4224
1689019847535,-274413,4224
1689019847541,-274413,4224
1689019847557,-274413,4224
1689019847562,-274413,4224
1689019847566,-274413,4224
1689019847571,-274413,4224
1689019847575,-274413,4224
1689019847581,-274413,4224
1689019847585,-274413,4224
1689019847589,-274413,4224
1689019847594,-274413,4224
1689019847598,-274413,4224
1689019847602,-274413,4224
1689019847607,-274413,4224
1689019847617,-274413,4224
1689019847623,-274413,4224
1689019847626,-274413,4224
1689019847631,-274413,4224
1689019847637,-274413,4224
1689019847643,-274413,4224
1689019847648,-274413,4224
1689019847655,-274413,4224
1689019847659,-274413,4224
1689019847662,-274413,4224
1689019847665,-274413,4224
1689019847667,-274413,4224
1689019847673,-274413,4224
1689019847677,-274413,4224
1689019847681,-274413,4224
1689019847685,-274413,4224
1689019847689,-274413,4224
1689019847692,-274413,4224
1689019847695,-274413,4224
1689019847698,-274413,4224
1689019847700,-274413,4224
1689019847703,-274413,4224
1689019847706,-274413,4224
1689019847709,-274413,4224
1689019847712,-274413,4224
1689019847715,-274413,4224
1689019847717,-274413,4224
1689019847720,-274413,4224
1689019847722,-274413,4224
1689019847725,-274413,4224
1689019847727,-274413,4224
1689019847729,-274413,4224
