Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689066899911,-244140,4159
1689066899913,-244140,4159
1689066899915,-244140,4159
1689066899917,-244140,4159
1689066899918,-244140,4159
1689066899920,-244140,4159
1689066899921,-244140,4159
1689066899923,-244140,4159
1689066899927,-244140,4159
1689066899929,-244140,4159
1689066899930,-244140,4159
1689066899931,-244140,4159
1689066899933,-244140,4159
1689066899936,-244140,4159
1689066899939,-244140,4159
1689066899942,-244140,4159
1689066899946,-244140,4159
1689066899948,-244140,4159
1689066899951,-244140,4159
1689066899953,-244140,4159
1689066899955,-244140,4159
1689066899958,-244140,4159
1689066899961,-244140,4159
1689066899963,-244140,4159
1689066899965,-244140,4159
1689066899966,-244140,4159
1689066899968,-244140,4159
1689066899969,-244140,4159
1689066899971,-244140,4159
1689066899974,-244140,4159
1689066899975,-244140,4159
1689066899978,-244140,4159
1689066899981,-244140,4159
1689066899984,-244140,4159
1689066899985,-244140,4159
1689066899987,-244140,4159
1689066899989,-244140,4159
1689066899991,-244140,4159
1689066899994,-244140,4159
1689066899997,-244140,4159
1689066900000,-244140,4159
1689066900002,-244140,4159
1689066900004,-244140,4159
1689066900006,-244140,4159
1689066900008,-244140,4159
1689066900010,-244140,4159
1689066900012,-244140,4159
1689066900015,-244140,4159
1689066900018,-244140,4159
1689066900020,-244140,4159
1689066900023,-244140,4159
1689066900024,-244140,4159
1689066900026,-244140,4159
1689066900028,-244140,4159
1689066900030,-244140,4159
1689066900033,-244140,4159
1689066900036,-244140,4159
1689066900037,-244140,4159
1689066900039,-244140,4159
1689066900040,-244140,4159
1689066900042,-244140,4159
1689066900043,-244140,4159
1689066900045,-244140,4159
1689066900047,-244140,4159
1689066900050,-244140,4159
1689066900052,-244140,4159
1689066900054,-244140,4159
1689066900056,-244140,4159
1689066900057,-244140,4159
1689066900058,-244140,4159
1689066900060,-244140,4159
1689066900061,-244140,4159
1689066900063,-244140,4159
1689066900065,-244140,4159
1689066900067,-244140,4159
1689066900069,-244140,4159
1689066900071,-244140,4159
1689066900073,-244140,4159
1689066900075,-244140,4159
1689066900076,-244140,4159
1689066900078,-244140,4159
1689066900079,-244140,4159
1689066900080,-244140,4159
1689066900084,-244140,4159
1689066900086,-244140,4159
1689066900088,-244140,4159
1689066900089,-244140,4159
1689066900091,-244140,4159
1689066900092,-244140,4159
1689066900093,-244140,4159
1689066900095,-244140,4159
1689066900098,-244140,4159
1689066900100,-244140,4159
1689066900102,-244140,4159
1689066900104,-244140,4159
1689066900106,-244140,4159
1689066900108,-244140,4159
1689066900110,-244140,4159
1689066900111,-244140,4159
1689066900113,-244140,4159
1689066900115,-244140,4159
1689066900118,-244140,4159
1689066900121,-244140,4159
1689066900123,-244140,4159
1689066900126,-244140,4159
1689066900127,-244140,4159
1689066900129,-244140,4159
1689066900130,-244140,4159
1689066900131,-244140,4159
1689066900133,-244140,4159
1689066900135,-244140,4159
1689066900138,-244140,4159
1689066900140,-244140,4159
1689066900142,-244140,4159
1689066900144,-244140,4159
1689066900145,-244140,4159
1689066900147,-244140,4159
1689066900149,-244140,4159
1689066900151,-244140,4159
1689066900156,-244140,4159
1689066900158,-244140,4159
1689066900160,-244140,4159
1689066900162,-244140,4159
1689066900163,-244140,4159
1689066900165,-244140,4159
1689066900167,-244140,4159
1689066900168,-244140,4159
1689066900171,-244140,4159
1689066900175,-244140,4159
1689066900177,-244140,4159
1689066900178,-244140,4159
1689066900180,-244140,4159
1689066900182,-244140,4159
1689066900184,-244140,4159
1689066900186,-244140,4159
1689066900188,-244140,4159
1689066900192,-244140,4159
1689066900194,-244140,4159
1689066900196,-244140,4159
1689066900198,-244140,4159
1689066900200,-244140,4159
1689066900202,-244140,4159
1689066900204,-244140,4159
1689066900206,-244140,4159
1689066900210,-244140,4159
1689066900211,-244140,4159
1689066900214,-244140,4159
1689066900216,-244140,4159
1689066900218,-244140,4159
1689066900219,-244140,4159
1689066900220,-244140,4159
1689066900222,-244140,4159
1689066900225,-244140,4159
1689066900227,-244140,4159
1689066900230,-244140,4159
1689066900231,-244140,4159
1689066900233,-244140,4159
1689066900235,-244140,4159
1689066900236,-244140,4159
1689066900238,-244140,4159
1689066900240,-244140,4159
1689066900243,-244140,4159
1689066900245,-244140,4159
1689066900247,-244140,4159
1689066900249,-244140,4159
1689066900250,-244140,4159
1689066900251,-244140,4159
1689066900254,-244140,4159
1689066900255,-244140,4159
1689066900256,-244140,4159
1689066900259,-244140,4159
1689066900262,-244140,4159
1689066900264,-244140,4159
1689066900266,-244140,4159
1689066900267,-244140,4159
1689066900268,-244140,4159
1689066900270,-244140,4159
1689066900272,-244140,4159
1689066900275,-244140,4159
1689066900278,-244140,4159
1689066900280,-244140,4159
1689066900282,-244140,4159
1689066900283,-244140,4159
1689066900285,-244140,4159
1689066900286,-244140,4159
1689066900288,-244140,4159
1689066900289,-244140,4159
1689066900291,-244140,4159
1689066900293,-244140,4159
1689066900296,-244140,4159
1689066900297,-244140,4159
1689066900299,-244140,4159
1689066900300,-244140,4159
1689066900302,-244140,4159
1689066900304,-244140,4159
1689066900305,-244140,4159
1689066900307,-244140,4159
1689066900308,-244140,4159
1689066900310,-244140,4159
1689066900313,-244140,4159
1689066900316,-244140,4159
1689066900318,-244140,4159
1689066900320,-244140,4159
1689066900321,-244140,4159
1689066900323,-244140,4159
1689066900325,-244140,4159
1689066900327,-244140,4159
1689066900329,-244140,4159
1689066900332,-244140,4159
1689066900334,-244140,4159
1689066900336,-244140,4159
1689066900338,-244140,4159
1689066900339,-244140,4159
1689066900340,-244140,4159
1689066900343,-244140,4159
1689066900345,-244140,4159
1689066900348,-244140,4159
1689066900350,-244140,4159
1689066900353,-244140,4159
1689066900355,-244140,4159
1689066900356,-244140,4159
1689066900358,-244140,4159
1689066900360,-244140,4159
1689066900361,-244140,4159
1689066900363,-244140,4159
1689066900366,-244140,4159
1689066900368,-244140,4159
1689066900370,-244140,4159
1689066900372,-244140,4159
1689066900373,-244140,4159
1689066900375,-244140,4159
1689066900376,-244140,4159
1689066900378,-244140,4159
1689066900380,-244140,4159
1689066900382,-244140,4159
1689066900385,-244140,4159
1689066900387,-244140,4159
1689066900388,-244140,4159
1689066900390,-244140,4159
1689066900391,-244140,4159
1689066900393,-244140,4159
1689066900395,-244140,4159
1689066900397,-244140,4159
1689066900399,-244140,4159
1689066900404,-244140,4159
1689066900406,-244140,4159
1689066900408,-244140,4159
1689066900410,-244140,4159
1689066900412,-244140,4159
1689066900414,-244140,4159
1689066900417,-244140,4159
1689066900420,-244140,4159
1689066900423,-244140,4159
1689066900425,-244140,4159
1689066900427,-244140,4159
1689066900429,-244140,4159
1689066900431,-244140,4159
1689066900433,-244140,4159
1689066900439,-244140,4159
1689066900443,-244140,4159
1689066900446,-244140,4159
1689066900448,-244140,4159
1689066900451,-244140,4159
1689066900455,-244140,4159
1689066900459,-244140,4159
1689066900464,-244140,4159
1689066900467,-244140,4159
1689066900471,-244140,4159
1689066900476,-244140,4159
1689066900480,-244140,4159
