Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688640222758,-230956,4186
1688640222763,-230956,4186
1688640222766,-230956,4186
1688640222770,-230956,4186
1688640222774,-230956,4186
1688640222778,-230956,4186
1688640222782,-230956,4186
1688640222787,-230956,4186
1688640222791,-230956,4186
1688640222796,-230956,4186
1688640222800,-230956,4186
1688640222804,-230956,4186
1688640222808,-230956,4186
1688640222813,-230956,4186
1688640222817,-230956,4186
1688640222821,-230956,4186
1688640222825,-230956,4186
1688640222829,-230956,4186
1688640222833,-230956,4186
1688640222837,-230956,4186
1688640222840,-230956,4186
1688640222844,-230956,4186
1688640222849,-230956,4186
1688640222854,-230956,4186
1688640222858,-230956,4186
1688640222862,-230956,4186
1688640222866,-230956,4186
1688640222870,-230956,4186
1688640222874,-230956,4186
1688640222878,-230956,4186
1688640222882,-230956,4186
1688640222886,-230956,4186
1688640222890,-230956,4186
1688640222893,-230956,4186
1688640222899,-230956,4186
1688640222903,-230956,4186
1688640222907,-230956,4186
1688640222911,-230956,4186
1688640222916,-230956,4186
1688640222920,-230956,4186
1688640222924,-230956,4186
1688640222928,-230956,4186
1688640222933,-230956,4186
1688640222937,-230956,4186
1688640222941,-230956,4186
1688640222945,-230956,4186
1688640222950,-230956,4186
1688640222956,-230956,4186
1688640222960,-230956,4186
1688640222964,-230956,4186
1688640222969,-230956,4186
1688640222973,-230956,4186
1688640222977,-230956,4186
1688640222982,-230956,4186
1688640222987,-230956,4186
1688640222991,-230956,4186
1688640222995,-230956,4186
1688640222999,-230956,4186
1688640223005,-230956,4186
1688640223009,-230956,4186
1688640223013,-230956,4186
1688640223017,-230956,4186
1688640223023,-230956,4186
1688640223027,-230956,4186
1688640223031,-230956,4186
1688640223034,-230956,4186
1688640223040,-230956,4186
1688640223044,-230956,4186
1688640223047,-230956,4186
1688640223051,-230956,4186
1688640223055,-230956,4186
1688640223059,-230956,4186
1688640223063,-230956,4186
1688640223067,-230956,4186
1688640223071,-230956,4186
1688640223076,-230956,4186
1688640223080,-230956,4186
1688640223084,-230956,4186
1688640223087,-230956,4186
1688640223093,-230956,4186
1688640223097,-230956,4186
1688640223101,-230956,4186
1688640223106,-230956,4186
1688640223111,-230956,4186
1688640223115,-230956,4186
1688640223118,-230956,4186
1688640223122,-230956,4186
1688640223127,-230956,4186
1688640223131,-230956,4186
1688640223135,-230956,4186
1688640223139,-230956,4186
1688640223144,-230956,4186
1688640223148,-230956,4186
1688640223152,-230956,4186
1688640223155,-230956,4186
1688640223161,-230956,4186
1688640223165,-230956,4186
1688640223169,-230956,4186
1688640223173,-230956,4186
1688640223178,-230956,4186
1688640223182,-230956,4186
1688640223187,-230956,4186
1688640223190,-230956,4186
1688640223195,-230956,4186
1688640223199,-230956,4186
1688640223203,-230956,4186
1688640223207,-230956,4186
1688640223212,-230956,4186
1688640223216,-230956,4186
1688640223220,-230956,4186
1688640223225,-230956,4186
1688640223228,-230956,4186
1688640223235,-230956,4186
1688640223239,-230956,4186
1688640223244,-230956,4186
1688640223248,-230956,4186
1688640223254,-230956,4186
1688640223262,-230956,4186
1688640223271,-230956,4186
1688640223278,-230956,4186
1688640223284,-230956,4186
1688640223292,-230956,4186
1688640223299,-230956,4186
1688640223308,-230956,4186
1688640223315,-230956,4186
1688640223324,-230956,4186
1688640223332,-230956,4186
1688640223343,-230956,4186
1688640223351,-230956,4186
1688640223360,-230956,4186
1688640223369,-230956,4186
1688640223380,-230956,4186
1688640223387,-230956,4186
1688640223397,-230956,4186
1688640223403,-230956,4186
1688640223413,-230956,4186
1688640223418,-230956,4186
1688640223422,-230956,4186
1688640223427,-230956,4186
1688640223431,-230956,4186
1688640223435,-230956,4186
1688640223438,-230956,4186
1688640223443,-230956,4186
1688640223446,-230956,4186
1688640223450,-230956,4186
1688640223453,-230956,4186
1688640223459,-230956,4186
1688640223465,-230956,4186
1688640223471,-230956,4186
1688640223478,-230956,4186
1688640223484,-230956,4186
1688640223490,-230956,4186
1688640223496,-230956,4186
1688640223502,-230956,4186
1688640223508,-230956,4186
1688640223515,-230956,4186
1688640223522,-215820,4186
1688640223528,-215820,4186
1688640223536,-215820,4186
1688640223542,-215820,4186
1688640223548,-215820,4186
1688640223554,-215820,4186
1688640223560,-215820,4186
1688640223565,-215820,4186
1688640223571,-215820,4186
1688640223577,-215820,4186
1688640223582,-215820,4186
1688640223587,-215820,4186
1688640223592,-215820,4186
1688640223599,-215820,4186
1688640223606,-215820,4186
1688640223612,-215820,4186
1688640223619,-215820,4186
1688640223632,-215820,4186
1688640223657,-215820,4186
1688640223664,-215820,4186
1688640223670,-215820,4186
1688640223677,-215820,4186
1688640223682,-215820,4186
1688640223688,-215820,4186
1688640223694,-215820,4186
1688640223699,-215820,4186
1688640223705,-215820,4186
1688640223711,-215820,4186
1688640223716,-215820,4186
1688640223721,-215820,4186
1688640223728,-215820,4186
1688640223734,-215820,4186
1688640223742,-215820,4186
1688640223749,-215820,4186
1688640223760,-215820,4186
1688640223769,-215820,4186
1688640223778,-215820,4186
1688640223794,-215820,4186
1688640223802,-215820,4186
1688640223809,-215820,4186
1688640223818,-215820,4186
1688640223824,-215820,4186
1688640223832,-215820,4186
1688640223838,-215820,4186
1688640223845,-215820,4186
1688640223851,-215820,4186
1688640223861,-215820,4186
1688640223868,-215820,4186
1688640223875,-215820,4186
1688640223885,-215820,4186
1688640223894,-215820,4186
1688640223902,-215820,4186
1688640223911,-215820,4186
1688640223917,-215820,4186
1688640223924,-215820,4186
1688640223932,-215820,4186
1688640223938,-215820,4186
1688640223944,-215820,4186
1688640223950,-215820,4186
1688640223962,-215820,4186
1688640223968,-215820,4186
1688640223974,-215820,4186
1688640223980,-215820,4186
1688640223985,-215820,4186
1688640223991,-215820,4186
1688640223996,-215820,4186
1688640224001,-215820,4186
1688640224006,-215820,4186
1688640224011,-215820,4186
1688640224018,-215820,4186
1688640224025,-215820,4186
1688640224031,-215820,4186
1688640224038,-215820,4186
1688640224043,-215820,4186
1688640224049,-215820,4186
1688640224056,-215820,4186
1688640224063,-215820,4186
1688640224070,-215820,4186
1688640224082,-215820,4186
1688640224089,-215820,4186
1688640224098,-215820,4186
1688640224104,-215820,4186
1688640224111,-215820,4186
1688640224118,-215820,4186
1688640224124,-215820,4186
1688640224131,-215820,4186
1688640224137,-215820,4186
1688640224144,-215820,4186
1688640224151,-215820,4186
1688640224158,-215820,4186
1688640224165,-215820,4186
1688640224172,-215820,4186
1688640224182,-215820,4186
1688640224193,-215820,4186
1688640224200,-215820,4186
1688640224205,-215820,4186
1688640224211,-215820,4186
1688640224216,-215820,4186
1688640224220,-215820,4186
1688640224226,-215820,4186
1688640224232,-215820,4186
1688640224240,-215820,4186
1688640224247,-215820,4186
1688640224253,-215820,4186
1688640224260,-215820,4186
1688640224269,-215820,4186
1688640224277,-215820,4186
1688640224287,-215820,4186
1688640224296,-215820,4186
1688640224307,-215820,4186
1688640224316,-215820,4186
1688640224325,-215820,4186
1688640224332,-215820,4186
1688640224343,-215820,4186
1688640224352,-215820,4186
1688640224360,-215820,4186
1688640224371,-215820,4186
1688640224380,-215820,4186
1688640224389,-215820,4186
