Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688919186455,-393554,4302
1688919186460,-393554,4302
1688919186464,-393554,4302
1688919186468,-393554,4302
1688919186472,-393554,4302
1688919186476,-393554,4302
1688919186481,-393554,4302
1688919186485,-393554,4302
1688919186490,-393554,4302
1688919186494,-393554,4302
1688919186498,-393554,4302
1688919186502,-393554,4302
1688919186507,-393554,4302
1688919186512,-393554,4302
1688919186516,-393554,4302
1688919186519,-393554,4302
1688919186524,-393554,4302
1688919186529,-393554,4302
1688919186534,-393554,4302
1688919186538,-393554,4302
1688919186543,-393554,4302
1688919186547,-393554,4302
1688919186551,-393554,4302
1688919186555,-393554,4302
1688919186559,-393554,4302
1688919186564,-393554,4302
1688919186568,-393554,4302
1688919186571,-393554,4302
1688919186575,-393554,4302
1688919186580,-393554,4302
1688919186584,-393554,4302
1688919186588,-393554,4302
1688919186591,-393554,4302
1688919186596,-393554,4302
1688919186600,-393554,4302
1688919186604,-393554,4302
1688919186607,-393554,4302
1688919186611,-393554,4302
1688919186615,-393554,4302
1688919186620,-393554,4302
1688919186624,-393554,4302
1688919186628,-393554,4302
1688919186633,-393554,4302
1688919186637,-393554,4302
1688919186641,-393554,4302
1688919186645,-393554,4302
1688919186649,-393554,4302
1688919186654,-393554,4302
1688919186658,-393554,4302
1688919186662,-393554,4302
1688919186668,-393554,4302
1688919186672,-393554,4302
1688919186676,-393554,4302
1688919186680,-393554,4302
1688919186685,-393554,4302
1688919186689,-393554,4302
1688919186693,-393554,4302
1688919186696,-393554,4302
1688919186700,-393554,4302
1688919186706,-393554,4302
1688919186710,-393554,4302
1688919186714,-393554,4302
1688919186719,-393554,4302
1688919186723,-393554,4302
1688919186727,-393554,4302
1688919186731,-393554,4302
1688919186735,-393554,4302
1688919186740,-393554,4302
1688919186744,-393554,4302
1688919186748,-393554,4302
1688919186752,-393554,4302
1688919186757,-393554,4302
1688919186761,-393554,4302
1688919186765,-393554,4302
1688919186769,-393554,4302
1688919186773,-393554,4302
1688919186777,-393554,4302
1688919186781,-393554,4302
1688919186785,-393554,4302
1688919186790,-393554,4302
1688919186795,-393554,4302
1688919186799,-393554,4302
1688919186803,-393554,4302
1688919186807,-393554,4302
1688919186813,-393554,4302
1688919186816,-393554,4302
1688919186820,-393554,4302
1688919186824,-393554,4302
1688919186829,-393554,4302
1688919186833,-299316,4302
1688919186837,-299316,4302
1688919186842,-299316,4302
1688919186847,-299316,4302
1688919186852,-299316,4302
1688919186856,-299316,4302
1688919186860,-299316,4302
1688919186864,-299316,4302
1688919186869,-299316,4302
1688919186873,-299316,4302
1688919186877,-299316,4302
1688919186882,-299316,4302
1688919186886,-299316,4302
1688919186890,-299316,4302
1688919186895,-299316,4302
1688919186899,-299316,4302
1688919186904,-299316,4302
1688919186907,-299316,4302
1688919186911,-299316,4302
1688919186916,-299316,4302
1688919186921,-299316,4302
1688919186925,-299316,4302
1688919186931,-299316,4302
1688919186936,-299316,4302
1688919186940,-299316,4302
1688919186945,-299316,4302
1688919186951,-299316,4302
1688919186956,-299316,4302
1688919186962,-299316,4302
1688919186969,-299316,4302
1688919186974,-299316,4302
1688919186980,-299316,4302
1688919186988,-299316,4302
1688919186994,-299316,4302
1688919187000,-299316,4302
1688919187008,-299316,4302
1688919187014,-299316,4302
1688919187021,-299316,4302
1688919187029,-299316,4302
1688919187040,-299316,4302
1688919187052,-299316,4302
1688919187062,-299316,4302
1688919187070,-299316,4302
1688919187077,-299316,4302
1688919187083,-299316,4302
1688919187089,-299316,4302
1688919187095,-299316,4302
1688919187101,-299316,4302
1688919187107,-299316,4302
1688919187115,-299316,4302
1688919187120,-299316,4302
1688919187127,-299316,4302
1688919187134,-299316,4302
1688919187139,-299316,4302
1688919187146,-299316,4302
1688919187151,-299316,4302
1688919187157,-299316,4302
1688919187163,-299316,4302
1688919187170,-299316,4302
1688919187176,-299316,4302
1688919187182,-299316,4302
1688919187188,-299316,4302
1688919187193,-299316,4302
1688919187200,-299316,4302
1688919187206,-299316,4302
1688919187213,-299316,4302
1688919187220,-299316,4302
1688919187226,-299316,4302
1688919187233,-299316,4302
1688919187239,-299316,4302
1688919187246,-299316,4302
1688919187253,-299316,4302
1688919187260,-299316,4302
1688919187266,-299316,4302
1688919187273,-299316,4302
1688919187279,-299316,4302
1688919187286,-299316,4302
1688919187298,-299316,4302
1688919187306,-299316,4302
1688919187313,-299316,4302
1688919187321,-299316,4302
1688919187329,-299316,4302
1688919187336,-299316,4302
1688919187343,-299316,4302
1688919187352,-299316,4302
1688919187363,-299316,4302
1688919187372,-299316,4302
1688919187380,-299316,4302
1688919187388,-299316,4302
1688919187396,-299316,4302
1688919187404,-299316,4302
1688919187416,-299316,4302
1688919187425,-299316,4302
1688919187436,-299316,4302
1688919187448,-299316,4302
1688919187459,-299316,4302
1688919187467,-299316,4302
1688919187474,-299316,4302
1688919187480,-299316,4302
1688919187487,-299316,4302
1688919187494,-299316,4302
1688919187500,-299316,4302
1688919187507,-299316,4302
1688919187513,-299316,4302
1688919187526,-299316,4302
1688919187533,-299316,4302
1688919187542,-299316,4302
1688919187553,-299316,4302
1688919187561,-299316,4302
1688919187571,-299316,4302
1688919187581,-299316,4302
1688919187591,-299316,4302
1688919187600,-299316,4302
1688919187611,-299316,4302
1688919187619,-299316,4302
1688919187628,-299316,4302
1688919187635,-299316,4302
1688919187641,-299316,4302
1688919187648,-299316,4302
1688919187655,-299316,4302
1688919187661,-299316,4302
1688919187668,-299316,4302
1688919187675,-299316,4302
1688919187681,-299316,4302
1688919187690,-299316,4302
1688919187701,-299316,4302
1688919187709,-299316,4302
1688919187715,-299316,4302
1688919187722,-299316,4302
1688919187729,-299316,4302
1688919187736,-299316,4302
1688919187744,-299316,4302
1688919187751,-299316,4302
1688919187758,-299316,4302
1688919187764,-299316,4302
1688919187772,-299316,4302
1688919187779,-299316,4302
1688919187787,-299316,4302
1688919187793,-299316,4302
1688919187800,-299316,4302
1688919187807,-299316,4302
1688919187814,-299316,4302
1688919187820,-299316,4302
1688919187828,-299316,4302
1688919187835,-299316,4302
1688919187843,-299316,4302
1688919187851,-299316,4302
1688919187859,-299316,4302
1688919187869,-299316,4302
1688919187887,-299316,4302
1688919187896,-299316,4302
1688919187902,-299316,4302
1688919187908,-299316,4302
1688919187913,-299316,4302
1688919187917,-299316,4302
1688919187922,-299316,4302
1688919187928,-299316,4302
1688919187933,-299316,4302
1688919187940,-299316,4302
1688919187952,-299316,4302
1688919187963,-299316,4302
1688919187975,-299316,4302
1688919187981,-299316,4302
1688919187987,-299316,4302
1688919187993,-299316,4302
1688919187999,-299316,4302
1688919188005,-299316,4302
1688919188010,-299316,4302
1688919188015,-299316,4302
1688919188023,-299316,4302
1688919188028,-299316,4302
1688919188034,-299316,4302
1688919188039,-299316,4302
