Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688585722287,-346679,4255
1688585722301,-346679,4255
1688585722316,-346679,4255
1688585722330,-346679,4255
1688585722344,-346679,4255
1688585722358,-346679,4255
1688585722374,-346679,4255
1688585722388,-346679,4255
1688585722402,-346679,4255
1688585722416,-346679,4255
1688585722430,-346679,4255
1688585722444,-346679,4255
1688585722459,-346679,4255
1688585722474,-346679,4255
1688585722490,-346679,4255
1688585722504,-346679,4255
1688585722518,-346679,4255
1688585722532,-346679,4255
1688585722545,-346679,4255
1688585722560,-346679,4255
1688585722573,-346679,4255
1688585722587,-346679,4255
1688585722600,-346679,4255
1688585722615,-346679,4255
1688585722629,-346679,4255
1688585722643,-346679,4255
1688585722657,-346679,4255
1688585722672,-346679,4255
1688585722686,-346679,4255
1688585722700,-346679,4255
1688585722714,-346679,4255
1688585722729,-346679,4255
1688585722742,-346679,4255
1688585722756,-346679,4255
1688585722772,-346679,4255
1688585722785,-346679,4255
1688585722801,-346679,4255
1688585722818,-346679,4255
1688585722833,-346679,4255
1688585722849,-346679,4255
1688585722868,-346679,4255
1688585722885,-346679,4255
1688585722902,-346679,4255
1688585722920,-346679,4255
1688585722943,-346679,4255
1688585722963,-346679,4255
1688585722979,-346679,4255
1688585722996,-346679,4255
1688585723013,-346679,4255
1688585723030,-346679,4255
1688585723046,-346679,4255
1688585723063,-346679,4255
1688585723086,-346679,4255
1688585723102,-346679,4255
1688585723118,-346679,4255
1688585723134,-346679,4255
1688585723149,-346679,4255
1688585723166,-346679,4255
1688585723183,-346679,4255
1688585723201,-346679,4255
1688585723222,-346679,4255
1688585723241,-346679,4255
1688585723258,-346679,4255
1688585723278,-346679,4255
1688585723298,-346679,4255
1688585723317,-346679,4255
1688585723335,-346679,4255
1688585723353,-346679,4255
1688585723371,-346679,4255
1688585723391,-346679,4255
1688585723409,-346679,4255
1688585723427,-346679,4255
1688585723448,-346679,4255
1688585723465,-346679,4255
1688585723482,-346679,4255
1688585723501,-346679,4255
1688585723518,-346679,4255
1688585723534,-346679,4255
1688585723551,-346679,4255
1688585723568,-346679,4255
1688585723584,-346679,4255
1688585723601,-234374,4255
1688585723619,-234374,4255
1688585723636,-234374,4255
1688585723654,-234374,4255
1688585723672,-234374,4255
1688585723690,-234374,4255
1688585723706,-234374,4255
1688585723723,-234374,4255
1688585723740,-234374,4255
1688585723760,-234374,4255
1688585723782,-234374,4255
1688585723800,-234374,4255
1688585723816,-234374,4255
1688585723836,-234374,4255
1688585723859,-234374,4255
1688585723879,-234374,4255
1688585723899,-234374,4255
1688585723919,-234374,4255
1688585723939,-234374,4255
1688585723960,-234374,4255
1688585723979,-234374,4255
1688585723998,-234374,4255
1688585724016,-234374,4255
1688585724037,-234374,4255
1688585724055,-234374,4255
1688585724082,-234374,4255
1688585724103,-234374,4255
1688585724121,-234374,4255
1688585724139,-234374,4255
1688585724158,-234374,4255
1688585724180,-234374,4255
1688585724200,-234374,4255
1688585724220,-234374,4255
1688585724239,-234374,4255
1688585724258,-234374,4255
1688585724278,-234374,4255
1688585724300,-234374,4255
1688585724319,-234374,4255
1688585724338,-234374,4255
1688585724357,-234374,4255
1688585724377,-234374,4255
1688585724396,-234374,4255
1688585724414,-234374,4255
1688585724434,-234374,4255
1688585724452,-234374,4255
1688585724472,-234374,4255
1688585724492,-234374,4255
1688585724513,-234374,4255
1688585724533,-234374,4255
1688585724552,-234374,4255
1688585724570,-234374,4255
1688585724587,-234374,4255
1688585724604,-234374,4255
1688585724621,-234374,4255
1688585724642,-234374,4255
1688585724663,-234374,4255
1688585724682,-234374,4255
1688585724699,-234374,4255
1688585724718,-234374,4255
1688585724740,-234374,4255
1688585724757,-234374,4255
1688585724774,-234374,4255
1688585724792,-234374,4255
1688585724808,-234374,4255
1688585724826,-234374,4255
1688585724850,-234374,4255
1688585724867,-234374,4255
1688585724884,-234374,4255
1688585724903,-234374,4255
1688585724924,-234374,4255
1688585724945,-234374,4255
1688585724967,-234374,4255
1688585724983,-234374,4255
1688585724999,-234374,4255
1688585725016,-234374,4255
1688585725033,-234374,4255
1688585725054,-218261,4255
1688585725071,-218261,4255
1688585725090,-218261,4255
1688585725107,-218261,4255
1688585725125,-218261,4255
1688585725145,-218261,4255
1688585725164,-218261,4255
1688585725185,-218261,4255
1688585725202,-218261,4255
1688585725218,-218261,4255
1688585725234,-218261,4255
1688585725250,-218261,4255
1688585725264,-218261,4255
1688585725278,-218261,4255
1688585725292,-218261,4255
1688585725305,-218261,4255
1688585725321,-218261,4255
1688585725348,-218261,4255
