Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688585989945,-475097,4257
1688585989960,-475097,4257
1688585989974,-475097,4257
1688585989988,-475097,4257
1688585990001,-475097,4257
1688585990015,-475097,4257
1688585990030,-475097,4257
1688585990044,-475097,4257
1688585990058,-475097,4257
1688585990071,-475097,4257
1688585990085,-475097,4257
1688585990098,-358886,4257
1688585990112,-358886,4257
1688585990126,-358886,4257
1688585990140,-358886,4257
1688585990153,-358886,4257
1688585990167,-358886,4257
1688585990181,-358886,4257
1688585990195,-358886,4257
1688585990210,-358886,4257
1688585990224,-358886,4257
1688585990239,-358886,4257
1688585990253,-358886,4257
1688585990267,-358886,4257
1688585990281,-358886,4257
1688585990296,-358886,4257
1688585990310,-358886,4257
1688585990324,-358886,4257
1688585990340,-358886,4257
1688585990356,-358886,4257
1688585990373,-358886,4257
1688585990390,-358886,4257
1688585990410,-358886,4257
1688585990429,-358886,4257
1688585990448,-358886,4257
1688585990466,-358886,4257
1688585990487,-358886,4257
1688585990502,-358886,4257
1688585990518,-358886,4257
1688585990534,-358886,4257
1688585990551,-358886,4257
1688585990569,-358886,4257
1688585990588,-358886,4257
1688585990607,-358886,4257
1688585990629,-358886,4257
1688585990645,-358886,4257
1688585990664,-358886,4257
1688585990682,-358886,4257
1688585990700,-358886,4257
1688585990717,-358886,4257
1688585990734,-358886,4257
1688585990754,-358886,4257
1688585990773,-358886,4257
1688585990791,-358886,4257
1688585990809,-358886,4257
1688585990837,-358886,4257
1688585990855,-358886,4257
1688585990871,-358886,4257
1688585990887,-358886,4257
1688585990903,-358886,4257
1688585990920,-358886,4257
1688585990937,-358886,4257
1688585990955,-358886,4257
1688585990973,-358886,4257
1688585990991,-358886,4257
1688585991010,-358886,4257
1688585991029,-358886,4257
1688585991047,-358886,4257
1688585991068,-358886,4257
1688585991088,-358886,4257
1688585991109,-358886,4257
1688585991127,-358886,4257
1688585991146,-358886,4257
1688585991164,-358886,4257
1688585991181,-358886,4257
1688585991198,-358886,4257
1688585991215,-358886,4257
1688585991240,-358886,4257
1688585991257,-358886,4257
1688585991274,-358886,4257
1688585991291,-358886,4257
1688585991307,-358886,4257
1688585991324,-358886,4257
1688585991341,-358886,4257
1688585991357,-358886,4257
1688585991375,-358886,4257
1688585991393,-358886,4257
1688585991412,-358886,4257
1688585991428,-358886,4257
1688585991447,-358886,4257
1688585991474,-358886,4257
1688585991494,-358886,4257
1688585991520,-358886,4257
1688585991539,-358886,4257
1688585991559,-142578,4257
1688585991586,-142578,4257
1688585991608,-142578,4257
1688585991628,-142578,4257
1688585991648,-142578,4257
1688585991671,-142578,4257
1688585991694,-142578,4257
1688585991714,-142578,4257
1688585991738,-142578,4257
1688585991758,-142578,4257
1688585991780,-142578,4257
1688585991801,-142578,4257
1688585991819,-142578,4257
1688585991838,-142578,4257
1688585991859,-142578,4257
1688585991878,-142578,4257
1688585991900,-142578,4257
1688585991919,-142578,4257
1688585991938,-142578,4257
1688585991959,-142578,4257
1688585991978,-142578,4257
1688585991997,-142578,4257
1688585992013,-142578,4257
1688585992033,-142578,4257
1688585992050,-142578,4257
1688585992064,-142578,4257
1688585992078,-142578,4257
1688585992091,-142578,4257
1688585992105,-142578,4257
1688585992118,-142578,4257
1688585992132,-142578,4257
1688585992145,-142578,4257
1688585992160,-142578,4257
1688585992173,-142578,4257
1688585992187,-142578,4257
1688585992200,-142578,4257
1688585992213,-142578,4257
1688585992227,-142578,4257
1688585992240,-142578,4257
1688585992253,-142578,4257
1688585992266,-142578,4257
1688585992281,-142578,4257
1688585992294,-142578,4257
1688585992309,-142578,4257
1688585992322,-142578,4257
1688585992336,-142578,4257
1688585992350,-142578,4257
1688585992364,-142578,4257
1688585992378,-142578,4257
1688585992392,-142578,4257
1688585992405,-142578,4257
1688585992418,-142578,4257
1688585992432,-142578,4257
1688585992446,-142578,4257
1688585992460,-142578,4257
1688585992474,-142578,4257
1688585992489,-142578,4257
1688585992506,-142578,4257
1688585992523,-142578,4257
1688585992542,-142578,4257
1688585992562,-142578,4257
1688585992581,-142578,4257
1688585992600,-142578,4257
1688585992618,-142578,4257
1688585992639,-142578,4257
1688585992658,-142578,4257
1688585992680,-142578,4257
1688585992708,-142578,4257
1688585992724,-142578,4257
1688585992739,-142578,4257
1688585992754,-142578,4257
1688585992769,-142578,4257
1688585992783,-142578,4257
1688585992797,-142578,4257
1688585992811,-142578,4257
1688585992827,-142578,4257
1688585992842,-142578,4257
1688585992858,-142578,4257
1688585992875,-142578,4257
1688585992896,-142578,4257
1688585992919,-142578,4257
1688585992946,-142578,4257
1688585992964,-142578,4257
1688585992981,-142578,4257
1688585993000,-142578,4257
1688585993015,-239257,4257
1688585993040,-239257,4257
1688585993056,-239257,4257
1688585993071,-239257,4257
1688585993086,-239257,4257
1688585993102,-239257,4257
1688585993120,-239257,4257
1688585993136,-239257,4257
1688585993151,-239257,4257
1688585993168,-239257,4257
1688585993184,-239257,4257
1688585993200,-239257,4257
1688585993216,-239257,4257
1688585993234,-239257,4257
1688585993251,-239257,4257
1688585993269,-239257,4257
1688585993288,-239257,4257
1688585993310,-239257,4257
1688585993332,-239257,4257
1688585993354,-239257,4257
1688585993378,-239257,4257
1688585993401,-239257,4257
1688585993420,-239257,4257
1688585993445,-239257,4257
1688585993461,-239257,4257
1688585993477,-239257,4257
1688585993492,-239257,4257
1688585993507,-239257,4257
1688585993526,-239257,4257
1688585993540,-239257,4257
1688585993553,-239257,4257
1688585993567,-239257,4257
1688585993580,-239257,4257
1688585993594,-239257,4257
1688585993608,-239257,4257
1688585993624,-239257,4257
1688585993638,-239257,4257
1688585993651,-239257,4257
1688585993664,-239257,4257
1688585993678,-239257,4257
1688585993692,-239257,4257
1688585993706,-239257,4257
1688585993719,-239257,4257
1688585993732,-239257,4257
1688585993746,-239257,4257
1688585993762,-239257,4257
1688585993776,-239257,4257
1688585993792,-239257,4257
1688585993808,-239257,4257
1688585993823,-239257,4257
1688585993839,-239257,4257
1688585993853,-239257,4257
1688585993869,-239257,4257
1688585993885,-239257,4257
1688585993902,-239257,4257
1688585993916,-239257,4257
1688585993937,-239257,4257
1688585993958,-239257,4257
1688585993975,-239257,4257
1688585993993,-239257,4257
1688585994011,-239257,4257
1688585994030,-239257,4257
1688585994048,-239257,4257
1688585994069,-239257,4257
1688585994090,-239257,4257
1688585994109,-239257,4257
1688585994133,-239257,4257
