Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688590406409,-389648,4174
1688590406423,-389648,4174
1688590406436,-389648,4174
1688590406450,-389648,4174
1688590406463,-389648,4174
1688590406479,-389648,4174
1688590406492,-389648,4174
1688590406505,-389648,4174
1688590406519,-389648,4174
1688590406532,-389648,4174
1688590406546,-389648,4174
1688590406560,-389648,4174
1688590406574,-389648,4174
1688590406590,-389648,4174
1688590406605,-389648,4174
1688590406623,-389648,4174
1688590406639,-389648,4174
1688590406655,-389648,4174
1688590406673,-389648,4174
1688590406691,-389648,4174
1688590406704,-389648,4174
1688590406718,-389648,4174
1688590406731,-389648,4174
1688590406744,-389648,4174
1688590406758,-389648,4174
1688590406771,-389648,4174
1688590406786,-389648,4174
1688590406802,-389648,4174
1688590406817,-389648,4174
1688590406832,-389648,4174
1688590406848,-389648,4174
1688590406864,-389648,4174
1688590406879,-389648,4174
1688590406894,-389648,4174
1688590406909,-389648,4174
1688590406924,-389648,4174
1688590406940,-389648,4174
1688590406955,-389648,4174
1688590406972,-389648,4174
1688590406985,-389648,4174
1688590407000,-389648,4174
1688590407014,-389648,4174
1688590407029,-389648,4174
1688590407044,-389648,4174
1688590407060,-273437,4174
1688590407077,-273437,4174
1688590407093,-273437,4174
1688590407108,-273437,4174
1688590407124,-273437,4174
1688590407139,-273437,4174
1688590407154,-273437,4174
1688590407169,-273437,4174
1688590407186,-273437,4174
1688590407202,-273437,4174
1688590407216,-273437,4174
1688590407233,-273437,4174
1688590407248,-273437,4174
1688590407263,-273437,4174
1688590407278,-273437,4174
1688590407293,-273437,4174
1688590407311,-273437,4174
1688590407327,-273437,4174
1688590407343,-273437,4174
1688590407358,-273437,4174
1688590407373,-273437,4174
1688590407387,-273437,4174
1688590407402,-273437,4174
1688590407416,-273437,4174
1688590407433,-273437,4174
1688590407447,-273437,4174
1688590407463,-273437,4174
1688590407478,-273437,4174
1688590407493,-273437,4174
1688590407507,-273437,4174
1688590407522,-273437,4174
1688590407537,-273437,4174
1688590407553,-273437,4174
1688590407567,-273437,4174
1688590407582,-273437,4174
1688590407597,-273437,4174
1688590407613,-273437,4174
1688590407627,-273437,4174
1688590407644,-273437,4174
