Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688598766080,-481445,4016
1688598766093,-481445,4016
1688598766108,-481445,4016
1688598766122,-481445,4016
1688598766136,-481445,4016
1688598766150,-481445,4016
1688598766165,-481445,4016
1688598766181,-481445,4016
1688598766194,-481445,4016
1688598766208,-481445,4016
1688598766223,-481445,4016
1688598766237,-481445,4016
1688598766250,-481445,4016
1688598766266,-481445,4016
1688598766280,-481445,4016
1688598766294,-481445,4016
1688598766308,-481445,4016
1688598766322,-481445,4016
1688598766337,-481445,4016
1688598766350,-481445,4016
1688598766364,-481445,4016
1688598766379,-481445,4016
1688598766392,-286132,4016
1688598766406,-286132,4016
1688598766420,-286132,4016
1688598766434,-286132,4016
1688598766448,-286132,4016
1688598766462,-286132,4016
1688598766477,-286132,4016
1688598766490,-286132,4016
1688598766504,-286132,4016
1688598766518,-286132,4016
1688598766531,-286132,4016
1688598766545,-286132,4016
1688598766559,-286132,4016
1688598766573,-286132,4016
1688598766587,-286132,4016
1688598766603,-286132,4016
1688598766621,-286132,4016
1688598766639,-286132,4016
1688598766658,-286132,4016
1688598766677,-286132,4016
1688598766696,-286132,4016
1688598766715,-286132,4016
1688598766735,-286132,4016
1688598766751,-286132,4016
1688598766767,-286132,4016
1688598766784,-286132,4016
1688598766801,-286132,4016
1688598766817,-286132,4016
1688598766836,-286132,4016
1688598766856,-286132,4016
1688598766875,-286132,4016
1688598766893,-286132,4016
1688598766910,-286132,4016
1688598766928,-286132,4016
1688598766947,-286132,4016
1688598766963,-286132,4016
1688598766980,-286132,4016
1688598766997,-286132,4016
1688598767022,-286132,4016
1688598767038,-286132,4016
1688598767053,-286132,4016
1688598767074,-286132,4016
1688598767091,-286132,4016
1688598767114,-286132,4016
1688598767133,-286132,4016
1688598767153,-286132,4016
1688598767173,-286132,4016
1688598767191,-286132,4016
1688598767207,-286132,4016
1688598767223,-286132,4016
1688598767239,-286132,4016
1688598767255,-286132,4016
1688598767273,-286132,4016
1688598767292,-286132,4016
1688598767311,-286132,4016
1688598767327,-286132,4016
1688598767343,-286132,4016
1688598767361,-286132,4016
1688598767380,-286132,4016
1688598767396,-286132,4016
1688598767415,-286132,4016
1688598767432,-286132,4016
1688598767449,-286132,4016
1688598767465,-286132,4016
1688598767482,-286132,4016
1688598767498,-286132,4016
1688598767516,-286132,4016
1688598767536,-286132,4016
1688598767562,-286132,4016
1688598767582,-286132,4016
1688598767607,-286132,4016
1688598767625,-286132,4016
1688598767644,-286132,4016
1688598767668,-286132,4016
