Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688596212385,-720702,4073
1688596212399,-720702,4073
1688596212413,-720702,4073
1688596212429,-720702,4073
1688596212443,-720702,4073
1688596212456,-720702,4073
1688596212470,-720702,4073
1688596212484,-720702,4073
1688596212497,-720702,4073
1688596212511,-720702,4073
1688596212525,-720702,4073
1688596212538,-720702,4073
1688596212552,-720702,4073
1688596212567,-720702,4073
1688596212580,-720702,4073
1688596212595,-720702,4073
1688596212609,-720702,4073
1688596212623,-720702,4073
1688596212636,-720702,4073
1688596212650,-720702,4073
1688596212664,-317382,4073
1688596212678,-317382,4073
1688596212694,-317382,4073
1688596212708,-317382,4073
1688596212722,-317382,4073
1688596212736,-317382,4073
1688596212750,-317382,4073
1688596212763,-317382,4073
1688596212778,-317382,4073
1688596212792,-317382,4073
1688596212806,-317382,4073
1688596212820,-317382,4073
1688596212833,-317382,4073
1688596212847,-317382,4073
1688596212864,-317382,4073
1688596212883,-317382,4073
1688596212901,-317382,4073
1688596212920,-317382,4073
1688596212939,-317382,4073
1688596212955,-317382,4073
1688596212973,-317382,4073
1688596212991,-317382,4073
1688596213010,-317382,4073
1688596213029,-317382,4073
1688596213052,-317382,4073
1688596213071,-317382,4073
1688596213089,-317382,4073
1688596213107,-317382,4073
1688596213124,-317382,4073
1688596213143,-317382,4073
1688596213161,-317382,4073
1688596213178,-317382,4073
1688596213194,-317382,4073
1688596213207,-317382,4073
1688596213221,-317382,4073
1688596213238,-317382,4073
1688596213255,-317382,4073
1688596213272,-317382,4073
1688596213290,-317382,4073
1688596213310,-317382,4073
1688596213332,-317382,4073
1688596213353,-317382,4073
1688596213371,-317382,4073
1688596213388,-317382,4073
1688596213407,-317382,4073
1688596213423,-317382,4073
1688596213451,-317382,4073
1688596213469,-317382,4073
1688596213486,-317382,4073
1688596213501,-317382,4073
1688596213515,-317382,4073
1688596213530,-317382,4073
1688596213544,-317382,4073
1688596213558,-317382,4073
1688596213572,-317382,4073
1688596213587,-317382,4073
1688596213602,-317382,4073
1688596213618,-317382,4073
1688596213631,-317382,4073
1688596213646,-317382,4073
1688596213661,-317382,4073
1688596213677,-317382,4073
1688596213691,-317382,4073
1688596213705,-317382,4073
1688596213718,-317382,4073
1688596213731,-317382,4073
1688596213747,-317382,4073
1688596213762,-317382,4073
1688596213778,-317382,4073
1688596213791,-317382,4073
1688596213805,-317382,4073
1688596213819,-317382,4073
1688596213836,-317382,4073
