Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688486175553,-418456,4230
1688486175657,-418456,4230
1688486175761,-418456,4230
1688486175865,-418456,4230
1688486175970,-272460,4230
1688486176079,-272460,4230
1688486176189,-272460,4230
1688486176303,-272460,4230
1688486176412,-272460,4230
1688486176523,-272460,4230
1688486176634,-272460,4230
1688486176742,-272460,4230
1688486176851,-272460,4230
1688486176970,-272460,4230
1688486177082,-272460,4230
1688486177193,-272460,4230
1688486177310,-272460,4230
1688486177420,-148925,4230
1688486177531,-148925,4230
1688486177642,-148925,4230
1688486177754,-148925,4230
1688486177866,-148925,4230
1688486177976,-148925,4230
1688486178083,-148925,4230
1688486178198,-148925,4230
1688486178309,-148925,4230
1688486178421,-148925,4230
1688486178527,-148925,4230
1688486178633,-148925,4230
1688486178744,-148925,4230
1688486178854,-148925,4230
1688486178963,-147949,4230
1688486179071,-147949,4230
1688486179178,-147949,4230
1688486179282,-147949,4230
1688486179386,-147949,4230
1688486179490,-147949,4230
1688486179600,-147949,4230
1688486179711,-147949,4230
1688486179823,-147949,4230
1688486179934,-147949,4230
1688486180047,-147949,4230
1688486180157,-147949,4230
1688486180266,-147949,4230
1688486180376,-210937,4230
1688486180489,-210937,4230
1688486180606,-210937,4230
1688486180716,-210937,4230
1688486180828,-210937,4230
1688486180941,-210937,4230
1688486181055,-210937,4230
1688486181168,-210937,4230
1688486181287,-210937,4230
1688486181396,-210937,4230
1688486181503,-210937,4230
1688486181612,-210937,4230
1688486181723,-210937,4230
1688486181833,-166015,4230
1688486181939,-166015,4230
1688486182053,-166015,4230
1688486182164,-166015,4230
1688486182277,-166015,4230
1688486182387,-166015,4230
1688486182500,-166015,4230
1688486182607,-166015,4230
1688486182716,-166015,4230
1688486182826,-166015,4230
1688486182939,-166015,4230
1688486183053,-166015,4230
1688486183166,-166015,4230
1688486183280,-140136,4230
1688486183393,-140136,4230
1688486183506,-140136,4230
1688486183617,-140136,4230
1688486183726,-140136,4230
1688486183835,-140136,4230
1688486183947,-140136,4230
1688486184057,-140136,4230
1688486184170,-140136,4230
1688486184280,-140136,4230
1688486184393,-140136,4230
1688486184500,-140136,4230
1688486184614,-140136,4230
1688486184730,-140136,4230
1688486184837,-155273,4230
1688486184948,-155273,4230
1688486185058,-155273,4230
1688486185171,-155273,4230
1688486185283,-155273,4230
1688486185396,-155273,4230
1688486185517,-155273,4230
1688486185630,-155273,4230
1688486185742,-155273,4230
1688486185852,-155273,4230
1688486185960,-155273,4230
1688486186072,-155273,4230
1688486186181,-155273,4230
1688486186292,-214843,4230
1688486186404,-214843,4230
1688486186518,-214843,4230
1688486186635,-214843,4230
1688486186749,-214843,4230
1688486186859,-214843,4230
1688486186966,-214843,4230
1688486187074,-214843,4230
1688486187183,-214843,4230
1688486187291,-214843,4230
1688486187401,-214843,4230
1688486187514,-214843,4230
1688486187628,-214843,4230
1688486187743,-143066,4230
1688486187857,-143066,4230
1688486187970,-143066,4230
1688486188080,-143066,4230
1688486188191,-143066,4230
1688486188303,-143066,4230
1688486188412,-143066,4230
1688486188533,-143066,4230
1688486188646,-143066,4230
1688486188760,-143066,4230
1688486188870,-143066,4230
1688486188984,-143066,4230
1688486189094,-143066,4230
1688486189210,-144042,4230
1688486189316,-144042,4230
1688486189428,-144042,4230
1688486189539,-144042,4230
1688486189650,-144042,4230
1688486189760,-144042,4230
1688486189871,-144042,4230
1688486189984,-144042,4230
1688486190096,-144042,4230
1688486190214,-144042,4230
1688486190327,-144042,4230
1688486190441,-144042,4230
1688486190551,-144042,4230
1688486190658,-141601,4230
1688486190768,-141601,4230
1688486190880,-141601,4230
1688486190987,-141601,4230
1688486191097,-141601,4230
1688486191211,-141601,4230
1688486191322,-141601,4230
1688486191434,-141601,4230
1688486191545,-141601,4230
1688486191658,-141601,4230
1688486191769,-141601,4230
1688486191879,-141601,4230
1688486191986,-141601,4230
1688486192096,-199218,4230
1688486192207,-199218,4230
1688486192318,-199218,4230
1688486192431,-199218,4230
1688486192541,-199218,4230
1688486192652,-199218,4230
1688486192761,-199218,4230
1688486192871,-199218,4230
1688486192980,-199218,4230
1688486193088,-199218,4230
1688486193198,-199218,4230
1688486193311,-199218,4230
1688486193423,-199218,4230
1688486193536,-147460,4230
1688486193647,-147460,4230
1688486193759,-147460,4230
1688486193873,-147460,4230
1688486193986,-147460,4230
1688486194092,-147460,4230
1688486194199,-147460,4230
1688486194312,-147460,4230
1688486194424,-147460,4230
1688486194540,-147460,4230
1688486194650,-147460,4230
1688486194766,-147460,4230
1688486194874,-147460,4230
1688486194979,-225585,4230
1688486195089,-225585,4230
1688486195197,-225585,4230
1688486195304,-225585,4230
1688486195420,-225585,4230
1688486195531,-225585,4230
1688486195649,-225585,4230
1688486195759,-225585,4230
1688486195871,-225585,4230
1688486195984,-225585,4230
1688486196097,-225585,4230
1688486196207,-225585,4230
1688486196314,-225585,4230
1688486196421,-225585,4230
1688486196536,-221191,4230
1688486196649,-221191,4230
1688486196759,-221191,4230
1688486196873,-221191,4230
1688486196985,-221191,4230
1688486197101,-221191,4230
1688486197212,-221191,4230
1688486197324,-221191,4230
1688486197431,-221191,4230
1688486197539,-221191,4230
1688486197655,-221191,4230
1688486197768,-221191,4230
1688486197880,-221191,4230
1688486197990,-149902,4230
1688486198097,-149902,4230
1688486198211,-149902,4230
1688486198321,-149902,4230
1688486198431,-149902,4230
1688486198539,-149902,4230
1688486198648,-149902,4230
1688486198761,-149902,4230
1688486198875,-149902,4230
1688486198986,-149902,4230
1688486199098,-149902,4230
1688486199212,-149902,4230
1688486199333,-149902,4230
1688486199446,-145507,4230
1688486199557,-145507,4230
1688486199667,-145507,4230
1688486199777,-145507,4230
1688486199886,-145507,4230
1688486200000,-145507,4230
1688486200113,-145507,4230
1688486200221,-145507,4230
1688486200335,-145507,4230
1688486200450,-145507,4230
1688486200569,-145507,4230
1688486200683,-145507,4230
1688486200797,-145507,4230
1688486200906,-144042,4230
1688486201012,-144042,4230
1688486201122,-144042,4230
1688486201236,-144042,4230
1688486201349,-144042,4230
1688486201464,-144042,4230
1688486201574,-144042,4230
1688486201687,-144042,4230
1688486201803,-144042,4230
1688486201915,-144042,4230
1688486202023,-144042,4230
1688486202130,-144042,4230
1688486202243,-144042,4230
1688486202356,-187011,4230
1688486202468,-187011,4230
1688486202579,-187011,4230
1688486202689,-187011,4230
1688486202808,-187011,4230
1688486202919,-187011,4230
1688486203032,-187011,4230
1688486203144,-187011,4230
1688486203251,-187011,4230
1688486203358,-187011,4230
1688486203481,-187011,4230
1688486203590,-187011,4230
1688486203699,-187011,4230
1688486203807,-218261,4230
1688486203917,-218261,4230
1688486204028,-218261,4230
1688486204140,-218261,4230
1688486204250,-218261,4230
1688486204357,-218261,4230
1688486204465,-218261,4230
1688486204577,-218261,4230
1688486204687,-218261,4230
1688486204797,-218261,4230
1688486204914,-218261,4230
1688486205028,-218261,4230
1688486205141,-218261,4230
1688486205252,-136718,4230
1688486205364,-136718,4230
1688486205471,-136718,4230
1688486205581,-136718,4230
1688486205692,-136718,4230
1688486205811,-136718,4230
1688486205924,-136718,4230
1688486206036,-136718,4230
1688486206147,-136718,4230
1688486206258,-136718,4230
1688486206371,-136718,4230
1688486206482,-136718,4230
1688486206589,-136718,4230
1688486206698,-218749,4230
1688486206809,-218749,4230
1688486206919,-218749,4230
1688486207029,-218749,4230
1688486207142,-218749,4230
1688486207253,-218749,4230
1688486207367,-218749,4230
1688486207484,-218749,4230
1688486207596,-218749,4230
1688486207703,-218749,4230
1688486207812,-218749,4230
1688486207922,-218749,4230
1688486208034,-218749,4230
1688486208144,-218749,4230
1688486208254,-145507,4230
1688486208367,-145507,4230
1688486208481,-145507,4230
1688486208593,-145507,4230
1688486208703,-145507,4230
1688486208810,-145507,4230
1688486208923,-145507,4230
1688486209041,-145507,4230
1688486209152,-145507,4230
1688486209265,-145507,4230
1688486209378,-145507,4230
1688486209503,-145507,4230
1688486209612,-145507,4230
1688486209718,-175781,4230
1688486209831,-175781,4230
1688486209940,-175781,4230
1688486210047,-175781,4230
1688486210158,-175781,4230
1688486210265,-175781,4230
1688486210374,-175781,4230
1688486210482,-175781,4230
1688486210590,-175781,4230
1688486210698,-175781,4230
1688486210805,-175781,4230
1688486210911,-175781,4230
1688486211020,-175781,4230
1688486211127,-214843,4230
1688486211240,-214843,4230
1688486211354,-214843,4230
1688486211466,-214843,4230
1688486211579,-214843,4230
1688486211690,-214843,4230
1688486211798,-214843,4230
1688486211906,-214843,4230
1688486212019,-214843,4230
1688486212125,-214843,4230
1688486212238,-214843,4230
1688486212354,-214843,4230
1688486212467,-214843,4230
1688486212590,-142089,4230
1688486212700,-142089,4230
1688486212814,-142089,4230
1688486212926,-142089,4230
1688486213033,-142089,4230
1688486213143,-142089,4230
1688486213254,-142089,4230
1688486213366,-142089,4230
1688486213482,-142089,4230
1688486213592,-142089,4230
1688486213704,-142089,4230
1688486213817,-142089,4230
1688486213939,-142089,4230
1688486214048,-166503,4230
1688486214155,-166503,4230
1688486214263,-166503,4230
1688486214373,-166503,4230
1688486214486,-166503,4230
1688486214596,-166503,4230
1688486214706,-166503,4230
1688486214819,-166503,4230
1688486214928,-166503,4230
1688486215041,-166503,4230
1688486215160,-166503,4230
1688486215267,-166503,4230
1688486215375,-166503,4230
1688486215482,-213867,4230
1688486215594,-213867,4230
1688486215710,-213867,4230
1688486215819,-213867,4230
1688486215932,-213867,4230
1688486216044,-213867,4230
1688486216155,-213867,4230
1688486216265,-213867,4230
1688486216376,-213867,4230
1688486216483,-213867,4230
1688486216595,-213867,4230
1688486216705,-213867,4230
1688486216816,-213867,4230
1688486216923,-213867,4230
1688486217037,-157714,4230
1688486217142,-157714,4230
1688486217252,-157714,4230
1688486217364,-157714,4230
1688486217472,-157714,4230
1688486217580,-157714,4230
1688486217689,-157714,4230
1688486217799,-157714,4230
1688486217916,-157714,4230
1688486218027,-157714,4230
1688486218143,-157714,4230
1688486218255,-157714,4230
1688486218367,-157714,4230
1688486218477,-147949,4230
1688486218588,-147949,4230
1688486218695,-147949,4230
1688486218804,-147949,4230
1688486218911,-147949,4230
1688486219021,-147949,4230
1688486219146,-147949,4230
1688486219251,-147949,4230
1688486219362,-147949,4230
1688486219474,-147949,4230
1688486219586,-147949,4230
1688486219699,-147949,4230
1688486219806,-147949,4230
1688486219912,-176757,4230
1688486220027,-176757,4230
1688486220134,-176757,4230
1688486220243,-176757,4230
1688486220353,-176757,4230
1688486220462,-176757,4230
1688486220573,-176757,4230
1688486220683,-176757,4230
1688486220793,-176757,4230
1688486220911,-176757,4230
1688486221020,-176757,4230
1688486221127,-176757,4230
1688486221236,-176757,4230
1688486221346,-142089,4230
1688486221452,-142089,4230
1688486221560,-142089,4230
1688486221667,-142089,4230
1688486221783,-142089,4230
1688486221893,-142089,4230
1688486222004,-142089,4230
1688486222111,-142089,4230
1688486222219,-142089,4230
1688486222329,-142089,4230
1688486222441,-142089,4230
1688486222551,-142089,4230
1688486222663,-142089,4230
1688486222776,-142089,4230
1688486222880,-142578,4230
1688486222987,-142578,4230
1688486223093,-142578,4230
1688486223199,-142578,4230
1688486223306,-142578,4230
1688486223411,-142578,4230
1688486223517,-142578,4230
1688486223621,-142578,4230
1688486223732,-142578,4230
1688486223838,-142578,4230
1688486223943,-142578,4230
1688486224050,-142578,4230
1688486224155,-142578,4230
1688486224260,-142578,4230
1688486224365,-275878,4230
1688486224470,-275878,4230
1688486224575,-275878,4230
1688486224680,-275878,4230
1688486224786,-275878,4230
1688486224893,-275878,4230
1688486225002,-275878,4230
1688486225108,-275878,4230
1688486225213,-275878,4230
1688486225318,-275878,4230
1688486225424,-275878,4230
1688486225531,-275878,4230
1688486225637,-275878,4230
1688486225742,-267577,4230
1688486225847,-267577,4230
1688486225953,-267577,4230
1688486226060,-267577,4230
1688486226165,-267577,4230
1688486226271,-267577,4230
1688486226377,-267577,4230
1688486226484,-267577,4230
1688486226592,-267577,4230
1688486226700,-267577,4230
1688486226804,-267577,4230
1688486226911,-267577,4230
1688486227017,-267577,4230
1688486227122,-267577,4230
1688486227228,-276367,4230
1688486227334,-276367,4230
1688486227439,-276367,4230
1688486227544,-276367,4230
1688486227650,-276367,4230
1688486227757,-276367,4230
1688486227864,-276367,4230
1688486227970,-276367,4230
1688486228074,-276367,4230
1688486228181,-276367,4230
1688486228290,-276367,4230
1688486228396,-276367,4230
1688486228506,-276367,4230
1688486228621,-276367,4230
1688486228733,-142089,4230
1688486228842,-142089,4230
1688486228958,-142089,4230
1688486229073,-142089,4230
1688486229189,-142089,4230
1688486229309,-142089,4230
1688486229416,-142089,4230
1688486229522,-142089,4230
1688486229632,-142089,4230
1688486229746,-142089,4230
1688486229859,-142089,4230
1688486229972,-142089,4230
1688486230084,-142089,4230
1688486230194,-144531,4230
1688486230304,-144531,4230
1688486230416,-144531,4230
1688486230528,-144531,4230
1688486230636,-144531,4230
1688486230748,-144531,4230
1688486230860,-144531,4230
1688486230977,-144531,4230
1688486231088,-144531,4230
1688486231193,-144531,4230
1688486231304,-144531,4230
1688486231416,-144531,4230
1688486231529,-144531,4230
1688486231638,-159667,4230
1688486231744,-159667,4230
1688486231856,-159667,4230
1688486231968,-159667,4230
