device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
NokiaLong-W,e-www-writeroomtest,0,4157.314442413162,-148211.09506398538,37.28803403406151,37.31690975423483,0.616156623641682
NokiaLong-W,e-www-writeroomtest,1,4126.0,-147006.152293578,36.562008048392,36.67973997460201,0.6065473843633028
NokiaLong-W,e-www-writeroomtest,2,4081.0,-156603.82998171847,38.57013439217401,38.68857153268688,0.6391002301553931
NokiaLong-W,e-www-writeroomtest,3,4081.0,-146376.26605504588,36.0264018318435,36.07824767677971,0.5973615417706423
NokiaLong-W,e-www-writeroomtest,4,4116.0,-157450.12248628883,39.03624293835,39.166438460224846,0.6480647041535649
NokiaLong-W,e-www-writeroomtest,5,4129.906422018349,-146108.376146789,36.301752852943494,36.4360722068132,0.6033860862917431
NokiaLong-W,e-www-writeroomtest,6,4119.0,-151016.9597069597,37.481714277886496,37.59789463564363,0.622038857032967
NokiaLong-W,e-www-writeroomtest,7,4066.0733944954127,-151120.3394495413,37.121746525554,37.15480387565554,0.6144641519449541
NokiaLong-W,e-www-writeroomtest,8,4070.0,-143795.12293577983,35.352072920175,35.37052158861978,0.5852461503486239
NokiaLong-W,e-www-writeroomtest,9,4152.0,-146363.02564102566,36.667656614820004,36.72630613556307,0.6076992824615384
NokiaLong-W,e-www-gyroscopetest,0,4108.0,-152082.16240875912,37.757322701826,37.80446044085347,0.6247535231751825
NokiaLong-W,e-www-gyroscopetest,1,4145.0,-166432.57789855072,41.71995941692249,41.86295857654058,0.6898630353894926
NokiaLong-W,e-www-gyroscopetest,2,4134.0,-151450.44525547445,37.780802284095,37.88507747291781,0.6260961406861314
NokiaLong-W,e-www-gyroscopetest,3,4074.0,-149269.7659963437,36.66471963957599,36.73683286108058,0.6081250266691042
NokiaLong-W,e-www-gyroscopetest,4,4116.0,-155553.56569343066,38.630244863742,38.71963135993686,0.6402584763941606
NokiaLong-W,e-www-gyroscopetest,5,4111.321167883211,-159433.07664233577,39.44723577571649,39.56678030317516,0.6555023989525548
NokiaLong-W,e-www-gyroscopetest,6,4084.0,-157905.64298724954,38.824724148163995,38.98210797498568,0.6448866459599272
NokiaLong-W,e-www-gyroscopetest,7,4108.0,-147733.47166361974,36.64152278121399,36.65852929269303,0.6068891015941499
NokiaLong-W,e-www-gyroscopetest,8,4057.9672727272728,-148749.45636363636,36.678992364975,36.71454055888329,0.6036490777672727
NokiaLong-W,e-www-gyroscopetest,9,4108.0,-150100.20695970696,37.139059011054,37.19154829288876,0.6166116501904761
NokiaLong-W,e-www-baseline,0,4081.0,-157774.08043875685,38.806609273701504,38.928100430456205,0.6438760222705668
NokiaLong-W,e-www-baseline,1,4092.7853211009174,-149940.3247706422,37.0063163844215,37.040802193190174,0.6136850490935779
NokiaLong-W,e-www-baseline,2,4119.0,-146278.3474264706,36.212409686181005,36.334999539458074,0.6025205130496323
NokiaLong-W,e-www-baseline,3,4041.2954954954953,-149169.85405405404,36.9755974297575,37.078382952869504,0.6030083909783783
NokiaLong-W,e-www-baseline,4,4139.0,-151390.91544117648,37.671630866634,37.781895612369034,0.6266069990110295
NokiaLong-W,e-www-baseline,5,4074.0,-150442.91559633028,36.841080807951,37.00900868817438,0.6129044381394495
NokiaLong-W,e-www-baseline,6,4119.369963369963,-142659.89743589744,35.49287840984,35.55313503856593,0.5876551246043955
NokiaLong-W,e-www-baseline,7,4145.0,-144461.60294117648,36.06926180057749,36.11741814157919,0.5987933441911765
NokiaLong-W,e-www-baseline,8,4154.0,-146631.336996337,36.814834971677,36.85764789222114,0.6091065738827839
NokiaLong-W,e-www-baseline,9,4119.0,-147154.29044117648,36.50418908506499,36.59016050732643,0.6061285223272058
NokiaLong-W,e-www-magneticfieldtest,0,4119.0,-152012.60766423357,37.777044788181,37.8345053288005,0.6261399309689781
NokiaLong-W,e-www-magneticfieldtest,1,4154.0,-150092.43248175184,37.641140227365,37.73324953330701,0.6234839645291971
NokiaLong-W,e-www-magneticfieldtest,2,4060.4076782449724,-152221.88299817184,37.293505235656994,37.32870188360092,0.6181169691444242
NokiaLong-W,e-www-magneticfieldtest,3,4152.0,-160096.97632058288,40.052810099652,40.167860033335955,0.6647226456830602
NokiaLong-W,e-www-magneticfieldtest,4,4134.0,-146562.29981718466,36.544609796097006,36.62899213574161,0.6058885474442414
NokiaLong-W,e-www-magneticfieldtest,5,4074.0,-159915.17636363636,39.256190642361005,39.37176279787013,0.6514944285054545
NokiaLong-W,e-www-magneticfieldtest,6,4108.0,-147417.53564899453,36.511711394366,36.57347154268748,0.6055912364460695
NokiaLong-W,e-www-magneticfieldtest,7,4074.0,-151194.04918032786,37.276965985770005,37.36564191795011,0.6159645563606558
NokiaLong-W,e-www-magneticfieldtest,8,4152.0,-160472.04900181488,40.18649139178801,40.363905496803795,0.6662799474555354
NokiaLong-W,e-www-magneticfieldtest,9,4091.0,-156306.62705667276,38.58467374882251,38.61257363526582,0.6394504112888483
