Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688507566657,-424804,4095
1688507566762,-424804,4095
1688507566865,-424804,4095
1688507566969,-424804,4095
1688507567073,-424804,4095
1688507567182,-616698,4095
1688507567286,-616698,4095
1688507567391,-616698,4095
1688507567494,-616698,4095
1688507567601,-616698,4095
1688507567706,-616698,4095
1688507567818,-616698,4095
1688507567921,-616698,4095
1688507568027,-616698,4095
1688507568130,-616698,4095
1688507568237,-616698,4095
1688507568341,-616698,4095
1688507568447,-616698,4095
1688507568550,-616698,4095
1688507568655,-410156,4095
1688507568758,-410156,4095
1688507568863,-410156,4095
1688507568968,-410156,4095
1688507569073,-410156,4095
1688507569178,-410156,4095
1688507569284,-410156,4095
1688507569388,-410156,4095
1688507569494,-410156,4095
1688507569599,-410156,4095
1688507569704,-410156,4095
1688507569808,-410156,4095
1688507569914,-410156,4095
1688507570018,-410156,4095
1688507570122,-394042,4095
1688507570228,-394042,4095
1688507570331,-394042,4095
1688507570436,-394042,4095
1688507570540,-394042,4095
1688507570644,-394042,4095
1688507570748,-394042,4095
1688507570857,-394042,4095
1688507570963,-394042,4095
1688507571072,-394042,4095
1688507571184,-394042,4095
1688507571293,-394042,4095
1688507571400,-394042,4095
1688507571508,-394042,4095
1688507571618,-274902,4095
1688507571725,-274902,4095
1688507571834,-274902,4095
1688507571943,-274902,4095
1688507572058,-274902,4095
1688507572172,-274902,4095
1688507572279,-274902,4095
1688507572386,-274902,4095
1688507572493,-274902,4095
1688507572603,-274902,4095
1688507572715,-274902,4095
1688507572826,-274902,4095
1688507572939,-274902,4095
1688507573048,-245605,4095
1688507573155,-245605,4095
1688507573262,-245605,4095
1688507573368,-245605,4095
1688507573475,-245605,4095
1688507573582,-245605,4095
1688507573690,-245605,4095
1688507573798,-245605,4095
1688507573906,-245605,4095
1688507574021,-245605,4095
1688507574132,-245605,4095
1688507574241,-245605,4095
1688507574347,-245605,4095
1688507574455,-245605,4095
1688507574562,-252441,4095
1688507574670,-252441,4095
1688507574778,-252441,4095
1688507574887,-252441,4095
1688507574999,-252441,4095
1688507575112,-252441,4095
1688507575220,-252441,4095
1688507575336,-252441,4095
1688507575447,-252441,4095
1688507575556,-252441,4095
1688507575664,-252441,4095
1688507575774,-252441,4095
1688507575878,-252441,4095
1688507575983,-490722,4095
1688507576087,-490722,4095
1688507576191,-490722,4095
1688507576295,-490722,4095
1688507576398,-490722,4095
1688507576505,-490722,4095
1688507576608,-490722,4095
1688507576712,-490722,4095
1688507576816,-490722,4095
1688507576920,-490722,4095
1688507577024,-490722,4095
1688507577128,-490722,4095
1688507577233,-490722,4095
1688507577341,-490722,4095
1688507577449,-292968,4095
1688507577557,-292968,4095
1688507577664,-292968,4095
1688507577770,-292968,4095
1688507577876,-292968,4095
1688507577983,-292968,4095
1688507578090,-292968,4095
1688507578201,-292968,4095
1688507578309,-292968,4095
1688507578417,-292968,4095
1688507578524,-292968,4095
1688507578630,-292968,4095
1688507578735,-292968,4095
1688507578843,-292968,4095
1688507578949,-311523,4095
1688507579055,-311523,4095
1688507579164,-311523,4095
1688507579270,-311523,4095
1688507579378,-311523,4095
1688507579485,-311523,4095
1688507579591,-311523,4095
