Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688503688915,-483886,4215
1688503689020,-411132,4215
1688503689125,-411132,4215
1688503689230,-411132,4215
1688503689336,-411132,4215
1688503689441,-411132,4215
1688503689547,-411132,4215
1688503689652,-411132,4215
1688503689755,-411132,4215
1688503689859,-411132,4215
1688503689962,-411132,4215
1688503690066,-411132,4215
1688503690172,-411132,4215
1688503690277,-411132,4215
1688503690380,-411132,4215
1688503690483,-233398,4215
1688503690587,-233398,4215
1688503690690,-233398,4215
1688503690794,-233398,4215
1688503690898,-233398,4215
1688503691002,-233398,4215
1688503691106,-233398,4215
1688503691209,-233398,4215
1688503691312,-233398,4215
1688503691416,-233398,4215
1688503691519,-233398,4215
1688503691623,-233398,4215
1688503691726,-233398,4215
1688503691830,-233398,4215
1688503691933,-235839,4215
1688503692037,-235839,4215
1688503692140,-235839,4215
1688503692244,-235839,4215
1688503692347,-235839,4215
1688503692450,-235839,4215
1688503692554,-235839,4215
1688503692657,-235839,4215
1688503692761,-235839,4215
1688503692865,-235839,4215
1688503692969,-235839,4215
1688503693072,-235839,4215
1688503693176,-235839,4215
1688503693279,-235839,4215
1688503693383,-235839,4215
1688503693488,-231933,4215
1688503693591,-231933,4215
1688503693694,-231933,4215
1688503693797,-231933,4215
1688503693900,-231933,4215
1688503694004,-231933,4215
1688503694107,-231933,4215
1688503694210,-231933,4215
1688503694316,-231933,4215
1688503694421,-231933,4215
1688503694524,-231933,4215
1688503694628,-231933,4215
1688503694731,-231933,4215
1688503694835,-231933,4215
1688503694938,-256835,4215
1688503695042,-256835,4215
1688503695145,-256835,4215
1688503695248,-256835,4215
1688503695351,-256835,4215
1688503695455,-256835,4215
1688503695558,-256835,4215
1688503695661,-256835,4215
1688503695764,-256835,4215
1688503695868,-256835,4215
1688503695971,-256835,4215
1688503696074,-256835,4215
1688503696178,-256835,4215
1688503696281,-256835,4215
1688503696384,-234374,4215
1688503696487,-234374,4215
1688503696591,-234374,4215
1688503696694,-234374,4215
1688503696797,-234374,4215
1688503696901,-234374,4215
1688503697004,-234374,4215
1688503697107,-234374,4215
1688503697211,-234374,4215
1688503697314,-234374,4215
1688503697419,-234374,4215
1688503697523,-234374,4215
1688503697626,-234374,4215
1688503697731,-234374,4215
1688503697834,-237792,4215
1688503697937,-237792,4215
1688503698041,-237792,4215
1688503698144,-237792,4215
1688503698248,-237792,4215
1688503698351,-237792,4215
1688503698457,-237792,4215
1688503698560,-237792,4215
1688503698664,-237792,4215
1688503698769,-237792,4215
1688503698872,-237792,4215
1688503698976,-237792,4215
1688503699079,-237792,4215
1688503699182,-237792,4215
1688503699287,-330566,4215
1688503699391,-330566,4215
1688503699494,-330566,4215
1688503699598,-330566,4215
1688503699701,-330566,4215
1688503699805,-330566,4215
1688503699908,-330566,4215
1688503700011,-330566,4215
