Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688323544852,-480956,4203
1688323545860,-452148,4203
1688323546868,-242187,4203
1688323547877,-242187,4203
1688323548885,-238281,4203
1688323549894,-263671,4203
1688323550902,-282226,4203
1688323551909,-282226,4203
1688323552916,-237304,4203
1688323553923,-245605,4203
1688323554932,-245605,4203
1688323555942,-312988,4203
1688323556953,-237304,4203
1688323557962,-237304,4203
1688323558971,-235839,4203
1688323559980,-263671,4203
1688323560989,-263671,4203
1688323561998,-246581,4203
1688323563006,-241699,4203
1688323564013,-240234,4203
1688323565021,-240234,4203
1688323566029,-284179,4203
1688323567037,-234863,4203
1688323568045,-234863,4203
1688323569067,-242187,4203
1688323570075,-310546,4203
1688323571084,-310546,4203
1688323572098,-244140,4203
1688323573108,-269531,4203
1688323574116,-269531,4203
1688323575127,-276367,4203
1688323576137,-237304,4203
1688323577144,-237304,4203
1688323578152,-269042,4203
1688323579159,-242187,4203
1688323580173,-319824,4180
1688323581181,-319824,4180
1688323582190,-249999,4180
1688323583198,-244140,4180
1688323584207,-244140,4180
1688323585214,-302734,4180
1688323586223,-235351,4180
1688323587232,-235351,4180
1688323588242,-238281,4180
1688323589251,-247558,4180
1688323590260,-247558,4180
1688323591267,-290527,4180
1688323592275,-248046,4180
1688323593282,-232421,4180
1688323594291,-232421,4180
1688323595301,-305175,4180
1688323596309,-278320,4180
1688323597317,-278320,4180
1688323598325,-242675,4180
1688323599333,-249023,4180
1688323600341,-249023,4180
1688323601350,-305175,4180
1688323602360,-236816,4180
1688323603369,-236816,4180
1688323604378,-242187,4180
