Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688395121337,-366210,4381
1688395122345,-245117,4381
1688395123357,-130859,4381
1688395124371,-130859,4381
1688395125391,-157226,4381
1688395126406,-203613,4381
1688395127415,-203613,4381
1688395128424,-134765,4381
1688395129437,-134277,4381
1688395130456,-134277,4381
1688395131468,-159179,4381
1688395132484,-205078,4381
1688395133499,-129882,4381
1688395134511,-129882,4381
1688395135522,-129394,4381
1688395136533,-178710,4381
1688395137543,-178710,4381
1688395138550,-129882,4381
1688395139565,-137206,4381
1688395140581,-137206,4381
1688395141592,-131835,4381
1688395142611,-169921,4381
1688395143623,-169921,4381
1688395144634,-125488,4381
1688395145649,-127441,4381
1688395146665,-203124,4381
1688395147673,-203124,4381
1688395148681,-130859,4381
1688395149687,-259277,4381
1688395150693,-259277,4381
1688395151700,-258788,4381
1688395152706,-257812,4381
1688395153718,-257812,4381
1688395154730,-130371,4381
1688395155744,-199218,4381
1688395156758,-199218,4381
1688395157772,-126953,4381
1688395158784,-150390,4381
1688395159797,-134277,4313
1688395160813,-134277,4313
1688395161829,-156738,4313
1688395162843,-132812,4313
1688395163854,-132812,4313
1688395164869,-127441,4313
1688395165882,-130859,4313
1688395166890,-130859,4313
1688395167900,-186035,4313
1688395168911,-126953,4313
1688395169926,-126953,4313
1688395170937,-130859,4313
1688395171952,-200683,4313
1688395172969,-156738,4313
1688395173982,-156738,4313
1688395174993,-136718,4313
1688395176007,-145019,4313
1688395177014,-145019,4313
1688395178022,-142578,4313
1688395179032,-130371,4313
1688395180047,-130371,4313
1688395181059,-130371,4313
