Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688404686958,-271972,4306
1688404687965,-166503,4306
1688404688975,-123535,4306
1688404689987,-123535,4306
1688404690999,-138183,4306
1688404692010,-133300,4306
1688404693022,-133300,4306
1688404694033,-117187,4306
1688404695041,-134765,4306
1688404696048,-134765,4306
1688404697061,-195800,4306
1688404698072,-124511,4306
1688404699089,-124511,4306
1688404700101,-124511,4306
1688404701112,-225585,4306
1688404702124,-122558,4306
1688404703135,-122558,4306
1688404704152,-118164,4306
1688404705161,-163574,4306
1688404706168,-163574,4306
1688404707178,-123046,4306
1688404708188,-128417,4306
1688404709199,-128417,4306
1688404710210,-125488,4306
1688404711218,-162597,4306
1688404712231,-162597,4306
1688404713242,-122070,4306
1688404714260,-117675,4306
1688404715269,-195800,4306
1688404716276,-195800,4306
1688404717288,-123535,4306
1688404718299,-128417,4306
1688404719309,-128417,4306
1688404720320,-149902,4306
1688404721332,-125488,4306
1688404722343,-125488,4306
1688404723353,-118164,4306
1688404724368,-118652,4306
1688404725376,-118652,4306
1688404726384,-199218,4306
1688404727394,-122558,4306
1688404728403,-133300,4306
1688404729413,-133300,4306
1688404730423,-133300,4306
1688404731430,-180663,4306
1688404732436,-180663,4306
1688404733443,-247558,4306
1688404734449,-247558,4306
1688404735454,-247558,4306
1688404736460,-249999,4306
1688404737469,-121093,4306
1688404738479,-121093,4306
1688404739497,-123046,4306
1688404740508,-164062,4306
1688404741520,-121093,4306
1688404742529,-121093,4306
1688404743540,-120605,4306
1688404744547,-162597,4306
1688404745554,-162597,4306
1688404746566,-120117,4306
