Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689011231656,-440429,4248
1689011231658,-440429,4248
1689011231660,-440429,4248
1689011231662,-440429,4248
1689011231664,-440429,4248
1689011231665,-440429,4248
1689011231667,-440429,4248
1689011231669,-440429,4248
1689011231670,-440429,4248
1689011231672,-440429,4248
1689011231674,-440429,4248
1689011231675,-440429,4248
1689011231677,-440429,4248
1689011231679,-440429,4248
1689011231681,-440429,4248
1689011231683,-440429,4248
1689011231686,-440429,4248
1689011231688,-440429,4248
1689011231691,-440429,4248
1689011231694,-440429,4248
1689011231698,-440429,4248
1689011231701,-440429,4248
1689011231703,-440429,4248
1689011231706,-440429,4248
1689011231708,-440429,4248
1689011231710,-440429,4248
1689011231712,-440429,4248
1689011231714,-440429,4248
1689011231717,-440429,4248
1689011231719,-440429,4248
1689011231721,-440429,4248
1689011231723,-440429,4248
1689011231725,-440429,4248
1689011231727,-440429,4248
1689011231729,-440429,4248
1689011231731,-440429,4248
1689011231732,-440429,4248
1689011231734,-440429,4248
1689011231736,-440429,4248
1689011231738,-440429,4248
1689011231740,-440429,4248
1689011231742,-440429,4248
1689011231744,-440429,4248
1689011231746,-440429,4248
1689011231749,-440429,4248
1689011231751,-440429,4248
1689011231753,-440429,4248
1689011231755,-440429,4248
1689011231757,-440429,4248
1689011231759,-440429,4248
1689011231761,-440429,4248
1689011231763,-440429,4248
1689011231765,-440429,4248
1689011231767,-440429,4248
1689011231769,-440429,4248
1689011231770,-440429,4248
1689011231772,-440429,4248
1689011231774,-440429,4248
1689011231776,-440429,4248
1689011231778,-440429,4248
1689011231779,-440429,4248
1689011231781,-440429,4248
1689011231783,-440429,4248
1689011231784,-440429,4248
1689011231786,-440429,4248
1689011231787,-440429,4248
1689011231789,-440429,4248
1689011231791,-440429,4248
1689011231792,-440429,4248
1689011231794,-440429,4248
1689011231795,-440429,4248
1689011231797,-440429,4248
1689011231799,-440429,4248
1689011231801,-440429,4248
1689011231803,-440429,4248
1689011231804,-440429,4248
1689011231806,-440429,4248
1689011231808,-440429,4248
1689011231809,-440429,4248
1689011231811,-440429,4248
1689011231812,-440429,4248
1689011231814,-440429,4248
1689011231815,-440429,4248
1689011231817,-440429,4248
1689011231818,-440429,4248
1689011231820,-440429,4248
1689011231822,-440429,4248
1689011231823,-440429,4248
1689011231825,-440429,4248
1689011231826,-440429,4248
1689011231828,-440429,4248
1689011231830,-440429,4248
1689011231831,-440429,4248
1689011231833,-440429,4248
1689011231834,-440429,4248
1689011231836,-440429,4248
1689011231837,-440429,4248
1689011231839,-440429,4248
1689011231841,-440429,4248
1689011231842,-440429,4248
1689011231844,-440429,4248
1689011231845,-440429,4248
1689011231847,-440429,4248
1689011231849,-440429,4248
1689011231850,-440429,4248
1689011231852,-440429,4248
1689011231853,-440429,4248
1689011231855,-440429,4248
1689011231857,-440429,4248
1689011231858,-440429,4248
1689011231860,-440429,4248
1689011231861,-440429,4248
1689011231863,-440429,4248
1689011231865,-339843,4248
1689011231866,-339843,4248
1689011231868,-339843,4248
1689011231869,-339843,4248
1689011231871,-339843,4248
1689011231873,-339843,4248
1689011231874,-339843,4248
1689011231876,-339843,4248
1689011231878,-339843,4248
1689011231879,-339843,4248
1689011231881,-339843,4248
