Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689014707603,-317382,4179
1689014707604,-317382,4179
1689014707607,-317382,4179
1689014707608,-317382,4179
1689014707610,-317382,4179
1689014707612,-317382,4179
1689014707613,-317382,4179
1689014707615,-317382,4179
1689014707617,-317382,4179
1689014707618,-317382,4179
1689014707620,-317382,4179
1689014707622,-317382,4179
1689014707625,-317382,4179
1689014707627,-317382,4179
1689014707629,-317382,4179
1689014707631,-317382,4179
1689014707633,-317382,4179
1689014707635,-317382,4179
1689014707638,-317382,4179
1689014707641,-317382,4179
1689014707643,-317382,4179
1689014707646,-317382,4179
1689014707648,-317382,4179
1689014707651,-317382,4179
1689014707653,-317382,4179
1689014707656,-317382,4179
1689014707658,-317382,4179
1689014707660,-317382,4179
1689014707662,-317382,4179
1689014707664,-317382,4179
1689014707667,-317382,4179
1689014707671,-317382,4179
1689014707674,-317382,4179
1689014707676,-317382,4179
1689014707678,-317382,4179
1689014707680,-317382,4179
1689014707683,-317382,4179
1689014707685,-317382,4179
1689014707687,-317382,4179
1689014707689,-317382,4179
1689014707692,-317382,4179
1689014707694,-317382,4179
1689014707696,-317382,4179
1689014707699,-317382,4179
1689014707701,-317382,4179
1689014707703,-317382,4179
1689014707705,-317382,4179
1689014707706,-317382,4179
1689014707708,-317382,4179
1689014707710,-317382,4179
1689014707711,-317382,4179
1689014707713,-317382,4179
1689014707715,-317382,4179
1689014707716,-317382,4179
1689014707718,-317382,4179
1689014707720,-317382,4179
1689014707721,-317382,4179
1689014707723,-317382,4179
1689014707725,-317382,4179
1689014707727,-317382,4179
1689014707729,-317382,4179
1689014707730,-317382,4179
1689014707732,-317382,4179
1689014707733,-317382,4179
1689014707735,-317382,4179
1689014707737,-317382,4179
1689014707738,-317382,4179
1689014707740,-317382,4179
1689014707742,-317382,4179
1689014707743,-317382,4179
1689014707745,-317382,4179
1689014707746,-317382,4179
1689014707748,-317382,4179
1689014707751,-317382,4179
1689014707752,-317382,4179
1689014707754,-317382,4179
1689014707755,-317382,4179
1689014707757,-317382,4179
1689014707759,-317382,4179
1689014707760,-317382,4179
1689014707762,-317382,4179
1689014707763,-317382,4179
1689014707765,-317382,4179
1689014707767,-317382,4179
1689014707768,-317382,4179
1689014707770,-317382,4179
1689014707772,-317382,4179
1689014707773,-317382,4179
1689014707775,-317382,4179
1689014707777,-317382,4179
1689014707778,-317382,4179
1689014707780,-317382,4179
1689014707781,-317382,4179
1689014707783,-317382,4179
1689014707784,-317382,4179
1689014707786,-317382,4179
1689014707787,-317382,4179
1689014707789,-317382,4179
1689014707791,-317382,4179
1689014707792,-317382,4179
1689014707794,-317382,4179
1689014707796,-317382,4179
1689014707797,-317382,4179
1689014707799,-317382,4179
1689014707800,-317382,4179
1689014707802,-317382,4179
1689014707804,-317382,4179
1689014707805,-317382,4179
1689014707807,-317382,4179
1689014707809,-317382,4179
1689014707810,-317382,4179
1689014707812,-317382,4179
1689014707813,-317382,4179
1689014707815,-317382,4179
1689014707817,-317382,4179
1689014707818,-317382,4179
1689014707820,-317382,4179
1689014707822,-317382,4179
