Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689020748441,-213867,4127
1689020748442,-213867,4127
1689020748444,-213867,4127
1689020748446,-213867,4127
1689020748447,-213867,4127
1689020748449,-213867,4127
1689020748451,-213867,4127
1689020748453,-213867,4127
1689020748454,-213867,4127
1689020748456,-213867,4127
1689020748458,-213867,4127
1689020748460,-213867,4127
1689020748462,-213867,4127
1689020748464,-213867,4127
1689020748466,-213867,4127
1689020748468,-213867,4127
1689020748471,-213867,4127
1689020748473,-213867,4127
1689020748475,-213867,4127
1689020748477,-213867,4127
1689020748479,-213867,4127
1689020748482,-213867,4127
1689020748484,-213867,4127
1689020748486,-213867,4127
1689020748488,-213867,4127
1689020748490,-213867,4127
1689020748492,-213867,4127
1689020748494,-213867,4127
1689020748496,-213867,4127
1689020748498,-213867,4127
1689020748500,-213867,4127
1689020748502,-213867,4127
1689020748504,-213867,4127
1689020748506,-213867,4127
1689020748508,-213867,4127
1689020748510,-213867,4127
1689020748511,-213867,4127
1689020748513,-213867,4127
1689020748514,-213867,4127
1689020748516,-213867,4127
1689020748518,-213867,4127
1689020748519,-213867,4127
1689020748521,-213867,4127
1689020748524,-213867,4127
1689020748526,-213867,4127
1689020748528,-213867,4127
1689020748531,-213867,4127
1689020748533,-213867,4127
1689020748535,-213867,4127
1689020748537,-213867,4127
1689020748539,-213867,4127
1689020748541,-213867,4127
1689020748543,-213867,4127
1689020748545,-213867,4127
1689020748547,-213867,4127
1689020748549,-213867,4127
1689020748551,-213867,4127
1689020748553,-213867,4127
1689020748555,-213867,4127
1689020748557,-213867,4127
1689020748558,-213867,4127
1689020748560,-213867,4127
1689020748562,-213867,4127
1689020748563,-213867,4127
1689020748565,-213867,4127
1689020748567,-213867,4127
1689020748568,-213867,4127
1689020748570,-213867,4127
1689020748572,-213867,4127
1689020748573,-213867,4127
1689020748575,-213867,4127
1689020748577,-213867,4127
1689020748578,-213867,4127
1689020748581,-213867,4127
1689020748582,-213867,4127
1689020748584,-213867,4127
1689020748586,-213867,4127
1689020748587,-213867,4127
1689020748589,-213867,4127
1689020748590,-213867,4127
1689020748592,-213867,4127
1689020748594,-213867,4127
1689020748596,-213867,4127
1689020748597,-213867,4127
1689020748599,-213867,4127
1689020748600,-213867,4127
1689020748602,-213867,4127
1689020748603,-213867,4127
1689020748605,-213867,4127
1689020748607,-213867,4127
1689020748608,-213867,4127
1689020748610,-213867,4127
1689020748612,-213867,4127
1689020748613,-213867,4127
1689020748615,-213867,4127
1689020748616,-213867,4127
1689020748618,-213867,4127
1689020748619,-213867,4127
1689020748621,-213867,4127
1689020748623,-213867,4127
1689020748624,-213867,4127
1689020748626,-213867,4127
1689020748627,-213867,4127
1689020748629,-213867,4127
1689020748631,-213867,4127
1689020748632,-213867,4127
1689020748634,-213867,4127
1689020748636,-213867,4127
1689020748637,-213867,4127
1689020748639,-213867,4127
1689020748641,-213867,4127
1689020748642,-213867,4127
1689020748644,-213867,4127
1689020748645,-213867,4127
1689020748647,-213867,4127
1689020748648,-213867,4127
1689020748650,-213867,4127
1689020748652,-213867,4127
1689020748654,-213867,4127
1689020748656,-213867,4127
1689020748657,-213867,4127
1689020748659,-213867,4127
1689020748661,-213867,4127
1689020748662,-213867,4127
1689020748664,-213867,4127
1689020748666,-213867,4127
1689020748667,-213867,4127
1689020748669,-213867,4127
1689020748671,-213867,4127
1689020748672,-213867,4127
1689020748674,-213867,4127
1689020748676,-213867,4127
1689020748678,-213867,4127
1689020748679,-213867,4127
1689020748681,-213867,4127
1689020748683,-213867,4127
1689020748684,-213867,4127
1689020748686,-213867,4127
1689020748687,-213867,4127
1689020748689,-213867,4127
1689020748691,-213867,4127
