Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689023939541,-293456,4072
1689023939543,-293456,4072
1689023939546,-293456,4072
1689023939548,-293456,4072
1689023939550,-293456,4072
1689023939551,-293456,4072
1689023939553,-293456,4072
1689023939555,-293456,4072
1689023939557,-293456,4072
1689023939558,-293456,4072
1689023939560,-293456,4072
1689023939563,-293456,4072
1689023939564,-293456,4072
1689023939567,-293456,4072
1689023939569,-293456,4072
1689023939571,-293456,4072
1689023939573,-293456,4072
1689023939575,-293456,4072
1689023939577,-293456,4072
1689023939579,-293456,4072
1689023939581,-293456,4072
1689023939583,-293456,4072
1689023939585,-293456,4072
1689023939587,-293456,4072
1689023939590,-293456,4072
1689023939592,-293456,4072
1689023939593,-293456,4072
1689023939595,-293456,4072
1689023939597,-293456,4072
1689023939598,-293456,4072
1689023939600,-293456,4072
1689023939602,-293456,4072
1689023939604,-293456,4072
1689023939606,-293456,4072
1689023939608,-293456,4072
1689023939609,-293456,4072
1689023939611,-293456,4072
1689023939612,-293456,4072
1689023939614,-293456,4072
1689023939616,-293456,4072
1689023939618,-293456,4072
1689023939619,-293456,4072
1689023939621,-293456,4072
1689023939622,-293456,4072
1689023939624,-293456,4072
1689023939626,-293456,4072
1689023939627,-293456,4072
1689023939629,-293456,4072
1689023939631,-293456,4072
1689023939632,-293456,4072
1689023939634,-293456,4072
1689023939636,-293456,4072
1689023939638,-293456,4072
1689023939640,-293456,4072
1689023939643,-293456,4072
1689023939645,-293456,4072
1689023939647,-293456,4072
1689023939649,-293456,4072
1689023939651,-293456,4072
1689023939653,-293456,4072
1689023939655,-293456,4072
1689023939657,-293456,4072
1689023939659,-293456,4072
1689023939661,-293456,4072
1689023939663,-293456,4072
1689023939665,-293456,4072
1689023939667,-293456,4072
1689023939669,-293456,4072
1689023939671,-293456,4072
1689023939672,-293456,4072
1689023939674,-293456,4072
1689023939676,-293456,4072
1689023939677,-293456,4072
1689023939680,-293456,4072
1689023939681,-293456,4072
1689023939683,-293456,4072
1689023939685,-293456,4072
1689023939686,-293456,4072
1689023939688,-293456,4072
1689023939689,-293456,4072
1689023939691,-293456,4072
1689023939692,-293456,4072
1689023939694,-293456,4072
1689023939696,-293456,4072
1689023939697,-293456,4072
1689023939699,-293456,4072
1689023939701,-293456,4072
1689023939703,-293456,4072
1689023939705,-293456,4072
1689023939707,-293456,4072
1689023939708,-293456,4072
1689023939710,-293456,4072
1689023939712,-293456,4072
1689023939713,-293456,4072
1689023939715,-293456,4072
1689023939716,-293456,4072
1689023939718,-293456,4072
1689023939720,-293456,4072
1689023939721,-293456,4072
1689023939723,-293456,4072
1689023939724,-293456,4072
1689023939726,-293456,4072
1689023939728,-293456,4072
1689023939729,-293456,4072
1689023939731,-293456,4072
1689023939732,-293456,4072
1689023939734,-293456,4072
1689023939736,-293456,4072
1689023939737,-293456,4072
1689023939739,-293456,4072
1689023939741,-293456,4072
1689023939742,-293456,4072
1689023939744,-293456,4072
1689023939745,-293456,4072
1689023939747,-293456,4072
1689023939748,-293456,4072
1689023939750,-293456,4072
1689023939751,-293456,4072
1689023939753,-293456,4072
1689023939755,-293456,4072
1689023939756,-293456,4072
1689023939758,-293456,4072
1689023939759,-293456,4072
1689023939761,-293456,4072
1689023939763,-293456,4072
1689023939764,-293456,4072
1689023939765,-293456,4072
1689023939767,-293456,4072
1689023939769,-293456,4072
1689023939770,-293456,4072
1689023939772,-293456,4072
1689023939774,-293456,4072
1689023939775,-293456,4072
1689023939777,-293456,4072
1689023939778,-293456,4072
1689023939780,-293456,4072
1689023939782,-293456,4072
1689023939783,-293456,4072
1689023939785,-293456,4072
1689023939786,-293456,4072
1689023939788,-293456,4072
1689023939789,-293456,4072
1689023939791,-293456,4072
1689023939792,-293456,4072
1689023939794,-293456,4072
1689023939795,-293456,4072
1689023939797,-293456,4072
1689023939798,-293456,4072
1689023939800,-293456,4072
1689023939801,-293456,4072
1689023939803,-293456,4072
1689023939804,-293456,4072
1689023939805,-293456,4072
1689023939807,-293456,4072
1689023939808,-293456,4072
1689023939810,-293456,4072
1689023939811,-293456,4072
1689023939813,-293456,4072
1689023939814,-293456,4072
1689023939816,-293456,4072
1689023939817,-293456,4072
1689023939818,-293456,4072
1689023939820,-293456,4072
1689023939821,-293456,4072
1689023939823,-293456,4072
1689023939824,-293456,4072
1689023939825,-293456,4072
1689023939827,-293456,4072
1689023939829,-293456,4072
1689023939830,-293456,4072
1689023939831,-293456,4072
1689023939833,-293456,4072
1689023939834,-293456,4072
1689023939835,-293456,4072
1689023939837,-293456,4072
1689023939838,-293456,4072
1689023939840,-293456,4072
1689023939841,-293456,4072
1689023939842,-293456,4072
1689023939844,-293456,4072
1689023939845,-293456,4072
1689023939847,-293456,4072
1689023939848,-293456,4072
1689023939849,-293456,4072
1689023939851,-293456,4072
1689023939852,-293456,4072
1689023939854,-293456,4072
1689023939855,-293456,4072
1689023939857,-293456,4072
1689023939859,-293456,4072
1689023939860,-293456,4072
1689023939862,-293456,4072
1689023939863,-293456,4072
1689023939865,-293456,4072
1689023939866,-293456,4072
