Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1689061447496,-337402,4294
1689061447498,-337402,4294
1689061447500,-337402,4294
1689061447503,-337402,4294
1689061447505,-337402,4294
1689061447507,-337402,4294
1689061447509,-337402,4294
1689061447511,-337402,4294
1689061447513,-337402,4294
1689061447515,-337402,4294
1689061447518,-337402,4294
1689061447520,-337402,4294
1689061447522,-337402,4294
1689061447525,-337402,4294
1689061447528,-337402,4294
1689061447531,-337402,4294
1689061447533,-337402,4294
1689061447536,-337402,4294
1689061447538,-337402,4294
1689061447540,-337402,4294
1689061447542,-337402,4294
1689061447544,-337402,4294
1689061447546,-337402,4294
1689061447548,-337402,4294
1689061447550,-337402,4294
1689061447552,-337402,4294
1689061447554,-337402,4294
1689061447555,-337402,4294
1689061447557,-337402,4294
1689061447559,-337402,4294
1689061447561,-337402,4294
1689061447563,-337402,4294
1689061447565,-337402,4294
1689061447567,-337402,4294
1689061447569,-337402,4294
1689061447571,-337402,4294
1689061447573,-337402,4294
1689061447574,-337402,4294
1689061447576,-337402,4294
1689061447578,-337402,4294
1689061447580,-337402,4294
1689061447582,-337402,4294
1689061447585,-337402,4294
1689061447587,-337402,4294
1689061447589,-337402,4294
1689061447591,-337402,4294
1689061447593,-337402,4294
1689061447595,-337402,4294
1689061447597,-337402,4294
1689061447599,-337402,4294
1689061447601,-337402,4294
1689061447603,-337402,4294
1689061447605,-337402,4294
1689061447607,-337402,4294
1689061447609,-337402,4294
1689061447611,-337402,4294
1689061447613,-337402,4294
1689061447615,-337402,4294
1689061447617,-337402,4294
1689061447619,-337402,4294
1689061447621,-337402,4294
1689061447623,-337402,4294
1689061447624,-337402,4294
1689061447626,-337402,4294
1689061447628,-337402,4294
1689061447630,-337402,4294
1689061447631,-337402,4294
1689061447633,-337402,4294
1689061447634,-337402,4294
1689061447636,-337402,4294
1689061447638,-337402,4294
1689061447639,-337402,4294
1689061447641,-337402,4294
1689061447643,-337402,4294
1689061447645,-337402,4294
1689061447647,-337402,4294
1689061447649,-337402,4294
1689061447651,-337402,4294
1689061447652,-337402,4294
1689061447654,-337402,4294
1689061447655,-337402,4294
1689061447657,-337402,4294
1689061447658,-337402,4294
1689061447660,-337402,4294
1689061447662,-337402,4294
1689061447663,-337402,4294
1689061447665,-337402,4294
1689061447667,-337402,4294
1689061447668,-337402,4294
1689061447670,-337402,4294
1689061447672,-337402,4294
1689061447673,-337402,4294
1689061447675,-337402,4294
1689061447676,-337402,4294
1689061447678,-337402,4294
1689061447679,-337402,4294
1689061447681,-337402,4294
1689061447683,-337402,4294
1689061447685,-337402,4294
1689061447686,-337402,4294
1689061447688,-337402,4294
1689061447690,-337402,4294
1689061447691,-337402,4294
1689061447693,-337402,4294
1689061447694,-337402,4294
1689061447696,-337402,4294
1689061447697,-337402,4294
1689061447699,-337402,4294
1689061447701,-337402,4294
1689061447703,-337402,4294
1689061447704,-337402,4294
1689061447706,-337402,4294
1689061447708,-337402,4294
1689061447709,-337402,4294
1689061447711,-337402,4294
1689061447712,-337402,4294
1689061447714,-337402,4294
1689061447716,-337402,4294
1689061447717,-337402,4294
1689061447719,-337402,4294
1689061447721,-337402,4294
1689061447722,-337402,4294
1689061447724,-337402,4294
1689061447726,-337402,4294
1689061447728,-337402,4294
1689061447729,-337402,4294
1689061447731,-337402,4294
1689061447732,-337402,4294
1689061447734,-337402,4294
1689061447735,-337402,4294
1689061447737,-337402,4294
1689061447739,-337402,4294
1689061447740,-337402,4294
1689061447742,-337402,4294
1689061447744,-337402,4294
