Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688921902628,-422851,4271
1688921902633,-422851,4271
1688921902637,-422851,4271
1688921902640,-422851,4271
1688921902644,-422851,4271
1688921902649,-422851,4271
1688921902653,-422851,4271
1688921902658,-422851,4271
1688921902665,-422851,4271
1688921902670,-422851,4271
1688921902674,-422851,4271
1688921902678,-422851,4271
1688921902685,-422851,4271
1688921902689,-422851,4271
1688921902692,-422851,4271
1688921902696,-422851,4271
1688921902700,-422851,4271
1688921902703,-422851,4271
1688921902707,-422851,4271
1688921902711,-422851,4271
1688921902715,-422851,4271
1688921902720,-422851,4271
1688921902724,-422851,4271
1688921902728,-422851,4271
1688921902732,-422851,4271
1688921902736,-422851,4271
1688921902740,-422851,4271
1688921902744,-422851,4271
1688921902747,-422851,4271
1688921902751,-422851,4271
1688921902755,-422851,4271
1688921902759,-422851,4271
1688921902762,-422851,4271
1688921902766,-422851,4271
1688921902769,-422851,4271
1688921902773,-422851,4271
1688921902777,-422851,4271
1688921902781,-422851,4271
1688921902784,-422851,4271
1688921902788,-422851,4271
1688921902792,-422851,4271
1688921902796,-422851,4271
1688921902799,-422851,4271
1688921902803,-422851,4271
1688921902807,-422851,4271
1688921902811,-422851,4271
1688921902814,-422851,4271
1688921902818,-422851,4271
1688921902821,-422851,4271
1688921902825,-422851,4271
1688921902829,-422851,4271
1688921902833,-422851,4271
1688921902836,-422851,4271
1688921902840,-422851,4271
1688921902843,-422851,4271
1688921902847,-422851,4271
1688921902850,-422851,4271
1688921902854,-422851,4271
1688921902858,-422851,4271
1688921902862,-422851,4271
1688921902865,-422851,4271
1688921902869,-422851,4271
1688921902873,-422851,4271
1688921902877,-422851,4271
1688921902880,-422851,4271
1688921902884,-422851,4271
1688921902887,-422851,4271
1688921902891,-422851,4271
1688921902895,-422851,4271
1688921902898,-422851,4271
1688921902902,-422851,4271
1688921902905,-422851,4271
1688921902910,-422851,4271
1688921902914,-422851,4271
1688921902917,-422851,4271
1688921902921,-422851,4271
1688921902924,-422851,4271
1688921902928,-422851,4271
1688921902932,-422851,4271
