Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688934754262,-366699,4154
1688934754267,-366699,4154
1688934754271,-366699,4154
1688934754275,-366699,4154
1688934754279,-366699,4154
1688934754283,-366699,4154
1688934754288,-366699,4154
1688934754293,-366699,4154
1688934754297,-366699,4154
1688934754301,-366699,4154
1688934754306,-366699,4154
1688934754310,-366699,4154
1688934754314,-366699,4154
1688934754318,-366699,4154
1688934754323,-366699,4154
1688934754327,-366699,4154
1688934754331,-366699,4154
1688934754335,-366699,4154
1688934754338,-366699,4154
1688934754344,-366699,4154
1688934754348,-366699,4154
1688934754352,-366699,4154
1688934754357,-366699,4154
1688934754361,-366699,4154
1688934754366,-366699,4154
1688934754369,-366699,4154
1688934754373,-366699,4154
1688934754378,-366699,4154
1688934754382,-366699,4154
1688934754386,-366699,4154
1688934754390,-366699,4154
1688934754395,-366699,4154
1688934754399,-366699,4154
1688934754403,-366699,4154
1688934754410,-366699,4154
1688934754414,-366699,4154
1688934754417,-366699,4154
1688934754421,-366699,4154
1688934754425,-366699,4154
1688934754429,-366699,4154
1688934754433,-366699,4154
1688934754436,-366699,4154
1688934754440,-366699,4154
1688934754444,-366699,4154
1688934754448,-366699,4154
1688934754452,-366699,4154
1688934754456,-366699,4154
1688934754459,-366699,4154
1688934754463,-366699,4154
1688934754467,-366699,4154
1688934754470,-366699,4154
1688934754474,-366699,4154
1688934754478,-366699,4154
1688934754482,-366699,4154
1688934754486,-366699,4154
1688934754489,-366699,4154
1688934754493,-366699,4154
1688934754497,-366699,4154
1688934754501,-366699,4154
1688934754504,-366699,4154
1688934754508,-366699,4154
1688934754513,-366699,4154
1688934754516,-366699,4154
1688934754520,-366699,4154
1688934754524,-366699,4154
1688934754528,-366699,4154
1688934754532,-366699,4154
1688934754535,-366699,4154
1688934754539,-366699,4154
1688934754542,-366699,4154
1688934754546,-366699,4154
1688934754549,-366699,4154
1688934754553,-366699,4154
1688934754557,-366699,4154
1688934754561,-366699,4154
1688934754565,-366699,4154
1688934754569,-366699,4154
1688934754573,-366699,4154
1688934754577,-366699,4154
1688934754580,-366699,4154
1688934754584,-366699,4154
1688934754587,-366699,4154
1688934754591,-366699,4154
1688934754595,-366699,4154
1688934754598,-366699,4154
1688934754602,-366699,4154
1688934754606,-366699,4154
1688934754610,-366699,4154
1688934754614,-366699,4154
1688934754617,-366699,4154
1688934754621,-366699,4154
1688934754625,-366699,4154
1688934754629,-366699,4154
1688934754633,-366699,4154
1688934754637,-366699,4154
1688934754640,-366699,4154
1688934754644,-366699,4154
1688934754648,-366699,4154
1688934754652,-366699,4154
1688934754655,-366699,4154
1688934754659,-366699,4154
1688934754663,-366699,4154
1688934754666,-366699,4154
1688934754670,-366699,4154
1688934754673,-366699,4154
1688934754677,-366699,4154
1688934754681,-366699,4154
1688934754684,-366699,4154
1688934754688,-366699,4154
1688934754692,-366699,4154
1688934754696,-366699,4154
1688934754700,-366699,4154
1688934754703,-366699,4154
1688934754707,-366699,4154
1688934754710,-366699,4154
1688934754715,-366699,4154
1688934754718,-366699,4154
1688934754722,-366699,4154
1688934754726,-366699,4154
1688934754730,-366699,4154
1688934754733,-366699,4154
1688934754737,-366699,4154
1688934754740,-366699,4154
1688934754744,-366699,4154
1688934754748,-366699,4154
1688934754752,-366699,4154
1688934754756,-366699,4154
1688934754759,-366699,4154
1688934754763,-366699,4154
1688934754766,-366699,4154
1688934754770,-366699,4154
1688934754774,-366699,4154
1688934754778,-366699,4154
1688934754782,-366699,4154
1688934754785,-366699,4154
1688934754789,-366699,4154
1688934754793,-366699,4154
1688934754797,-366699,4154
1688934754801,-366699,4154
1688934754804,-366699,4154
1688934754808,-366699,4154
1688934754812,-366699,4154
1688934754816,-366699,4154
1688934754819,-366699,4154
1688934754823,-366699,4154
1688934754827,-366699,4154
1688934754831,-366699,4154
1688934754835,-366699,4154
1688934754839,-366699,4154
1688934754843,-366699,4154
1688934754846,-366699,4154
1688934754850,-366699,4154
1688934754854,-366699,4154
1688934754858,-366699,4154
1688934754862,-366699,4154
1688934754866,-366699,4154
1688934754869,-366699,4154
1688934754873,-366699,4154
1688934754876,-366699,4154
1688934754880,-366699,4154
1688934754883,-366699,4154
1688934754887,-366699,4154
1688934754890,-366699,4154
1688934754894,-366699,4154
1688934754898,-366699,4154
1688934754901,-366699,4154
1688934754905,-366699,4154
1688934754908,-366699,4154
1688934754912,-366699,4154
1688934754915,-366699,4154
1688934754919,-366699,4154
1688934754922,-366699,4154
