Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688549386310,-503905,4228
1688549386324,-503905,4228
1688549386337,-503905,4228
1688549386351,-503905,4228
1688549386364,-503905,4228
1688549386377,-503905,4228
1688549386390,-503905,4228
1688549386404,-503905,4228
1688549386417,-503905,4228
1688549386430,-317382,4228
1688549386443,-317382,4228
1688549386457,-317382,4228
1688549386470,-317382,4228
1688549386483,-317382,4228
1688549386496,-317382,4228
1688549386509,-317382,4228
1688549386521,-317382,4228
1688549386533,-317382,4228
1688549386546,-317382,4228
1688549386559,-317382,4228
1688549386571,-317382,4228
1688549386583,-317382,4228
1688549386596,-317382,4228
1688549386609,-317382,4228
1688549386622,-317382,4228
1688549386634,-317382,4228
1688549386647,-317382,4228
1688549386659,-317382,4228
1688549386672,-317382,4228
1688549386684,-317382,4228
1688549386697,-317382,4228
1688549386710,-317382,4228
1688549386723,-317382,4228
1688549386735,-317382,4228
1688549386748,-317382,4228
1688549386760,-317382,4228
1688549386773,-317382,4228
1688549386785,-317382,4228
1688549386798,-317382,4228
1688549386811,-317382,4228
1688549386823,-317382,4228
1688549386835,-317382,4228
1688549386848,-317382,4228
1688549386861,-317382,4228
1688549386873,-317382,4228
1688549386886,-317382,4228
1688549386898,-317382,4228
1688549386911,-317382,4228
1688549386923,-317382,4228
1688549386936,-317382,4228
1688549386949,-317382,4228
1688549386962,-317382,4228
1688549386975,-317382,4228
1688549386988,-317382,4228
1688549387002,-317382,4228
1688549387014,-317382,4228
1688549387027,-317382,4228
1688549387040,-317382,4228
1688549387053,-317382,4228
1688549387065,-317382,4228
1688549387078,-317382,4228
1688549387090,-317382,4228
1688549387103,-317382,4228
1688549387116,-317382,4228
1688549387128,-317382,4228
1688549387141,-317382,4228
1688549387153,-317382,4228
1688549387166,-317382,4228
1688549387178,-317382,4228
1688549387191,-317382,4228
1688549387203,-317382,4228
1688549387216,-317382,4228
1688549387228,-317382,4228
1688549387241,-317382,4228
1688549387254,-317382,4228
1688549387266,-317382,4228
1688549387279,-317382,4228
1688549387291,-317382,4228
1688549387304,-317382,4228
1688549387316,-317382,4228
1688549387328,-317382,4228
1688549387341,-317382,4228
1688549387354,-317382,4228
1688549387367,-317382,4228
1688549387380,-317382,4228
1688549387394,-317382,4228
1688549387408,-317382,4228
1688549387421,-317382,4228
1688549387434,-317382,4228
1688549387447,-317382,4228
1688549387460,-317382,4228
1688549387473,-317382,4228
1688549387485,-317382,4228
1688549387498,-317382,4228
1688549387511,-317382,4228
1688549387523,-317382,4228
1688549387536,-317382,4228
1688549387549,-317382,4228
1688549387561,-317382,4228
1688549387574,-317382,4228
1688549387587,-317382,4228
1688549387599,-317382,4228
1688549387612,-317382,4228
1688549387624,-317382,4228
1688549387637,-317382,4228
1688549387650,-317382,4228
1688549387662,-317382,4228
1688549387676,-317382,4228
1688549387689,-317382,4228
1688549387701,-317382,4228
1688549387714,-317382,4228
1688549387727,-317382,4228
1688549387739,-317382,4228
1688549387752,-317382,4228
1688549387764,-317382,4228
1688549387777,-317382,4228
1688549387789,-317382,4228
1688549387802,-317382,4228
1688549387819,-317382,4228
1688549387844,-317382,4228
1688549387868,-317382,4228
1688549387888,-317382,4228
1688549387911,-173828,4228
1688549387937,-173828,4228
1688549387963,-173828,4228
1688549387983,-173828,4228
1688549388002,-173828,4228
1688549388021,-173828,4228
1688549388043,-173828,4228
1688549388067,-173828,4228
1688549388090,-173828,4228
1688549388114,-173828,4228
1688549388140,-173828,4228
1688549388167,-173828,4228
1688549388190,-173828,4228
1688549388212,-173828,4228
1688549388231,-173828,4228
1688549388255,-173828,4228
1688549388284,-173828,4228
1688549388301,-173828,4228
1688549388322,-173828,4228
1688549388349,-173828,4228
1688549388367,-173828,4228
1688549388385,-173828,4228
1688549388403,-173828,4228
1688549388423,-173828,4228
1688549388442,-173828,4228
1688549388462,-173828,4228
1688549388486,-173828,4228
1688549388503,-173828,4228
1688549388525,-173828,4228
1688549388544,-173828,4228
1688549388563,-173828,4228
1688549388581,-173828,4228
1688549388603,-173828,4228
1688549388621,-173828,4228
1688549388640,-173828,4228
1688549388659,-173828,4228
1688549388676,-173828,4228
1688549388694,-173828,4228
1688549388712,-173828,4228
1688549388737,-173828,4228
1688549388759,-173828,4228
1688549388784,-173828,4228
1688549388803,-173828,4228
1688549388828,-173828,4228
1688549388860,-173828,4228
1688549388886,-173828,4228
1688549388904,-173828,4228
1688549388923,-173828,4228
1688549388941,-173828,4228
1688549388966,-173828,4228
1688549388991,-173828,4228
1688549389017,-173828,4228
1688549389034,-173828,4228
1688549389053,-173828,4228
1688549389074,-173828,4228
1688549389099,-173828,4228
1688549389125,-173828,4228
1688549389153,-173828,4228
1688549389179,-173828,4228
1688549389202,-173828,4228
1688549389223,-173828,4228
1688549389259,-173828,4228
1688549389274,-173828,4228
1688549389290,-173828,4228
1688549389306,-173828,4228
1688549389323,-173828,4228
1688549389346,-173828,4228
