Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688588396003,-381347,4230
1688588396017,-381347,4230
1688588396030,-381347,4230
1688588396045,-381347,4230
1688588396059,-381347,4230
1688588396071,-381347,4230
1688588396085,-381347,4230
1688588396099,-381347,4230
1688588396113,-381347,4230
1688588396126,-381347,4230
1688588396138,-381347,4230
1688588396151,-381347,4230
1688588396164,-381347,4230
1688588396176,-381347,4230
1688588396189,-381347,4230
1688588396202,-381347,4230
1688588396214,-381347,4230
1688588396227,-381347,4230
1688588396239,-381347,4230
1688588396252,-381347,4230
1688588396264,-381347,4230
1688588396277,-381347,4230
1688588396290,-381347,4230
1688588396303,-381347,4230
1688588396315,-381347,4230
1688588396328,-381347,4230
1688588396340,-381347,4230
1688588396353,-381347,4230
1688588396365,-381347,4230
1688588396378,-381347,4230
1688588396391,-381347,4230
1688588396404,-381347,4230
1688588396417,-381347,4230
1688588396429,-381347,4230
1688588396442,-381347,4230
1688588396455,-381347,4230
1688588396467,-381347,4230
1688588396480,-381347,4230
1688588396493,-229492,4230
1688588396505,-229492,4230
1688588396518,-229492,4230
1688588396531,-229492,4230
1688588396543,-229492,4230
1688588396556,-229492,4230
1688588396568,-229492,4230
1688588396581,-229492,4230
1688588396594,-229492,4230
1688588396607,-229492,4230
1688588396620,-229492,4230
1688588396633,-229492,4230
1688588396646,-229492,4230
1688588396658,-229492,4230
1688588396671,-229492,4230
1688588396683,-229492,4230
1688588396695,-229492,4230
1688588396708,-229492,4230
1688588396721,-229492,4230
1688588396734,-229492,4230
1688588396746,-229492,4230
1688588396759,-229492,4230
1688588396771,-229492,4230
1688588396784,-229492,4230
1688588396796,-229492,4230
1688588396808,-229492,4230
1688588396821,-229492,4230
1688588396833,-229492,4230
1688588396846,-229492,4230
1688588396858,-229492,4230
1688588396871,-229492,4230
1688588396883,-229492,4230
1688588396896,-229492,4230
1688588396908,-229492,4230
1688588396921,-229492,4230
1688588396934,-229492,4230
1688588396947,-229492,4230
1688588396959,-229492,4230
1688588396972,-229492,4230
1688588396984,-229492,4230
1688588396997,-229492,4230
1688588397010,-229492,4230
1688588397022,-229492,4230
1688588397035,-229492,4230
1688588397048,-229492,4230
1688588397060,-229492,4230
1688588397073,-229492,4230
1688588397086,-229492,4230
1688588397098,-229492,4230
1688588397111,-229492,4230
1688588397124,-229492,4230
1688588397137,-229492,4230
1688588397149,-229492,4230
1688588397162,-229492,4230
1688588397174,-229492,4230
1688588397187,-229492,4230
1688588397199,-229492,4230
1688588397212,-229492,4230
1688588397224,-229492,4230
1688588397237,-229492,4230
1688588397250,-229492,4230
1688588397263,-229492,4230
1688588397275,-229492,4230
1688588397287,-229492,4230
1688588397300,-229492,4230
1688588397312,-229492,4230
1688588397325,-229492,4230
1688588397338,-229492,4230
1688588397350,-229492,4230
1688588397363,-229492,4230
1688588397375,-229492,4230
1688588397388,-229492,4230
1688588397401,-229492,4230
1688588397413,-229492,4230
1688588397426,-229492,4230
1688588397438,-229492,4230
1688588397451,-229492,4230
1688588397464,-229492,4230
1688588397483,-229492,4230
1688588397499,-229492,4230
1688588397517,-229492,4230
1688588397536,-229492,4230
1688588397556,-229492,4230
1688588397584,-229492,4230
1688588397612,-229492,4230
1688588397635,-229492,4230
1688588397657,-229492,4230
1688588397681,-229492,4230
1688588397705,-229492,4230
1688588397730,-229492,4230
1688588397759,-229492,4230
1688588397783,-229492,4230
1688588397808,-229492,4230
1688588397827,-229492,4230
1688588397851,-229492,4230
1688588397874,-229492,4230
1688588397898,-229492,4230
1688588397922,-229492,4230
1688588397943,-229492,4230
1688588397960,-166992,4230
1688588397986,-166992,4230
