Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688593956481,-354492,4240
1688593956495,-354492,4240
1688593956509,-354492,4240
1688593956522,-354492,4240
1688593956535,-354492,4240
1688593956549,-354492,4240
1688593956562,-354492,4240
1688593956575,-354492,4240
1688593956587,-354492,4240
1688593956600,-354492,4240
1688593956613,-354492,4240
1688593956625,-354492,4240
1688593956638,-354492,4240
1688593956650,-354492,4240
1688593956663,-354492,4240
1688593956675,-354492,4240
1688593956688,-354492,4240
1688593956700,-354492,4240
1688593956713,-354492,4240
1688593956726,-354492,4240
1688593956740,-354492,4240
1688593956753,-354492,4240
1688593956766,-354492,4240
1688593956779,-354492,4240
1688593956792,-354492,4240
1688593956804,-354492,4240
1688593956817,-354492,4240
1688593956829,-354492,4240
1688593956842,-354492,4240
1688593956854,-354492,4240
1688593956867,-354492,4240
1688593956880,-354492,4240
1688593956893,-354492,4240
1688593956905,-354492,4240
1688593956918,-354492,4240
1688593956930,-354492,4240
1688593956943,-354492,4240
1688593956956,-354492,4240
1688593956968,-354492,4240
1688593956981,-354492,4240
1688593956993,-354492,4240
1688593957006,-354492,4240
1688593957019,-354492,4240
1688593957031,-354492,4240
1688593957044,-354492,4240
1688593957057,-354492,4240
1688593957069,-354492,4240
1688593957081,-354492,4240
1688593957094,-354492,4240
1688593957106,-354492,4240
1688593957119,-354492,4240
1688593957131,-354492,4240
1688593957144,-354492,4240
1688593957156,-354492,4240
1688593957169,-354492,4240
1688593957181,-354492,4240
1688593957194,-354492,4240
1688593957207,-354492,4240
1688593957220,-354492,4240
1688593957232,-354492,4240
1688593957245,-354492,4240
1688593957257,-354492,4240
1688593957270,-306640,4240
1688593957282,-306640,4240
1688593957295,-306640,4240
1688593957308,-306640,4240
1688593957320,-306640,4240
1688593957333,-306640,4240
1688593957345,-306640,4240
1688593957358,-306640,4240
1688593957370,-306640,4240
1688593957383,-306640,4240
1688593957396,-306640,4240
1688593957409,-306640,4240
1688593957421,-306640,4240
1688593957434,-306640,4240
1688593957446,-306640,4240
1688593957459,-306640,4240
1688593957471,-306640,4240
1688593957484,-306640,4240
1688593957496,-306640,4240
1688593957509,-306640,4240
1688593957521,-306640,4240
1688593957534,-306640,4240
1688593957546,-306640,4240
1688593957559,-306640,4240
1688593957571,-306640,4240
1688593957584,-306640,4240
1688593957596,-306640,4240
1688593957609,-306640,4240
1688593957621,-306640,4240
1688593957634,-306640,4240
1688593957646,-306640,4240
1688593957659,-306640,4240
1688593957672,-306640,4240
1688593957685,-306640,4240
1688593957697,-306640,4240
1688593957710,-306640,4240
1688593957723,-306640,4240
1688593957736,-306640,4240
1688593957748,-306640,4240
1688593957761,-306640,4240
1688593957773,-306640,4240
1688593957785,-306640,4240
1688593957798,-306640,4240
1688593957811,-306640,4240
1688593957823,-306640,4240
1688593957836,-306640,4240
1688593957848,-306640,4240
1688593957861,-306640,4240
1688593957873,-306640,4240
1688593957886,-306640,4240
1688593957899,-306640,4240
1688593957911,-306640,4240
1688593957924,-306640,4240
1688593957937,-306640,4240
1688593957950,-306640,4240
1688593957962,-306640,4240
1688593957975,-306640,4240
1688593957988,-306640,4240
1688593958000,-306640,4240
1688593958013,-306640,4240
1688593958026,-306640,4240
1688593958038,-306640,4240
1688593958051,-306640,4240
1688593958063,-306640,4240
1688593958076,-306640,4240
1688593958088,-306640,4240
1688593958105,-306640,4240
1688593958121,-306640,4240
1688593958140,-306640,4240
1688593958157,-306640,4240
1688593958175,-306640,4240
1688593958191,-306640,4240
1688593958207,-306640,4240
1688593958225,-306640,4240
1688593958240,-306640,4240
1688593958257,-306640,4240
1688593958275,-306640,4240
1688593958294,-306640,4240
1688593958310,-306640,4240
1688593958329,-306640,4240
1688593958348,-306640,4240
1688593958364,-306640,4240
1688593958382,-306640,4240
1688593958399,-306640,4240
1688593958418,-306640,4240
1688593958436,-306640,4240
1688593958452,-306640,4240
1688593958469,-306640,4240
1688593958486,-306640,4240
1688593958502,-306640,4240
1688593958518,-306640,4240
1688593958536,-306640,4240
1688593958555,-306640,4240
1688593958571,-306640,4240
1688593958587,-306640,4240
1688593958604,-306640,4240
1688593958620,-306640,4240
1688593958637,-306640,4240
1688593958654,-306640,4240
1688593958670,-306640,4240
1688593958686,-306640,4240
1688593958702,-306640,4240
1688593958718,-306640,4240
1688593958735,-306640,4240
1688593958751,-291992,4240
1688593958767,-291992,4240
1688593958786,-291992,4240
1688593958804,-291992,4240
1688593958820,-291992,4240
1688593958837,-291992,4240
1688593958853,-291992,4240
1688593958870,-291992,4240
1688593958887,-291992,4240
1688593958904,-291992,4240
1688593958920,-291992,4240
1688593958946,-291992,4240
1688593958963,-291992,4240
1688593958981,-291992,4240
1688593958998,-291992,4240
1688593959015,-291992,4240
1688593959031,-291992,4240
1688593959048,-291992,4240
1688593959065,-291992,4240
1688593959092,-291992,4240
1688593959108,-291992,4240
1688593959125,-291992,4240
1688593959146,-291992,4240
1688593959162,-291992,4240
1688593959180,-291992,4240
1688593959197,-291992,4240
1688593959214,-291992,4240
1688593959229,-291992,4240
1688593959247,-291992,4240
1688593959264,-291992,4240
1688593959280,-291992,4240
1688593959302,-291992,4240
1688593959319,-291992,4240
1688593959335,-291992,4240
1688593959351,-291992,4240
1688593959367,-291992,4240
1688593959384,-291992,4240
1688593959400,-291992,4240
