Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688473574766,586875,4102
1688473574874,586875,4102
1688473574981,586875,4102
1688473575088,552812,4102
1688473575195,552812,4102
1688473575304,552812,4102
1688473575411,470937,4102
1688473575518,470937,4102
1688473575625,470937,4102
1688473575731,444687,4102
1688473575837,444687,4102
1688473575943,444687,4102
1688473576050,510000,4102
1688473576158,510000,4102
1688473576263,510000,4102
1688473576369,510000,4102
1688473576474,514375,4102
1688473576581,514375,4102
1688473576687,514375,4102
1688473576793,438750,4102
1688473576900,438750,4102
1688473577006,438750,4102
1688473577112,520000,4102
1688473577218,520000,4102
1688473577324,520000,4102
1688473577429,520000,4102
1688473577535,496250,4102
1688473577640,496250,4102
1688473577746,496250,4102
1688473577852,474062,4102
1688473577957,474062,4102
1688473578062,474062,4102
1688473578167,499062,4102
1688473578272,499062,4102
1688473578380,499062,4102
1688473578486,499062,4102
1688473578592,481562,4102
1688473578700,481562,4102
1688473578807,481562,4102
1688473578913,451562,4102
1688473579019,451562,4102
1688473579125,451562,4102
1688473579230,435000,4102
1688473579336,435000,4102
1688473579442,435000,4102
1688473579548,560937,4102
1688473579655,560937,4102
1688473579762,560937,4102
1688473579868,560937,4102
1688473579974,473125,4102
1688473580081,473125,4102
1688473580188,473125,4102
1688473580294,455312,4102
1688473580399,455312,4102
1688473580504,455312,4102
1688473580610,501562,4102
1688473580716,501562,4102
1688473580826,501562,4102
1688473580934,501562,4102
1688473581040,461562,4102
1688473581146,461562,4102
1688473581252,461562,4102
1688473581358,422500,4102
1688473581463,422500,4102
1688473581569,422500,4102
1688473581675,503125,4102
1688473581781,503125,4102
1688473581887,503125,4102
1688473581992,503125,4102
1688473582097,477187,4102
1688473582203,477187,4102
1688473582308,477187,4102
1688473582414,471875,4102
1688473582519,471875,4102
1688473582625,471875,4102
1688473582731,426250,4102
1688473582836,426250,4102
1688473582943,426250,4102
1688473583049,426250,4102
1688473583156,435312,4102
1688473583261,435312,4102
1688473583367,435312,4102
1688473583472,445625,4102
1688473583578,445625,4102
1688473583684,445625,4102
1688473583791,429062,4102
1688473583898,429062,4102
1688473584003,429062,4102
1688473584109,484062,4102
1688473584214,484062,4102
1688473584320,484062,4102
1688473584425,484062,4102
1688473584530,449375,4102
1688473584635,449375,4102
1688473584741,449375,4102
1688473584847,429687,4102
1688473584953,429687,4102
1688473585058,429687,4102
1688473585164,499062,4102
1688473585269,499062,4102
1688473585374,499062,4102
1688473585481,499062,4102
1688473585588,458437,4102
1688473585694,458437,4102
1688473585799,458437,4102
1688473585904,461562,4102
1688473586010,461562,4102
1688473586116,461562,4102
1688473586222,521250,4102
1688473586327,521250,4102
1688473586433,521250,4102
1688473586540,521250,4102
1688473586647,459375,4102
1688473586753,459375,4102
1688473586859,459375,4102
1688473586964,440312,4102
1688473587070,440312,4102
1688473587176,440312,4102
1688473587282,682500,4102
1688473587389,682500,4102
1688473587495,682500,4102
1688473587601,682500,4102
1688473587707,569062,4102
1688473587812,569062,4102
1688473587918,569062,4102
1688473588023,627187,4102
1688473588128,627187,4102
1688473588234,627187,4102
1688473588340,441250,4102
1688473588446,441250,4102
1688473588553,441250,4102
1688473588661,667500,4102
1688473588769,667500,4102
1688473588876,667500,4102
1688473588983,667500,4102
1688473589090,465937,4102
1688473589197,465937,4102
1688473589302,465937,4102
1688473589407,429062,4102
1688473589513,429062,4102
1688473589617,429062,4102
1688473589724,492500,4102
1688473589829,492500,4102
1688473589934,492500,4102
1688473590039,492500,4102
1688473590146,486562,4102
1688473590253,486562,4102
1688473590360,486562,4102
1688473590466,447812,4102
1688473590573,447812,4102
1688473590679,447812,4102
1688473590784,522500,4102
1688473590889,522500,4102
1688473590995,522500,4102
1688473591101,522500,4102
1688473591207,440937,4102
1688473591313,440937,4102
1688473591418,440937,4102
1688473591526,520000,4102
1688473591632,520000,4102
1688473591738,520000,4102
1688473591843,439687,4102
1688473591949,439687,4102
1688473592054,439687,4102
1688473592160,426250,4102
1688473592267,426250,4102
1688473592372,426250,4102
1688473592477,426250,4102
1688473592584,433437,4102
1688473592690,433437,4102
1688473592795,433437,4102
1688473592901,440000,4102
1688473593006,440000,4102
1688473593112,440000,4102
1688473593219,533437,4102
1688473593325,533437,4102
1688473593430,533437,4102
1688473593535,533437,4102
1688473593642,468750,4102
1688473593749,468750,4102
1688473593856,468750,4102
1688473593963,275625,4102
1688473594068,275625,4102
1688473594174,275625,4102
1688473594280,382812,4102
1688473594386,382812,4102
1688473594491,382812,4102
1688473594597,382812,4102
1688473594703,294062,4102
1688473594809,294062,4102
1688473594914,294062,4102
1688473595020,285937,4102
1688473595126,285937,4102
1688473595233,285937,4102
1688473595338,276875,4102
1688473595443,276875,4102
1688473595548,276875,4102
1688473595653,276875,4102
1688473595759,284375,4102
1688473595865,284375,4102
1688473595970,284375,4102
1688473596077,287500,4102
1688473596183,287500,4102
1688473596289,287500,4102
1688473596394,296875,4102
1688473596501,296875,4102
1688473596607,296875,4102
1688473596712,296875,4102
1688473596817,276250,4102
1688473596922,276250,4102
1688473597028,276250,4102
1688473597133,336562,4102
1688473597238,336562,4102
1688473597343,336562,4102
