Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688498976312,245625,4074
1688498976420,209687,4074
1688498976526,209687,4074
1688498976632,209687,4074
1688498976752,139062,4074
1688498976868,139062,4074
1688498976975,139062,4074
1688498977094,120625,4074
1688498977207,120625,4074
1688498977325,120625,4074
1688498977446,135625,4074
1688498977554,135625,4074
1688498977662,135625,4074
1688498977779,135625,4074
1688498977898,132812,4074
1688498978013,132812,4074
1688498978131,115937,4074
1688498978240,115937,4074
1688498978350,115937,4074
1688498978462,115937,4074
1688498978577,105312,4074
1688498978686,105312,4074
1688498978794,105312,4074
1688498978909,224687,4074
1688498979028,224687,4074
1688498979144,224687,4074
1688498979259,99062,4074
1688498979376,99062,4074
1688498979492,99062,4074
1688498979612,111562,4074
1688498979727,111562,4074
1688498979836,111562,4074
1688498979951,199062,4074
1688498980066,199062,4074
1688498980176,199062,4074
1688498980285,103437,4074
1688498980395,103437,4074
1688498980509,103437,4074
1688498980621,173750,4074
1688498980739,173750,4074
1688498980857,173750,4074
1688498980971,102500,4074
1688498981083,102500,4074
1688498981194,102500,4074
1688498981308,125625,4074
1688498981421,125625,4074
1688498981527,125625,4074
1688498981641,180000,4074
1688498981755,180000,4074
1688498981867,180000,4074
1688498981983,180000,4074
1688498982100,145937,4074
1688498982209,145937,4074
1688498982321,145937,4074
1688498982435,219375,4074
1688498982549,219375,4074
1688498982663,219375,4074
1688498982775,115625,4074
1688498982890,115625,4074
1688498983006,115625,4074
1688498983120,116562,4074
1688498983231,116562,4074
1688498983339,116562,4074
1688498983448,186875,4074
1688498983560,186875,4074
1688498983669,186875,4074
1688498983783,113750,4074
1688498983903,113750,4074
1688498984017,113750,4074
1688498984138,135625,4074
1688498984260,135625,4074
1688498984368,135625,4074
1688498984479,210312,4074
1688498984587,210312,4074
1688498984706,210312,4074
1688498984820,115312,4074
1688498984934,115312,4074
1688498985056,115312,4074
1688498985167,124687,4074
1688498985278,124687,4074
1688498985386,124687,4074
1688498985494,143125,4074
1688498985603,143125,4074
1688498985711,143125,4074
1688498985833,143125,4074
1688498985956,106250,4074
1688498986062,106250,4074
1688498986177,106250,4074
1688498986291,119375,4074
1688498986410,119375,4074
1688498986519,119375,4074
1688498986633,181562,4074
1688498986746,181562,4074
1688498986860,181562,4074
1688498986973,105625,4074
1688498987095,105625,4074
1688498987209,105625,4074
1688498987330,134687,4074
1688498987443,134687,4074
1688498987559,134687,4074
1688498987675,94062,4074
1688498987784,94062,4074
1688498987898,94062,4074
1688498988014,213750,4074
1688498988134,213750,4074
1688498988247,213750,4074
1688498988354,113437,4074
1688498988462,113437,4074
1688498988577,113437,4074
1688498988688,122812,4074
1688498988798,122812,4074
1688498988906,122812,4074
1688498989019,177812,4074
1688498989135,177812,4074
1688498989248,177812,4074
1688498989362,121562,4074
1688498989475,121562,4074
1688498989590,121562,4074
1688498989707,130937,4074
1688498989821,130937,4074
1688498989941,130937,4074
1688498990053,193750,4074
1688498990166,193750,4074
1688498990280,193750,4074
1688498990391,193750,4074
1688498990507,141250,4074
1688498990615,141250,4074
1688498990729,141250,4074
1688498990844,121250,4074
1688498990955,121250,4074
1688498991070,121250,4074
1688498991181,102187,4074
1688498991296,102187,4074
1688498991410,102187,4074
