Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688506020188,1548125,4118
1688506020291,1548125,4118
1688506020394,1548125,4118
1688506020497,1205000,4118
1688506020600,1205000,4118
1688506020702,1205000,4118
1688506020805,1000625,4118
1688506020907,1000625,4118
1688506021011,1000625,4118
1688506021114,1000625,4118
1688506021217,1046250,4118
1688506021320,1046250,4118
1688506021423,1046250,4118
1688506021526,1171250,4118
1688506021628,1171250,4118
1688506021731,1171250,4118
1688506021833,805625,4118
1688506021936,805625,4118
1688506022039,805625,4118
1688506022142,805625,4118
1688506022245,795937,4118
1688506022348,795937,4118
1688506022451,795937,4118
1688506022554,975000,4118
1688506022656,975000,4118
1688506022758,975000,4118
1688506022860,975000,4118
1688506022963,833750,4118
1688506023066,833750,4118
1688506023169,833750,4118
1688506023272,915000,4118
1688506023375,915000,4118
1688506023478,915000,4118
1688506023580,915000,4118
1688506023683,945312,4118
1688506023787,945312,4118
1688506023891,945312,4118
1688506023995,682500,4118
1688506024098,682500,4118
1688506024201,682500,4118
1688506024304,718437,4118
1688506024408,718437,4118
1688506024511,718437,4118
1688506024615,718437,4118
1688506024718,820312,4118
1688506024822,820312,4118
1688506024925,820312,4118
1688506025029,750937,4118
1688506025132,750937,4118
1688506025236,750937,4118
1688506025340,797812,4118
1688506025444,797812,4118
1688506025547,797812,4118
1688506025650,797812,4118
1688506025754,817187,4118
1688506025858,817187,4118
1688506025961,817187,4118
1688506026064,886562,4118
1688506026168,886562,4118
1688506026272,886562,4118
1688506026375,886562,4118
1688506026478,756250,4118
1688506026582,756250,4118
1688506026686,756250,4118
1688506026789,815312,4118
1688506026893,815312,4118
1688506026997,815312,4118
1688506027101,880312,4118
1688506027204,880312,4118
1688506027307,880312,4118
1688506027411,880312,4118
1688506027515,829687,4118
1688506027619,829687,4118
1688506027723,829687,4118
1688506027827,725312,4118
1688506027931,725312,4118
1688506028034,725312,4118
1688506028138,845625,4118
1688506028242,845625,4118
1688506028346,845625,4118
1688506028450,845625,4118
1688506028554,784687,4118
1688506028657,784687,4118
1688506028761,784687,4118
1688506028866,796875,4118
1688506028969,796875,4118
1688506029074,796875,4118
1688506029179,796875,4118
1688506029285,685000,4118
1688506029390,685000,4118
1688506029495,685000,4118
1688506029600,755625,4118
1688506029706,755625,4118
1688506029811,755625,4118
1688506029915,754062,4118
1688506030020,754062,4118
1688506030124,754062,4118
1688506030229,754062,4118
1688506030334,769375,4118
1688506030438,769375,4118
1688506030542,769375,4118
1688506030646,719062,4118
1688506030752,719062,4118
1688506030857,719062,4118
1688506030961,722812,4118
1688506031067,722812,4118
1688506031173,722812,4118
1688506031277,722812,4118
1688506031381,852187,4118
1688506031485,852187,4118
1688506031590,852187,4118
1688506031693,842500,4118
1688506031797,842500,4118
1688506031903,842500,4118
1688506032007,767500,4118
1688506032112,767500,4118
1688506032216,767500,4118
1688506032320,767500,4118
1688506032423,882187,4118
1688506032527,882187,4118
1688506032632,882187,4118
1688506032736,840000,4118
1688506032840,840000,4118
1688506032944,840000,4118
1688506033049,586250,4118
1688506033152,586250,4118
1688506033256,586250,4118
1688506033361,586250,4118
1688506033465,775312,4118
1688506033569,775312,4118
1688506033673,775312,4118
