Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1688505613562,338125,4079
1688505613667,371562,4079
1688505613774,371562,4079
1688505613879,371562,4079
1688505613985,364062,4079
1688505614092,364062,4079
1688505614197,364062,4079
1688505614302,364062,4079
1688505614410,235625,4079
1688505614518,235625,4079
1688505614628,235625,4079
1688505614736,189375,4079
1688505614844,189375,4079
1688505614951,189375,4079
1688505615060,270937,4079
1688505615168,270937,4079
1688505615275,270937,4079
1688505615384,237187,4079
1688505615492,237187,4079
1688505615600,237187,4079
1688505615708,237187,4079
1688505615815,205312,4079
1688505615923,205312,4079
1688505616030,205312,4079
1688505616137,284375,4079
1688505616247,284375,4079
1688505616358,284375,4079
1688505616469,228437,4079
1688505616577,228437,4079
1688505616684,228437,4079
1688505616794,159062,4079
1688505616900,159062,4079
1688505617007,159062,4079
1688505617113,159062,4079
1688505617220,267500,4079
1688505617325,267500,4079
1688505617432,267500,4079
1688505617546,168750,4079
1688505617661,168750,4079
1688505617773,168750,4079
1688505617890,148437,4079
1688505618007,148437,4079
1688505618125,148437,4079
1688505618236,140937,4079
1688505618345,140937,4079
1688505618454,140937,4079
1688505618569,139062,4079
1688505618687,139062,4079
1688505618803,139062,4079
1688505618921,241562,4079
1688505619041,241562,4079
1688505619155,241562,4079
1688505619263,146250,4079
1688505619372,146250,4079
1688505619484,146250,4079
1688505619593,233437,4079
1688505619704,233437,4079
1688505619816,233437,4079
1688505619924,233437,4079
1688505620046,208750,4079
1688505620164,208750,4079
1688505620274,208750,4079
1688505620387,164375,4079
1688505620495,164375,4079
1688505620610,164375,4079
1688505620726,205625,4079
1688505620847,205625,4079
1688505620971,205625,4079
1688505621093,145312,4079
1688505621206,145312,4079
1688505621320,145312,4079
1688505621426,156875,4079
1688505621544,156875,4079
1688505621665,156875,4079
1688505621777,151250,4079
1688505621887,151250,4079
1688505622008,151250,4079
1688505622122,175000,4079
1688505622243,175000,4079
1688505622348,175000,4079
1688505622454,164062,4079
1688505622560,164062,4079
1688505622667,164062,4079
1688505622773,184375,4079
1688505622879,184375,4079
1688505622985,184375,4079
1688505623093,184062,4079
1688505623202,184062,4079
1688505623309,184062,4079
1688505623417,184062,4079
1688505623525,171562,4079
1688505623634,171562,4079
1688505623743,171562,4079
1688505623851,177187,4079
1688505623958,177187,4079
1688505624067,177187,4079
1688505624174,307187,4079
1688505624281,307187,4079
1688505624386,307187,4079
1688505624495,230937,4079
1688505624603,230937,4079
1688505624710,230937,4079
1688505624819,230937,4079
1688505624928,209687,4079
1688505625036,209687,4079
1688505625142,209687,4079
1688505625249,302812,4079
1688505625357,302812,4079
1688505625464,302812,4079
1688505625572,177500,4079
1688505625678,177500,4079
1688505625787,177500,4079
1688505625894,214375,4079
1688505626002,214375,4079
1688505626109,214375,4079
1688505626215,214375,4079
1688505626322,258437,4079
1688505626428,258437,4079
1688505626538,258437,4079
1688505626650,213125,4079
1688505626761,213125,4079
1688505626869,213125,4079
1688505626976,176562,4079
1688505627084,176562,4079
1688505627195,176562,4079
1688505627305,230937,4079
1688505627411,230937,4079
1688505627519,230937,4079
1688505627625,230937,4079
1688505627732,336875,4079
1688505627840,336875,4079
1688505627947,336875,4079
1688505628054,226562,4079
1688505628163,226562,4079
1688505628273,226562,4079
1688505628381,150000,4079
1688505628489,150000,4079
1688505628598,150000,4079
1688505628716,234687,4079
1688505628827,234687,4079
1688505628937,234687,4079
1688505629049,156562,4079
1688505629163,156562,4079
1688505629280,156562,4079
1688505629388,165000,4079
1688505629504,165000,4079
1688505629612,165000,4079
1688505629722,165000,4079
1688505629838,231250,4079
1688505629948,231250,4079
1688505630066,231250,4079
1688505630185,158750,4079
1688505630300,158750,4079
1688505630407,158750,4079
1688505630521,175625,4079
1688505630640,175625,4079
1688505630749,175625,4079
1688505630865,195937,4079
1688505630990,195937,4079
1688505631107,195937,4079
1688505631219,124687,4079
1688505631337,124687,4079
1688505631447,124687,4079
1688505631561,117500,4079
1688505631683,117500,4079
1688505631800,117500,4079
1688505631908,146875,4079
1688505632015,146875,4079
1688505632131,146875,4079
1688505632248,118125,4079
1688505632358,118125,4079
1688505632464,118125,4079
1688505632568,302812,4079
1688505632675,302812,4079
1688505632782,302812,4079
1688505632889,302812,4079
1688505632994,216562,4079
1688505633100,216562,4079
1688505633207,216562,4079
1688505633316,184687,4079
1688505633425,184687,4079
1688505633534,184687,4079
1688505633641,200312,4079
1688505633750,200312,4079
1688505633860,200312,4079
1688505633968,172500,4079
1688505634076,172500,4079
1688505634181,172500,4079
1688505634288,172500,4079
1688505634394,251562,4079
1688505634502,251562,4079
1688505634608,251562,4079
1688505634714,160937,4079
1688505634820,160937,4079
1688505634928,160937,4079
1688505635034,192812,4079
1688505635143,192812,4079
1688505635249,192812,4079
1688505635356,273125,4079
1688505635466,273125,4079
1688505635574,273125,4079
1688505635684,273125,4079
1688505635791,230625,4079
1688505635898,230625,4079
1688505636004,230625,4079
1688505636112,212187,4079
1688505636221,212187,4079
1688505636327,212187,4079
1688505636434,283750,4079
1688505636541,283750,4079
1688505636648,283750,4079
1688505636757,283750,4079
1688505636866,194062,4079
1688505636975,194062,4079
1688505637082,194062,4079
1688505637191,202812,4079
1688505637300,202812,4079
1688505637408,202812,4079
1688505637514,164375,4079
1688505637620,164375,4079
1688505637730,164375,4079
1688505637840,140000,4079
1688505637953,140000,4079
1688505638059,140000,4079
1688505638169,152187,4079
1688505638284,152187,4079
1688505638395,152187,4079
1688505638510,161250,4079
1688505638619,161250,4079
1688505638727,161250,4079
1688505638837,161250,4079
1688505638954,202187,4079
1688505639069,202187,4079
1688505639187,202187,4079
1688505639306,163125,4079
1688505639415,163125,4079
1688505639526,163125,4079
1688505639637,190625,4079
1688505639744,190625,4079
1688505639856,190625,4079
1688505639965,247500,4079
1688505640080,247500,4079
1688505640195,247500,4079
1688505640314,176562,4079
1688505640423,176562,4079
1688505640537,176562,4079
1688505640647,197500,4079
1688505640762,197500,4079
1688505640878,197500,4079
1688505640993,206562,4079
1688505641102,206562,4079
1688505641222,206562,4079
1688505641342,129062,4079
1688505641458,129062,4079
1688505641568,129062,4079
1688505641681,107812,4079
1688505641793,107812,4079
1688505641905,107812,4079
1688505642020,233437,4079
1688505642140,233437,4079
1688505642253,233437,4079
1688505642372,115937,4079
1688505642481,115937,4079
1688505642587,115937,4079
1688505642693,115937,4079
1688505642800,559687,4079
1688505642907,559687,4079
1688505643013,559687,4079
1688505643119,224687,4079
1688505643226,224687,4079
1688505643333,224687,4079
1688505643439,205312,4079
1688505643546,205312,4079
1688505643655,205312,4079
1688505643762,205312,4079
1688505643871,253437,4079
1688505643978,253437,4079
1688505644084,253437,4079
1688505644191,237187,4079
1688505644297,237187,4079
1688505644404,237187,4079
1688505644514,186562,4079
1688505644624,186562,4079
1688505644731,186562,4079
1688505644838,209062,4079
1688505644946,209062,4079
1688505645053,209062,4079
1688505645159,209062,4079
1688505645270,214375,4079
1688505645376,214375,4079
1688505645482,214375,4079
1688505645591,290312,4079
1688505645700,290312,4079
1688505645807,290312,4079
1688505645914,293125,4079
1688505646024,293125,4079
1688505646129,293125,4079
1688505646237,191875,4079
1688505646346,191875,4079
1688505646455,191875,4079
1688505646562,191875,4079
1688505646668,270625,4079
1688505646776,270625,4079
1688505646884,270625,4079
1688505646995,184062,4079
1688505647104,184062,4079
1688505647212,184062,4079
1688505647319,186562,4079
1688505647429,186562,4079
1688505647536,186562,4079
1688505647641,307812,4079
1688505647748,307812,4079
1688505647860,307812,4079
1688505647978,148125,4079
1688505648093,148125,4079
1688505648206,148125,4079
1688505648316,220000,4079
1688505648424,220000,4079
1688505648537,220000,4079
1688505648648,220000,4079
1688505648756,161875,4079
1688505648864,161875,4079
1688505648976,161875,4079
1688505649088,141250,4079
1688505649199,141250,4079
1688505649309,141250,4079
1688505649424,145937,4079
1688505649542,145937,4079
1688505649660,145937,4079
1688505649776,196250,4079
1688505649885,196250,4079
1688505649996,196250,4079
1688505650106,225000,4079
1688505650220,225000,4079
1688505650338,225000,4079
1688505650453,156562,4079
1688505650561,156562,4079
1688505650679,156562,4079
1688505650786,145937,4079
1688505650897,145937,4079
1688505651009,145937,4079
1688505651128,184687,4079
1688505651249,184687,4079
1688505651364,184687,4079
1688505651480,108437,4079
1688505651597,108437,4079
1688505651718,108437,4079
1688505651834,116250,4079
1688505651950,116250,4079
1688505652067,116250,4079
1688505652180,206562,4079
1688505652297,206562,4079
1688505652407,206562,4079
1688505652519,120000,4079
1688505652628,120000,4079
1688505652734,120000,4079
1688505652839,120000,4079
1688505652945,331250,4079
1688505653054,331250,4079
1688505653161,331250,4079
1688505653267,151562,4079
1688505653373,151562,4079
1688505653482,151562,4079
1688505653592,217500,4079
1688505653700,217500,4079
1688505653808,217500,4079
1688505653916,217500,4079
1688505654023,179687,4079
1688505654130,179687,4079
1688505654240,179687,4079
1688505654346,180000,4079
1688505654452,180000,4079
1688505654558,180000,4079
1688505654663,240937,4079
1688505654772,240937,4079
1688505654879,240937,4079
1688505654986,223750,4079
1688505655093,223750,4079
1688505655199,223750,4079
1688505655306,223750,4079
1688505655414,252187,4079
1688505655521,252187,4079
1688505655627,252187,4079
1688505655734,315937,4079
1688505655841,315937,4079
1688505655952,315937,4079
1688505656060,225937,4079
1688505656167,225937,4079
1688505656275,225937,4079
1688505656382,211875,4079
1688505656488,211875,4079
1688505656596,211875,4079
1688505656703,211875,4079
1688505656809,314375,4079
1688505656915,314375,4079
1688505657022,314375,4079
1688505657130,210000,4079
1688505657237,210000,4079
1688505657343,210000,4079
1688505657450,252187,4079
1688505657556,252187,4079
1688505657664,252187,4079
1688505657772,252187,4079
1688505657879,274687,4079
1688505657987,274687,4079
1688505658105,274687,4079
1688505658216,185312,4079
1688505658330,185312,4079
1688505658447,185312,4079
1688505658558,163437,4079
1688505658666,163437,4079
1688505658777,163437,4079
1688505658885,153750,4079
1688505658993,153750,4079
1688505659102,153750,4079
1688505659208,182500,4079
1688505659323,182500,4079
1688505659434,182500,4079
1688505659552,154375,4079
1688505659670,154375,4079
1688505659786,154375,4079
1688505659895,187500,4079
1688505660003,187500,4079
1688505660110,187500,4079
1688505660218,187500,4079
1688505660332,219687,4079
1688505660443,219687,4079
1688505660554,219687,4079
1688505660671,152187,4079
1688505660787,152187,4079
1688505660895,152187,4079
1688505661015,195000,4079
1688505661130,195000,4079
1688505661241,195000,4079
1688505661354,192500,4079
1688505661467,192500,4079
1688505661584,192500,4079
1688505661701,156250,4079
1688505661813,156250,4079
1688505661929,156250,4079
1688505662050,141875,4079
1688505662167,141875,4079
1688505662280,141875,4079
1688505662393,211875,4079
1688505662509,211875,4079
1688505662627,211875,4079
1688505662737,146250,4079
1688505662841,146250,4079
